,FLIC US Equity,FLIC US Equity,FLIC US Equity,FLIC US Equity,FLIC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,20.5267,20.5267,20.0041,20.1649,39334.0
2020-01-02,20.3257,20.3257,19.779,19.9478,51474.0
2020-01-03,19.7549,19.9559,19.6101,19.8594,44419.0
2020-01-04,19.7549,19.9559,19.6101,19.8594,44419.0
2020-01-05,19.7549,19.9559,19.6101,19.8594,44419.0
2020-01-06,19.5941,19.6182,19.2081,19.5458,61152.0
2020-01-07,19.5458,19.6592,19.157,19.2623,25587.0
2020-01-08,19.3271,19.5539,19.3271,19.4729,24518.0
2020-01-09,19.4486,19.5215,19.3109,19.3514,19456.0
2020-01-10,19.2866,19.3838,19.0841,19.1529,31495.0
2020-01-11,19.2866,19.3838,19.0841,19.1529,31495.0
2020-01-12,19.2866,19.3838,19.0841,19.1529,31495.0
2020-01-13,19.2218,19.4162,19.1246,19.4081,28703.0
2020-01-14,19.4162,19.5377,19.2866,19.319,24479.0
2020-01-15,19.1894,19.4162,19.1408,19.3028,27770.0
2020-01-16,19.4243,19.5539,19.3838,19.4648,87274.0
2020-01-17,19.6268,19.6268,19.2866,19.3433,38162.0
2020-01-18,19.6268,19.6268,19.2866,19.3433,38162.0
2020-01-19,19.6268,19.6268,19.2866,19.3433,38162.0
2020-01-20,19.6268,19.6268,19.2866,19.3433,38162.0
2020-01-21,19.3109,19.4486,19.1813,19.238,33731.0
2020-01-22,19.238,19.238,19.157,19.2137,25225.0
2020-01-23,19.0679,19.2299,18.8816,19.1975,50693.0
2020-01-24,19.1408,19.1894,18.9221,18.9869,31256.0
2020-01-25,19.1408,19.1894,18.9221,18.9869,31256.0
2020-01-26,19.1408,19.1894,18.9221,18.9869,31256.0
2020-01-27,18.7682,19.0031,18.7682,18.8492,24733.0
2020-01-28,18.8654,18.8735,18.6467,18.7358,20199.0
2020-01-29,18.7763,18.7925,18.3308,18.3956,61147.0
2020-01-30,18.2741,19.3324,18.2012,18.7115,51935.0
2020-01-31,18.5414,18.6791,17.8043,17.8691,79165.0
2020-02-01,18.5414,18.6791,17.8043,17.8691,79165.0
2020-02-02,18.5414,18.6791,17.8043,17.8691,79165.0
2020-02-03,18.0392,19.076,18.0392,18.2579,89571.0
2020-02-04,18.509,19.0071,18.3227,18.9383,87747.0
2020-02-05,19.238,19.2461,18.9545,19.1003,50858.0
2020-02-06,19.1732,19.1732,18.7439,18.8249,59075.0
2020-02-07,18.8492,18.8492,18.4746,18.6143,41334.0
2020-02-08,18.8492,18.8492,18.4746,18.6143,41334.0
2020-02-09,18.8492,18.8492,18.4746,18.6143,41334.0
2020-02-10,18.5819,18.6629,18.4847,18.6548,44823.0
2020-02-11,18.6305,18.9869,18.6224,18.8168,81404.0
2020-02-12,18.9626,18.9626,18.7763,18.8168,45580.0
