,APO US Equity,APO US Equity,APO US Equity,APO US Equity,APO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,19.7997,20.0854,19.408,20.0282,1329487.0
2019-01-02,19.5793,20.4526,19.5549,20.2567,515493.0
2019-01-03,20.1751,20.2812,19.4161,19.4896,788740.0
2019-01-04,19.6691,20.7709,19.6691,20.7056,655785.0
2019-01-05,19.6691,20.7709,19.6691,20.7056,655785.0
2019-01-06,19.6691,20.7709,19.6691,20.7056,655785.0
2019-01-07,20.7872,21.4973,20.42,21.432,945845.0
2019-01-08,21.7829,22.0033,21.3749,21.8401,625593.0
2019-01-09,21.8809,22.0278,21.6197,21.9625,942570.0
2019-01-10,21.889,21.889,21.6279,21.6279,1027492.0
2019-01-11,21.6115,21.6524,21.2769,21.5054,1327254.0
2019-01-12,21.6115,21.6524,21.2769,21.5054,1327254.0
2019-01-13,21.6115,21.6524,21.2769,21.5054,1327254.0
2019-01-14,21.228,21.8482,21.0158,21.8156,2279786.0
2019-01-15,21.7829,22.6236,21.6932,22.2808,938227.0
2019-01-16,22.4359,23.0316,22.4359,22.5256,745734.0
2019-01-17,22.3624,22.8113,22.1257,22.7542,654147.0
2019-01-18,23.0398,23.7499,22.6889,23.301,1205914.0
2019-01-19,23.0398,23.7499,22.6889,23.301,1205914.0
2019-01-20,23.0398,23.7499,22.6889,23.301,1205914.0
2019-01-21,23.0398,23.7499,22.6889,23.301,1205914.0
2019-01-22,23.252,23.252,21.987,22.1502,1213696.0
2019-01-23,22.1665,22.5092,21.9975,22.2481,958144.0
2019-01-24,22.3461,22.5318,22.0887,22.1992,427838.0
2019-01-25,22.4032,23.048,22.2808,22.7786,558527.0
2019-01-26,22.4032,23.048,22.2808,22.7786,558527.0
2019-01-27,22.4032,23.048,22.2808,22.7786,558527.0
2019-01-28,22.5501,22.8929,22.4195,22.6317,229836.0
2019-01-29,22.6072,22.8521,22.5256,22.5991,294093.0
2019-01-30,22.7378,22.7378,22.142,22.5909,721964.0
2019-01-31,22.8521,23.962,22.5664,23.8968,1199218.0
2019-02-01,24.0192,24.4844,23.7335,23.9539,739322.0
2019-02-02,24.0192,24.4844,23.7335,23.9539,739322.0
2019-02-03,24.0192,24.4844,23.7335,23.9539,739322.0
2019-02-04,23.9294,24.8843,23.8396,24.7782,854086.0
2019-02-05,24.8435,25.023,24.5089,24.9822,939320.0
2019-02-06,24.9496,25.023,24.6884,24.7374,623250.0
2019-02-07,24.6884,24.7782,23.7335,24.4925,1093441.0
2019-02-08,24.3864,24.4925,24.06,24.3456,570782.0
2019-02-09,24.3864,24.4925,24.06,24.3456,570782.0
2019-02-10,24.3864,24.4925,24.06,24.3456,570782.0
