,RGS US Equity,RGS US Equity,RGS US Equity,RGS US Equity,RGS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,358.0,362.9,357.2,357.4,13652.0
2020-01-02,344.0,350.8,324.0,333.6,24584.0
2020-01-03,328.2,331.4,318.8,321.6,23916.0
2020-01-04,328.2,331.4,318.8,321.6,23916.0
2020-01-05,328.2,331.4,318.8,321.6,23916.0
2020-01-06,318.6,321.2,311.8,317.0,16906.0
2020-01-07,316.8,325.8,306.4,317.6,12156.0
2020-01-08,318.0,333.6,315.578,331.0,13876.0
2020-01-09,333.0,339.6,330.2,336.4,19565.0
2020-01-10,336.8,336.8,323.4,325.8,11870.0
2020-01-11,336.8,336.8,323.4,325.8,11870.0
2020-01-12,336.8,336.8,323.4,325.8,11870.0
2020-01-13,327.4,328.6,320.8,325.8,7395.0
2020-01-14,325.8,331.0,320.6,330.0,8691.0
2020-01-15,330.4,338.6,330.0,335.8,8006.0
2020-01-16,338.2,362.9,334.6,361.4,22191.0
2020-01-17,362.2,363.0,353.8,360.4,10529.0
2020-01-18,362.2,363.0,353.8,360.4,10529.0
2020-01-19,362.2,363.0,353.8,360.4,10529.0
2020-01-20,362.2,363.0,353.8,360.4,10529.0
2020-01-21,358.2,361.0,348.0,359.2,12301.0
2020-01-22,360.0,362.8,343.0,343.6,9279.0
2020-01-23,341.8,351.8,336.4,350.2,10985.0
2020-01-24,349.6,354.4,345.0,353.4,16766.0
2020-01-25,349.6,354.4,345.0,353.4,16766.0
2020-01-26,349.6,354.4,345.0,353.4,16766.0
2020-01-27,346.8,351.6,341.2,343.8,9642.0
2020-01-28,345.6,349.6,338.6,339.4,8822.0
2020-01-29,338.0,339.9,320.6,329.2,23415.0
2020-01-30,326.4,333.9,316.8,321.6,13031.0
2020-01-31,321.4,322.6,310.2,310.4,11020.0
2020-02-01,321.4,322.6,310.2,310.4,11020.0
2020-02-02,321.4,322.6,310.2,310.4,11020.0
2020-02-03,313.0,314.0,302.4,308.0,18363.0
2020-02-04,354.2,354.778,296.8,299.8,38007.0
2020-02-05,302.8,302.8,294.2,296.4,17961.0
2020-02-06,299.6,312.328,297.0,297.2,20576.0
2020-02-07,294.8,296.2,281.0,283.0,16823.0
2020-02-08,294.8,296.2,281.0,283.0,16823.0
2020-02-09,294.8,296.2,281.0,283.0,16823.0
2020-02-10,281.8,282.0,266.8,267.8,17950.0
2020-02-11,268.0,275.2,260.6,263.4,15979.0
2020-02-12,265.2,277.6,262.8,268.4,17534.0
2020-02-13,267.4,276.2,265.6,275.4,11765.0
2020-02-14,275.6,276.6,266.6,267.2,12397.0
2020-02-15,275.6,276.6,266.6,267.2,12397.0
2020-02-16,275.6,276.6,266.6,267.2,12397.0
2020-02-17,275.6,276.6,266.6,267.2,12397.0
2020-02-18,266.8,276.6,264.8,275.6,13390.0
2020-02-19,278.0,287.2,274.8,285.0,20005.0
2020-02-20,283.4,286.4,269.0,273.0,11586.0
2020-02-21,272.4,273.8,266.4,271.6,9112.0
2020-02-22,272.4,273.8,266.4,271.6,9112.0
2020-02-23,272.4,273.8,266.4,271.6,9112.0
2020-02-24,262.8,272.2,262.0,266.2,12790.0
2020-02-25,267.0,267.4,254.0,257.6,15447.0
2020-02-26,258.8,268.0,254.2,257.4,14544.0
2020-02-27,251.0,262.4,244.5,256.2,24050.0
2020-02-28,248.2,260.4,247.8,255.2,17994.0
2020-02-29,248.2,260.4,247.8,255.2,17994.0
2020-03-01,248.2,260.4,247.8,255.2,17994.0
2020-03-02,255.0,255.0,243.2,249.4,19053.0
2020-03-03,248.4,253.9,236.6,239.2,15477.0
2020-03-04,239.8,242.0,224.6,230.0,16926.0
2020-03-05,225.8,233.0,220.6,224.4,24288.0
2020-03-06,218.8,221.6,210.8,217.6,22129.0
2020-03-07,218.8,221.6,210.8,217.6,22129.0
2020-03-08,218.8,221.6,210.8,217.6,22129.0
2020-03-09,206.0,217.8,198.2,205.8,28525.0
2020-03-10,209.4,212.4,191.4,203.6,25407.0
2020-03-11,199.0,201.8,186.0,188.8,15337.0
2020-03-12,177.2,189.0,169.3,186.8,16339.0
2020-03-13,194.0,201.6,182.1,184.2,18824.0
2020-03-14,194.0,201.6,182.1,184.2,18824.0
2020-03-15,194.0,201.6,182.1,184.2,18824.0
2020-03-16,171.0,171.0,139.2,139.4,17151.0
2020-03-17,140.6,180.0,135.6,179.0,35408.0
2020-03-18,168.6,168.6,139.4,150.6,40301.0
2020-03-19,150.0,160.0,141.2,153.6,25638.0
2020-03-20,152.4,156.2,127.2,130.6,37020.0
2020-03-21,152.4,156.2,127.2,130.6,37020.0
2020-03-22,152.4,156.2,127.2,130.6,37020.0
2020-03-23,128.4,129.816,111.6,119.4,19707.0
2020-03-24,124.6,161.0,124.6,157.0,20540.0
2020-03-25,161.6,167.6,140.8,163.2,40124.0
2020-03-26,164.8,198.6,163.9,175.6,18309.0
2020-03-27,170.4,170.4,129.4,131.4,44107.0
2020-03-28,170.4,170.4,129.4,131.4,44107.0
2020-03-29,170.4,170.4,129.4,131.4,44107.0
2020-03-30,131.6,133.738,116.4,126.6,27474.0
2020-03-31,127.2,137.0,116.0,118.2,30137.0
2020-04-01,117.0,117.4,98.0,99.4,28555.0
2020-04-02,95.8,103.4,90.2,92.6,34264.0
2020-04-03,94.0,97.8,84.402,94.0,26629.0
2020-04-04,94.0,97.8,84.402,94.0,26629.0
2020-04-05,94.0,97.8,84.402,94.0,26629.0
2020-04-06,99.2,106.4,98.7,100.8,23326.0
2020-04-07,105.8,126.8,104.2,120.2,58472.0
2020-04-08,120.0,141.8,119.6,135.0,89613.0
2020-04-09,140.8,159.4,140.8,155.2,63467.0
2020-04-10,140.8,159.4,140.8,155.2,63467.0
2020-04-11,140.8,159.4,140.8,155.2,63467.0
2020-04-12,140.8,159.4,140.8,155.2,63467.0
2020-04-13,155.8,172.8,145.8,168.6,38625.0
2020-04-14,177.4,201.5,176.98,200.4,36221.0
2020-04-15,188.0,193.8,164.8,165.4,40546.0
2020-04-16,166.2,176.0,145.6,148.8,27283.0
2020-04-17,163.6,190.0,163.6,175.8,33509.0
2020-04-18,163.6,190.0,163.6,175.8,33509.0
2020-04-19,163.6,190.0,163.6,175.8,33509.0
2020-04-20,174.6,174.6,160.2,168.4,25086.0
2020-04-21,164.6,179.2,160.4,170.4,17590.0
2020-04-22,176.0,178.4,166.4,172.0,17300.0
2020-04-23,172.6,188.4,172.6,184.2,23594.0
2020-04-24,185.2,191.2,183.4,189.0,12606.0
2020-04-25,185.2,191.2,183.4,189.0,12606.0
2020-04-26,185.2,191.2,183.4,189.0,12606.0
2020-04-27,194.0,233.4,194.0,224.0,41163.0
2020-04-28,246.4,258.0,220.8,224.0,49244.0
2020-04-29,231.4,257.4,217.4,255.4,50425.0
2020-04-30,248.0,254.4,233.6,248.4,24318.0
2020-05-01,240.0,247.3,211.8,223.6,33890.0
2020-05-02,240.0,247.3,211.8,223.6,33890.0
2020-05-03,240.0,247.3,211.8,223.6,33890.0
2020-05-04,215.4,216.7,200.2,214.8,23602.0
2020-05-05,224.6,229.8,204.9,205.0,25022.0
2020-05-06,208.6,213.398,200.2,200.4,14712.0
2020-05-07,207.0,210.55,190.8,201.2,28548.0
2020-05-08,211.0,226.5,206.4,222.0,37021.0
2020-05-09,211.0,226.5,206.4,222.0,37021.0
2020-05-10,211.0,226.5,206.4,222.0,37021.0
2020-05-11,220.2,220.2,202.2,203.4,33206.0
2020-05-12,204.0,206.176,183.0,183.8,26490.0
2020-05-13,183.0,183.0,157.8,164.6,34066.0
2020-05-14,160.6,167.5,145.0,162.0,39007.0
2020-05-15,162.8,185.4,162.2,177.0,27723.0
2020-05-16,162.8,185.4,162.2,177.0,27723.0
2020-05-17,162.8,185.4,162.2,177.0,27723.0
2020-05-18,194.8,209.6,187.4,205.6,46366.0
2020-05-19,209.0,225.4,198.0,209.6,30889.0
2020-05-20,215.4,223.6,200.8,211.4,41900.0
2020-05-21,210.4,214.0,195.2,213.0,29278.0
2020-05-22,213.0,214.798,203.3,207.0,15553.0
2020-05-23,213.0,214.798,203.3,207.0,15553.0
2020-05-24,213.0,214.798,203.3,207.0,15553.0
2020-05-25,213.0,214.798,203.3,207.0,15553.0
2020-05-26,216.4,232.62,211.25,218.4,34624.0
2020-05-27,226.4,227.6,204.4,222.8,38373.0
2020-05-28,223.8,226.0,212.232,216.8,39822.0
2020-05-29,212.6,217.6,205.0,210.4,26535.0
2020-05-30,212.6,217.6,205.0,210.4,26535.0
2020-05-31,212.6,217.6,205.0,210.4,26535.0
2020-06-01,213.8,216.8,203.8,211.0,21505.0
2020-06-02,213.2,213.8,203.2,205.0,28974.0
2020-06-03,211.0,213.6,206.2,212.6,40122.0
2020-06-04,208.2,219.8,207.2,208.6,37435.0
2020-06-05,222.0,244.6,217.8,235.2,55712.0
2020-06-06,222.0,244.6,217.8,235.2,55712.0
2020-06-07,222.0,244.6,217.8,235.2,55712.0
2020-06-08,247.2,270.6,240.2,263.8,56229.0
2020-06-09,252.4,259.2,222.012,233.2,37242.0
2020-06-10,233.4,234.4,216.4,222.2,23171.0
2020-06-11,202.6,207.6,183.0,184.2,50668.0
2020-06-12,202.0,202.8,178.9,182.8,50986.0
2020-06-13,202.0,202.8,178.9,182.8,50986.0
2020-06-14,202.0,202.8,178.9,182.8,50986.0
2020-06-15,171.2,207.6,163.6,197.4,44355.0
2020-06-16,209.8,214.2,194.696,203.0,31392.0
2020-06-17,203.2,203.2,185.4,187.0,39952.0
2020-06-18,196.6,213.0,176.9,185.8,77213.0
2020-06-19,188.2,189.3,172.1,172.4,56953.0
2020-06-20,188.2,189.3,172.1,172.4,56953.0
2020-06-21,188.2,189.3,172.1,172.4,56953.0
2020-06-22,170.6,172.0,162.2,167.4,35437.0
2020-06-23,170.8,175.8,162.6,174.4,39979.0
2020-06-24,168.2,171.8,155.2,166.0,45110.0
2020-06-25,160.0,168.8,158.4,161.4,37152.0
2020-06-26,161.0,164.0,150.2,151.4,42184.0
2020-06-27,161.0,164.0,150.2,151.4,42184.0
2020-06-28,161.0,164.0,150.2,151.4,42184.0
2020-06-29,154.8,167.4,152.8,167.0,39088.0
2020-06-30,164.2,168.8,158.0,163.6,22366.0
2020-07-01,164.4,171.0,159.202,162.0,35813.0
2020-07-02,170.8,173.8,161.2,161.8,23713.0
2020-07-03,170.8,173.8,161.2,161.8,23713.0
2020-07-04,170.8,173.8,161.2,161.8,23713.0
2020-07-05,170.8,173.8,161.2,161.8,23713.0
2020-07-06,166.8,169.6,153.8,165.8,33728.0
2020-07-07,161.8,161.8,152.8,153.8,26607.0
2020-07-08,153.6,159.6,148.6,155.4,39930.0
2020-07-09,154.8,156.4,141.6,145.2,42612.0
2020-07-10,144.0,155.0,143.0,152.2,29016.0
2020-07-11,144.0,155.0,143.0,152.2,29016.0
2020-07-12,144.0,155.0,143.0,152.2,29016.0
2020-07-13,155.0,156.9,150.0,153.0,20383.0
2020-07-14,150.8,154.4,149.4,151.0,25506.0
2020-07-15,157.4,165.4,154.2,159.0,34370.0
2020-07-16,155.8,165.2,155.4,164.6,18234.0
2020-07-17,164.6,168.0,160.2,161.4,18687.0
2020-07-18,164.6,168.0,160.2,161.4,18687.0
2020-07-19,164.6,168.0,160.2,161.4,18687.0
2020-07-20,160.0,161.7,155.6,155.8,20528.0
2020-07-21,158.8,163.0,156.602,159.8,27811.0
2020-07-22,158.6,162.2,156.4,157.8,25483.0
2020-07-23,156.2,165.2,156.2,163.4,23497.0
2020-07-24,164.2,166.0,154.0,156.2,19446.0
2020-07-25,164.2,166.0,154.0,156.2,19446.0
2020-07-26,164.2,166.0,154.0,156.2,19446.0
2020-07-27,155.6,157.2,150.8,156.6,21405.0
2020-07-28,155.8,161.6,153.6,154.4,19082.0
2020-07-29,156.0,159.2,154.712,156.4,15317.0
2020-07-30,155.4,158.4,150.6,156.8,15449.0
2020-07-31,154.6,158.0,152.2,153.6,17854.0
2020-08-01,154.6,158.0,152.2,153.6,17854.0
2020-08-02,154.6,158.0,152.2,153.6,17854.0
2020-08-03,154.0,154.0,146.3,148.2,16525.0
2020-08-04,147.4,162.6,147.4,160.0,23704.0
2020-08-05,162.6,166.0,158.2,165.8,17101.0
2020-08-06,165.4,169.598,162.2,165.4,13477.0
2020-08-07,164.6,170.8,161.602,169.6,12167.0
2020-08-08,164.6,170.8,161.602,169.6,12167.0
2020-08-09,164.6,170.8,161.602,169.6,12167.0
2020-08-10,171.6,184.8,170.4,181.2,36496.0
2020-08-11,185.0,187.8,176.0,182.6,37597.0
2020-08-12,186.8,189.4,178.7,182.8,19070.0
2020-08-13,182.0,192.4,180.8,186.2,16668.0
2020-08-14,184.4,193.4,181.6,186.2,20450.0
2020-08-15,184.4,193.4,181.6,186.2,20450.0
2020-08-16,184.4,193.4,181.6,186.2,20450.0
2020-08-17,186.2,186.2,176.6,180.6,19227.0
2020-08-18,182.0,183.85,176.2,178.4,23511.0
2020-08-19,178.8,190.0,176.4,180.8,15351.0
2020-08-20,177.6,179.6,171.6,175.6,13576.0
2020-08-21,175.4,177.0,169.2,170.6,12665.0
2020-08-22,175.4,177.0,169.2,170.6,12665.0
2020-08-23,175.4,177.0,169.2,170.6,12665.0
2020-08-24,172.4,175.4,168.0,174.6,13463.0
2020-08-25,176.2,177.5,170.2,173.2,10727.0
2020-08-26,172.4,174.8,165.8,166.4,14059.0
2020-08-27,168.8,180.0,168.196,170.8,28062.0
2020-08-28,173.6,182.0,168.8,181.6,26165.0
2020-08-29,173.6,182.0,168.8,181.6,26165.0
2020-08-30,173.6,182.0,168.8,181.6,26165.0
