,GLW US Equity,GLW US Equity,GLW US Equity,GLW US Equity,GLW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,25.3822,25.5843,25.3119,25.5755,3586077.0
2020-01-02,25.76,26.3574,25.7424,26.3486,5389600.0
2020-01-03,25.9533,26.1202,25.7512,26.006,6977679.0
2020-01-04,25.9533,26.1202,25.7512,26.006,6977679.0
2020-01-05,25.9533,26.1202,25.7512,26.006,6977679.0
2020-01-06,25.8039,26.0851,25.6985,26.0763,6014326.0
2020-01-07,26.1729,26.3009,25.9093,26.2696,6853631.0
2020-01-08,26.1026,26.4277,26.0543,26.3926,8429832.0
2020-01-09,26.5595,26.5595,26.3574,26.5507,6048836.0
2020-01-10,26.4716,26.6561,26.3618,26.4541,4734276.0
2020-01-11,26.4716,26.6561,26.3618,26.4541,4734276.0
2020-01-12,26.4716,26.6561,26.3618,26.4541,4734276.0
2020-01-13,26.4453,26.7264,26.2432,26.7088,5046808.0
2020-01-14,26.6913,26.744,26.3223,26.4541,5483577.0
2020-01-15,26.2256,26.4189,25.9489,26.0675,5406322.0
2020-01-16,26.1817,26.4497,26.0236,26.3662,4193842.0
2020-01-17,26.4277,26.5419,26.2871,26.4101,4348185.0
2020-01-18,26.4277,26.5419,26.2871,26.4101,4348185.0
2020-01-19,26.4277,26.5419,26.2871,26.4101,4348185.0
2020-01-20,26.4277,26.5419,26.2871,26.4101,4348185.0
2020-01-21,26.1729,26.2432,25.9269,26.1026,4313878.0
2020-01-22,26.1466,26.4672,25.9884,26.0499,4391460.0
2020-01-23,25.8039,26.0236,25.5535,25.9621,4167905.0
2020-01-24,26.0587,26.107,25.5456,25.7951,4741402.0
2020-01-25,26.0587,26.107,25.5456,25.7951,4741402.0
2020-01-26,26.0587,26.107,25.5456,25.7951,4741402.0
2020-01-27,25.268,25.4085,25.0923,25.0923,6832317.0
2020-01-28,25.2592,25.3383,24.5827,24.6003,10978902.0
2020-01-29,24.4333,25.7073,24.2137,24.9078,12837026.0
2020-01-30,24.5651,24.5651,23.9413,24.3279,9475048.0
2020-01-31,24.2225,24.2488,23.3263,23.4493,8708162.0
2020-02-01,24.2225,24.2488,23.3263,23.4493,8708162.0
2020-02-02,24.2225,24.2488,23.3263,23.4493,8708162.0
2020-02-03,23.5811,24.0467,23.5504,23.6426,4752799.0
2020-02-04,24.1346,24.3103,23.9765,24.2313,4486408.0
2020-02-05,24.6969,24.8638,24.4597,24.855,5647665.0
2020-02-06,24.9868,25.0308,24.631,24.7496,3253334.0
2020-02-07,24.5388,24.5827,24.2928,24.3191,3386881.0
2020-02-08,24.5388,24.5827,24.2928,24.3191,3386881.0
2020-02-09,24.5388,24.5827,24.2928,24.3191,3386881.0
2020-02-10,24.24,24.2811,24.0731,24.2225,3150347.0
2020-02-11,24.4158,24.8902,24.3367,24.6354,5260915.0
2020-02-12,24.8638,25.3822,24.8287,25.3383,4815522.0
2020-02-13,25.1274,25.4085,24.8875,25.224,3920963.0
2020-02-14,25.2153,25.2153,24.9956,25.1186,2841775.0
2020-02-15,25.2153,25.2153,24.9956,25.1186,2841775.0
2020-02-16,25.2153,25.2153,24.9956,25.1186,2841775.0
2020-02-17,25.2153,25.2153,24.9956,25.1186,2841775.0
2020-02-18,24.9253,25.0747,24.4597,24.5739,4379493.0
2020-02-19,24.6003,24.8766,24.5036,24.5651,8384239.0
2020-02-20,24.486,24.8726,24.3455,24.855,5912910.0
2020-02-21,24.5651,24.7101,24.3806,24.5651,4774080.0
2020-02-22,24.5651,24.7101,24.3806,24.5651,4774080.0
2020-02-23,24.5651,24.7101,24.3806,24.5651,4774080.0
2020-02-24,23.6865,24.0204,23.4317,23.7217,5771714.0
2020-02-25,23.8798,23.8974,22.2808,22.5971,12040110.0
2020-02-26,22.8255,23.0935,22.1842,22.1842,7331554.0
2020-02-27,21.5726,22.3127,20.9832,21.2979,10953894.0
2020-02-28,20.4204,21.3555,20.2077,21.1472,13670579.0
2020-02-29,20.4204,21.3555,20.2077,21.1472,13670579.0
2020-03-01,20.4204,21.3555,20.2077,21.1472,13670579.0
2020-03-02,21.3067,21.874,20.837,21.8651,8283923.0
2020-03-03,21.7321,22.521,21.032,21.1738,7960051.0
2020-03-04,21.4928,22.2462,21.1871,22.2373,6511016.0
2020-03-05,21.8651,22.1842,21.5903,21.8031,7953782.0
2020-03-06,20.9699,22.1398,20.9256,22.0512,9856857.0
2020-03-07,20.9699,22.1398,20.9256,22.0512,9856857.0
2020-03-08,20.9699,22.1398,20.9256,22.0512,9856857.0
2020-03-09,20.5268,21.4042,20.0482,20.2432,15034740.0
2020-03-10,21.1206,21.453,20.1058,21.4308,9202440.0
2020-03-11,20.7661,21.094,20.1811,20.5179,11517722.0
2020-03-12,18.8694,19.7911,18.0451,18.1426,8769189.0
2020-03-13,19.2239,20.2077,17.8147,20.2077,9033612.0
2020-03-14,19.2239,20.2077,17.8147,20.2077,9033612.0
2020-03-15,19.2239,20.2077,17.8147,20.2077,9033612.0
2020-03-16,17.5754,17.8501,16.3257,16.8929,12807970.0
2020-03-17,17.1322,19.1176,16.3612,19.1087,8982750.0
2020-03-18,17.5842,19.1087,17.1854,19.0555,7564014.0
2020-03-19,18.7364,19.4898,17.7438,18.8517,7353185.0
2020-03-20,18.9226,19.153,16.6536,16.7157,7796371.0
2020-03-21,18.9226,19.153,16.6536,16.7157,7796371.0
2020-03-22,18.9226,19.153,16.6536,16.7157,7796371.0
2020-03-23,16.5827,16.6448,15.4571,15.7319,6781244.0
2020-03-24,16.5739,17.7881,16.1484,17.7438,7194450.0
2020-03-25,17.6374,18.6434,16.9816,17.9476,8754879.0
2020-03-26,17.9831,19.4632,17.6463,19.3303,6745310.0
2020-03-27,18.6301,19.1353,18.1382,18.3819,5685988.0
2020-03-28,18.6301,19.1353,18.1382,18.3819,5685988.0
2020-03-29,18.6301,19.1353,18.1382,18.3819,5685988.0
2020-03-30,18.5415,18.9669,17.9654,18.8605,6231253.0
2020-03-31,18.9403,19.0998,18.1249,18.2047,6100575.0
2020-04-01,17.3006,17.4424,16.627,16.9372,6386801.0
2020-04-02,16.9284,17.2297,16.3877,16.5739,7654478.0
2020-04-03,16.4941,16.6979,15.7939,15.8737,7183488.0
2020-04-04,16.4941,16.6979,15.7939,15.8737,7183488.0
2020-04-05,16.4941,16.6979,15.7939,15.8737,7183488.0
2020-04-06,16.7511,17.5842,16.2643,17.469,10797472.0
2020-04-07,18.116,18.1692,17.1012,17.4424,7939339.0
2020-04-08,17.6286,18.3731,17.4336,18.2313,5018434.0
2020-04-09,18.2933,19.1707,18.2756,18.7719,6053204.0
2020-04-10,18.2933,19.1707,18.2756,18.7719,6053204.0
2020-04-11,18.2933,19.1707,18.2756,18.7719,6053204.0
2020-04-12,18.2933,19.1707,18.2756,18.7719,6053204.0
2020-04-13,18.6124,18.6833,17.8501,18.0894,5153962.0
2020-04-14,18.568,18.701,18.0274,18.3465,4952711.0
2020-04-15,17.8324,17.9299,17.4336,17.7172,4336430.0
2020-04-16,17.7526,17.7704,17.2829,17.5842,4180938.0
2020-04-17,18.0363,18.5858,18.0185,18.3642,4946580.0
2020-04-18,18.0363,18.5858,18.0185,18.3642,4946580.0
2020-04-19,18.0363,18.5858,18.0185,18.3642,4946580.0
