,LOW US Equity,LOW US Equity,LOW US Equity,LOW US Equity,LOW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,110.8295,111.0705,109.7855,111.0056,2651251.0
2020-01-02,111.2744,111.6544,110.5421,111.6544,2788927.0
2020-01-03,110.0323,111.0612,109.4206,110.8573,2774182.0
2020-01-04,110.0323,111.0612,109.4206,110.8573,2774182.0
2020-01-05,110.0323,111.0612,109.4206,110.8573,2774182.0
2020-01-06,109.9767,111.5895,109.6553,111.5524,3636175.0
2020-01-07,111.6822,111.8406,110.4927,110.8851,4221371.0
2020-01-08,111.3671,113.7585,110.8387,112.6462,4030145.0
2020-01-09,112.6833,113.8975,112.6184,113.1282,2932420.0
2020-01-10,112.8038,113.0466,112.09,112.1549,2391285.0
2020-01-11,112.8038,113.0466,112.09,112.1549,2391285.0
2020-01-12,112.8038,113.0466,112.09,112.1549,2391285.0
2020-01-13,112.1271,112.813,111.8769,112.2013,3817242.0
2020-01-14,112.0159,112.7852,110.8777,111.2929,3823426.0
2020-01-15,111.1817,111.4041,110.4819,110.7831,3673751.0
2020-01-16,111.1724,111.2744,110.1899,110.5514,3780956.0
2020-01-17,110.9963,113.536,110.8387,113.4155,5913778.0
2020-01-18,110.9963,113.536,110.8387,113.4155,5913778.0
2020-01-19,110.9963,113.536,110.8387,113.4155,5913778.0
2020-01-20,110.9963,113.536,110.8387,113.4155,5913778.0
2020-01-21,112.8196,113.3597,111.8792,112.5962,3478130.0
2020-01-22,112.8476,114.4304,112.382,113.5086,4843517.0
2020-01-23,112.8755,114.6539,112.7079,114.2535,3365431.0
2020-01-24,114.1325,114.4025,111.2461,111.9444,3670596.0
2020-01-25,114.1325,114.4025,111.2461,111.9444,3670596.0
2020-01-26,114.1325,114.4025,111.2461,111.9444,3670596.0
2020-01-27,110.1009,112.531,110.1009,111.5068,3497366.0
2020-01-28,111.7861,113.2945,111.004,112.801,3228550.0
2020-01-29,113.0338,113.9742,112.0654,112.1213,2566974.0
2020-01-30,111.2926,112.0748,110.3988,111.4696,3471763.0
2020-01-31,111.2368,111.423,108.0897,108.2294,4370319.0
2020-02-01,111.2368,111.423,108.0897,108.2294,4370319.0
2020-02-02,111.2368,111.423,108.0897,108.2294,4370319.0
2020-02-03,108.937,111.004,108.6716,109.1046,3979612.0
2020-02-04,110.6223,112.0189,110.166,111.1251,4119670.0
2020-02-05,112.2144,113.9183,111.6651,113.7135,3215539.0
2020-02-06,114.0021,114.4025,113.1269,113.1362,2469155.0
2020-02-07,113.2665,113.5552,112.4658,113.1083,2068771.0
2020-02-08,113.2665,113.5552,112.4658,113.1083,2068771.0
2020-02-09,113.2665,113.5552,112.4658,113.1083,2068771.0
2020-02-10,112.5682,113.4248,112.1539,112.8569,2976076.0
2020-02-11,112.95,114.7004,112.8103,114.5514,2316260.0
2020-02-12,115.3615,116.5719,115.1008,116.4136,2727460.0
2020-02-13,115.6781,116.6371,115.4267,116.1715,2532130.0
2020-02-14,116.5253,116.9071,115.9108,116.7767,2774739.0
2020-02-15,116.5253,116.9071,115.9108,116.7767,2774739.0
2020-02-16,116.5253,116.9071,115.9108,116.7767,2774739.0
2020-02-17,116.5253,116.9071,115.9108,116.7767,2774739.0
2020-02-18,116.0505,117.233,114.3559,114.7377,3430099.0
2020-02-19,115.1473,115.8969,114.6725,114.9332,3170623.0
2020-02-20,115.2405,117.9965,114.5328,117.8475,4696018.0
2020-02-21,117.084,117.503,115.8457,116.6743,3861552.0
2020-02-22,117.084,117.503,115.8457,116.6743,3861552.0
2020-02-23,117.084,117.503,115.8457,116.6743,3861552.0
2020-02-24,113.8904,115.8457,113.6017,114.4397,5399788.0
2020-02-25,115.8177,115.8177,110.3523,110.3523,6522646.0
2020-02-26,112.0096,112.1492,104.2443,105.492,12740485.0
2020-02-27,102.5125,104.7817,100.1196,100.2034,8830090.0
2020-02-28,96.8981,99.7844,95.8366,99.2258,9987816.0
2020-02-29,96.8981,99.7844,95.8366,99.2258,9987816.0
2020-03-01,96.8981,99.7844,95.8366,99.2258,9987816.0
2020-03-02,99.8124,103.5181,97.8478,103.3877,8793951.0
2020-03-03,103.6391,105.2406,99.7658,101.0786,8337606.0
2020-03-04,103.0805,105.7248,102.0097,105.4827,5207114.0
2020-03-05,102.6801,103.5694,99.5144,100.1103,6619108.0
2020-03-06,96.7863,98.7416,95.1309,98.0526,7887195.0
2020-03-07,96.7863,98.7416,95.1309,98.0526,7887195.0
2020-03-08,96.7863,98.7416,95.1309,98.0526,7887195.0
2020-03-09,91.0788,92.941,86.7307,87.7269,8188181.0
2020-03-10,91.4791,96.9632,88.4997,96.8515,9289533.0
2020-03-11,93.4158,96.1904,91.022,92.3171,6206639.0
2020-03-12,84.9243,88.36,82.969,83.7232,9903372.0
2020-03-13,87.2055,89.9056,82.2893,89.8404,10007076.0
2020-03-14,87.2055,89.9056,82.2893,89.8404,10007076.0
2020-03-15,87.2055,89.9056,82.2893,89.8404,10007076.0
2020-03-16,79.6544,81.5631,66.2747,67.5875,14770819.0
2020-03-17,68.4813,70.4087,59.8222,68.7048,15323893.0
