,CIR US Equity,CIR US Equity,CIR US Equity,CIR US Equity,CIR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,46.01,46.79,46.01,46.24,139718.0
2020-01-02,46.35,46.59,45.84,46.59,159961.0
2020-01-03,45.8,46.3,45.1514,46.15,105849.0
2020-01-04,45.8,46.3,45.1514,46.15,105849.0
2020-01-05,45.8,46.3,45.1514,46.15,105849.0
2020-01-06,45.66,45.8,44.98,45.43,71883.0
2020-01-07,45.07,45.58,44.59,44.63,64500.0
2020-01-08,44.58,44.845,44.0,44.17,80091.0
2020-01-09,44.4,44.65,43.9801,44.27,63522.0
2020-01-10,44.23,44.23,43.02,43.26,84713.0
2020-01-11,44.23,44.23,43.02,43.26,84713.0
2020-01-12,44.23,44.23,43.02,43.26,84713.0
2020-01-13,43.55,44.89,43.44,44.82,82636.0
2020-01-14,44.47,44.83,43.72,43.95,94555.0
2020-01-15,43.82,44.33,43.14,43.93,130239.0
2020-01-16,44.05,45.48,43.63,44.82,120293.0
2020-01-17,45.05,45.175,44.32,44.69,65629.0
2020-01-18,45.05,45.175,44.32,44.69,65629.0
2020-01-19,45.05,45.175,44.32,44.69,65629.0
2020-01-20,45.05,45.175,44.32,44.69,65629.0
2020-01-21,44.41,44.67,43.68,44.2,145806.0
2020-01-22,44.2,44.96,43.84,44.76,72889.0
2020-01-23,44.57,44.93,43.62,44.89,117600.0
2020-01-24,44.73,45.12,44.19,44.33,73428.0
2020-01-25,44.73,45.12,44.19,44.33,73428.0
2020-01-26,44.73,45.12,44.19,44.33,73428.0
2020-01-27,43.38,43.98,43.13,43.42,72797.0
2020-01-28,43.69,44.09,43.29,43.92,43027.0
2020-01-29,44.1,44.33,43.32,43.44,49297.0
2020-01-30,42.99,43.51,42.18,43.48,83449.0
2020-01-31,43.14,43.39,41.4,41.53,69345.0
2020-02-01,43.14,43.39,41.4,41.53,69345.0
2020-02-02,43.14,43.39,41.4,41.53,69345.0
2020-02-03,41.84,42.97,41.84,42.08,81365.0
2020-02-04,42.83,43.49,42.81,43.01,59903.0
2020-02-05,43.54,44.29,42.99,44.25,76713.0
2020-02-06,44.52,44.57,43.11,43.94,99611.0
2020-02-07,43.57,44.155,42.98,43.74,72188.0
2020-02-08,43.57,44.155,42.98,43.74,72188.0
2020-02-09,43.57,44.155,42.98,43.74,72188.0
2020-02-10,43.75,44.25,43.68,44.15,72611.0
2020-02-11,44.52,45.63,44.19,44.68,95772.0
2020-02-12,45.0,45.12,44.42,44.56,52112.0
2020-02-13,44.33,44.94,44.28,44.86,66514.0
2020-02-14,44.79,45.24,44.47,45.23,77913.0
2020-02-15,44.79,45.24,44.47,45.23,77913.0
2020-02-16,44.79,45.24,44.47,45.23,77913.0
2020-02-17,44.79,45.24,44.47,45.23,77913.0
2020-02-18,45.0,45.0,44.1,44.47,84808.0
2020-02-19,44.72,44.99,43.64,43.67,77263.0
2020-02-20,43.36,44.245,42.8763,42.96,49750.0
2020-02-21,42.86,44.52,42.44,43.86,139839.0
2020-02-22,42.86,44.52,42.44,43.86,139839.0
2020-02-23,42.86,44.52,42.44,43.86,139839.0
2020-02-24,41.87,42.16,40.25,40.9,67782.0
2020-02-25,41.0,41.78,38.95,39.08,115203.0
2020-02-26,39.48,39.76,38.22,38.38,78241.0
2020-02-27,36.66,38.66,36.5,36.87,102601.0
2020-02-28,35.04,36.6,35.04,35.98,169755.0
2020-02-29,35.04,36.6,35.04,35.98,169755.0
2020-03-01,35.04,36.6,35.04,35.98,169755.0
2020-03-02,36.89,38.28,34.51,37.73,121963.0
2020-03-03,37.92,38.52,36.12,36.83,154088.0
2020-03-04,37.54,37.54,35.495,37.02,92442.0
2020-03-05,35.76,36.48,35.51,36.19,115636.0
2020-03-06,34.51,35.0,32.51,32.91,82921.0
2020-03-07,34.51,35.0,32.51,32.91,82921.0
2020-03-08,34.51,35.0,32.51,32.91,82921.0
2020-03-09,30.75,30.75,27.8,28.19,92679.0
2020-03-10,28.96,29.0,26.19,27.32,91917.0
2020-03-11,26.43,26.79,25.08,25.44,75931.0
2020-03-12,23.5,23.5,20.085,20.13,103542.0
2020-03-13,21.67,21.67,19.375,20.72,104513.0
2020-03-14,21.67,21.67,19.375,20.72,104513.0
2020-03-15,21.67,21.67,19.375,20.72,104513.0
2020-03-16,17.4,19.3934,15.57,15.71,136949.0
2020-03-17,16.12,16.12,13.1,13.3,313240.0
2020-03-18,12.45,12.73,8.0,9.02,197539.0
2020-03-19,9.12,11.37,8.92,10.98,179876.0
2020-03-20,11.07,11.79,9.5,9.79,207452.0
2020-03-21,11.07,11.79,9.5,9.79,207452.0
2020-03-22,11.07,11.79,9.5,9.79,207452.0
2020-03-23,9.99,11.22,9.16,10.01,172412.0
2020-03-24,10.73,11.12,9.79,11.04,475794.0
2020-03-25,11.09,13.32,10.74,12.72,229480.0
2020-03-26,12.9,14.09,12.78,13.83,149053.0
2020-03-27,13.22,13.22,11.815,12.05,98298.0
2020-03-28,13.22,13.22,11.815,12.05,98298.0
2020-03-29,13.22,13.22,11.815,12.05,98298.0
2020-03-30,11.98,12.37,11.22,11.62,156298.0
2020-03-31,11.41,12.11,11.23,11.63,165794.0
2020-04-01,11.01,11.01,9.21,9.63,432477.0
2020-04-02,9.73,10.7499,9.72,10.41,153977.0
2020-04-03,10.3,10.42,8.76,9.27,185190.0
2020-04-04,10.3,10.42,8.76,9.27,185190.0
2020-04-05,10.3,10.42,8.76,9.27,185190.0
2020-04-06,9.59,10.94,9.59,10.7,164970.0
2020-04-07,11.13,11.77,10.53,10.72,183799.0
2020-04-08,11.15,11.45,10.68,11.39,151977.0
2020-04-09,11.93,12.9,11.74,12.08,169543.0
2020-04-10,11.93,12.9,11.74,12.08,169543.0
2020-04-11,11.93,12.9,11.74,12.08,169543.0
2020-04-12,11.93,12.9,11.74,12.08,169543.0
2020-04-13,11.98,13.1299,11.5,12.24,224302.0
2020-04-14,12.8,12.89,11.59,11.84,145046.0
2020-04-15,11.21,11.39,10.39,11.2,158459.0
2020-04-16,11.08,11.18,10.11,10.31,122088.0
2020-04-17,10.73,11.667,10.73,11.48,143581.0
2020-04-18,10.73,11.667,10.73,11.48,143581.0
2020-04-19,10.73,11.667,10.73,11.48,143581.0
2020-04-20,10.81,10.95,10.37,10.42,157859.0
2020-04-21,10.1,10.77,10.02,10.67,167918.0
2020-04-22,10.99,11.26,10.76,11.12,189352.0
2020-04-23,11.09,11.98,11.09,11.46,142520.0
2020-04-24,11.05,11.5301,10.87,10.94,156806.0
2020-04-25,11.05,11.5301,10.87,10.94,156806.0
2020-04-26,11.05,11.5301,10.87,10.94,156806.0
2020-04-27,11.25,11.64,10.78,11.12,183918.0
2020-04-28,11.55,13.1967,11.54,12.64,240238.0
2020-04-29,13.31,15.055,13.28,14.7,263858.0
2020-04-30,14.32,15.14,13.5844,14.93,213196.0
2020-05-01,14.42,14.42,12.1,12.59,216021.0
2020-05-02,14.42,14.42,12.1,12.59,216021.0
2020-05-03,14.42,14.42,12.1,12.59,216021.0
2020-05-04,12.13,12.89,11.32,11.54,181409.0
2020-05-05,11.85,12.06,11.32,11.39,176396.0
2020-05-06,11.29,11.73,10.735,10.96,99180.0
2020-05-07,11.19,12.02,11.18,11.86,152829.0
2020-05-08,12.1,12.31,11.77,11.97,231815.0
2020-05-09,12.1,12.31,11.77,11.97,231815.0
2020-05-10,12.1,12.31,11.77,11.97,231815.0
2020-05-11,11.82,11.82,10.39,11.62,212097.0
2020-05-12,11.6,12.01,11.465,11.59,236293.0
2020-05-13,11.37,11.37,9.765,10.04,226169.0
2020-05-14,9.71,10.97,9.31,10.71,216328.0
2020-05-15,10.72,11.06,10.29,10.68,196739.0
2020-05-16,10.72,11.06,10.29,10.68,196739.0
2020-05-17,10.72,11.06,10.29,10.68,196739.0
2020-05-18,11.3,12.05,11.22,11.91,528409.0
2020-05-19,11.8,12.03,11.1,11.51,283175.0
2020-05-20,11.79,12.47,11.42,12.0,1289636.0
2020-05-21,11.95,13.5599,11.95,13.12,564388.0
2020-05-22,13.24,13.31,12.2,13.29,218541.0
2020-05-23,13.24,13.31,12.2,13.29,218541.0
2020-05-24,13.24,13.31,12.2,13.29,218541.0
2020-05-25,13.24,13.31,12.2,13.29,218541.0
2020-05-26,14.0,16.5599,13.99,16.39,783462.0
2020-05-27,16.6,16.93,14.9977,15.61,685770.0
2020-05-28,16.19,16.33,15.15,15.95,486115.0
2020-05-29,14.46,16.745,14.0,16.08,625945.0
2020-05-30,14.46,16.745,14.0,16.08,625945.0
2020-05-31,14.46,16.745,14.0,16.08,625945.0
2020-06-01,16.43,21.9,16.3101,20.93,1262203.0
2020-06-02,21.97,24.44,19.21,19.41,890524.0
2020-06-03,20.08,21.03,18.95,19.16,399682.0
2020-06-04,19.04,20.95,18.65,20.37,481071.0
2020-06-05,21.62,24.67,21.4304,23.06,592592.0
2020-06-06,21.62,24.67,21.4304,23.06,592592.0
2020-06-07,21.62,24.67,21.4304,23.06,592592.0
2020-06-08,24.2,26.98,24.07,26.24,414824.0
2020-06-09,26.08,26.53,22.71,24.11,392946.0
2020-06-10,24.13,24.41,21.6994,22.64,338075.0
2020-06-11,20.75,21.56,18.65,19.82,517684.0
2020-06-12,21.39,22.23,19.94,21.22,303862.0
2020-06-13,21.39,22.23,19.94,21.22,303862.0
2020-06-14,21.39,22.23,19.94,21.22,303862.0
2020-06-15,20.3,23.07,19.92,22.59,234521.0
2020-06-16,24.02,24.96,22.62,24.19,464925.0
2020-06-17,23.98,23.98,21.77,22.89,451858.0
2020-06-18,22.49,23.27,21.9,22.32,308665.0
2020-06-19,22.8,23.82,22.23,23.36,530032.0
2020-06-20,22.8,23.82,22.23,23.36,530032.0
2020-06-21,22.8,23.82,22.23,23.36,530032.0
2020-06-22,22.51,23.0237,20.97,21.98,358608.0
2020-06-23,22.39,22.78,21.69,22.05,303800.0
2020-06-24,21.45,21.65,19.4805,20.13,234534.0
2020-06-25,20.36,21.48,20.113,21.26,183352.0
2020-06-26,21.0,23.59,20.45,23.05,718641.0
2020-06-27,21.0,23.59,20.45,23.05,718641.0
2020-06-28,21.0,23.59,20.45,23.05,718641.0
2020-06-29,23.25,24.52,23.15,24.43,472649.0
2020-06-30,24.29,25.61,23.69,25.48,237210.0
2020-07-01,25.4,26.2373,24.22,24.5,236419.0
2020-07-02,25.21,26.07,24.28,24.99,199388.0
2020-07-03,25.21,26.07,24.28,24.99,199388.0
2020-07-04,25.21,26.07,24.28,24.99,199388.0
2020-07-05,25.21,26.07,24.28,24.99,199388.0
2020-07-06,25.8,25.8,24.04,24.66,145464.0
2020-07-07,24.16,24.69,23.855,24.31,182044.0
2020-07-08,24.06,25.08,23.27,23.81,206603.0
2020-07-09,23.79,23.99,22.42,22.99,246556.0
2020-07-10,23.14,24.0865,22.6,23.72,155632.0
2020-07-11,23.14,24.0865,22.6,23.72,155632.0
2020-07-12,23.14,24.0865,22.6,23.72,155632.0
2020-07-13,23.99,25.18,23.33,24.37,178179.0
2020-07-14,24.6,25.65,24.23,25.6,127320.0
2020-07-15,26.71,28.11,26.24,27.92,266719.0
2020-07-16,27.89,29.12,27.3,28.04,203237.0
2020-07-17,28.1,28.77,27.5,27.79,135997.0
2020-07-18,28.1,28.77,27.5,27.79,135997.0
2020-07-19,28.1,28.77,27.5,27.79,135997.0
2020-07-20,27.73,28.32,26.49,27.46,183962.0
2020-07-21,28.0,28.64,27.64,28.27,153617.0
2020-07-22,28.12,28.59,27.89,28.31,94223.0
2020-07-23,28.24,29.19,28.19,28.8,124665.0
2020-07-24,28.56,28.635,27.71,27.93,97632.0
2020-07-25,28.56,28.635,27.71,27.93,97632.0
2020-07-26,28.56,28.635,27.71,27.93,97632.0
2020-07-27,28.0,28.391,27.37,28.1,120585.0
2020-07-28,27.85,28.5388,27.57,27.85,122918.0
2020-07-29,27.92,28.61,27.78,28.55,136878.0
2020-07-30,27.81,28.35,27.4,28.17,142420.0
2020-07-31,27.88,28.05,25.74,26.22,253126.0
2020-08-01,27.88,28.05,25.74,26.22,253126.0
2020-08-02,27.88,28.05,25.74,26.22,253126.0
2020-08-03,26.23,28.04,25.54,28.0,240213.0
2020-08-04,27.89,29.0,27.86,28.92,199402.0
2020-08-05,29.36,30.57,29.08,30.33,172508.0
2020-08-06,30.11,30.9,29.65,30.18,147419.0
2020-08-07,30.21,32.68,27.81,32.3,299870.0
2020-08-08,30.21,32.68,27.81,32.3,299870.0
2020-08-09,30.21,32.68,27.81,32.3,299870.0
2020-08-10,32.26,32.61,29.0,31.05,270683.0
2020-08-11,31.64,32.61,30.44,30.61,138877.0
2020-08-12,31.0,31.7,30.53,30.78,121439.0
2020-08-13,30.37,30.96,29.91,30.38,76123.0
2020-08-14,29.94,31.06,29.63,30.82,113712.0
2020-08-15,29.94,31.06,29.63,30.82,113712.0
2020-08-16,29.94,31.06,29.63,30.82,113712.0
2020-08-17,30.93,31.15,29.97,30.3,216655.0
2020-08-18,30.23,30.23,29.07,29.13,197756.0
2020-08-19,29.2,29.86,28.81,28.9,90824.0
2020-08-20,28.35,28.9,28.17,28.46,105911.0
2020-08-21,28.18,28.65,27.66,27.86,138257.0
2020-08-22,28.18,28.65,27.66,27.86,138257.0
2020-08-23,28.18,28.65,27.66,27.86,138257.0
2020-08-24,28.26,29.12,27.76,28.98,124657.0
2020-08-25,29.35,29.4499,28.39,28.93,57121.0
2020-08-26,28.93,29.11,28.51,28.95,101043.0
2020-08-27,29.24,30.03,29.05,29.81,98426.0
2020-08-28,30.12,30.54,29.45,30.31,62768.0
2020-08-29,30.12,30.54,29.45,30.31,62768.0
2020-08-30,30.12,30.54,29.45,30.31,62768.0
2020-08-31,30.06,30.06,28.89,29.65,112754.0
2020-09-01,29.27,30.06,28.84,30.04,60643.0
2020-09-02,30.06,30.37,29.46,30.06,98913.0
2020-09-03,30.03,30.17,28.44,28.55,71281.0
2020-09-04,29.15,29.52,28.22,29.07,93772.0
2020-09-05,29.15,29.52,28.22,29.07,93772.0
2020-09-06,29.15,29.52,28.22,29.07,93772.0
2020-09-07,29.15,29.52,28.22,29.07,93772.0
2020-09-08,28.67,28.67,27.32,27.37,77436.0
2020-09-09,27.65,27.95,27.09,27.66,123810.0
2020-09-10,27.94,28.13,27.29,27.39,127600.0
2020-09-11,27.43,27.68,26.89,26.99,90082.0
2020-09-12,27.43,27.68,26.89,26.99,90082.0
2020-09-13,27.43,27.68,26.89,26.99,90082.0
2020-09-14,27.35,27.76,26.57,27.15,71868.0
2020-09-15,27.42,28.01,26.58,26.77,48321.0
2020-09-16,26.68,27.875,26.52,27.29,152208.0
2020-09-17,26.74,27.64,26.525,27.29,190310.0
2020-09-18,27.7,28.82,27.12,27.75,275937.0
2020-09-19,27.7,28.82,27.12,27.75,275937.0
2020-09-20,27.7,28.82,27.12,27.75,275937.0
2020-09-21,26.71,26.86,24.75,25.3,181473.0
2020-09-22,25.23,26.46,25.18,26.34,95811.0
2020-09-23,26.32,27.23,25.13,25.45,168284.0
2020-09-24,25.49,26.38,25.053,26.23,90132.0
2020-09-25,25.99,27.04,25.99,26.65,70722.0
2020-09-26,25.99,27.04,25.99,26.65,70722.0
2020-09-27,25.99,27.04,25.99,26.65,70722.0
2020-09-28,27.16,28.89,27.08,27.64,97415.0
2020-09-29,27.75,28.0,27.24,27.71,62758.0
2020-09-30,28.0,28.68,27.22,27.35,123551.0
2020-10-01,27.26,27.93,26.95,27.6,87241.0
2020-10-02,26.8,28.55,26.8,28.12,184031.0
2020-10-03,26.8,28.55,26.8,28.12,184031.0
2020-10-04,26.8,28.55,26.8,28.12,184031.0
2020-10-05,28.59,29.1936,28.02,28.19,52476.0
2020-10-06,28.65,28.98,27.81,27.86,102091.0
2020-10-07,28.41,29.505,28.23,29.18,107286.0
2020-10-08,29.69,29.76,28.84,29.46,145165.0
2020-10-09,29.95,30.17,29.1605,29.64,86402.0
2020-10-10,29.95,30.17,29.1605,29.64,86402.0
2020-10-11,29.95,30.17,29.1605,29.64,86402.0
2020-10-12,29.64,30.04,29.23,29.86,45064.0
2020-10-13,29.49,29.98,29.1,29.62,54120.0
2020-10-14,29.62,30.64,29.51,29.83,55552.0
2020-10-15,29.16,30.32,28.68,30.24,91922.0
2020-10-16,30.15,30.68,29.58,29.64,76350.0
2020-10-17,30.15,30.68,29.58,29.64,76350.0
2020-10-18,30.15,30.68,29.58,29.64,76350.0
2020-10-19,29.83,30.34,29.0,29.26,97923.0
2020-10-20,29.64,30.58,29.36,30.1,103862.0
2020-10-21,30.11,30.57,29.14,29.18,52023.0
2020-10-22,29.41,30.07,29.07,29.86,69118.0
2020-10-23,30.23,30.44,29.49,29.9,75363.0
2020-10-24,30.23,30.44,29.49,29.9,75363.0
2020-10-25,30.23,30.44,29.49,29.9,75363.0
2020-10-26,29.42,29.69,28.195,29.1,62831.0
2020-10-27,28.87,28.87,28.05,28.14,64164.0
2020-10-28,27.32,27.96,26.75,27.0,128027.0
2020-10-29,26.8,27.63,26.54,27.0,98331.0
2020-10-30,26.74,28.48,26.6,27.9,101317.0
2020-10-31,26.74,28.48,26.6,27.9,101317.0
2020-11-01,26.74,28.48,26.6,27.9,101317.0
2020-11-02,28.39,29.28,27.3501,28.78,91722.0
2020-11-03,29.0,29.91,28.89,29.41,125410.0
2020-11-04,28.51,29.41,27.61,28.2,111679.0
2020-11-05,27.75,28.44,26.8,28.13,197200.0
2020-11-06,28.3,29.17,27.37,28.5,155408.0
2020-11-07,28.3,29.17,27.37,28.5,155408.0
2020-11-08,28.3,29.17,27.37,28.5,155408.0
