,CIR US Equity,CIR US Equity,CIR US Equity,CIR US Equity,CIR US Equity
2020-11-09,30.37,35.09,30.19,34.06,155553.0
2020-11-10,34.23,35.8,33.02,35.28,122978.0
2020-11-11,35.56,35.56,33.09,33.92,133753.0
2020-11-12,33.4,33.76,32.67,32.88,108403.0
2020-11-13,33.31,34.59,32.97,33.44,65688.0
2020-11-14,33.31,34.59,32.97,33.44,65688.0
2020-11-15,33.31,34.59,32.97,33.44,65688.0
2020-11-16,34.64,35.66,34.065,34.87,92469.0
2020-11-17,34.37,34.83,33.41,34.68,81817.0
2020-11-18,35.77,36.0,35.02,35.37,93387.0
2020-11-19,35.21,36.54,34.81,36.37,80065.0
2020-11-20,35.91,36.59,35.56,35.65,88459.0
2020-11-21,35.91,36.59,35.56,35.65,88459.0
2020-11-22,35.91,36.59,35.56,35.65,88459.0
2020-11-23,36.16,37.05,36.13,36.54,120773.0
2020-11-24,37.5,38.685,36.85,38.52,119197.0
2020-11-25,38.31,38.31,36.73,36.86,66951.0
2020-11-26,38.31,38.31,36.73,36.86,66951.0
2020-11-27,36.34,36.84,35.81,36.21,27532.0
2020-11-28,36.34,36.84,35.81,36.21,27532.0
2020-11-29,36.34,36.84,35.81,36.21,27532.0
2020-11-30,36.04,36.38,33.01,33.07,393694.0
2020-12-01,33.69,34.7,33.07,34.17,129448.0
2020-12-02,34.0,35.15,33.8,34.93,114778.0
2020-12-03,35.15,36.43,34.0,35.97,138746.0
2020-12-04,36.3,38.25,35.85,38.06,89957.0
2020-12-05,36.3,38.25,35.85,38.06,89957.0
2020-12-06,36.3,38.25,35.85,38.06,89957.0
2020-12-07,37.88,38.11,36.52,37.66,91967.0
2020-12-08,37.14,37.99,36.5,36.87,144033.0
2020-12-09,37.14,37.62,36.59,37.04,59520.0
2020-12-10,36.74,37.34,36.39,37.17,51871.0
2020-12-11,36.55,37.21,35.9,36.4,54681.0
2020-12-12,36.55,37.21,35.9,36.4,54681.0
2020-12-13,36.55,37.21,35.9,36.4,54681.0
2020-12-14,37.22,37.4,35.39,36.29,103537.0
2020-12-15,36.87,38.0,36.25,37.43,122671.0
2020-12-16,37.65,37.99,36.75,36.91,68346.0
2020-12-17,37.38,37.86,36.41,37.78,86130.0
2020-12-18,37.84,39.29,36.86,37.13,490479.0
2020-12-19,37.84,39.29,36.86,37.13,490479.0
2020-12-20,37.84,39.29,36.86,37.13,490479.0
2020-12-21,36.26,36.26,34.71,35.81,93734.0
2020-12-22,35.61,35.66,34.29,34.88,59731.0
2020-12-23,35.35,36.82,35.35,36.51,69338.0
2020-12-24,36.42,37.44,36.11,36.95,17213.0
2020-12-25,36.42,37.44,36.11,36.95,17213.0
2020-12-26,36.42,37.44,36.11,36.95,17213.0
2020-12-27,36.42,37.44,36.11,36.95,17213.0
2020-12-28,37.3,38.27,37.05,37.37,75172.0
2020-12-29,37.8,37.8,36.64,37.33,63798.0
2020-12-30,37.48,38.69,37.2,38.26,88591.0
2020-12-31,38.26,39.33,38.08,38.44,101307.0
2021-01-01,38.26,39.33,38.08,38.44,101307.0
2021-01-02,38.26,39.33,38.08,38.44,101307.0
2021-01-03,38.26,39.33,38.08,38.44,101307.0
2021-01-04,38.87,38.87,35.02,35.3,129267.0
2021-01-05,35.74,36.98,35.74,36.38,106000.0
2021-01-06,37.44,39.27,37.2,38.73,205505.0
2021-01-07,38.67,39.34,37.87,39.27,77372.0
2021-01-08,39.3,39.46,36.87,38.09,49884.0
2021-01-09,39.3,39.46,36.87,38.09,49884.0
2021-01-10,39.3,39.46,36.87,38.09,49884.0
2021-01-11,37.37,38.0,36.9,37.86,42791.0
2021-01-12,37.9,39.88,37.9,39.3,52738.0
2021-01-13,39.15,39.21,38.2,38.36,50166.0
2021-01-14,38.61,39.58,38.55,39.21,73765.0
2021-01-15,38.42,39.055,37.395,38.2,73263.0
2021-01-16,38.42,39.055,37.395,38.2,73263.0
2021-01-17,38.42,39.055,37.395,38.2,73263.0
2021-01-18,38.42,39.055,37.395,38.2,73263.0
2021-01-19,38.9,38.9,37.82,38.15,64071.0
2021-01-20,38.5,39.54,37.63,38.51,86488.0
2021-01-21,38.34,38.34,36.24,36.24,107920.0
2021-01-22,35.66,36.34,34.99,36.23,101339.0
2021-01-23,35.66,36.34,34.99,36.23,101339.0
2021-01-24,35.66,36.34,34.99,36.23,101339.0
2021-01-25,35.59,36.02,34.685,35.69,47489.0
2021-01-26,36.22,36.24,34.92,35.01,36737.0
2021-01-27,33.95,34.4,32.82,33.13,76895.0
2021-01-28,33.85,34.25,32.85,33.3,75537.0
2021-01-29,33.38,33.5,31.91,31.97,64028.0
2021-01-30,33.38,33.5,31.91,31.97,64028.0
2021-01-31,33.38,33.5,31.91,31.97,64028.0
2021-02-01,32.34,32.725,31.835,32.43,73600.0
2021-02-02,33.36,33.36,32.78,32.95,77767.0
2021-02-03,32.9,33.61,32.5681,32.69,74688.0
2021-02-04,32.83,33.365,32.68,33.27,240993.0
2021-02-05,33.78,34.66,33.68,34.04,150920.0
2021-02-06,33.78,34.66,33.68,34.04,150920.0
2021-02-07,33.78,34.66,33.68,34.04,150920.0
2021-02-08,34.5,35.81,34.0,34.74,260266.0
2021-02-09,34.7,34.8444,33.72,34.52,185215.0
2021-02-10,34.73,34.73,33.29,33.46,182630.0
2021-02-11,33.62,34.05,32.38,33.31,163057.0
2021-02-12,33.11,34.47,33.06,33.45,117924.0
2021-02-13,33.11,34.47,33.06,33.45,117924.0
2021-02-14,33.11,34.47,33.06,33.45,117924.0
2021-02-15,33.11,34.47,33.06,33.45,117924.0
2021-02-16,34.81,34.81,33.99,34.41,315563.0
2021-02-17,34.0,34.47,33.48,33.97,131816.0
2021-02-18,33.63,34.31,32.72,32.75,134524.0
2021-02-19,33.24,35.85,32.905,34.85,358436.0
2021-02-20,33.24,35.85,32.905,34.85,358436.0
2021-02-21,33.24,35.85,32.905,34.85,358436.0
2021-02-22,34.06,36.23,34.06,35.35,438636.0
2021-02-23,35.07,35.58,33.535,34.25,156038.0
2021-02-24,34.69,37.8,34.69,37.78,162770.0
2021-02-25,38.0,38.05,35.8,35.92,80851.0
2021-02-26,36.1,37.33,34.95,35.61,162306.0
2021-02-27,36.1,37.33,34.95,35.61,162306.0
2021-02-28,36.1,37.33,34.95,35.61,162306.0
2021-03-01,37.04,39.695,36.49,39.36,162627.0
2021-03-02,39.27,39.78,38.765,39.14,116414.0
2021-03-03,39.15,40.5,37.79,37.9,264795.0
2021-03-04,38.75,40.0,34.225,35.08,151468.0
2021-03-05,35.68,35.9,33.16,35.08,149777.0
2021-03-06,35.68,35.9,33.16,35.08,149777.0
2021-03-07,35.68,35.9,33.16,35.08,149777.0
2021-03-08,35.51,38.8,35.33,37.6,179202.0
2021-03-09,38.16,38.8,37.17,38.03,143588.0
2021-03-10,38.37,40.0,37.2669,39.25,206299.0
2021-03-11,39.51,39.84,38.0,38.36,166433.0
2021-03-12,38.59,40.84,38.59,40.83,123211.0
2021-03-13,38.59,40.84,38.59,40.83,123211.0
2021-03-14,38.59,40.84,38.59,40.83,123211.0
2021-03-15,41.27,43.2,41.27,42.05,156290.0
2021-03-16,42.04,42.28,39.01,39.82,160444.0
2021-03-17,39.82,40.395,38.56,39.53,124665.0
2021-03-18,39.22,40.43,36.6,37.09,110915.0
2021-03-19,37.01,37.045,35.2,35.23,298066.0
2021-03-20,37.01,37.045,35.2,35.23,298066.0
2021-03-21,37.01,37.045,35.2,35.23,298066.0
2021-03-22,35.05,35.255,33.5,34.06,100949.0
2021-03-23,33.5,33.805,32.43,33.31,170563.0
2021-03-24,34.17,35.385,32.75,32.93,147311.0
2021-03-25,32.52,33.29,31.87,32.68,166565.0
2021-03-26,33.51,33.89,32.59,33.81,121850.0
2021-03-27,33.51,33.89,32.59,33.81,121850.0
2021-03-28,33.51,33.89,32.59,33.81,121850.0
2021-03-29,33.69,34.2029,31.97,32.66,157793.0
2021-03-30,32.96,34.69,32.51,34.58,72155.0
2021-03-31,34.95,35.36,34.39,34.82,200826.0
2021-04-01,35.17,36.12,34.79,35.37,120027.0
2021-04-02,35.17,36.12,34.79,35.37,120027.0
2021-04-03,35.17,36.12,34.79,35.37,120027.0
2021-04-04,35.17,36.12,34.79,35.37,120027.0
2021-04-05,36.02,36.39,35.35,35.92,78280.0
2021-04-06,36.17,36.75,35.2,35.21,64821.0
2021-04-07,35.2,35.2,33.03,33.14,88961.0
2021-04-08,33.42,34.22,32.705,34.22,100044.0
2021-04-09,34.14,34.75,33.89,34.33,81453.0
2021-04-10,34.14,34.75,33.89,34.33,81453.0
2021-04-11,34.14,34.75,33.89,34.33,81453.0
2021-04-12,34.3,34.69,33.59,34.6,69433.0
2021-04-13,34.42,34.42,32.87,33.03,101124.0
2021-04-14,33.14,34.39,33.14,33.68,47035.0
2021-04-15,34.34,34.34,32.81,33.38,40324.0
2021-04-16,33.88,34.595,33.0,34.42,87778.0
2021-04-17,33.88,34.595,33.0,34.42,87778.0
2021-04-18,33.88,34.595,33.0,34.42,87778.0
2021-04-19,34.25,34.25,32.91,33.8,68318.0
2021-04-20,33.52,33.88,31.88,33.1,87863.0
2021-04-21,33.1,34.47,32.91,34.15,30419.0
2021-04-22,34.3,34.92,33.6,33.63,54416.0
2021-04-23,33.75,34.63,33.675,33.79,48820.0
2021-04-24,33.75,34.63,33.675,33.79,48820.0
2021-04-25,33.75,34.63,33.675,33.79,48820.0
2021-04-26,34.25,34.91,33.42,34.51,60621.0
2021-04-27,34.48,34.83,33.53,33.92,61956.0
2021-04-28,33.78,34.8,33.78,34.06,48968.0
2021-04-29,34.53,34.71,33.25,34.26,82297.0
2021-04-30,34.06,34.63,33.9,34.37,117143.0
2021-05-01,34.06,34.63,33.9,34.37,117143.0
2021-05-02,34.06,34.63,33.9,34.37,117143.0
2021-05-03,34.96,34.96,34.06,34.55,97829.0
2021-05-04,34.12,35.75,33.6,35.65,89021.0
2021-05-05,35.88,36.35,34.84,36.01,78713.0
2021-05-06,36.0,36.93,35.08,36.85,100869.0
2021-05-07,36.51,37.66,36.02,37.35,64168.0
2021-05-08,36.51,37.66,36.02,37.35,64168.0
