,HONE US Equity,HONE US Equity,HONE US Equity,HONE US Equity,HONE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,10.1107,10.1838,10.0738,10.1384,260903.0
2020-01-02,10.1476,10.1476,10.0262,10.1338,194002.0
2020-01-03,10.0554,10.1569,10.0554,10.1292,197859.0
2020-01-04,10.0554,10.1569,10.0554,10.1292,197859.0
2020-01-05,10.0554,10.1569,10.0554,10.1292,197859.0
2020-01-06,10.1015,10.1845,10.0369,10.1338,315332.0
2020-01-07,10.1384,10.1384,10.0554,10.0877,149867.0
2020-01-08,10.0831,10.1661,10.0831,10.12,175461.0
2020-01-09,10.12,10.1938,10.12,10.143,297534.0
2020-01-10,10.1384,10.1753,10.1061,10.1476,244170.0
2020-01-11,10.1384,10.1753,10.1061,10.1476,244170.0
2020-01-12,10.1384,10.1753,10.1061,10.1476,244170.0
2020-01-13,10.1384,10.203,10.1292,10.1938,217791.0
2020-01-14,10.1845,10.203,10.1384,10.1753,189319.0
2020-01-15,10.1661,10.2122,10.12,10.1845,270369.0
2020-01-16,10.2122,10.286,10.203,10.2307,200549.0
2020-01-17,10.3229,10.3229,10.1384,10.1569,173886.0
2020-01-18,10.3229,10.3229,10.1384,10.1569,173886.0
2020-01-19,10.3229,10.3229,10.1384,10.1569,173886.0
2020-01-20,10.3229,10.3229,10.1384,10.1569,173886.0
2020-01-21,10.1661,10.1938,10.0738,10.1107,187340.0
2020-01-22,10.1292,10.2307,10.0729,10.203,252297.0
2020-01-23,10.1938,10.3229,10.1661,10.2583,196737.0
2020-01-24,10.2676,10.3045,10.1661,10.2122,120599.0
2020-01-25,10.2676,10.3045,10.1661,10.2122,120599.0
2020-01-26,10.2676,10.3045,10.1661,10.2122,120599.0
2020-01-27,10.1569,10.2399,10.1476,10.203,229902.0
2020-01-28,10.2491,10.2583,10.1569,10.1753,218403.0
2020-01-29,10.1753,10.2399,10.1569,10.2307,270444.0
2020-01-30,10.1938,10.1947,10.0738,10.1845,334851.0
2020-01-31,10.1384,10.1928,10.0554,10.0646,232609.0
2020-02-01,10.1384,10.1928,10.0554,10.0646,232609.0
2020-02-02,10.1384,10.1928,10.0554,10.0646,232609.0
2020-02-03,10.0831,10.1292,10.0093,10.0462,213318.0
2020-02-04,10.0738,10.1384,10.0093,10.1153,413181.0
2020-02-05,10.1661,10.1938,10.12,10.1938,301953.0
2020-02-06,10.2214,10.2676,10.1107,10.1384,158204.0
2020-02-07,10.1292,10.1476,10.0738,10.12,405416.0
2020-02-08,10.1292,10.1476,10.0738,10.12,405416.0
2020-02-09,10.1292,10.1476,10.0738,10.12,405416.0
2020-02-10,10.1246,10.2214,10.1015,10.2122,214312.0
2020-02-11,10.2214,10.3321,10.1845,10.1845,174095.0
2020-02-12,10.1845,10.2307,10.1476,10.203,101043.0
2020-02-13,10.1938,10.286,10.1845,10.2399,144171.0
2020-02-14,10.2399,10.286,10.1569,10.2307,158829.0
2020-02-15,10.2399,10.286,10.1569,10.2307,158829.0
2020-02-16,10.2399,10.286,10.1569,10.2307,158829.0
2020-02-17,10.2399,10.286,10.1569,10.2307,158829.0
2020-02-18,10.2399,10.2583,10.1845,10.203,147793.0
2020-02-19,10.2122,10.2307,10.1845,10.1845,302021.0
2020-02-20,10.1845,10.2214,10.1292,10.2122,140342.0
2020-02-21,10.2214,10.2491,10.1707,10.2122,188728.0
2020-02-22,10.2214,10.2491,10.1707,10.2122,188728.0
2020-02-23,10.2214,10.2491,10.1707,10.2122,188728.0
2020-02-24,10.1015,10.1172,9.9816,10.0093,200094.0
2020-02-25,10.0185,10.1107,9.7417,9.8617,226301.0
2020-02-26,9.8801,9.9816,9.7233,9.7417,219222.0
2020-02-27,9.6587,9.6864,9.4096,9.4096,579741.0
2020-02-28,9.3266,9.3266,9.179,9.2205,681019.0
2020-02-29,9.3266,9.3266,9.179,9.2205,681019.0
2020-03-01,9.3266,9.3266,9.179,9.2205,681019.0
2020-03-02,9.2344,9.4189,9.1698,9.3727,716660.0
2020-03-03,9.3635,9.4927,9.1882,9.2113,245498.0
