,HONE US Equity,HONE US Equity,HONE US Equity,HONE US Equity,HONE US Equity
2020-03-04,9.2251,9.3635,9.1329,9.3635,341464.0
2020-03-05,9.2251,9.262,9.1144,9.1974,799402.0
2020-03-06,9.0222,9.1236,8.8515,9.0498,503708.0
2020-03-07,9.0222,9.1236,8.8515,9.0498,503708.0
2020-03-08,9.0222,9.1236,8.8515,9.0498,503708.0
2020-03-09,8.5425,8.81,8.0904,8.2104,606224.0
2020-03-10,8.4133,8.7731,8.3764,8.6716,965789.0
2020-03-11,8.5056,8.5425,8.1273,8.2565,495362.0
2020-03-12,7.9336,7.9613,7.4355,7.5831,849497.0
2020-03-13,7.9244,8.2749,7.6661,7.7952,707696.0
2020-03-14,7.9244,8.2749,7.6661,7.7952,707696.0
2020-03-15,7.9244,8.2749,7.6661,7.7952,707696.0
2020-03-16,7.1864,7.5554,7.1495,7.2233,538168.0
2020-03-17,7.2417,7.703,7.214,7.3616,633340.0
2020-03-18,7.0572,7.1495,6.5498,6.596,498750.0
2020-03-19,6.5037,7.1818,6.4668,7.1218,473905.0
2020-03-20,7.1402,7.2048,6.596,6.6144,478001.0
2020-03-21,7.1402,7.2048,6.596,6.6144,478001.0
2020-03-22,7.1402,7.2048,6.596,6.6144,478001.0
2020-03-23,6.4576,6.5452,5.9502,6.0517,967447.0
2020-03-24,6.2546,6.5591,6.2546,6.4668,626543.0
2020-03-25,6.5498,6.6421,6.31,6.4853,649511.0
2020-03-26,6.476,7.3063,6.476,7.2509,443194.0
2020-03-27,7.0295,7.2233,6.8358,6.8635,230421.0
2020-03-28,7.0295,7.2233,6.8358,6.8635,230421.0
2020-03-29,7.0295,7.2233,6.8358,6.8635,230421.0
2020-03-30,6.8819,7.1495,6.8266,7.0941,477030.0
2020-03-31,7.0019,7.1126,6.8635,6.9465,449388.0
2020-04-01,6.7528,6.8727,6.5775,6.7343,301623.0
2020-04-02,6.7343,6.9096,6.6974,6.8635,208365.0
2020-04-03,6.8819,6.8819,6.476,6.596,244299.0
2020-04-04,6.8819,6.8819,6.476,6.596,244299.0
2020-04-05,6.8819,6.8819,6.476,6.596,244299.0
2020-04-06,6.7528,6.8819,6.6712,6.8081,204004.0
2020-04-07,7.0111,7.2048,6.6652,6.7805,219452.0
2020-04-08,6.845,7.1679,6.7897,7.131,256219.0
2020-04-09,7.334,7.6015,7.3017,7.5,278250.0
2020-04-10,7.334,7.6015,7.3017,7.5,278250.0
2020-04-11,7.334,7.6015,7.3017,7.5,278250.0
2020-04-12,7.334,7.6015,7.3017,7.5,278250.0
2020-04-13,7.5738,7.5738,7.0388,7.131,184687.0
2020-04-14,7.2602,7.3432,6.845,6.965,163307.0
2020-04-15,6.7436,6.9465,6.5775,6.5775,180254.0
2020-04-16,6.5498,6.6236,6.4161,6.6052,242142.0
2020-04-17,6.7712,6.9281,6.7436,6.8081,152305.0
2020-04-18,6.7712,6.9281,6.7436,6.8081,152305.0
2020-04-19,6.7712,6.9281,6.7436,6.8081,152305.0
2020-04-20,6.6698,6.8358,6.5591,6.6236,114553.0
2020-04-21,6.4576,6.6882,6.4576,6.6052,146658.0
2020-04-22,6.7251,6.8266,6.596,6.6605,108295.0
2020-04-23,6.6882,6.9834,6.6882,6.8635,113368.0
2020-04-24,6.9004,7.0111,6.8266,6.9188,129237.0
2020-04-25,6.9004,7.0111,6.8266,6.9188,129237.0
2020-04-26,6.9004,7.0111,6.8266,6.9188,129237.0
2020-04-27,7.048,7.3247,7.0019,7.2048,155743.0
2020-04-28,7.3063,7.6845,7.2786,7.6384,184302.0
2020-04-29,7.7676,7.9059,7.417,7.7491,314332.0
2020-04-30,7.5831,7.6015,7.3801,7.3986,221283.0
2020-05-01,7.2786,7.3552,7.1402,7.2233,164868.0
2020-05-02,7.2786,7.3552,7.1402,7.2233,164868.0
2020-05-03,7.2786,7.3552,7.1402,7.2233,164868.0
2020-05-04,7.1495,7.1495,6.9373,7.0757,145984.0
2020-05-05,7.1956,7.3524,6.9834,7.0019,187525.0
2020-05-06,7.0757,7.2094,6.9926,7.0711,174907.0
2020-05-07,7.1587,7.2602,7.0849,7.131,149589.0
2020-05-08,7.2971,7.4447,7.1402,7.4262,175040.0
2020-05-09,7.2971,7.4447,7.1402,7.4262,175040.0
2020-05-10,7.2971,7.4447,7.1402,7.4262,175040.0
2020-05-11,7.3986,7.5831,7.1587,7.1587,232935.0
2020-05-12,7.1864,7.2048,6.7989,6.8081,160587.0
2020-05-13,6.7436,6.7712,6.5129,6.6144,167923.0
2020-05-14,6.5129,6.845,6.3746,6.845,209787.0
2020-05-15,6.845,7.0111,6.6698,6.965,169883.0
2020-05-16,6.845,7.0111,6.6698,6.965,169883.0
2020-05-17,6.845,7.0111,6.6698,6.965,169883.0
2020-05-18,7.1771,7.4816,7.1771,7.4124,224599.0
2020-05-19,7.3616,7.4631,7.0664,7.0941,147473.0
2020-05-20,7.2048,7.4908,7.2048,7.3801,126692.0
2020-05-21,7.3524,7.4816,7.3155,7.3801,82719.0
2020-05-22,7.4078,7.4262,7.2417,7.3063,55045.0
2020-05-23,7.4078,7.4262,7.2417,7.3063,55045.0
2020-05-24,7.4078,7.4262,7.2417,7.3063,55045.0
2020-05-25,7.4078,7.4262,7.2417,7.3063,55045.0
2020-05-26,7.5277,7.7398,7.5185,7.5462,169361.0
2020-05-27,7.7583,7.8414,7.4262,7.7814,215810.0
2020-05-28,7.8414,7.8414,7.5277,7.5277,223800.0
2020-05-29,7.4631,7.4631,7.2971,7.3524,485696.0
2020-05-30,7.4631,7.4631,7.2971,7.3524,485696.0
2020-05-31,7.4631,7.4631,7.2971,7.3524,485696.0
2020-06-01,7.3709,7.5185,7.3155,7.3155,179881.0
2020-06-02,7.3709,7.5277,7.3273,7.417,177731.0
2020-06-03,7.4816,7.8229,7.3709,7.7399,202329.0
2020-06-04,7.6661,7.8414,7.62,7.8321,203820.0
2020-06-05,7.8414,8.3949,7.8414,8.3487,422491.0
2020-06-06,7.8414,8.3949,7.8414,8.3487,422491.0
2020-06-07,7.8414,8.3949,7.8414,8.3487,422491.0
2020-06-08,8.6163,8.8469,8.4871,8.8008,712073.0
2020-06-09,8.6532,8.8423,8.3672,8.7362,333694.0
2020-06-10,8.7085,8.8192,8.2657,8.2934,329743.0
2020-06-11,7.8414,7.9884,7.6476,7.6938,327570.0
2020-06-12,7.9521,8.2934,7.8045,8.0259,290821.0
2020-06-13,7.9521,8.2934,7.8045,8.0259,290821.0
2020-06-14,7.9521,8.2934,7.8045,8.0259,290821.0
2020-06-15,7.8321,8.2288,7.703,8.1366,254880.0
2020-06-16,8.3856,8.3856,8.0997,8.2888,263199.0
2020-06-17,8.2934,8.4318,7.9428,7.9613,225153.0
2020-06-18,7.9059,7.989,7.7676,7.9059,291391.0
2020-06-19,7.9982,7.9982,7.7399,7.8967,529718.0
2020-06-20,7.9982,7.9982,7.7399,7.8967,529718.0
2020-06-21,7.9982,7.9982,7.7399,7.8967,529718.0
2020-06-22,7.8414,7.9982,7.7537,7.9982,276559.0
2020-06-23,8.1089,8.1642,7.9659,7.9705,309589.0
2020-06-24,7.8875,7.9336,7.6569,7.7399,307286.0
2020-06-25,7.7122,7.9843,7.6935,7.8506,457033.0
2020-06-26,7.7214,7.7399,7.0388,7.1402,3481056.0
2020-06-27,7.7214,7.7399,7.0388,7.1402,3481056.0
2020-06-28,7.7214,7.7399,7.0388,7.1402,3481056.0
2020-06-29,7.3155,7.6569,7.2509,7.6292,316709.0
2020-06-30,7.5831,7.9059,7.3616,7.8783,252200.0
2020-07-01,7.8783,7.9244,7.5369,7.5738,155267.0
2020-07-02,7.7399,7.7952,7.5185,7.5369,165184.0
2020-07-03,7.7399,7.7952,7.5185,7.5369,165184.0
2020-07-04,7.7399,7.7952,7.5185,7.5369,165184.0
2020-07-05,7.7399,7.7952,7.5185,7.5369,165184.0
2020-07-06,7.7307,7.7399,7.5,7.5738,226757.0
2020-07-07,7.5,7.5185,7.3247,7.3616,236167.0
2020-07-08,7.3432,7.4447,7.1218,7.3616,310347.0
2020-07-09,7.3432,7.3432,6.9004,6.9557,426188.0
2020-07-10,6.9926,7.2971,6.9004,7.2878,305270.0
2020-07-11,6.9926,7.2971,6.9004,7.2878,305270.0
2020-07-12,6.9926,7.2971,6.9004,7.2878,305270.0
2020-07-13,7.3897,7.3897,7.1212,7.2971,354399.0
2020-07-14,7.3156,7.3434,7.0749,7.2138,300227.0
2020-07-15,7.399,7.6305,7.3341,7.5934,206749.0
2020-07-16,7.5749,7.686,7.1632,7.5888,241069.0
2020-07-17,7.5564,7.6305,7.4731,7.5055,141136.0
2020-07-18,7.5564,7.6305,7.4731,7.5055,141136.0
2020-07-19,7.5564,7.6305,7.4731,7.5055,141136.0
2020-07-20,7.4545,7.5749,7.399,7.4453,162535.0
2020-07-21,7.5379,7.8157,7.5379,7.8064,157550.0
2020-07-22,7.7323,7.7416,7.5425,7.686,124633.0
2020-07-23,7.8527,8.2231,7.4638,8.2139,349850.0
2020-07-24,8.288,8.5195,8.1398,8.2972,409696.0
2020-07-25,8.288,8.5195,8.1398,8.2972,409696.0
2020-07-26,8.288,8.5195,8.1398,8.2972,409696.0
2020-07-27,8.2417,8.4269,8.0379,8.1768,240511.0
2020-07-28,8.1768,8.2324,7.913,8.1491,212625.0
2020-07-29,8.1305,8.2787,7.9683,8.2602,241994.0
2020-07-30,8.0935,8.1491,7.5784,8.1305,147824.0
2020-07-31,8.0564,8.112,7.8712,8.0194,175496.0
2020-08-01,8.0564,8.112,7.8712,8.0194,175496.0
2020-08-02,8.0564,8.112,7.8712,8.0194,175496.0
2020-08-03,8.0287,8.0379,7.8064,7.8249,242135.0
2020-08-04,7.7972,7.8944,7.7416,7.8712,190714.0
2020-08-05,7.9638,8.0564,7.8342,8.0564,226563.0
2020-08-06,8.0472,8.1028,7.9638,8.075,144660.0
2020-08-07,8.0379,8.3806,7.8064,8.3713,272887.0
2020-08-08,8.0379,8.3806,7.8064,8.3713,272887.0
2020-08-09,8.0379,8.3806,7.8064,8.3713,272887.0
2020-08-10,8.4269,8.5843,8.2,8.5148,384415.0
2020-08-11,8.6398,8.7788,8.5565,8.6028,347118.0
2020-08-12,8.7417,8.7556,8.3806,8.538,572655.0
2020-08-13,8.5009,8.575,8.2324,8.3343,208783.0
2020-08-14,8.2787,8.5102,8.2417,8.4732,174488.0
2020-08-15,8.2787,8.5102,8.2417,8.4732,174488.0
2020-08-16,8.2787,8.5102,8.2417,8.4732,174488.0
2020-08-17,8.5009,8.575,8.362,8.5195,335572.0
2020-08-18,8.4639,8.5658,8.362,8.4546,309596.0
2020-08-19,8.5195,8.5195,8.3759,8.4546,240684.0
2020-08-20,8.3435,8.4269,8.25,8.2787,167612.0
2020-08-21,8.2972,8.3435,8.1213,8.288,424593.0
2020-08-22,8.2972,8.3435,8.1213,8.288,424593.0
2020-08-23,8.2972,8.3435,8.1213,8.288,424593.0
2020-08-24,8.3343,8.3991,8.1861,8.3991,315718.0
2020-08-25,8.4454,8.5519,8.3667,8.4546,270241.0
2020-08-26,8.4269,8.4454,8.288,8.3343,168291.0
2020-08-27,8.3343,8.5009,8.2972,8.3528,261317.0
2020-08-28,8.3806,8.4176,8.112,8.2046,202495.0
2020-08-29,8.3806,8.4176,8.112,8.2046,202495.0
2020-08-30,8.3806,8.4176,8.112,8.2046,202495.0
2020-08-31,8.1583,8.1676,7.9916,8.0101,168514.0
2020-09-01,7.9453,8.0009,7.8712,7.95,200116.0
2020-09-02,7.9175,8.0101,7.8527,7.9083,244586.0
2020-09-03,7.9546,8.2417,7.9546,8.0101,237363.0
2020-09-04,8.3343,8.5195,8.2324,8.288,389193.0
2020-09-05,8.3343,8.5195,8.2324,8.288,389193.0
2020-09-06,8.3343,8.5195,8.2324,8.288,389193.0
2020-09-07,8.3343,8.5195,8.2324,8.288,389193.0
2020-09-08,8.1954,8.2231,7.9824,8.0564,269912.0
2020-09-09,8.1028,8.1213,7.9083,7.9268,285787.0
2020-09-10,7.9361,8.0287,7.9175,7.9685,252120.0
2020-09-11,7.9546,8.075,7.9175,7.9824,177720.0
2020-09-12,7.9546,8.075,7.9175,7.9824,177720.0
2020-09-13,7.9546,8.075,7.9175,7.9824,177720.0
2020-09-14,8.0194,8.1676,8.0101,8.1028,136417.0
2020-09-15,8.1028,8.1305,7.9731,7.9916,273952.0
2020-09-16,8.0287,8.1305,7.9083,8.0009,240328.0
2020-09-17,7.8898,7.9916,7.8805,7.9361,129670.0
2020-09-18,7.9916,8.1491,7.8712,8.0194,651623.0
2020-09-19,7.9916,8.1491,7.8712,8.0194,651623.0
2020-09-20,7.9916,8.1491,7.8712,8.0194,651623.0
2020-09-21,7.8435,8.0657,7.4545,7.5286,295994.0
2020-09-22,7.5657,7.6397,7.2925,7.3434,230156.0
2020-09-23,7.3527,7.436,7.1026,7.1212,216213.0
2020-09-24,7.1304,7.3156,7.0471,7.186,164383.0
2020-09-25,7.1119,7.2415,7.0286,7.2045,151961.0
2020-09-26,7.1119,7.2415,7.0286,7.2045,151961.0
2020-09-27,7.1119,7.2415,7.0286,7.2045,151961.0
2020-09-28,7.2601,7.4036,7.223,7.3434,174659.0
2020-09-29,7.1628,7.4823,7.1628,7.3804,158454.0
2020-09-30,7.4082,7.5564,7.3712,7.4731,182840.0
2020-10-01,7.4823,7.5101,7.3341,7.4638,110060.0
2020-10-02,7.3434,7.7323,7.3064,7.6953,120226.0
2020-10-03,7.3434,7.7323,7.3064,7.6953,120226.0
2020-10-04,7.3434,7.7323,7.3064,7.6953,120226.0
2020-10-05,7.4221,8.0009,7.4221,7.9824,156350.0
2020-10-06,8.0842,8.1768,7.8805,7.9268,166908.0
2020-10-07,8.0009,8.2,7.8157,8.1676,178491.0
2020-10-08,8.0935,8.4639,7.8624,8.288,165858.0
2020-10-09,8.362,8.3898,8.1491,8.2046,108814.0
2020-10-10,8.362,8.3898,8.1491,8.2046,108814.0
2020-10-11,8.362,8.3898,8.1491,8.2046,108814.0
2020-10-12,8.1861,8.4083,8.1629,8.3898,109398.0
2020-10-13,8.06,8.3527,8.06,8.204,151902.0
2020-10-14,8.1575,8.1854,7.9438,7.9531,123497.0
2020-10-15,7.8881,8.1204,7.8602,8.1204,141321.0
2020-10-16,8.3759,8.3759,7.9996,8.2226,92336.0
2020-10-17,8.3759,8.3759,7.9996,8.2226,92336.0
2020-10-18,8.3759,8.3759,7.9996,8.2226,92336.0
2020-10-19,8.2783,8.3341,8.1157,8.269,106375.0
2020-10-20,8.2505,8.492,8.2505,8.3898,122938.0
2020-10-21,8.3991,8.492,8.139,8.427,118214.0
2020-10-22,8.4549,8.8265,8.427,8.8265,308467.0
2020-10-23,8.9659,9.2523,8.78,8.9566,317706.0
2020-10-24,8.9659,9.2523,8.78,8.9566,317706.0
2020-10-25,8.9659,9.2523,8.78,8.9566,317706.0
2020-10-26,8.8915,8.9486,8.7336,8.794,160708.0
2020-10-27,8.8079,8.8637,8.6035,8.6035,241552.0
2020-10-28,8.4456,8.6964,8.3527,8.5849,280033.0
2020-10-29,8.5663,8.7615,8.3977,8.7522,191631.0
2020-10-30,8.7336,8.873,8.4641,8.7336,318670.0
2020-10-31,8.7336,8.873,8.4641,8.7336,318670.0
2020-11-01,8.7336,8.873,8.4641,8.7336,318670.0
2020-11-02,8.8265,8.8915,8.6871,8.7893,291691.0
2020-11-03,8.873,8.938,8.7893,8.8822,330090.0
2020-11-04,8.6871,8.6871,8.3898,8.4549,183707.0
2020-11-05,8.4456,8.7893,8.427,8.7615,136799.0
2020-11-06,8.8172,8.8637,8.6221,8.7057,231126.0
2020-11-07,8.8172,8.8637,8.6221,8.7057,231126.0
2020-11-08,8.8172,8.8637,8.6221,8.7057,231126.0
2020-11-09,9.1517,9.391,9.0263,9.0959,568318.0
2020-11-10,9.1517,9.3747,9.1238,9.3747,476391.0
2020-11-11,9.384,9.4165,9.147,9.2725,274972.0
2020-11-12,9.1517,9.1935,8.9937,9.161,224648.0
2020-11-13,9.2632,9.3561,9.226,9.3189,235411.0
2020-11-14,9.2632,9.3561,9.226,9.3189,235411.0
2020-11-15,9.2632,9.3561,9.226,9.3189,235411.0
2020-11-16,9.4304,9.5605,9.3654,9.5233,311191.0
2020-11-17,9.449,9.5977,9.291,9.5698,300256.0
2020-11-18,9.5977,9.6441,9.4676,9.4676,174309.0
2020-11-19,9.4211,9.4769,9.3003,9.4397,130952.0
2020-11-20,9.3282,9.4304,9.2725,9.384,157605.0
2020-11-21,9.3282,9.4304,9.2725,9.384,157605.0
2020-11-22,9.3282,9.4304,9.2725,9.384,157605.0
2020-11-23,9.4862,9.5466,9.4397,9.4676,233472.0
2020-11-24,9.6162,9.8485,9.5466,9.7556,371528.0
2020-11-25,9.6813,9.7463,9.5884,9.6627,277839.0
2020-11-26,9.6813,9.7463,9.5884,9.6627,277839.0
2020-11-27,9.6255,9.6441,9.4304,9.5512,152927.0
2020-11-28,9.6255,9.6441,9.4304,9.5512,152927.0
2020-11-29,9.6255,9.6441,9.4304,9.5512,152927.0
2020-11-30,9.5047,9.5233,9.0866,9.1145,282497.0
2020-12-01,9.2818,9.3747,9.1424,9.2167,223831.0
2020-12-02,9.1796,9.5512,9.0588,9.4722,392779.0
2020-12-03,9.5047,9.6488,9.4769,9.6023,263056.0
2020-12-04,9.6906,9.7556,9.6302,9.7277,228499.0
2020-12-05,9.6906,9.7556,9.6302,9.7277,228499.0
2020-12-06,9.6906,9.7556,9.6302,9.7277,228499.0
2020-12-07,9.6348,9.8671,9.5977,9.8299,181913.0
2020-12-08,9.7184,9.8857,9.6999,9.8671,187675.0
2020-12-09,10.0622,10.0622,9.8206,9.9182,216082.0
2020-12-10,9.8299,10.025,9.8299,10.025,272724.0
2020-12-11,9.8857,10.0622,9.8439,9.96,157030.0
2020-12-12,9.8857,10.0622,9.8439,9.96,157030.0
2020-12-13,9.8857,10.0622,9.8439,9.96,157030.0
2020-12-14,10.0808,10.1272,9.9275,9.9507,158984.0
2020-12-15,9.9879,10.2573,9.6906,10.1737,236886.0
2020-12-16,10.1737,10.2387,10.1272,10.1644,183320.0
2020-12-17,10.2109,10.2109,10.0529,10.183,150144.0
2020-12-18,10.2294,10.2805,9.8578,9.8671,801830.0
2020-12-19,10.2294,10.2805,9.8578,9.8671,801830.0
2020-12-20,10.2294,10.2805,9.8578,9.8671,801830.0
2020-12-21,9.8578,10.0343,9.7928,9.9321,217307.0
2020-12-22,9.9879,9.9879,9.7463,9.7649,142880.0
2020-12-23,9.7835,10.1154,9.7835,10.0622,108041.0
2020-12-24,10.0715,10.118,9.9786,10.0343,72271.0
2020-12-25,10.0715,10.118,9.9786,10.0343,72271.0
2020-12-26,10.0715,10.118,9.9786,10.0343,72271.0
2020-12-27,10.0715,10.118,9.9786,10.0343,72271.0
2020-12-28,10.1272,10.2016,10.0343,10.1087,190944.0
2020-12-29,10.0715,10.0808,9.9321,9.9693,123921.0
2020-12-30,10.0065,10.1376,9.9925,10.0529,110416.0
2020-12-31,10.025,10.2113,10.025,10.1181,136221.0
2021-01-01,10.025,10.2113,10.025,10.1181,136221.0
2021-01-02,10.025,10.2113,10.025,10.1181,136221.0
2021-01-03,10.025,10.2113,10.025,10.1181,136221.0
2021-01-04,10.1554,10.2393,9.9178,10.0716,213746.0
2021-01-05,10.0622,10.2952,10.0622,10.2206,201421.0
2021-01-06,10.3697,10.8542,10.3697,10.7144,377262.0
2021-01-07,10.7983,10.8169,10.6119,10.6958,204530.0
2021-01-08,10.6771,10.6771,10.2486,10.3976,110220.0
2021-01-09,10.6771,10.6771,10.2486,10.3976,110220.0
2021-01-10,10.6771,10.6771,10.2486,10.3976,110220.0
2021-01-11,10.2952,10.3976,10.1927,10.3417,274932.0
2021-01-12,10.3417,10.6306,10.2952,10.5188,133614.0
2021-01-13,10.4629,10.4629,10.2672,10.4442,114734.0
2021-01-14,10.5467,10.6585,10.3324,10.6212,140728.0
2021-01-15,10.5188,10.5188,10.3604,10.4256,105876.0
2021-01-16,10.5188,10.5188,10.3604,10.4256,105876.0
2021-01-17,10.5188,10.5188,10.3604,10.4256,105876.0
2021-01-18,10.5188,10.5188,10.3604,10.4256,105876.0
2021-01-19,10.4815,10.5747,10.2113,10.3604,190066.0
2021-01-20,10.3324,10.4349,10.2905,10.3976,123553.0
2021-01-21,10.4535,10.4535,10.2486,10.2672,195818.0
2021-01-22,10.2113,10.3417,10.1275,10.3231,175817.0
2021-01-23,10.2113,10.3417,10.1275,10.3231,175817.0
2021-01-24,10.2113,10.3417,10.1275,10.3231,175817.0
2021-01-25,10.2858,10.379,10.0622,10.3045,174776.0
2021-01-26,10.3883,10.3883,10.1088,10.1275,177860.0
2021-01-27,9.9132,10.0995,9.7175,9.7268,248596.0
2021-01-28,9.8759,10.3976,9.8014,10.2952,216678.0
2021-01-29,10.1554,10.3604,10.1088,10.1181,186180.0
2021-01-30,10.1554,10.3604,10.1088,10.1181,186180.0
2021-01-31,10.1554,10.3604,10.1088,10.1181,186180.0
2021-02-01,10.1927,10.2206,9.9784,10.1275,237304.0
2021-02-02,10.2672,10.5747,10.2486,10.4256,167525.0
2021-02-03,10.0576,10.407,10.0576,10.2672,117934.0
2021-02-04,10.3697,10.5747,10.3417,10.556,217363.0
2021-02-05,10.5747,10.5747,10.3697,10.5467,166943.0
2021-02-06,10.5747,10.5747,10.3697,10.5467,166943.0
2021-02-07,10.5747,10.5747,10.3697,10.5467,166943.0
2021-02-08,10.6212,10.7051,10.5094,10.6585,157543.0
2021-02-09,10.6212,10.7237,10.4908,10.6678,164814.0
2021-02-10,10.6771,10.8076,10.6212,10.6399,187368.0
2021-02-11,10.5141,10.7144,10.3883,10.4582,200251.0
2021-02-12,10.3883,10.6119,10.3883,10.6119,160699.0
2021-02-13,10.3883,10.6119,10.3883,10.6119,160699.0
2021-02-14,10.3883,10.6119,10.3883,10.6119,160699.0
2021-02-15,10.3883,10.6119,10.3883,10.6119,160699.0
2021-02-16,10.7703,10.9277,10.6212,10.8542,322952.0
2021-02-17,10.8542,10.9706,10.7424,10.7517,216584.0
2021-02-18,10.7051,10.9567,10.6771,10.7936,276488.0
2021-02-19,10.6585,10.7796,10.5653,10.7051,359454.0
2021-02-20,10.6585,10.7796,10.5653,10.7051,359454.0
2021-02-21,10.6585,10.7796,10.5653,10.7051,359454.0
2021-02-22,10.6678,11.0778,10.6678,11.0545,303248.0
2021-02-23,11.0591,11.4505,10.938,11.1337,338974.0
2021-02-24,11.5017,11.7579,11.2175,11.497,426541.0
2021-02-25,11.5064,11.6834,11.4505,11.4505,290121.0
2021-02-26,11.3573,11.3759,10.9287,11.1337,283673.0
2021-02-27,11.3573,11.3759,10.9287,11.1337,283673.0
2021-02-28,11.3573,11.3759,10.9287,11.1337,283673.0
2021-03-01,11.5157,11.6182,11.2548,11.5902,220369.0
2021-03-02,11.5995,11.7206,11.5436,11.5809,249963.0
2021-03-03,11.6927,12.2051,11.6741,11.9722,396474.0
2021-03-04,12.1725,12.289,11.8604,11.907,395759.0
2021-03-05,12.3356,12.7362,12.1679,12.5405,594251.0
2021-03-06,12.3356,12.7362,12.1679,12.5405,594251.0
2021-03-07,12.3356,12.7362,12.1679,12.5405,594251.0
2021-03-08,12.7269,13.1089,12.5778,13.053,351771.0
2021-03-09,12.9784,12.9971,12.5778,12.8107,199129.0
2021-03-10,12.8107,13.1089,12.7455,13.025,207334.0
2021-03-11,13.025,13.0445,12.7455,12.9039,184728.0
2021-03-12,13.1694,13.23,12.9784,13.2113,333412.0
2021-03-13,13.1694,13.23,12.9784,13.2113,333412.0
2021-03-14,13.1694,13.23,12.9784,13.2113,333412.0
