,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-06-20,214.6,218.6,208.67,214.34,559581.0
2019-06-21,213.61,218.5,213.58,216.19,677265.0
2019-06-22,213.61,218.5,213.58,216.19,677265.0
2019-06-23,213.61,218.5,213.58,216.19,677265.0
2019-06-24,214.98,217.12,212.97,214.13,382656.0
2019-06-25,213.9,214.96,209.19,214.5,462771.0
2019-06-26,216.45,219.235,214.67,216.77,441580.0
2019-06-27,217.31,222.0,217.31,221.29,521394.0
2019-06-28,223.44,226.295,220.72,224.59,1128011.0
2019-06-29,223.44,226.295,220.72,224.59,1128011.0
2019-06-30,223.44,226.295,220.72,224.59,1128011.0
2019-07-01,227.56,228.96,222.24,223.36,691720.0
2019-07-02,222.4,223.8,214.89,217.07,503983.0
2019-07-03,218.46,219.556,217.37,218.27,318792.0
2019-07-04,218.46,219.556,217.37,218.27,318792.0
2019-07-05,219.97,225.28,219.645,222.9,480548.0
2019-07-06,219.97,225.28,219.645,222.9,480548.0
2019-07-07,219.97,225.28,219.645,222.9,480548.0
2019-07-08,218.52,219.435,214.17,215.17,571558.0
2019-07-09,213.13,218.01,212.82,217.74,491355.0
2019-07-10,217.33,217.96,212.32,212.64,528617.0
2019-07-11,213.68,217.59,212.41,217.07,413344.0
2019-07-12,218.57,222.67,217.44,222.25,368769.0
2019-07-13,218.57,222.67,217.44,222.25,368769.0
2019-07-14,218.57,222.67,217.44,222.25,368769.0
2019-07-15,223.15,223.25,218.35,218.78,523672.0
2019-07-16,219.43,219.97,215.68,217.64,456824.0
2019-07-17,217.01,217.01,212.4,215.14,360737.0
2019-07-18,214.89,218.52,214.01,217.21,359263.0
2019-07-19,217.68,221.21,217.25,219.31,476808.0
2019-07-20,217.68,221.21,217.25,219.31,476808.0
2019-07-21,217.68,221.21,217.25,219.31,476808.0
2019-07-22,218.85,221.07,217.01,219.03,498134.0
2019-07-23,219.07,221.71,217.5,218.54,709722.0
2019-07-24,218.32,226.57,217.4,226.07,882299.0
2019-07-25,226.07,228.89,221.78,224.09,542197.0
2019-07-26,224.05,234.41,220.66,233.79,955482.0
2019-07-27,224.05,234.41,220.66,233.79,955482.0
2019-07-28,224.05,234.41,220.66,233.79,955482.0
2019-07-29,233.59,234.95,227.9,228.61,475523.0
2019-07-30,226.69,230.92,226.69,230.83,256836.0
2019-07-31,229.94,234.34,229.1,231.97,531653.0
2019-08-01,230.8,234.345,216.78,218.24,584168.0
2019-08-02,218.15,218.495,211.96,215.05,513097.0
2019-08-03,218.15,218.495,211.96,215.05,513097.0
2019-08-04,218.15,218.495,211.96,215.05,513097.0
2019-08-05,211.29,211.61,203.55,205.81,661622.0
2019-08-06,208.51,209.31,202.735,207.07,330016.0
2019-08-07,201.19,202.5,192.02,197.32,1137050.0
2019-08-08,200.93,208.51,200.147,205.63,888393.0
2019-08-09,204.5,205.0,197.52,199.23,604828.0
2019-08-10,204.5,205.0,197.52,199.23,604828.0
2019-08-11,204.5,205.0,197.52,199.23,604828.0
2019-08-12,195.86,196.176,193.5,194.81,632484.0
2019-08-13,195.13,202.55,194.49,198.55,635030.0
2019-08-14,191.87,194.41,190.06,190.12,563385.0
2019-08-15,190.8,191.61,185.52,185.93,375895.0
2019-08-16,187.75,193.94,187.56,191.71,453127.0
2019-08-17,187.75,193.94,187.56,191.71,453127.0
2019-08-18,187.75,193.94,187.56,191.71,453127.0
2019-08-19,196.08,197.36,194.441,195.71,604834.0
2019-08-20,193.64,194.07,190.56,192.99,372296.0
2019-08-21,193.5,195.08,192.85,194.45,402142.0
2019-08-22,196.31,196.99,193.68,195.44,460474.0
2019-08-23,194.29,195.57,186.56,187.45,522433.0
2019-08-24,194.29,195.57,186.56,187.45,522433.0
2019-08-25,194.29,195.57,186.56,187.45,522433.0
2019-08-26,189.35,190.01,185.915,187.91,365917.0
2019-08-27,189.18,189.18,183.04,184.71,370526.0
2019-08-28,183.56,189.02,183.43,187.21,559069.0
2019-08-29,190.04,195.31,189.765,193.83,366765.0
2019-08-30,195.81,198.2,193.735,194.62,350932.0
2019-08-31,195.81,198.2,193.735,194.62,350932.0
2019-09-01,195.81,198.2,193.735,194.62,350932.0
2019-09-02,195.81,198.2,193.735,194.62,350932.0
2019-09-03,192.48,192.95,188.14,190.01,322083.0
2019-09-04,192.55,193.81,190.76,192.1,294900.0
2019-09-05,195.9,201.43,195.55,199.78,402563.0
2019-09-06,199.78,202.19,197.71,201.28,332852.0
2019-09-07,199.78,202.19,197.71,201.28,332852.0
2019-09-08,199.78,202.19,197.71,201.28,332852.0
2019-09-09,203.9,212.93,201.75,211.73,699357.0
2019-09-10,212.26,218.285,211.63,218.13,745445.0
2019-09-11,219.23,222.14,213.411,222.08,465700.0
2019-09-12,218.27,220.91,215.5,217.76,677673.0
2019-09-13,221.42,227.288,221.42,224.01,691315.0
2019-09-14,221.42,227.288,221.42,224.01,691315.0
2019-09-15,221.42,227.288,221.42,224.01,691315.0
2019-09-16,221.43,223.0,219.55,221.36,373293.0
2019-09-17,219.66,220.22,210.75,213.43,541633.0
2019-09-18,212.8,219.08,211.09,217.85,636172.0
2019-09-19,215.97,220.59,214.01,216.06,491538.0
2019-09-20,215.8,218.66,214.105,216.58,727978.0
2019-09-21,215.8,218.66,214.105,216.58,727978.0
2019-09-22,215.8,218.66,214.105,216.58,727978.0
2019-09-23,214.42,216.09,211.11,215.57,430029.0
2019-09-24,215.51,216.84,207.15,207.63,562148.0
2019-09-25,208.15,214.36,206.42,214.05,544982.0
2019-09-26,212.42,213.7,205.73,206.05,625876.0
2019-09-27,208.44,212.91,205.41,206.15,529616.0
2019-09-28,208.44,212.91,205.41,206.15,529616.0
2019-09-29,208.44,212.91,205.41,206.15,529616.0
2019-09-30,208.18,209.75,206.9,208.95,429481.0
2019-10-01,212.07,213.485,198.14,198.93,676833.0
2019-10-02,195.73,198.53,192.275,195.8,506589.0
2019-10-03,193.98,196.2,189.18,195.56,762335.0
2019-10-04,196.98,198.53,192.01,197.67,520803.0
2019-10-05,196.98,198.53,192.01,197.67,520803.0
2019-10-06,196.98,198.53,192.01,197.67,520803.0
2019-10-07,197.04,200.15,195.34,197.34,416967.0
2019-10-08,193.69,193.69,188.02,188.33,645283.0
2019-10-09,191.3,191.94,188.94,190.85,395564.0
2019-10-10,192.09,196.05,190.828,192.44,475951.0
2019-10-11,197.93,204.94,197.45,202.16,796866.0
2019-10-12,197.93,204.94,197.45,202.16,796866.0
2019-10-13,197.93,204.94,197.45,202.16,796866.0
2019-10-14,199.52,200.98,198.743,199.44,487677.0
2019-10-15,200.75,208.45,198.71,206.77,437336.0
2019-10-16,205.91,209.249,204.01,205.19,468593.0
2019-10-17,207.58,207.58,202.87,204.84,374106.0
2019-10-18,203.66,205.87,202.85,204.72,465517.0
2019-10-19,203.66,205.87,202.85,204.72,465517.0
2019-10-20,203.66,205.87,202.85,204.72,465517.0
2019-10-21,207.98,211.37,206.965,210.48,371150.0
2019-10-22,209.44,212.79,206.34,210.16,399524.0
2019-10-23,209.86,211.31,208.935,210.13,338819.0
2019-10-24,210.99,211.88,206.62,207.71,518905.0
2019-10-25,208.43,221.745,208.4,219.79,670495.0
2019-10-26,208.43,221.745,208.4,219.79,670495.0
2019-10-27,208.43,221.745,208.4,219.79,670495.0
2019-10-28,222.26,228.36,221.0,227.28,646640.0
2019-10-29,224.55,229.81,224.49,229.15,463632.0
2019-10-30,227.94,229.1,223.83,226.69,478370.0
2019-10-31,224.17,224.81,218.36,221.48,491490.0
2019-11-01,225.0,230.99,224.11,230.89,413866.0
2019-11-02,225.0,230.99,224.11,230.89,413866.0
2019-11-03,225.0,230.99,224.11,230.89,413866.0
2019-11-04,233.02,238.69,233.02,237.96,622964.0
2019-11-05,238.5,241.11,234.32,239.53,411579.0
2019-11-06,239.15,239.53,231.36,231.47,680287.0
2019-11-07,235.5,241.94,234.335,239.45,744656.0
2019-11-08,237.05,239.84,236.2,238.6,307514.0
2019-11-09,237.05,239.84,236.2,238.6,307514.0
2019-11-10,237.05,239.84,236.2,238.6,307514.0
2019-11-11,236.62,238.58,234.325,237.21,253140.0
2019-11-12,237.58,241.11,235.39,238.68,337752.0
2019-11-13,234.94,235.57,231.65,234.12,332117.0
2019-11-14,232.66,233.91,231.3,232.95,254943.0
2019-11-15,234.01,234.36,231.33,234.06,239900.0
2019-11-16,234.01,234.36,231.33,234.06,239900.0
2019-11-17,234.01,234.36,231.33,234.06,239900.0
2019-11-18,234.14,234.14,228.73,229.18,564406.0
2019-11-19,230.16,231.26,227.13,229.5,550517.0
2019-11-20,228.17,229.7,224.18,228.38,517549.0
2019-11-21,230.0,230.63,226.685,227.93,291215.0
2019-11-22,228.57,232.17,227.99,231.02,481788.0
2019-11-23,228.57,232.17,227.99,231.02,481788.0
2019-11-24,228.57,232.17,227.99,231.02,481788.0
2019-11-25,232.42,236.33,230.8,235.75,224235.0
2019-11-26,235.37,235.825,232.2,232.96,292045.0
2019-11-27,234.48,235.73,233.31,234.87,146100.0
2019-11-28,234.48,235.73,233.31,234.87,146100.0
2019-11-29,233.3,234.24,231.27,231.73,127239.0
2019-11-30,233.3,234.24,231.27,231.73,127239.0
2019-12-01,233.3,234.24,231.27,231.73,127239.0
2019-12-02,232.66,235.1,229.315,229.79,331165.0
2019-12-03,222.88,225.56,220.06,225.27,325723.0
2019-12-04,228.11,232.12,226.94,230.15,271854.0
2019-12-05,232.32,233.41,228.99,229.4,229941.0
2019-12-06,235.0,240.25,233.695,237.41,532801.0
2019-12-07,235.0,240.25,233.695,237.41,532801.0
2019-12-08,235.0,240.25,233.695,237.41,532801.0
2019-12-09,236.15,237.32,234.61,236.36,443005.0
2019-12-10,235.76,239.89,235.76,238.63,393621.0
2019-12-11,240.0,241.68,238.495,239.42,596535.0
2019-12-12,240.5,252.33,240.0,251.21,546223.0
2019-12-13,250.89,257.07,249.12,249.31,721367.0
2019-12-14,250.89,257.07,249.12,249.31,721367.0
2019-12-15,250.89,257.07,249.12,249.31,721367.0
2019-12-16,253.25,254.96,250.46,251.22,426697.0
2019-12-17,251.49,254.5,250.2,254.21,375351.0
2019-12-18,254.53,255.815,251.62,251.75,451085.0
2019-12-19,250.25,252.09,248.12,250.12,456063.0
2019-12-20,251.61,252.9,248.558,250.94,1032251.0
2019-12-21,251.61,252.9,248.558,250.94,1032251.0
2019-12-22,251.61,252.9,248.558,250.94,1032251.0
2019-12-23,252.0,252.81,248.77,252.16,284482.0
2019-12-24,252.37,252.41,249.637,252.07,70622.0
2019-12-25,252.37,252.41,249.637,252.07,70622.0
2019-12-26,253.23,253.28,251.055,253.18,130456.0
2019-12-27,254.21,254.21,249.94,250.31,202698.0
2019-12-28,254.21,254.21,249.94,250.31,202698.0
2019-12-29,254.21,254.21,249.94,250.31,202698.0
2019-12-30,251.93,251.93,249.1,249.82,225734.0
2019-12-31,250.06,252.03,250.06,251.04,292546.0
2020-01-01,250.06,252.03,250.06,251.04,292546.0
2020-01-02,252.65,254.28,249.67,254.27,242917.0
2020-01-03,247.96,251.12,246.8,250.33,476454.0
2020-01-04,247.96,251.12,246.8,250.33,476454.0
2020-01-05,247.96,251.12,246.8,250.33,476454.0
2020-01-06,246.84,249.8,245.06,249.24,491021.0
2020-01-07,248.66,251.12,247.58,250.4,506541.0
2020-01-08,249.82,254.115,249.13,252.78,502032.0
2020-01-09,256.35,257.94,254.755,256.11,442387.0
2020-01-10,255.91,256.48,251.2,251.73,349997.0
2020-01-11,255.91,256.48,251.2,251.73,349997.0
2020-01-12,255.91,256.48,251.2,251.73,349997.0
2020-01-13,253.32,254.06,250.52,253.85,365301.0
2020-01-14,253.66,256.86,252.3,253.49,478838.0
2020-01-15,250.81,252.07,248.39,250.59,342577.0
2020-01-16,252.61,253.785,250.61,252.3,543193.0
2020-01-17,253.18,258.49,253.18,258.4,398407.0
2020-01-18,253.18,258.49,253.18,258.4,398407.0
2020-01-19,253.18,258.49,253.18,258.4,398407.0
2020-01-20,253.18,258.49,253.18,258.4,398407.0
2020-01-21,256.81,257.67,253.39,254.2,478846.0
2020-01-22,255.48,257.63,253.414,256.3,459446.0
2020-01-23,255.06,259.7,251.215,259.08,800888.0
2020-01-24,260.01,270.395,250.01,252.66,976713.0
2020-01-25,260.01,270.395,250.01,252.66,976713.0
2020-01-26,260.01,270.395,250.01,252.66,976713.0
2020-01-27,244.68,247.17,241.395,243.38,627566.0
2020-01-28,246.58,252.39,244.53,251.28,474531.0
2020-01-29,250.26,254.99,245.71,246.02,515397.0
2020-01-30,242.4,248.37,242.35,248.14,524017.0
2020-01-31,245.77,245.78,239.69,240.33,530086.0
2020-02-01,245.77,245.78,239.69,240.33,530086.0
2020-02-02,245.77,245.78,239.69,240.33,530086.0
2020-02-03,244.0,246.64,242.835,244.69,406106.0
2020-02-04,251.13,255.99,249.815,254.73,554017.0
2020-02-05,259.31,263.53,258.12,262.7,539235.0
2020-02-06,265.12,266.52,261.38,262.09,382888.0
2020-02-07,259.96,260.42,256.43,257.15,448012.0
2020-02-08,259.96,260.42,256.43,257.15,448012.0
2020-02-09,259.96,260.42,256.43,257.15,448012.0
2020-02-10,255.43,257.69,254.67,256.31,311219.0
2020-02-11,258.07,265.12,257.21,263.64,359154.0
2020-02-12,265.0,267.53,264.455,265.1,280491.0
2020-02-13,262.65,265.98,261.7,265.95,353716.0
2020-02-14,264.61,267.5,263.94,265.42,275087.0
2020-02-15,264.61,267.5,263.94,265.42,275087.0
2020-02-16,264.61,267.5,263.94,265.42,275087.0
2020-02-17,264.61,267.5,263.94,265.42,275087.0
2020-02-18,264.33,265.513,258.775,261.11,276633.0
2020-02-19,263.18,267.4,261.93,266.99,266087.0
2020-02-20,264.12,270.95,263.01,270.79,390627.0
2020-02-21,268.34,270.0,259.51,261.42,561191.0
2020-02-22,268.34,270.0,259.51,261.42,561191.0
2020-02-23,268.34,270.0,259.51,261.42,561191.0
2020-02-24,249.7,250.35,241.5,243.27,566162.0
2020-02-25,244.87,245.175,229.87,232.16,1220724.0
2020-02-26,234.88,235.88,224.19,224.3,600398.0
2020-02-27,216.27,223.61,208.24,211.37,781413.0
2020-02-28,203.12,211.29,199.03,208.16,1141205.0
2020-02-29,203.12,211.29,199.03,208.16,1141205.0
2020-03-01,203.12,211.29,199.03,208.16,1141205.0
2020-03-02,209.56,216.89,202.14,216.75,661126.0
2020-03-03,215.76,218.43,195.83,198.63,894915.0
2020-03-04,202.12,202.708,193.04,202.38,831384.0
2020-03-05,194.77,194.77,184.0,185.06,828313.0
2020-03-06,174.99,182.78,169.24,174.44,967918.0
2020-03-07,174.99,182.78,169.24,174.44,967918.0
2020-03-08,174.99,182.78,169.24,174.44,967918.0
2020-03-09,153.73,160.33,144.67,148.15,1554183.0
2020-03-10,157.57,165.37,150.261,161.97,1297894.0
2020-03-11,156.02,159.3,145.98,148.75,1129951.0
2020-03-12,133.9,148.6,127.556,136.96,1315385.0
2020-03-13,148.94,157.07,140.37,156.67,971134.0
2020-03-14,148.94,157.07,140.37,156.67,971134.0
2020-03-15,148.94,157.07,140.37,156.67,971134.0
2020-03-16,132.7,137.69,127.39,130.98,1161736.0
2020-03-17,135.17,150.33,128.08,149.37,1289282.0
2020-03-18,138.83,154.22,135.553,150.51,1392323.0
2020-03-19,147.39,182.0,146.76,168.17,1242939.0
2020-03-20,169.66,173.86,149.15,150.64,1041211.0
2020-03-21,169.66,173.86,149.15,150.64,1041211.0
2020-03-22,169.66,173.86,149.15,150.64,1041211.0
2020-03-23,152.27,152.84,135.63,143.21,761850.0
2020-03-24,154.75,159.38,149.12,158.37,753320.0
2020-03-25,161.97,171.53,150.17,165.0,924242.0
2020-03-26,166.55,173.635,161.01,171.53,922198.0
2020-03-27,164.41,164.41,156.01,159.34,869264.0
2020-03-28,164.41,164.41,156.01,159.34,869264.0
2020-03-29,164.41,164.41,156.01,159.34,869264.0
2020-03-30,155.85,163.45,150.6,155.78,708616.0
2020-03-31,154.2,157.92,149.26,151.08,464821.0
2020-04-01,142.07,144.54,138.44,140.01,490405.0
2020-04-02,136.89,149.93,136.89,142.95,532544.0
2020-04-03,141.55,144.38,136.63,139.34,591552.0
2020-04-04,141.55,144.38,136.63,139.34,591552.0
2020-04-05,141.55,144.38,136.63,139.34,591552.0
2020-04-06,149.22,160.31,146.92,159.32,687336.0
2020-04-07,169.63,174.19,160.06,160.1,592641.0
2020-04-08,163.01,170.19,161.01,168.58,372730.0
2020-04-09,173.65,186.84,173.24,185.69,795775.0
2020-04-10,173.65,186.84,173.24,185.69,795775.0
2020-04-11,173.65,186.84,173.24,185.69,795775.0
2020-04-12,173.65,186.84,173.24,185.69,795775.0
2020-04-13,181.4,185.4,167.03,170.41,566510.0
2020-04-14,173.88,178.115,169.835,172.06,420738.0
2020-04-15,163.2,166.57,159.226,161.89,548251.0
2020-04-16,160.27,163.46,153.448,161.36,505261.0
2020-04-17,169.59,175.975,168.01,173.69,450442.0
2020-04-18,169.59,175.975,168.01,173.69,450442.0
2020-04-19,169.59,175.975,168.01,173.69,450442.0
2020-04-20,167.95,180.21,166.266,174.67,322636.0
2020-04-21,169.14,171.71,165.067,165.49,282444.0
2020-04-22,171.37,174.22,166.94,167.5,392422.0
2020-04-23,169.82,174.0,168.27,171.0,574903.0
2020-04-24,176.49,185.82,165.12,184.0,813465.0
2020-04-25,176.49,185.82,165.12,184.0,813465.0
2020-04-26,176.49,185.82,165.12,184.0,813465.0
2020-04-27,184.37,193.29,180.02,192.63,417992.0
2020-04-28,198.37,202.585,192.24,193.25,478270.0
2020-04-29,201.02,204.84,198.27,201.43,536357.0
2020-04-30,194.27,199.41,191.77,193.17,507742.0
2020-05-01,187.23,187.67,180.13,184.86,380774.0
2020-05-02,187.23,187.67,180.13,184.86,380774.0
2020-05-03,187.23,187.67,180.13,184.86,380774.0
2020-05-04,181.42,183.09,175.26,182.35,400020.0
2020-05-05,189.03,192.43,179.5,180.84,345476.0
2020-05-06,184.2,185.97,177.31,180.01,322194.0
2020-05-07,181.77,191.075,181.77,183.64,447901.0
2020-05-08,188.52,189.46,183.64,185.85,443907.0
2020-05-09,188.52,189.46,183.64,185.85,443907.0
2020-05-10,188.52,189.46,183.64,185.85,443907.0
2020-05-11,183.01,183.06,177.83,179.23,450534.0
2020-05-12,181.53,181.709,169.69,169.85,520566.0
2020-05-13,168.28,169.3,158.22,159.89,847852.0
2020-05-14,155.79,173.84,152.76,173.28,706305.0
2020-05-15,169.39,174.83,168.01,172.79,524349.0
2020-05-16,169.39,174.83,168.01,172.79,524349.0
2020-05-17,169.39,174.83,168.01,172.79,524349.0
2020-05-18,182.87,188.32,180.59,187.46,574355.0
2020-05-19,186.45,189.26,182.91,183.13,379541.0
2020-05-20,189.41,195.84,188.046,194.92,492559.0
2020-05-21,192.04,195.37,190.0,190.85,364023.0
2020-05-22,189.98,191.625,185.89,189.49,269455.0
2020-05-23,189.98,191.625,185.89,189.49,269455.0
2020-05-24,189.98,191.625,185.89,189.49,269455.0
2020-05-25,189.98,191.625,185.89,189.49,269455.0
2020-05-26,198.79,209.932,195.11,208.66,600394.0
2020-05-27,218.32,224.19,211.6,221.38,742837.0
2020-05-28,224.87,225.0,214.0,215.6,547939.0
2020-05-29,213.69,216.94,210.59,214.75,893619.0
2020-05-30,213.69,216.94,210.59,214.75,893619.0
2020-05-31,213.69,216.94,210.59,214.75,893619.0
2020-06-01,213.41,216.8,210.52,212.81,502924.0
2020-06-02,216.0,216.32,208.0,209.9,365708.0
2020-06-03,215.0,223.0,210.48,219.99,539417.0
2020-06-04,219.1,224.89,216.01,223.19,558258.0
2020-06-05,240.15,242.965,231.39,235.2,693289.0
2020-06-06,240.15,242.965,231.39,235.2,693289.0
2020-06-07,240.15,242.965,231.39,235.2,693289.0
2020-06-08,240.0,244.03,234.105,236.04,620112.0
2020-06-09,231.46,236.88,227.27,234.31,413827.0
2020-06-10,230.71,232.64,221.69,221.81,386558.0
2020-06-11,205.91,212.56,203.485,203.94,577637.0
2020-06-12,214.01,214.01,200.5,208.53,377872.0
2020-06-13,214.01,214.01,200.5,208.53,377872.0
2020-06-14,214.01,214.01,200.5,208.53,377872.0
2020-06-15,204.2,218.54,200.41,216.65,426245.0
2020-06-16,229.53,229.53,215.76,221.81,314189.0
2020-06-17,224.95,225.075,219.01,219.15,269687.0
2020-06-18,213.25,223.39,213.211,220.58,283633.0
2020-06-19,225.2,225.2,216.625,221.84,872007.0
2020-06-20,225.2,225.2,216.625,221.84,872007.0
2020-06-21,225.2,225.2,216.625,221.84,872007.0
2020-06-22,219.05,224.12,216.83,219.9,251557.0
2020-06-23,224.38,224.76,220.04,220.47,304606.0
2020-06-24,217.92,217.92,207.535,207.98,343131.0
2020-06-25,205.2,215.48,204.797,215.0,231496.0
2020-06-26,211.05,211.33,203.57,203.86,517889.0
2020-06-27,211.05,211.33,203.57,203.86,517889.0
2020-06-28,211.05,211.33,203.57,203.86,517889.0
2020-06-29,207.6,207.725,203.47,206.89,390243.0
2020-06-30,206.88,217.44,205.628,215.53,433106.0
2020-07-01,213.0,215.53,204.38,206.28,353901.0
2020-07-02,210.28,215.94,206.0,208.34,294495.0
2020-07-03,210.28,215.94,206.0,208.34,294495.0
2020-07-04,210.28,215.94,206.0,208.34,294495.0
2020-07-05,210.28,215.94,206.0,208.34,294495.0
2020-07-06,213.26,220.0,210.34,213.41,306364.0
2020-07-07,211.58,211.69,207.31,207.78,254403.0
2020-07-08,209.02,211.0,204.25,209.92,336742.0
2020-07-09,210.6,211.835,199.7,201.65,399119.0
2020-07-10,202.39,212.3,202.39,212.0,247731.0
2020-07-11,202.39,212.3,202.39,212.0,247731.0
2020-07-12,202.39,212.3,202.39,212.0,247731.0
2020-07-13,215.55,219.2,211.76,214.43,332237.0
2020-07-14,217.98,217.98,204.78,208.11,460266.0
2020-07-15,214.06,221.86,212.492,220.78,377121.0
2020-07-16,216.22,223.735,214.838,220.18,262004.0
2020-07-17,220.61,220.61,216.02,217.57,199265.0
2020-07-18,220.61,220.61,216.02,217.57,199265.0
2020-07-19,220.61,220.61,216.02,217.57,199265.0
2020-07-20,216.5,217.93,214.78,216.86,212652.0
2020-07-21,220.0,226.57,219.95,224.73,230978.0
2020-07-22,221.89,223.06,219.115,222.0,217360.0
2020-07-23,222.7,227.247,222.52,224.89,402055.0
2020-07-24,223.86,234.79,223.86,230.43,465498.0
2020-07-25,223.86,234.79,223.86,230.43,465498.0
2020-07-26,223.86,234.79,223.86,230.43,465498.0
2020-07-27,227.83,232.5,223.517,225.69,341779.0
2020-07-28,225.0,226.384,221.175,221.48,192472.0
2020-07-29,220.77,228.84,220.35,228.78,253896.0
2020-07-30,222.76,225.69,217.226,225.35,168022.0
2020-07-31,226.21,226.6,220.33,224.27,300320.0
2020-08-01,226.21,226.6,220.33,224.27,300320.0
2020-08-02,226.21,226.6,220.33,224.27,300320.0
2020-08-03,223.66,229.934,221.865,227.58,199117.0
2020-08-04,229.99,229.99,224.44,226.71,186448.0
2020-08-05,229.85,232.44,228.65,231.76,178881.0
2020-08-06,229.51,232.07,228.2,229.38,144943.0
2020-08-07,225.95,237.34,225.95,237.34,213950.0
2020-08-08,225.95,237.34,225.95,237.34,213950.0
2020-08-09,225.95,237.34,225.95,237.34,213950.0
2020-08-10,238.83,243.645,237.587,240.1,211265.0
2020-08-11,246.88,256.13,245.945,252.86,611133.0
2020-08-12,256.55,259.135,248.66,252.98,340689.0
2020-08-13,253.42,256.36,249.04,249.6,212745.0
2020-08-14,246.22,253.15,245.43,250.38,210700.0
2020-08-15,246.22,253.15,245.43,250.38,210700.0
2020-08-16,246.22,253.15,245.43,250.38,210700.0
2020-08-17,249.65,249.65,244.67,245.69,169069.0
2020-08-18,247.51,247.575,240.31,241.51,195072.0
2020-08-19,241.01,245.52,240.48,243.05,180651.0
2020-08-20,240.7,241.49,237.56,240.71,135813.0
2020-08-21,240.26,242.45,237.96,239.42,152888.0
2020-08-22,240.26,242.45,237.96,239.42,152888.0
2020-08-23,240.26,242.45,237.96,239.42,152888.0
2020-08-24,240.38,249.67,239.43,249.36,229339.0
2020-08-25,252.01,256.98,250.96,254.51,401945.0
2020-08-26,254.29,254.29,248.74,249.35,319886.0
2020-08-27,250.61,254.25,249.97,252.04,193842.0
2020-08-28,255.61,255.73,251.73,255.01,297649.0
2020-08-29,255.61,255.73,251.73,255.01,297649.0
2020-08-30,255.61,255.73,251.73,255.01,297649.0
2020-08-31,254.52,257.155,251.565,255.38,316559.0
2020-09-01,253.2,257.46,250.61,256.16,267066.0
2020-09-02,256.99,260.305,253.95,259.21,284165.0
2020-09-03,262.71,267.81,257.1,259.0,303998.0
2020-09-04,262.96,266.23,252.9,259.73,457405.0
2020-09-05,262.96,266.23,252.9,259.73,457405.0
2020-09-06,262.96,266.23,252.9,259.73,457405.0
2020-09-07,262.96,266.23,252.9,259.73,457405.0
2020-09-08,253.17,257.735,248.714,253.38,495144.0
2020-09-09,255.0,257.245,251.26,256.23,399890.0
2020-09-10,259.09,261.94,247.78,248.33,473250.0
2020-09-11,250.16,251.03,244.3,248.59,313177.0
2020-09-12,250.16,251.03,244.3,248.59,313177.0
2020-09-13,250.16,251.03,244.3,248.59,313177.0
2020-09-14,250.11,253.757,247.4,250.68,340387.0
2020-09-15,251.09,251.495,242.94,248.23,431056.0
2020-09-16,249.36,255.33,245.82,249.67,332851.0
2020-09-17,245.29,248.465,244.25,245.91,281204.0
2020-09-18,244.59,248.845,244.48,246.37,496103.0
2020-09-19,244.59,248.845,244.48,246.37,496103.0
2020-09-20,244.59,248.845,244.48,246.37,496103.0
2020-09-21,239.74,248.34,235.17,237.86,426697.0
2020-09-22,236.88,241.0,229.27,230.47,343498.0
2020-09-23,232.62,238.41,226.23,226.62,349581.0
2020-09-24,227.84,230.915,223.3,225.51,282495.0
2020-09-25,222.58,229.94,221.55,229.59,284260.0
2020-09-26,222.58,229.94,221.55,229.59,284260.0
2020-09-27,222.58,229.94,221.55,229.59,284260.0
2020-09-28,235.42,240.45,233.69,237.48,223143.0
2020-09-29,235.42,238.83,234.21,237.09,311402.0
2020-09-30,238.53,245.335,236.06,240.62,311585.0
2020-10-01,243.06,246.46,240.01,245.3,315011.0
2020-10-02,239.51,248.35,239.51,245.65,232830.0
2020-10-03,239.51,248.35,239.51,245.65,232830.0
2020-10-04,239.51,248.35,239.51,245.65,232830.0
2020-10-05,254.931,255.31,247.07,254.81,215890.0
2020-10-06,258.67,263.13,252.98,254.06,298754.0
2020-10-07,258.43,268.69,258.43,266.53,371851.0
2020-10-08,266.53,273.705,265.94,273.2,381982.0
2020-10-09,274.36,278.49,271.45,274.64,255202.0
2020-10-10,274.36,278.49,271.45,274.64,255202.0
2020-10-11,274.36,278.49,271.45,274.64,255202.0
2020-10-12,274.56,277.87,273.09,276.29,193221.0
2020-10-13,276.6,276.6,268.035,269.04,232677.0
2020-10-14,267.78,272.0,267.45,267.78,268084.0
2020-10-15,265.17,274.85,263.34,273.39,207060.0
2020-10-16,274.77,276.83,271.15,273.21,232092.0
2020-10-17,274.77,276.83,271.15,273.21,232092.0
2020-10-18,274.77,276.83,271.15,273.21,232092.0
2020-10-19,276.25,278.78,270.07,270.63,184189.0
2020-10-20,274.51,281.16,273.19,275.95,215701.0
2020-10-21,274.07,282.82,274.07,277.4,187975.0
2020-10-22,277.96,289.26,277.8,285.06,705750.0
2020-10-23,291.99,307.75,290.08,296.38,684412.0
2020-10-24,291.99,307.75,290.08,296.38,684412.0
2020-10-25,291.99,307.75,290.08,296.38,684412.0
2020-10-26,291.22,293.87,286.38,289.94,247866.0
