,EHC US Equity,EHC US Equity,EHC US Equity,EHC US Equity,EHC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,51.6969,52.1242,51.6969,51.9293,465831.0
2020-01-02,52.1767,52.3116,50.9547,51.8468,520212.0
2020-01-03,51.2021,52.0118,51.1796,51.8543,649565.0
2020-01-04,51.2021,52.0118,51.1796,51.8543,649565.0
2020-01-05,51.2021,52.0118,51.1796,51.8543,649565.0
2020-01-06,51.4045,51.8393,50.9697,51.6669,1077197.0
2020-01-07,51.502,51.502,50.8873,51.1497,434733.0
2020-01-08,51.2771,51.9293,51.1197,51.6519,859399.0
2020-01-09,51.8094,51.9368,51.1721,51.6519,792483.0
2020-01-10,51.9068,53.2637,51.8169,53.2037,924034.0
2020-01-11,51.9068,53.2637,51.8169,53.2037,924034.0
2020-01-12,51.9068,53.2637,51.8169,53.2037,924034.0
2020-01-13,54.9804,57.5518,54.3807,57.4843,1462017.0
2020-01-14,57.3494,58.219,56.4873,58.1365,1171117.0
2020-01-15,58.3539,59.0811,57.8442,58.099,1001515.0
2020-01-16,58.6163,60.4005,58.3764,60.1606,884027.0
2020-01-17,60.3555,60.513,58.9837,59.5684,710684.0
2020-01-18,60.3555,60.513,58.9837,59.5684,710684.0
2020-01-19,60.3555,60.513,58.9837,59.5684,710684.0
2020-01-20,60.3555,60.513,58.9837,59.5684,710684.0
2020-01-21,59.426,59.8008,59.0413,59.7633,355560.0
2020-01-22,60.2056,60.2956,59.4409,59.6584,391732.0
2020-01-23,59.4409,59.6733,58.8412,59.2086,462696.0
2020-01-24,59.3285,59.3622,58.4889,59.1036,301212.0
2020-01-25,59.3285,59.3622,58.4889,59.1036,301212.0
2020-01-26,59.3285,59.3622,58.4889,59.1036,301212.0
2020-01-27,58.4064,58.6763,57.9266,57.9791,607374.0
2020-01-28,58.4139,58.6688,57.9416,58.5863,663567.0
2020-01-29,58.5114,58.7737,57.5893,57.8367,580191.0
2020-01-30,57.4468,57.9491,56.6185,57.9041,370089.0
2020-01-31,57.5068,58.0766,56.997,57.7467,621124.0
2020-02-01,57.5068,58.0766,56.997,57.7467,621124.0
2020-02-02,57.5068,58.0766,56.997,57.7467,621124.0
2020-02-03,57.9941,58.5039,57.635,57.8517,523485.0
2020-02-04,58.5039,59.231,58.4139,58.9762,448802.0
2020-02-05,59.5009,60.2506,59.3135,59.4409,703121.0
2020-02-06,59.7558,60.2881,59.1636,59.8158,779181.0
2020-02-07,59.8608,60.5242,58.7438,59.6658,838414.0
2020-02-08,59.8608,60.5242,58.7438,59.6658,838414.0
2020-02-09,59.8608,60.5242,58.7438,59.6658,838414.0
2020-02-10,59.9432,61.4575,59.6658,61.3526,754623.0
2020-02-11,61.4426,62.1697,60.9403,61.2701,491348.0
2020-02-12,61.48,62.2372,60.9365,61.5625,599742.0
2020-02-13,61.0977,62.0348,61.0977,61.7799,360742.0
2020-02-14,61.8099,62.0423,61.2851,61.9298,322589.0
2020-02-15,61.8099,62.0423,61.2851,61.9298,322589.0
2020-02-16,61.8099,62.0423,61.2851,61.9298,322589.0
2020-02-17,61.8099,62.0423,61.2851,61.9298,322589.0
2020-02-18,61.7424,62.166,61.3301,61.8324,309176.0
2020-02-19,61.8324,62.3272,61.5175,62.0798,473835.0
2020-02-20,61.9598,62.4471,61.2851,61.8924,447232.0
2020-02-21,61.7649,61.9598,60.6329,61.2027,553884.0
2020-02-22,61.7649,61.9598,60.6329,61.2027,553884.0
2020-02-23,61.7649,61.9598,60.6329,61.2027,553884.0
2020-02-24,59.8308,60.2806,59.1261,59.3735,508568.0
2020-02-25,59.6808,59.9881,57.4243,57.6268,671299.0
2020-02-26,58.1065,59.2685,57.7617,58.0091,629735.0
2020-02-27,57.1545,58.4964,55.4827,56.3148,748583.0
2020-02-28,54.823,56.4498,54.1858,56.1049,1306638.0
2020-02-29,54.823,56.4498,54.1858,56.1049,1306638.0
2020-03-01,54.823,56.4498,54.1858,56.1049,1306638.0
2020-03-02,56.1424,57.5518,55.6851,57.3794,1146080.0
2020-03-03,57.3944,59.1111,55.2053,55.4152,856409.0
2020-03-04,58.4739,61.8699,57.6118,61.51,1526553.0
2020-03-05,60.4455,60.4455,57.6193,59.1486,1179816.0
2020-03-06,57.7167,58.5264,55.97,57.9191,1156929.0
2020-03-07,57.7167,58.5264,55.97,57.9191,1156929.0
2020-03-08,57.7167,58.5264,55.97,57.9191,1156929.0
2020-03-09,54.4857,54.7555,51.963,52.3716,1241332.0
2020-03-10,53.811,53.9984,51.6069,53.781,899375.0
2020-03-11,52.4316,52.4616,47.094,47.8661,1204150.0
2020-03-12,44.1028,46.6742,40.8568,44.2302,2613427.0
2020-03-13,46.6891,48.0011,43.1807,47.9111,1097746.0
2020-03-14,46.6891,48.0011,43.1807,47.9111,1097746.0
2020-03-15,46.6891,48.0011,43.1807,47.9111,1097746.0
2020-03-16,39.7323,46.3031,38.9901,43.1282,1783321.0
2020-03-17,43.9829,44.6201,41.5614,42.0037,1029556.0
2020-03-18,39.3049,41.389,35.9914,39.6723,1300392.0
2020-03-19,39.6648,43.9379,38.7352,40.407,1128316.0
2020-03-20,40.3695,41.329,36.4412,37.8881,1773821.0
2020-03-21,40.3695,41.329,36.4412,37.8881,1773821.0
2020-03-22,40.3695,41.329,36.4412,37.8881,1773821.0
2020-03-23,37.6332,39.8672,36.1489,37.5357,1249919.0
2020-03-24,39.7622,41.434,37.8581,41.1791,871586.0
2020-03-25,41.0217,43.1357,39.8597,41.9663,975455.0
2020-03-26,42.7384,46.3443,41.8838,44.5751,877545.0
2020-03-27,42.9783,46.4418,41.8013,45.5272,796622.0
2020-03-28,42.9783,46.4418,41.8013,45.5272,796622.0
2020-03-29,42.9783,46.4418,41.8013,45.5272,796622.0
2020-03-30,45.2273,47.1689,44.2078,46.8691,893942.0
2020-03-31,47.7953,48.955,47.2607,48.217,1138776.0
2020-04-01,46.3043,47.0272,45.2802,45.7019,886468.0
2020-04-02,45.0844,47.0272,44.7229,46.7561,1259465.0
2020-04-03,46.4173,46.8013,44.2711,45.2425,1179057.0
2020-04-04,46.4173,46.8013,44.2711,45.2425,1179057.0
2020-04-05,46.4173,46.8013,44.2711,45.2425,1179057.0
2020-04-06,46.8616,48.3676,46.1989,48.1718,790158.0
2020-04-07,50.2427,50.9054,48.9701,49.0077,912403.0
2020-04-08,49.0228,53.2699,48.9851,52.4416,1272179.0
2020-04-09,53.3904,54.5275,52.6223,53.7519,512467.0
2020-04-10,53.3904,54.5275,52.6223,53.7519,512467.0
2020-04-11,53.3904,54.5275,52.6223,53.7519,512467.0
2020-04-12,53.3904,54.5275,52.6223,53.7519,512467.0
2020-04-13,53.1494,53.2914,51.8617,52.6298,659694.0
2020-04-14,54.0757,54.7082,52.5545,53.3226,613671.0
2020-04-15,51.681,53.4431,51.6659,52.5319,680192.0
2020-04-16,52.547,53.3151,51.5003,52.7503,529102.0
2020-04-17,54.1434,54.166,52.9612,53.8121,693052.0
2020-04-18,54.1434,54.166,52.9612,53.8121,693052.0
2020-04-19,54.1434,54.166,52.9612,53.8121,693052.0
2020-04-20,53.0666,53.5862,52.2458,52.3587,822152.0
2020-04-21,51.1915,52.1931,50.6945,50.7472,681784.0
2020-04-22,51.7412,52.419,50.9204,50.9957,417676.0
2020-04-23,51.1463,52.065,50.8451,51.2744,722102.0
2020-04-24,51.7412,51.7412,50.431,51.2593,629217.0
2020-04-25,51.7412,51.7412,50.431,51.2593,629217.0
2020-04-26,51.7412,51.7412,50.431,51.2593,629217.0
2020-04-27,51.922,52.9235,51.922,52.6976,737752.0
2020-04-28,53.7519,53.8272,50.7698,50.7698,864005.0
2020-04-29,50.0921,52.7202,49.9044,52.1178,987908.0
2020-04-30,51.6057,51.6132,49.2562,49.8888,1379924.0
2020-05-01,48.955,49.0604,47.6372,48.9324,849869.0
2020-05-02,48.955,49.0604,47.6372,48.9324,849869.0
2020-05-03,48.955,49.0604,47.6372,48.9324,849869.0
2020-05-04,48.1944,49.0039,47.8029,48.6914,588446.0
2020-05-05,49.4671,50.574,49.4671,49.7231,616271.0
2020-05-06,50.0243,50.0243,48.9776,49.0303,313564.0
2020-05-07,49.7382,49.9189,48.7291,48.827,510300.0
2020-05-08,49.5725,51.6132,49.3089,51.1915,477237.0
2020-05-09,49.5725,51.6132,49.3089,51.1915,477237.0
2020-05-10,49.5725,51.6132,49.3089,51.1915,477237.0
2020-05-11,50.4761,51.8316,50.3481,51.4777,1048151.0
2020-05-12,51.553,51.9521,49.3541,49.3767,419492.0
2020-05-13,48.955,49.2336,47.2607,47.9083,559124.0
2020-05-14,47.2833,47.9007,46.1688,47.7351,493836.0
2020-05-15,47.6899,49.452,47.351,49.1207,1125050.0
2020-05-16,47.6899,49.452,47.351,49.1207,1125050.0
2020-05-17,47.6899,49.452,47.351,49.1207,1125050.0
2020-05-18,50.559,53.1118,50.559,52.7277,713639.0
2020-05-19,52.3738,55.1676,52.3738,54.3242,954804.0
2020-05-20,55.2429,55.8152,53.8874,54.2112,1098851.0
2020-05-21,53.9025,55.3408,53.4586,55.1374,638249.0
2020-05-22,55.3483,55.642,54.3543,55.0998,884721.0
2020-05-23,55.3483,55.642,54.3543,55.0998,884721.0
2020-05-24,55.3483,55.642,54.3543,55.0998,884721.0
2020-05-25,55.3483,55.642,54.3543,55.0998,884721.0
2020-05-26,56.4929,57.0652,55.9733,56.4553,794066.0
2020-05-27,57.0953,57.0953,54.791,56.2369,667113.0
2020-05-28,56.8393,57.4643,55.7361,56.0938,463647.0
2020-05-29,55.5667,56.075,54.4522,55.16,1248639.0
2020-05-30,55.5667,56.075,54.4522,55.16,1248639.0
2020-05-31,55.5667,56.075,54.4522,55.16,1248639.0
2020-06-01,55.1676,56.5381,55.16,55.77,541673.0
2020-06-02,55.9357,56.1917,54.9341,55.6119,468408.0
2020-06-03,56.3197,56.8996,55.401,55.4838,458032.0
2020-06-04,54.8438,55.1525,53.718,53.91,841881.0
2020-06-05,55.1751,56.2293,55.032,55.1525,535716.0
2020-06-06,55.1751,56.2293,55.032,55.1525,535716.0
2020-06-07,55.1751,56.2293,55.032,55.1525,535716.0
2020-06-08,55.4989,56.2444,55.2353,56.1465,653359.0
2020-06-09,55.5516,55.8453,54.648,54.776,455772.0
2020-06-10,54.7007,55.0094,53.3076,53.9702,566699.0
2020-06-11,52.419,52.6148,49.8361,50.077,960760.0
2020-06-12,51.7262,51.7262,48.8044,49.7005,937965.0
2020-06-13,51.7262,51.7262,48.8044,49.7005,937965.0
2020-06-14,51.7262,51.7262,48.8044,49.7005,937965.0
2020-06-15,48.4279,50.4008,47.8932,50.0996,719291.0
2020-06-16,52.0123,52.3512,50.077,50.6192,778538.0
2020-06-17,50.9054,50.9957,49.2186,49.3993,522287.0
2020-06-18,48.9851,49.5499,47.961,49.1207,648866.0
2020-06-19,49.4068,50.2803,48.2471,48.3752,1133395.0
2020-06-20,49.4068,50.2803,48.2471,48.3752,1133395.0
2020-06-21,49.4068,50.2803,48.2471,48.3752,1133395.0
2020-06-22,48.2697,48.3978,47.3887,47.9986,569711.0
2020-06-23,48.3752,48.6124,47.3209,47.5694,887916.0
2020-06-24,46.982,47.1703,45.1823,45.8525,875967.0
2020-06-25,45.7546,45.7876,44.4217,45.5814,1624248.0
2020-06-26,45.476,46.4474,44.6024,44.6627,1050347.0
2020-06-27,45.476,46.4474,44.6024,44.6627,1050347.0
2020-06-28,45.476,46.4474,44.6024,44.6627,1050347.0
2020-06-29,44.979,45.9278,44.6175,45.6943,658484.0
2020-06-30,45.6565,47.0334,45.6565,46.8518,803585.0
2020-07-01,46.64,47.9942,46.64,47.457,1203388.0
2020-07-02,47.8883,48.3497,46.6551,47.0183,704191.0
2020-07-03,47.8883,48.3497,46.6551,47.0183,704191.0
2020-07-04,47.8883,48.3497,46.6551,47.0183,704191.0
2020-07-05,47.8883,48.3497,46.6551,47.0183,704191.0
2020-07-06,47.9412,47.9715,46.9275,47.6235,1376099.0
2020-07-07,47.215,47.5781,46.3979,46.9502,580396.0
2020-07-08,46.8064,47.1317,45.9894,46.4811,569874.0
2020-07-09,46.3222,46.3222,44.7108,45.6111,547608.0
2020-07-10,45.6111,46.5416,45.2404,46.3752,466549.0
2020-07-11,45.6111,46.5416,45.2404,46.3752,466549.0
2020-07-12,45.6111,46.5416,45.2404,46.3752,466549.0
2020-07-13,46.7535,47.2603,45.9364,46.0348,422279.0
2020-07-14,45.8608,47.5478,45.8456,47.4949,801423.0
2020-07-15,48.2892,49.6812,48.2892,49.3332,682068.0
2020-07-16,49.3181,49.8931,48.9323,49.4467,263780.0
