,GM US Equity,GM US Equity,GM US Equity,GM US Equity,GM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,31.6559,31.8607,30.6457,31.1438,8455549.0
2019-01-02,30.5852,31.4744,30.1755,31.3207,7662344.0
2019-01-03,31.0414,31.358,29.98,30.0266,11618332.0
2019-01-04,30.5386,31.2566,30.1942,31.0321,10783950.0
2019-01-05,30.5386,31.2566,30.1942,31.0321,10783950.0
2019-01-06,30.5386,31.2566,30.1942,31.0321,10783950.0
2019-01-07,31.3859,32.5544,31.1718,31.9911,10722317.0
2019-01-08,32.587,33.2201,32.1121,32.4101,10532945.0
2019-01-09,32.5497,33.1363,32.317,32.7546,9917596.0
2019-01-10,32.587,32.6335,31.8095,32.3356,9143671.0
2019-01-11,34.0767,35.3522,33.7508,34.6167,32257094.0
2019-01-12,34.0767,35.3522,33.7508,34.6167,32257094.0
2019-01-13,34.0767,35.3522,33.7508,34.6167,32257094.0
2019-01-14,34.6818,35.3801,34.4677,35.0636,14361061.0
2019-01-15,35.2312,35.2312,34.2629,34.9612,11999110.0
2019-01-16,34.896,35.3615,34.6969,35.0729,17427441.0
2019-01-17,34.9146,35.6595,34.8215,35.6222,13060541.0
2019-01-18,35.7991,36.0971,35.2312,35.9481,10494113.0
2019-01-19,35.7991,36.0971,35.2312,35.9481,10494113.0
2019-01-20,35.7991,36.0971,35.2312,35.9481,10494113.0
2019-01-21,35.7991,36.0971,35.2312,35.9481,10494113.0
2019-01-22,35.6408,36.111,35.2777,35.5198,12134385.0
2019-01-23,35.5663,35.7153,34.896,35.0729,7752789.0
2019-01-24,35.1567,35.6501,35.0636,35.5291,7809295.0
2019-01-25,35.9853,36.1529,35.7153,35.976,8843499.0
2019-01-26,35.9853,36.1529,35.7153,35.976,8843499.0
2019-01-27,35.9853,36.1529,35.7153,35.976,8843499.0
2019-01-28,35.5943,35.9388,35.4313,35.8084,11384350.0
2019-01-29,35.6688,35.8829,35.4639,35.8177,5745384.0
2019-01-30,35.8457,36.4415,35.4919,36.395,11032977.0
2019-01-31,36.1343,36.3577,35.8317,36.3298,11219338.0
2019-02-01,36.2274,36.4462,35.8643,36.1064,8040324.0
2019-02-02,36.2274,36.4462,35.8643,36.1064,8040324.0
2019-02-03,36.2274,36.4462,35.8643,36.1064,8040324.0
2019-02-04,35.9853,36.2553,35.706,36.246,9959977.0
