,URI US Equity,URI US Equity,URI US Equity,URI US Equity,URI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,100.8566,101.308,96.9315,100.6113,1743820.0
2019-01-02,98.4328,104.0065,97.1473,103.6435,1729591.0
2019-01-03,102.4365,102.4365,98.6193,100.0716,1771544.0
2019-01-04,102.4659,108.7658,101.5337,108.0691,2396857.0
2019-01-05,102.4659,108.7658,101.5337,108.0691,2396857.0
2019-01-06,102.4659,108.7658,101.5337,108.0691,2396857.0
2019-01-07,108.7756,113.5643,106.0869,111.9844,2153172.0
2019-01-08,114.104,114.9381,111.8765,114.0843,2046570.0
2019-01-09,116.0273,117.3324,112.7007,116.253,1641070.0
2019-01-10,114.261,117.6955,113.4367,116.5572,1576379.0
2019-01-11,115.1736,116.6259,113.1718,115.2521,1355581.0
2019-01-12,115.1736,116.6259,113.1718,115.2521,1355581.0
2019-01-13,115.1736,116.6259,113.1718,115.2521,1355581.0
2019-01-14,113.8292,115.7918,113.3582,114.5554,1201997.0
2019-01-15,115.1245,115.5857,112.4554,113.9764,1086520.0
2019-01-16,114.5554,116.2824,113.9986,115.3011,1203077.0
2019-01-17,114.9381,118.3726,114.8105,117.146,1742792.0
2019-01-18,118.6964,122.2192,117.0675,121.0122,2275678.0
2019-01-19,118.6964,122.2192,117.0675,121.0122,2275678.0
2019-01-20,118.6964,122.2192,117.0675,121.0122,2275678.0
2019-01-21,118.6964,122.2192,117.0675,121.0122,2275678.0
2019-01-22,118.8338,119.7267,114.8399,116.0273,2388661.0
2019-01-23,117.1067,117.1656,111.9255,113.8488,3024310.0
2019-01-24,119.2459,122.6608,117.4894,121.0122,4040649.0
2019-01-25,122.3664,125.271,121.0907,124.8785,3089635.0
2019-01-26,122.3664,125.271,121.0907,124.8785,3089635.0
2019-01-27,122.3664,125.271,121.0907,124.8785,3089635.0
2019-01-28,122.1603,124.3879,120.6982,122.4547,1710427.0
2019-01-29,123.2397,123.907,121.6893,121.9935,1335437.0
2019-01-30,123.3183,125.6046,120.0113,125.5752,2009520.0
2019-01-31,125.3201,125.3201,122.1402,122.9159,1497820.0
2019-02-01,122.5283,124.8589,122.0916,123.9757,1750489.0
2019-02-02,122.5283,124.8589,122.0916,123.9757,1750489.0
2019-02-03,122.5283,124.8589,122.0916,123.9757,1750489.0
2019-02-04,123.8972,127.0373,122.7099,126.9686,1389748.0
2019-02-05,126.635,128.5485,125.6341,126.7233,1259095.0
2019-02-06,126.213,127.7242,125.6046,126.4878,934743.0
2019-02-07,125.3593,125.9481,122.1996,123.6225,1401950.0
2019-02-08,122.2683,124.015,121.3459,123.9266,1137660.0
2019-02-09,122.2683,124.015,121.3459,123.9266,1137660.0
2019-02-10,122.2683,124.015,121.3459,123.9266,1137660.0
2019-02-11,124.1818,126.321,123.7795,125.4967,946537.0
2019-02-12,127.1256,129.9812,126.7822,128.9508,1332993.0
2019-02-13,130.2461,131.2667,129.6132,129.6672,1148984.0
2019-02-14,128.9508,129.6279,127.5672,129.2354,1178115.0
2019-02-15,130.5798,133.504,129.6377,132.3363,1630488.0
2019-02-16,130.5798,133.504,129.6377,132.3363,1630488.0
2019-02-17,130.5798,133.504,129.6377,132.3363,1630488.0
2019-02-18,130.5798,133.504,129.6377,132.3363,1630488.0
2019-02-19,131.8751,132.8662,128.1854,131.7769,1710146.0
2019-02-20,132.4344,135.074,131.6988,133.7101,1254843.0
2019-02-21,133.4549,134.3872,131.3258,132.5227,1186017.0
2019-02-22,133.4942,134.5245,132.8465,134.2792,1118338.0
2019-02-23,133.4942,134.5245,132.8465,134.2792,1118338.0
2019-02-24,133.4942,134.5245,132.8465,134.2792,1118338.0
2019-02-25,135.2998,136.4282,133.1606,133.7395,1328352.0
2019-02-26,132.9152,134.1418,131.6396,132.3166,1297226.0
2019-02-27,132.3952,133.7199,130.9232,133.1213,916830.0
2019-02-28,132.7975,133.5089,131.7279,132.0713,995448.0
2019-03-01,134.083,135.9082,131.5365,133.1507,1108341.0
2019-03-02,134.083,135.9082,131.5365,133.1507,1108341.0
2019-03-03,134.083,135.9082,131.5365,133.1507,1108341.0
2019-03-04,133.9358,134.5932,128.9116,130.0106,1470389.0
2019-03-05,130.2167,130.2952,127.8714,127.999,1715592.0
2019-03-06,128.2541,128.3326,125.4967,125.6537,1170788.0
2019-03-07,125.2906,125.4476,121.4342,124.2112,1934403.0
2019-03-08,121.5323,122.3958,119.344,120.9337,1491800.0
2019-03-09,121.5323,122.3958,119.344,120.9337,1491800.0
2019-03-10,121.5323,122.3958,119.344,120.9337,1491800.0
2019-03-11,120.8748,121.7678,120.2566,121.6893,1213774.0
2019-03-12,122.1898,123.6421,119.766,122.9552,1553374.0
2019-03-13,123.7402,124.6773,121.8758,122.0131,1011592.0
2019-03-14,121.2183,121.4342,119.344,119.4324,1013706.0
2019-03-15,119.4716,120.5805,117.6072,117.8917,1920299.0
2019-03-16,119.4716,120.5805,117.6072,117.8917,1920299.0
2019-03-17,119.4716,120.5805,117.6072,117.8917,1920299.0
2019-03-18,118.3137,120.9534,117.7544,120.6884,1208083.0
2019-03-19,121.4832,122.1701,118.0782,118.4216,1385357.0
2019-03-20,118.0193,118.0537,111.926,113.9372,3348184.0
2019-03-21,113.4956,116.9595,113.2208,116.8319,1400998.0
2019-03-22,115.8997,115.939,108.8148,108.8835,2664015.0
2019-03-23,115.8997,115.939,108.8148,108.8835,2664015.0
2019-03-24,115.8997,115.939,108.8148,108.8835,2664015.0
2019-03-25,108.5597,110.9835,108.1868,109.0405,1642887.0
2019-03-26,111.0914,111.5232,107.8041,109.5116,1405571.0
2019-03-27,109.8452,110.4438,107.1417,108.648,1342086.0
2019-03-28,108.599,110.5812,107.9611,110.4634,1219611.0
2019-03-29,111.8666,113.0049,111.1896,112.112,1355154.0
2019-03-30,111.8666,113.0049,111.1896,112.112,1355154.0
2019-03-31,111.8666,113.0049,111.1896,112.112,1355154.0
2019-04-01,113.4269,116.4689,112.2395,115.8997,2037122.0
2019-04-02,115.7918,117.8034,115.154,116.3119,1147340.0
2019-04-03,117.6857,119.4814,117.5434,118.716,1501423.0
2019-04-04,119.3048,120.4823,119.03,120.2468,1267834.0
2019-04-05,121.4931,122.4351,120.8062,121.0319,1308131.0
2019-04-06,121.4931,122.4351,120.8062,121.0319,1308131.0
2019-04-07,121.4931,122.4351,120.8062,121.0319,1308131.0
2019-04-08,120.4529,121.7973,119.5511,121.758,826245.0
2019-04-09,120.3351,120.3594,116.9203,117.3324,1522950.0
2019-04-10,117.6955,119.0693,116.4689,118.9221,897577.0
2019-04-11,119.2754,123.7598,119.1085,122.4155,2156453.0
2019-04-12,125.0257,126.3406,122.7933,124.3682,1426585.0
2019-04-13,125.0257,126.3406,122.7933,124.3682,1426585.0
2019-04-14,125.0257,126.3406,122.7933,124.3682,1426585.0
2019-04-15,124.643,125.4427,122.7,123.0239,2411091.0
2019-04-16,124.2995,124.6136,121.4047,123.6911,1323601.0
2019-04-17,124.2603,124.8,122.808,123.4066,2116118.0
2019-04-18,132.768,135.8983,131.6003,133.4549,4772775.0
2019-04-19,132.768,135.8983,131.6003,133.4549,4772775.0
2019-04-20,132.768,135.8983,131.6003,133.4549,4772775.0
2019-04-21,132.768,135.8983,131.6003,133.4549,4772775.0
2019-04-22,132.8269,134.5834,131.1587,132.925,1644085.0
2019-04-23,132.876,136.7128,132.6012,135.7904,1587169.0
2019-04-24,135.9376,137.9689,135.4175,137.2721,1300678.0
2019-04-25,136.6932,137.3408,134.2105,134.9563,1047223.0
2019-04-26,135.4273,137.91,134.8189,137.7726,1129909.0
2019-04-27,135.4273,137.91,134.8189,137.7726,1129909.0
2019-04-28,135.4273,137.91,134.8189,137.7726,1129909.0
2019-04-29,138.4104,139.4899,137.6526,138.3025,845123.0
2019-04-30,138.4791,138.7441,136.124,138.2829,1193864.0
2019-05-01,139.1268,140.0197,135.967,136.0455,1221318.0
2019-05-02,135.6138,136.7717,131.6592,134.4362,1725076.0
2019-05-03,135.0152,138.6067,134.9123,137.6156,1015327.0
2019-05-04,135.0152,138.6067,134.9123,137.6156,1015327.0
2019-05-05,135.0152,138.6067,134.9123,137.6156,1015327.0
2019-05-06,133.1998,135.9965,131.8869,134.9759,1403921.0
2019-05-07,132.405,133.2243,129.9616,131.7573,1238362.0
2019-05-08,131.5709,133.4451,130.8643,131.4826,839412.0
2019-05-09,128.6761,131.7033,125.9088,131.2863,1242503.0
2019-05-10,130.5013,130.8938,126.3504,130.0303,1104842.0
2019-05-11,130.5013,130.8938,126.3504,130.0303,1104842.0
2019-05-12,130.5013,130.8938,126.3504,130.0303,1104842.0
2019-05-13,125.9874,126.4927,121.9052,123.8285,1489173.0
2019-05-14,124.9374,126.3357,123.2986,124.7117,1079436.0
2019-05-15,122.9257,126.8509,122.124,126.2621,1066022.0
2019-05-16,126.6252,128.1658,125.7322,126.056,900608.0
2019-05-17,124.2799,125.1827,123.2986,123.9659,912348.0
2019-05-18,124.2799,125.1827,123.2986,123.9659,912348.0
2019-05-19,124.2799,125.1827,123.2986,123.9659,912348.0
2019-05-20,121.9346,123.1122,120.6295,121.7286,1521975.0
2019-05-21,123.0337,124.5645,122.4351,124.3584,1126170.0
2019-05-22,123.5538,124.0248,119.3244,120.0996,1375089.0
2019-05-23,118.0487,118.2548,115.4336,116.2726,1309644.0
2019-05-24,117.0871,118.6473,114.7222,116.3217,623303.0
2019-05-25,117.0871,118.6473,114.7222,116.3217,623303.0
2019-05-26,117.0871,118.6473,114.7222,116.3217,623303.0
2019-05-27,117.0871,118.6473,114.7222,116.3217,623303.0
2019-05-28,116.4198,117.2343,112.8087,112.8479,1212365.0
2019-05-29,111.9942,113.9077,110.7774,113.6624,1327837.0
2019-05-30,114.3002,115.8899,112.4849,113.0344,1368011.0
2019-05-31,110.4963,110.8265,107.3037,108.0396,1615343.0
2019-06-01,110.4963,110.8265,107.3037,108.0396,1615343.0
2019-06-02,110.4963,110.8265,107.3037,108.0396,1615343.0
2019-06-03,109.8844,112.9461,109.6587,111.7194,1984448.0
2019-06-04,113.3876,119.2263,113.3876,119.0693,1822051.0
2019-06-05,119.923,120.0996,115.4778,117.146,1133404.0
2019-06-06,116.9988,117.8623,114.4278,116.5278,818227.0
2019-06-07,116.4787,120.5118,116.358,119.9426,1277599.0
2019-06-08,116.4787,120.5118,116.358,119.9426,1277599.0
2019-06-09,116.4787,120.5118,116.358,119.9426,1277599.0
2019-06-10,121.0711,123.5243,120.7473,121.2772,1032949.0
2019-06-11,123.1711,123.2986,119.0006,119.9623,997404.0
2019-06-12,119.0693,119.6973,117.6759,119.2754,739382.0
2019-06-13,119.6875,121.5225,119.4275,121.4636,689473.0
2019-06-14,121.13,121.2968,118.6768,120.5707,684440.0
2019-06-15,121.13,121.2968,118.6768,120.5707,684440.0
2019-06-16,121.13,121.2968,118.6768,120.5707,684440.0
2019-06-17,120.6295,121.13,118.4314,119.0693,1036393.0
2019-06-18,121.6403,126.5663,121.1104,125.3691,1760193.0
2019-06-19,125.1729,125.8009,123.4014,123.9168,1074190.0
2019-06-20,126.7626,129.1177,125.9579,128.3032,1345790.0
2019-06-21,128.0088,129.1177,126.2915,127.4397,1056147.0
2019-06-22,128.0088,129.1177,126.2915,127.4397,1056147.0
2019-06-23,128.0088,129.1177,126.2915,127.4397,1056147.0
2019-06-24,127.1453,129.9321,127.0864,127.1845,1128620.0
2019-06-25,127.1845,127.8125,125.5197,126.213,744393.0
2019-06-26,127.4298,129.4807,126.9785,128.1266,1144281.0
2019-06-27,129.0882,129.9027,127.3317,129.5004,604958.0
2019-06-28,130.3443,132.6601,129.6672,130.148,1875730.0
2019-06-29,130.3443,132.6601,129.6672,130.148,1875730.0
2019-06-30,130.3443,132.6601,129.6672,130.148,1875730.0
2019-07-01,133.4549,135.2213,130.6092,131.7868,1281686.0
2019-07-02,131.3354,131.5807,128.7448,129.3335,692450.0
2019-07-03,130.0401,131.041,129.4513,130.4326,454875.0
2019-07-04,130.0401,131.041,129.4513,130.4326,454875.0
2019-07-05,129.3532,130.9036,127.5672,130.4326,644587.0
2019-07-06,129.3532,130.9036,127.5672,130.4326,644587.0
2019-07-07,129.3532,130.9036,127.5672,130.4326,644587.0
2019-07-08,129.3826,131.5316,128.5191,129.4513,681502.0
2019-07-09,127.9107,129.049,127.1943,128.9508,734243.0
2019-07-10,129.7064,129.843,126.6939,128.0382,960065.0
2019-07-11,128.1069,128.9116,126.3602,128.8723,823246.0
2019-07-12,129.6574,134.1909,129.363,133.7886,1118392.0
2019-07-13,129.6574,134.1909,129.363,133.7886,1118392.0
2019-07-14,129.6574,134.1909,129.363,133.7886,1118392.0
2019-07-15,134.2302,135.0937,132.0615,132.2185,810144.0
2019-07-16,132.0124,135.3194,130.3344,135.0152,1519548.0
2019-07-17,134.0928,134.3332,128.8036,129.0293,2476541.0
2019-07-18,121.1889,122.9944,118.559,118.8436,5510051.0
2019-07-19,118.9123,120.2468,116.6431,116.7534,3149049.0
2019-07-20,118.9123,120.2468,116.6431,116.7534,3149049.0
2019-07-21,118.9123,120.2468,116.6431,116.7534,3149049.0
2019-07-22,117.6562,118.2695,114.8105,115.8997,2425112.0
2019-07-23,116.0469,120.0113,115.8899,119.5796,2062541.0
2019-07-24,119.452,124.8589,119.2263,124.2603,1867833.0
2019-07-25,124.2701,125.4967,122.5627,125.3495,1221941.0
2019-07-26,125.5163,127.1747,124.6756,125.2219,1302569.0
2019-07-27,125.5163,127.1747,124.6756,125.2219,1302569.0
2019-07-28,125.5163,127.1747,124.6756,125.2219,1302569.0
2019-07-29,125.1631,127.3759,123.9365,126.5761,1174693.0
2019-07-30,125.5163,128.2737,124.221,127.5182,1088236.0
2019-07-31,127.2336,128.0579,123.593,124.1818,1270946.0
2019-08-01,123.2888,123.8481,117.3717,118.6179,1609090.0
2019-08-02,117.1263,117.4796,113.9862,115.0853,1611583.0
2019-08-03,117.1263,117.4796,113.9862,115.0853,1611583.0
2019-08-04,117.1263,117.4796,113.9862,115.0853,1611583.0
2019-08-05,112.0531,112.2935,109.6882,111.2288,1858363.0
2019-08-06,113.0736,113.6231,110.4143,112.2395,1221483.0
2019-08-07,109.6784,111.4447,108.491,111.2877,1314373.0
2019-08-08,112.5339,116.0469,112.5339,115.6446,1331000.0
2019-08-09,114.889,115.046,112.3573,113.4073,1231372.0
2019-08-10,114.889,115.046,112.3573,113.4073,1231372.0
2019-08-11,114.889,115.046,112.3573,113.4073,1231372.0
2019-08-12,111.7783,111.9255,108.334,108.7658,1069859.0
2019-08-13,108.0396,114.4769,107.5048,110.4143,1415625.0
2019-08-14,107.6667,107.9317,101.9066,103.3883,2139106.0
2019-08-15,103.4963,103.9673,100.837,102.6131,1727994.0
2019-08-16,103.7907,106.7619,103.3196,105.9691,1553123.0
2019-08-17,103.7907,106.7619,103.3196,105.9691,1553123.0
2019-08-18,103.7907,106.7619,103.3196,105.9691,1553123.0
2019-08-19,108.2751,109.2957,107.2252,108.5695,1205651.0
2019-08-20,107.9415,108.0592,106.9995,107.1172,738221.0
2019-08-21,110.012,110.3358,108.5303,109.1779,828186.0
2019-08-22,109.9629,110.6891,107.284,107.7943,960690.0
2019-08-23,106.2242,107.6275,102.358,102.9958,1467894.0
2019-08-24,106.2242,107.6275,102.358,102.9958,1467894.0
2019-08-25,106.2242,107.6275,102.358,102.9958,1467894.0
2019-08-26,105.1939,105.3018,102.3384,104.2715,1186980.0
2019-08-27,104.9486,105.7336,101.0725,101.8575,1160692.0
2019-08-28,101.5141,105.61,99.9931,104.3304,1068093.0
2019-08-29,106.8228,109.9728,106.2242,109.2368,1315790.0
2019-08-30,110.8363,112.2886,109.7863,110.4536,1221349.0
