,ATKR US Equity,ATKR US Equity,ATKR US Equity,ATKR US Equity,ATKR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,19.6385,19.9678,19.1495,19.7981,361725.0
2019-01-02,19.4389,20.5166,19.2593,20.5066,673426.0
2019-01-03,20.5665,20.5865,19.7183,20.2173,489127.0
2019-01-04,20.6064,21.0655,20.332,20.9657,375120.0
2019-01-05,20.6064,21.0655,20.332,20.9657,375120.0
2019-01-06,20.6064,21.0655,20.332,20.9657,375120.0
2019-01-07,21.1054,21.7989,20.9457,21.4746,456610.0
2019-01-08,21.754,22.0135,21.5444,21.774,411962.0
2019-01-09,21.9037,22.0234,21.5045,21.8538,458615.0
2019-01-10,21.8837,22.1432,21.5245,22.1232,303159.0
2019-01-11,21.8837,22.3627,21.8134,22.2629,203040.0
2019-01-12,21.8837,22.3627,21.8134,22.2629,203040.0
2019-01-13,21.8837,22.3627,21.8134,22.2629,203040.0
2019-01-14,22.1432,22.2729,21.7241,21.8638,291907.0
2019-01-15,21.8039,22.0334,21.5844,21.8338,173119.0
2019-01-16,21.754,22.3428,21.6841,21.7939,374608.0
2019-01-17,21.7839,22.0833,21.5544,21.9436,227737.0
2019-01-18,22.0933,22.3527,21.9037,22.1432,148905.0
2019-01-19,22.0933,22.3527,21.9037,22.1432,148905.0
2019-01-20,22.0933,22.3527,21.9037,22.1432,148905.0
2019-01-21,22.0933,22.3527,21.9037,22.1432,148905.0
2019-01-22,21.9735,22.1532,21.6143,21.8538,225617.0
2019-01-23,21.9336,22.0683,21.275,21.4546,278791.0
2019-01-24,21.4347,21.9336,21.4347,21.6343,169864.0
2019-01-25,21.9336,22.1731,21.8288,22.0534,330567.0
2019-01-26,21.9336,22.1731,21.8288,22.0534,330567.0
2019-01-27,21.9336,22.1731,21.8288,22.0534,330567.0
2019-01-28,21.7041,21.9486,21.5444,21.6642,218480.0
2019-01-29,21.764,22.1432,21.6659,22.1232,234017.0
2019-01-30,22.243,22.3527,21.8837,22.3028,198301.0
2019-01-31,22.2829,23.2409,22.1831,23.1411,429254.0
2019-02-01,23.1411,23.3706,22.7521,22.9614,405818.0
2019-02-02,23.1411,23.3706,22.7521,22.9614,405818.0
2019-02-03,23.1411,23.3706,22.7521,22.9614,405818.0
2019-02-04,22.9016,23.3706,22.8118,23.3406,377396.0
