,EBSB US Equity,EBSB US Equity,EBSB US Equity,EBSB US Equity,EBSB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,19.3985,19.6096,19.2833,19.2833,129554.0
2020-01-02,19.3697,19.3697,18.9713,19.1105,135045.0
2020-01-03,18.9281,19.0433,18.6594,19.0289,143434.0
2020-01-04,18.9281,19.0433,18.6594,19.0289,143434.0
2020-01-05,18.9281,19.0433,18.6594,19.0289,143434.0
2020-01-06,18.9185,18.9569,18.7362,18.8418,136616.0
2020-01-07,18.7362,18.8514,18.6306,18.669,109193.0
2020-01-08,18.6114,18.8418,18.6114,18.7074,112356.0
2020-01-09,18.7266,18.813,18.6258,18.6306,85278.0
2020-01-10,18.5826,18.597,18.381,18.525,159427.0
2020-01-11,18.5826,18.597,18.381,18.525,159427.0
2020-01-12,18.5826,18.597,18.381,18.525,159427.0
2020-01-13,18.5346,18.7266,18.5038,18.717,198051.0
2020-01-14,18.6306,18.765,18.5634,18.669,185951.0
2020-01-15,18.6306,18.6978,18.4962,18.621,87096.0
2020-01-16,18.7074,18.9665,18.669,18.8418,122939.0
2020-01-17,18.9665,18.9665,18.6786,18.7074,93687.0
2020-01-18,18.9665,18.9665,18.6786,18.7074,93687.0
2020-01-19,18.9665,18.9665,18.6786,18.7074,93687.0
2020-01-20,18.9665,18.9665,18.6786,18.7074,93687.0
2020-01-21,18.573,18.6114,18.4002,18.4194,108968.0
2020-01-22,18.5154,18.621,18.2754,18.4674,148490.0
2020-01-23,18.3618,18.5634,18.3042,18.5346,129334.0
2020-01-24,18.4674,18.5058,18.333,18.4674,131723.0
2020-01-25,18.4674,18.5058,18.333,18.4674,131723.0
2020-01-26,18.4674,18.5058,18.333,18.4674,131723.0
2020-01-27,18.285,18.5442,18.2562,18.5058,286885.0
2020-01-28,18.5538,18.6402,18.4194,18.6018,250977.0
2020-01-29,18.4962,18.4962,17.3924,17.4116,481769.0
2020-01-30,17.258,17.5844,17.1434,17.5748,332259.0
2020-01-31,17.5844,17.6611,17.2004,17.2676,267055.0
2020-02-01,17.5844,17.6611,17.2004,17.2676,267055.0
2020-02-02,17.5844,17.6611,17.2004,17.2676,267055.0
2020-02-03,17.2868,17.5364,17.2868,17.498,192069.0
2020-02-04,17.6132,17.6515,17.2292,17.2484,216615.0
2020-02-05,17.3252,17.4404,17.3012,17.3492,251177.0
