,EXC US Equity,EXC US Equity,EXC US Equity,EXC US Equity,EXC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,27.902,28.0557,27.7729,28.0249,3691353.0
2020-01-02,28.1417,28.1417,27.8159,27.9266,4888826.0
2020-01-03,27.8651,28.1325,27.859,28.0126,5385573.0
2020-01-04,27.8651,28.1325,27.859,28.0126,5385573.0
2020-01-05,27.8651,28.1325,27.859,28.0126,5385573.0
2020-01-06,27.9942,28.1294,27.902,28.0526,5551464.0
2020-01-07,27.9881,28.0864,27.736,28.0803,6777396.0
2020-01-08,28.0803,28.3876,28.0464,28.28,6139503.0
2020-01-09,28.2278,28.3938,28.0188,28.3692,5320854.0
2020-01-10,28.4614,28.5413,28.3477,28.4368,5738539.0
2020-01-11,28.4614,28.5413,28.3477,28.4368,5738539.0
2020-01-12,28.4614,28.5413,28.3477,28.4368,5738539.0
2020-01-13,28.4184,28.6335,28.3507,28.3938,6653880.0
2020-01-14,28.3323,28.3354,28.0126,28.1602,6279667.0
2020-01-15,28.3077,28.8364,28.2831,28.6151,5877284.0
2020-01-16,28.6765,28.9101,28.6151,28.7319,5763883.0
2020-01-17,28.8671,29.1806,28.7257,29.1314,7566295.0
2020-01-18,28.8671,29.1806,28.7257,29.1314,7566295.0
2020-01-19,28.8671,29.1806,28.7257,29.1314,7566295.0
2020-01-20,28.8671,29.1806,28.7257,29.1314,7566295.0
2020-01-21,29.1622,29.2667,29.0331,29.2482,5097360.0
2020-01-22,29.2421,29.4511,29.199,29.2974,8751545.0
2020-01-23,29.3035,29.5064,29.1622,29.4757,6076021.0
2020-01-24,29.4142,29.6109,29.2298,29.3404,4801223.0
2020-01-25,29.4142,29.6109,29.2298,29.3404,4801223.0
2020-01-26,29.4142,29.6109,29.2298,29.3404,4801223.0
2020-01-27,29.3589,29.6109,29.0085,29.0577,5451092.0
2020-01-28,29.0515,29.4511,29.0331,29.3404,5118538.0
2020-01-29,29.2974,29.6754,29.2482,29.3896,6526332.0
2020-01-30,29.2728,29.5986,29.1376,29.5433,5240488.0
2020-01-31,29.5064,29.6048,29.0454,29.2544,6880671.0
2020-02-01,29.5064,29.6048,29.0454,29.2544,6880671.0
2020-02-02,29.5064,29.6048,29.0454,29.2544,6880671.0
2020-02-03,29.3097,29.6908,29.2605,29.6293,6122899.0
2020-02-04,29.574,29.8199,29.4388,29.5617,6091442.0
2020-02-05,29.5125,29.7769,29.3958,29.7093,5062968.0
2020-02-06,29.7216,29.8568,29.6293,29.6662,4162485.0
2020-02-07,29.7338,29.8629,29.5986,29.6232,4831435.0
2020-02-08,29.7338,29.8629,29.5986,29.6232,4831435.0
2020-02-09,29.7338,29.8629,29.5986,29.6232,4831435.0
2020-02-10,29.6847,29.7277,29.5402,29.697,4227498.0
2020-02-11,29.697,30.407,29.697,30.3301,6187445.0
2020-02-12,30.3916,30.5022,30.1273,30.2809,5279708.0
2020-02-13,30.3977,30.5483,30.2471,30.4715,5165541.0
2020-02-14,30.4899,30.6006,30.324,30.5883,3643068.0
2020-02-15,30.4899,30.6006,30.324,30.5883,3643068.0
2020-02-16,30.4899,30.6006,30.324,30.5883,3643068.0
2020-02-17,30.4899,30.6006,30.324,30.5883,3643068.0
2020-02-18,30.6867,31.0678,30.5207,30.9694,5163076.0
2020-02-19,30.8657,30.9952,30.5962,30.7232,4023511.0
2020-02-20,30.6489,30.9276,30.6117,30.8781,3745514.0
2020-02-21,30.8719,30.9982,30.7542,30.7975,7352332.0
2020-02-22,30.8719,30.9982,30.7542,30.7975,7352332.0
2020-02-23,30.8719,30.9982,30.7542,30.7975,7352332.0
2020-02-24,31.0019,31.2621,30.2277,30.2401,5989460.0
2020-02-25,30.2091,30.2741,29.4286,29.5029,7610224.0
2020-02-26,29.8498,29.918,29.1313,29.1437,6901530.0
2020-02-27,29.1808,29.1994,27.9482,27.9606,8275434.0
2020-02-28,27.4651,27.4774,26.2138,26.7032,14879090.0
2020-02-29,27.4651,27.4774,26.2138,26.7032,14879090.0
2020-03-01,27.4651,27.4774,26.2138,26.7032,14879090.0
2020-03-02,26.7527,28.1464,26.5731,28.1402,9653778.0
2020-03-03,27.9234,28.8526,27.2792,27.3721,11652224.0
2020-03-04,27.6323,29.0291,27.5704,29.0012,8139821.0
2020-03-05,28.3384,28.7349,28.0535,28.5738,8488883.0
2020-03-06,27.2606,28.1031,26.9819,27.9792,9421638.0
2020-03-07,27.2606,28.1031,26.9819,27.9792,9421638.0
2020-03-08,27.2606,28.1031,26.9819,27.9792,9421638.0
2020-03-09,26.6288,27.6323,25.4767,25.9599,12448042.0
2020-03-10,26.4368,27.0562,25.3219,26.7094,13291561.0
2020-03-11,26.0652,26.0652,24.3865,24.6591,9143220.0
2020-03-12,23.2282,23.6804,21.3235,21.8469,13262278.0
2020-03-13,22.392,23.536,21.1222,22.5221,11414572.0
2020-03-14,22.392,23.536,21.1222,22.5221,11414572.0
2020-03-15,22.392,23.536,21.1222,22.5221,11414572.0
2020-03-16,20.5461,22.0451,18.4463,18.8985,8626644.0
2020-03-17,19.3754,22.4539,18.2233,22.2991,13613677.0
2020-03-18,20.9673,21.5124,19.1524,20.4656,9679988.0
2020-03-19,20.4284,21.2709,18.8985,20.0754,7480928.0
2020-03-20,20.2364,20.7382,19.0905,19.202,8645011.0
2020-03-21,20.2364,20.7382,19.0905,19.202,8645011.0
2020-03-22,20.2364,20.7382,19.0905,19.202,8645011.0
2020-03-23,19.4807,19.7843,18.1366,18.5702,9696507.0
2020-03-24,19.4869,21.4133,19.425,21.3762,11154265.0
2020-03-25,21.0788,22.4911,20.5647,21.4009,9018783.0
2020-03-26,21.4133,22.9123,21.2213,22.6646,6956192.0
2020-03-27,21.6797,22.8349,21.4815,21.9894,6617432.0
2020-03-28,21.6797,22.8349,21.4815,21.9894,6617432.0
2020-03-29,21.6797,22.8349,21.4815,21.9894,6617432.0
2020-03-30,22.1071,23.2158,21.9894,23.061,7186313.0
2020-03-31,22.7946,23.5138,22.4416,22.8008,10591886.0
2020-04-01,21.8036,22.1628,20.4037,20.7382,5835527.0
2020-04-02,20.6762,21.8593,20.4161,21.4815,4312191.0
2020-04-03,21.1779,21.339,20.063,20.286,6410809.0
2020-04-04,21.1779,21.339,20.063,20.286,6410809.0
2020-04-05,21.1779,21.339,20.063,20.286,6410809.0
2020-04-06,21.1346,22.6707,21.1036,22.4973,6897630.0
2020-04-07,23.2654,23.4698,22.0823,22.169,6199445.0
2020-04-08,22.1752,23.4946,22.0389,23.284,6604571.0
2020-04-09,23.5194,24.6715,23.5194,24.2503,9360912.0
2020-04-10,23.5194,24.6715,23.5194,24.2503,9360912.0
2020-04-11,23.5194,24.6715,23.5194,24.2503,9360912.0
2020-04-12,23.5194,24.6715,23.5194,24.2503,9360912.0
2020-04-13,24.5724,24.5724,23.0424,23.3831,5644183.0
2020-04-14,24.0706,24.2441,23.6061,24.2007,5024277.0
2020-04-15,23.6432,23.7176,22.7946,22.9371,5905568.0
2020-04-16,23.0114,23.3026,22.5562,22.9805,4541469.0
2020-04-17,23.5503,23.8848,23.1694,23.8105,5713654.0
2020-04-18,23.5503,23.8848,23.1694,23.8105,5713654.0
2020-04-19,23.5503,23.8848,23.1694,23.8105,5713654.0
2020-04-20,23.3273,23.445,22.9309,22.9619,4945686.0
2020-04-21,22.5097,22.7389,21.8159,22.1009,7887708.0
2020-04-22,22.7203,23.2902,22.3084,23.0424,4088437.0
2020-04-23,22.9247,23.3026,22.2681,22.4973,4590502.0
2020-04-24,22.6707,22.8566,22.2186,22.6707,5363082.0
2020-04-25,22.6707,22.8566,22.2186,22.6707,5363082.0
2020-04-26,22.6707,22.8566,22.2186,22.6707,5363082.0
2020-04-27,22.9061,23.5132,22.8194,23.4295,4128143.0
2020-04-28,23.5848,24.1728,23.2716,23.4388,6341407.0
2020-04-29,24.0025,24.1852,23.5503,23.7361,4590777.0
2020-04-30,23.507,24.0706,22.7172,22.9681,4959089.0
2020-05-01,22.6355,22.8256,21.9832,22.1752,4856285.0
2020-05-02,22.6355,22.8256,21.9832,22.1752,4856285.0
2020-05-03,22.6355,22.8256,21.9832,22.1752,4856285.0
2020-05-04,22.1814,22.2062,21.593,21.9584,6164626.0
2020-05-05,22.1133,22.615,22.0947,22.2186,4835322.0
2020-05-06,22.2991,22.3363,21.3328,21.3545,5029585.0
2020-05-07,21.6053,21.9398,21.5124,21.7045,6580619.0
2020-05-08,21.8593,23.2158,21.7912,23.1849,8152826.0
2020-05-09,21.8593,23.2158,21.7912,23.1849,8152826.0
2020-05-10,21.8593,23.2158,21.7912,23.1849,8152826.0
2020-05-11,22.7389,23.3026,22.4478,23.092,7221098.0
2020-05-12,22.8875,23.2654,22.7513,22.8132,7480773.0
2020-05-13,22.6026,22.7265,21.7385,22.1009,7339832.0
2020-05-14,22.0962,22.7599,21.708,22.6033,6312472.0
2020-05-15,22.2965,22.475,21.6673,22.0962,11716680.0
2020-05-16,22.2965,22.475,21.6673,22.0962,11716680.0
2020-05-17,22.2965,22.475,21.6673,22.0962,11716680.0
2020-05-18,22.7411,23.6928,22.5533,23.505,6308801.0
2020-05-19,23.2295,23.386,22.9665,22.9853,5307056.0
2020-05-20,23.0917,23.4611,23.0729,23.1481,4932493.0
