,OPB US Equity,OPB US Equity,OPB US Equity,OPB US Equity,OPB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,25.5743,25.7029,25.4555,25.594,196201.0
2020-01-02,25.7128,25.7128,25.1884,25.5743,108151.0
2020-01-03,25.2577,25.4555,25.0994,25.3863,209303.0
2020-01-04,25.2577,25.4555,25.0994,25.3863,209303.0
2020-01-05,25.2577,25.4555,25.0994,25.3863,209303.0
2020-01-06,25.1291,25.3467,24.9609,25.2972,168735.0
2020-01-07,25.139,25.3566,24.9807,25.2379,223818.0
2020-01-08,25.228,25.594,25.1835,25.4753,178356.0
2020-01-09,25.4753,25.5743,25.2676,25.3764,150240.0
2020-01-10,25.2577,25.4951,24.8916,24.9609,148382.0
2020-01-11,25.2577,25.4951,24.8916,24.9609,148382.0
2020-01-12,25.2577,25.4951,24.8916,24.9609,148382.0
2020-01-13,25.0301,25.3368,24.951,25.317,199382.0
2020-01-14,25.3467,25.4456,25.0301,25.228,177937.0
2020-01-15,25.0697,25.2181,24.8718,25.0202,87334.0
2020-01-16,25.2181,25.4259,25.1192,25.1488,94409.0
2020-01-17,25.3467,25.3467,25.139,25.2082,81953.0
2020-01-18,25.3467,25.3467,25.139,25.2082,81953.0
2020-01-19,25.3467,25.3467,25.139,25.2082,81953.0
2020-01-20,25.3467,25.3467,25.139,25.2082,81953.0
2020-01-21,25.0103,25.2181,24.9807,25.0499,148072.0
2020-01-22,25.0895,25.139,24.8718,25.0301,121027.0
2020-01-23,24.8916,25.0499,24.763,24.8916,390578.0
2020-01-24,24.9114,24.9114,24.3871,24.5256,193590.0
2020-01-25,24.9114,24.9114,24.3871,24.5256,193590.0
2020-01-26,24.9114,24.9114,24.3871,24.5256,193590.0
2020-01-27,25.7128,25.7128,24.8323,25.3071,617871.0
2020-01-28,26.4053,26.6032,25.9057,26.1679,757333.0
2020-01-29,26.1679,26.3657,25.8908,26.1876,667363.0
2020-01-30,26.158,26.801,26.158,26.7318,295902.0
2020-01-31,26.5339,26.7911,26.3163,26.3509,376713.0
2020-02-01,26.5339,26.7911,26.3163,26.3509,376713.0
2020-02-02,26.5339,26.7911,26.3163,26.3509,376713.0
2020-02-03,26.0195,26.2569,24.4761,26.1926,2426897.0
2020-02-04,26.5042,26.7318,26.252,26.4993,1432374.0
2020-02-05,27.6467,27.746,26.7228,27.3487,1088137.0
2020-02-06,27.2295,27.8156,27.1996,27.2493,537796.0
2020-02-07,27.15,27.4778,26.6831,26.7228,404270.0
2020-02-08,27.15,27.4778,26.6831,26.7228,404270.0
2020-02-09,27.15,27.4778,26.6831,26.7228,404270.0
2020-02-10,26.6731,27.3387,26.5043,27.0208,561452.0
2020-02-11,27.14,27.8255,27.1102,27.2593,692935.0
2020-02-12,27.3685,27.7758,27.2096,27.3089,940747.0
2020-02-13,27.2692,27.8553,27.2493,27.746,511825.0
2020-02-14,27.756,28.0639,27.5573,27.9348,464798.0
2020-02-15,27.756,28.0639,27.5573,27.9348,464798.0
2020-02-16,27.756,28.0639,27.5573,27.9348,464798.0
2020-02-17,27.756,28.0639,27.5573,27.9348,464798.0
2020-02-18,27.7858,28.1831,27.6367,27.6914,599973.0
2020-02-19,27.7361,27.9745,27.5473,27.6715,734762.0
2020-02-20,27.5473,27.8354,27.4281,27.5573,676441.0
2020-02-21,27.5175,27.9447,27.3288,27.6069,618285.0
2020-02-22,27.5175,27.9447,27.3288,27.6069,618285.0
2020-02-23,27.5175,27.9447,27.3288,27.6069,618285.0
2020-02-24,27.1102,27.1202,26.7228,26.8222,455102.0
2020-02-25,27.15,27.448,25.6599,25.7989,515008.0
2020-02-26,25.9281,26.4745,25.6301,25.7791,298741.0
2020-02-27,25.3718,25.8089,24.3386,24.3784,356742.0
2020-02-28,23.7128,24.1399,23.0174,23.5141,560199.0
2020-02-29,23.7128,24.1399,23.0174,23.5141,560199.0
2020-03-01,23.7128,24.1399,23.0174,23.5141,560199.0
2020-03-02,23.5141,24.9744,23.2856,24.9645,655594.0
2020-03-03,24.9645,25.2029,23.6432,23.8618,509520.0
2020-03-04,24.1797,24.3088,23.4346,24.2393,288342.0
2020-03-05,23.6532,23.7128,22.8286,23.1366,357557.0
2020-03-06,22.2624,22.769,21.6564,22.0041,180773.0
2020-03-07,22.2624,22.769,21.6564,22.0041,180773.0
2020-03-08,22.2624,22.769,21.6564,22.0041,180773.0
2020-03-09,20.1862,20.4742,17.6728,17.7126,269577.0
2020-03-10,18.4377,19.2424,17.8583,18.9146,331471.0
2020-03-11,18.2788,18.4179,16.4211,16.739,434758.0
2020-03-12,15.3482,18.2788,14.9111,16.3814,458770.0
2020-03-13,17.4443,18.2788,16.3317,18.1497,359357.0
2020-03-14,17.4443,18.2788,16.3317,18.1497,359357.0
2020-03-15,17.4443,18.2788,16.3317,18.1497,359357.0
2020-03-16,15.1396,16.4907,14.8118,14.9807,392544.0
2020-03-17,15.0999,16.6099,14.2753,16.6099,340844.0
2020-03-18,15.3582,15.8648,14.1462,14.3846,225376.0
2020-03-19,14.2455,16.5105,13.7588,16.3019,398644.0
2020-03-20,16.3516,16.3516,14.4045,14.4343,276480.0
2020-03-21,16.3516,16.3516,14.4045,14.4343,276480.0
2020-03-22,16.3516,16.3516,14.4045,14.4343,276480.0
2020-03-23,14.6826,14.6826,12.9839,13.9674,198875.0
2020-03-24,14.8913,15.2688,14.3151,14.9409,199756.0
2020-03-25,15.2588,15.6562,14.1065,14.9111,252980.0
2020-03-26,15.0601,16.6496,15.0601,16.5503,238819.0
2020-03-27,15.6661,16.5254,15.1554,15.7257,168544.0
2020-03-28,15.6661,16.5254,15.1554,15.7257,168544.0
2020-03-29,15.6661,16.5254,15.1554,15.7257,168544.0
2020-03-30,15.7953,16.5205,15.1893,16.441,366368.0
2020-03-31,16.3814,17.3599,15.8648,17.2158,274995.0
2020-04-01,16.3615,16.8085,15.388,15.537,295464.0
2020-04-02,15.3582,16.3814,15.1893,15.9244,213538.0
2020-04-03,15.9045,15.9989,13.8829,14.1561,147960.0
2020-04-04,15.9045,15.9989,13.8829,14.1561,147960.0
2020-04-05,15.9045,15.9989,13.8829,14.1561,147960.0
2020-04-06,14.8515,15.1992,14.474,14.9111,134760.0
2020-04-07,15.3582,16.2423,15.2986,15.7953,188837.0
2020-04-08,16.0734,16.2721,15.7357,16.1231,173053.0
2020-04-09,16.6099,17.9013,16.441,17.8814,116089.0
2020-04-10,16.6099,17.9013,16.441,17.8814,116089.0
2020-04-11,16.6099,17.9013,16.441,17.8814,116089.0
2020-04-12,16.6099,17.9013,16.441,17.8814,116089.0
2020-04-13,17.792,17.792,16.4012,16.7291,93272.0
2020-04-14,17.2158,17.6927,16.1032,16.9178,126038.0
2020-04-15,16.0635,16.9476,15.7357,15.835,102639.0
2020-04-16,15.7953,16.1032,14.623,15.1694,234527.0
2020-04-17,15.8847,16.7986,15.6363,16.59,194692.0
2020-04-18,15.8847,16.7986,15.6363,16.59,194692.0
2020-04-19,15.8847,16.7986,15.6363,16.59,194692.0
2020-04-20,15.984,16.7787,15.6562,16.0039,158705.0
2020-04-21,15.388,15.9145,15.1495,15.7655,201764.0
2020-04-22,16.282,16.282,15.2986,15.5866,79535.0
2020-04-23,15.7158,16.3963,15.7158,16.1628,111643.0
2020-04-24,16.2423,16.6198,15.7555,16.3913,84266.0
2020-04-25,16.2423,16.6198,15.7555,16.3913,84266.0
2020-04-26,16.2423,16.6198,15.7555,16.3913,84266.0
2020-04-27,16.6496,18.0155,16.5801,17.643,151738.0
2020-04-28,18.3285,19.8186,18.3285,18.8152,194032.0
2020-04-29,20.0769,21.3484,18.9841,19.153,352068.0
2020-04-30,18.6265,19.2722,17.9743,19.0934,381909.0
2020-05-01,18.7556,18.7556,17.3152,17.7722,120347.0
2020-05-02,18.7556,18.7556,17.3152,17.7722,120347.0
2020-05-03,18.7556,18.7556,17.3152,17.7722,120347.0
2020-05-04,17.5437,17.7821,17.0569,17.5238,82720.0
2020-05-05,17.9311,18.3086,17.7026,17.7324,233256.0
2020-05-06,17.8516,17.8616,16.5006,16.59,149453.0
2020-05-07,16.95,17.69,16.88,17.32,139598.0
2020-05-08,17.82,18.73,17.82,18.59,231639.0
2020-05-09,17.82,18.73,17.82,18.59,231639.0
2020-05-10,17.82,18.73,17.82,18.59,231639.0
2020-05-11,18.17,18.27,17.21,17.25,159024.0
2020-05-12,17.24,18.28,15.99,16.04,150281.0
2020-05-13,16.08,16.08,14.72,15.28,168132.0
2020-05-14,14.82,15.37,14.14,15.3,243790.0
2020-05-15,15.2,15.51,14.84,15.17,809575.0
2020-05-16,15.2,15.51,14.84,15.17,809575.0
2020-05-17,15.2,15.51,14.84,15.17,809575.0
2020-05-18,16.0,17.73,16.0,17.57,230322.0
2020-05-19,17.41,17.57,16.58,16.58,168713.0
2020-05-20,17.07,17.8,17.07,17.75,143270.0
2020-05-21,17.74,18.04,17.435,17.49,139541.0
2020-05-22,17.7,17.82,17.205,17.6,100358.0
2020-05-23,17.7,17.82,17.205,17.6,100358.0
2020-05-24,17.7,17.82,17.205,17.6,100358.0
2020-05-25,17.7,17.82,17.205,17.6,100358.0
2020-05-26,18.42,19.33,18.38,19.21,114872.0
2020-05-27,19.49,20.72,19.47,20.66,242565.0
2020-05-28,21.05,21.05,19.85,19.96,383011.0
2020-05-29,19.51,19.56,18.39,19.49,1229856.0
2020-05-30,19.51,19.56,18.39,19.49,1229856.0
2020-05-31,19.51,19.56,18.39,19.49,1229856.0
2020-06-01,19.51,19.56,18.39,19.49,120.0
2020-06-02,19.51,19.56,18.39,19.49,120.0
2020-06-03,19.51,19.56,18.39,19.49,120.0
2020-06-04,19.51,19.56,18.39,19.49,120.0
2020-06-05,19.51,19.56,18.39,19.49,120.0
2020-06-06,19.51,19.56,18.39,19.49,120.0
2020-06-07,19.51,19.56,18.39,19.49,120.0
2020-06-08,19.51,19.56,18.39,19.49,120.0
2020-06-09,19.51,19.56,18.39,19.49,120.0
2020-06-10,19.51,19.56,18.39,19.49,120.0
2020-06-11,19.51,19.56,18.39,19.49,120.0
2020-06-12,19.51,19.56,18.39,19.49,120.0
2020-06-13,19.51,19.56,18.39,19.49,120.0
2020-06-14,19.51,19.56,18.39,19.49,120.0
2020-06-15,19.51,19.56,18.39,19.49,120.0
2020-06-16,19.51,19.56,18.39,19.49,120.0
2020-06-17,19.51,19.56,18.39,19.49,120.0
2020-06-18,19.51,19.56,18.39,19.49,120.0
2020-06-19,19.51,19.56,18.39,19.49,120.0
2020-06-20,19.51,19.56,18.39,19.49,120.0
2020-06-21,19.51,19.56,18.39,19.49,120.0
2020-06-22,19.51,19.56,18.39,19.49,120.0
2020-06-23,19.51,19.56,18.39,19.49,120.0
2020-06-24,19.51,19.56,18.39,19.49,120.0
2020-06-25,19.51,19.56,18.39,19.49,120.0
2020-06-26,19.51,19.56,18.39,19.49,120.0
2020-06-27,19.51,19.56,18.39,19.49,120.0
2020-06-28,19.51,19.56,18.39,19.49,120.0
2020-06-29,19.51,19.56,18.39,19.49,120.0
2020-06-30,19.51,19.56,18.39,19.49,120.0
2020-07-01,19.51,19.56,18.39,19.49,120.0
2020-07-02,19.51,19.56,18.39,19.49,120.0
2020-07-03,19.51,19.56,18.39,19.49,120.0
2020-07-04,19.51,19.56,18.39,19.49,120.0
2020-07-05,19.51,19.56,18.39,19.49,120.0
2020-07-06,19.51,19.56,18.39,19.49,120.0
2020-07-07,19.51,19.56,18.39,19.49,120.0
2020-07-08,19.51,19.56,18.39,19.49,120.0
2020-07-09,19.51,19.56,18.39,19.49,120.0
2020-07-10,19.51,19.56,18.39,19.49,120.0
2020-07-11,19.51,19.56,18.39,19.49,120.0
2020-07-12,19.51,19.56,18.39,19.49,120.0
2020-07-13,19.51,19.56,18.39,19.49,120.0
2020-07-14,19.51,19.56,18.39,19.49,120.0
2020-07-15,19.51,19.56,18.39,19.49,120.0
2020-07-16,19.51,19.56,18.39,19.49,120.0
2020-07-17,19.51,19.56,18.39,19.49,120.0
2020-07-18,19.51,19.56,18.39,19.49,120.0
2020-07-19,19.51,19.56,18.39,19.49,120.0
2020-07-20,19.51,19.56,18.39,19.49,120.0
2020-07-21,19.51,19.56,18.39,19.49,120.0
2020-07-22,19.51,19.56,18.39,19.49,120.0
2020-07-23,19.51,19.56,18.39,19.49,120.0
2020-07-24,19.51,19.56,18.39,19.49,120.0
2020-07-25,19.51,19.56,18.39,19.49,120.0
2020-07-26,19.51,19.56,18.39,19.49,120.0
2020-07-27,19.51,19.56,18.39,19.49,120.0
2020-07-28,19.51,19.56,18.39,19.49,120.0
2020-07-29,19.51,19.56,18.39,19.49,120.0
2020-07-30,19.51,19.56,18.39,19.49,120.0
2020-07-31,19.51,19.56,18.39,19.49,120.0
2020-08-01,19.51,19.56,18.39,19.49,120.0
2020-08-02,19.51,19.56,18.39,19.49,120.0
2020-08-03,19.51,19.56,18.39,19.49,120.0
2020-08-04,19.51,19.56,18.39,19.49,120.0
2020-08-05,19.51,19.56,18.39,19.49,120.0
2020-08-06,19.51,19.56,18.39,19.49,120.0
2020-08-07,19.51,19.56,18.39,19.49,120.0
2020-08-08,19.51,19.56,18.39,19.49,120.0
2020-08-09,19.51,19.56,18.39,19.49,120.0
2020-08-10,19.51,19.56,18.39,19.49,120.0
2020-08-11,19.51,19.56,18.39,19.49,120.0
2020-08-12,19.51,19.56,18.39,19.49,120.0
2020-08-13,19.51,19.56,18.39,19.49,120.0
2020-08-14,19.51,19.56,18.39,19.49,120.0
2020-08-15,19.51,19.56,18.39,19.49,120.0
2020-08-16,19.51,19.56,18.39,19.49,120.0
2020-08-17,19.51,19.56,18.39,19.49,120.0
2020-08-18,19.51,19.56,18.39,19.49,120.0
2020-08-19,19.51,19.56,18.39,19.49,120.0
2020-08-20,19.51,19.56,18.39,19.49,120.0
2020-08-21,19.51,19.56,18.39,19.49,120.0
2020-08-22,19.51,19.56,18.39,19.49,120.0
2020-08-23,19.51,19.56,18.39,19.49,120.0
2020-08-24,19.51,19.56,18.39,19.49,120.0
2020-08-25,19.51,19.56,18.39,19.49,120.0
2020-08-26,19.51,19.56,18.39,19.49,120.0
2020-08-27,19.51,19.56,18.39,19.49,120.0
2020-08-28,19.51,19.56,18.39,19.49,120.0
2020-08-29,19.51,19.56,18.39,19.49,120.0
2020-08-30,19.51,19.56,18.39,19.49,120.0
2020-08-31,19.51,19.56,18.39,19.49,120.0
2020-09-01,19.51,19.56,18.39,19.49,120.0
2020-09-02,19.51,19.56,18.39,19.49,120.0
2020-09-03,19.51,19.56,18.39,19.49,120.0
2020-09-04,19.51,19.56,18.39,19.49,120.0
2020-09-05,19.51,19.56,18.39,19.49,120.0
2020-09-06,19.51,19.56,18.39,19.49,120.0
2020-09-07,19.51,19.56,18.39,19.49,120.0
2020-09-08,19.51,19.56,18.39,19.49,120.0
2020-09-09,19.51,19.56,18.39,19.49,120.0
2020-09-10,19.51,19.56,18.39,19.49,120.0
2020-09-11,19.51,19.56,18.39,19.49,120.0
2020-09-12,19.51,19.56,18.39,19.49,120.0
2020-09-13,19.51,19.56,18.39,19.49,120.0
2020-09-14,19.51,19.56,18.39,19.49,120.0
2020-09-15,19.51,19.56,18.39,19.49,120.0
2020-09-16,19.51,19.56,18.39,19.49,120.0
2020-09-17,19.51,19.56,18.39,19.49,120.0
2020-09-18,19.51,19.56,18.39,19.49,120.0
2020-09-19,19.51,19.56,18.39,19.49,120.0
2020-09-20,19.51,19.56,18.39,19.49,120.0
2020-09-21,19.51,19.56,18.39,19.49,120.0
2020-09-22,19.51,19.56,18.39,19.49,120.0
2020-09-23,19.51,19.56,18.39,19.49,120.0
2020-09-24,19.51,19.56,18.39,19.49,120.0
2020-09-25,19.51,19.56,18.39,19.49,120.0
2020-09-26,19.51,19.56,18.39,19.49,120.0
2020-09-27,19.51,19.56,18.39,19.49,120.0
2020-09-28,19.51,19.56,18.39,19.49,120.0
2020-09-29,19.51,19.56,18.39,19.49,120.0
2020-09-30,19.51,19.56,18.39,19.49,120.0
2020-10-01,19.51,19.56,18.39,19.49,120.0
2020-10-02,19.51,19.56,18.39,19.49,120.0
2020-10-03,19.51,19.56,18.39,19.49,120.0
2020-10-04,19.51,19.56,18.39,19.49,120.0
