,EFX US Equity,EFX US Equity,EFX US Equity,EFX US Equity,EFX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,134.038,135.571,133.854,135.518,613516.0
2020-01-02,136.05,137.897,134.908,137.713,786984.0
2020-01-03,135.585,138.351,135.585,138.177,710600.0
2020-01-04,135.585,138.351,135.585,138.177,710600.0
2020-01-05,135.585,138.351,135.585,138.177,710600.0
2020-01-06,137.442,138.816,137.051,138.767,729424.0
2020-01-07,138.864,139.087,137.684,138.506,578110.0
2020-01-08,138.845,142.404,138.796,141.475,1165609.0
2020-01-09,142.249,143.39,141.737,143.12,703112.0
2020-01-10,143.439,143.439,141.669,141.901,591164.0
2020-01-11,143.439,143.439,141.669,141.901,591164.0
2020-01-12,143.439,143.439,141.669,141.901,591164.0
2020-01-13,141.988,143.961,141.988,143.71,571345.0
2020-01-14,143.381,143.821,142.278,142.346,662865.0
2020-01-15,142.404,145.238,141.911,144.851,681059.0
2020-01-16,145.857,146.214,144.493,146.06,560931.0
2020-01-17,146.447,148.574,145.519,148.004,836683.0
2020-01-18,146.447,148.574,145.519,148.004,836683.0
2020-01-19,146.447,148.574,145.519,148.004,836683.0
2020-01-20,146.447,148.574,145.519,148.004,836683.0
2020-01-21,147.52,149.406,146.775,149.271,910009.0
2020-01-22,149.599,150.32,148.671,149.667,678100.0
2020-01-23,149.029,149.948,147.617,149.861,473983.0
2020-01-24,150.218,150.296,148.168,148.951,589022.0
2020-01-25,150.218,150.296,148.168,148.951,589022.0
2020-01-26,150.218,150.296,148.168,148.951,589022.0
2020-01-27,146.64,148.468,145.46,148.004,476919.0
2020-01-28,148.516,150.146,148.004,149.57,1033424.0
2020-01-29,150.151,150.586,148.98,149.348,487849.0
2020-01-30,148.274,149.126,146.05,147.714,760028.0
2020-01-31,146.64,147.433,144.087,144.976,751423.0
2020-02-01,146.64,147.433,144.087,144.976,751423.0
2020-02-02,146.64,147.433,144.087,144.976,751423.0
2020-02-03,145.75,147.501,145.591,147.269,527391.0
2020-02-04,149.126,150.702,148.69,150.238,579640.0
2020-02-05,151.282,151.93,150.006,150.77,493016.0
2020-02-06,151.737,151.795,150.634,150.847,472866.0
2020-02-07,150.422,151.079,150.102,150.499,479893.0
2020-02-08,150.422,151.079,150.102,150.499,479893.0
2020-02-09,150.422,151.079,150.102,150.499,479893.0
2020-02-10,149.986,150.571,148.632,149.638,606928.0
2020-02-11,150.866,150.866,148.178,148.274,571010.0
2020-02-12,148.187,149.87,146.64,149.445,1285626.0
2020-02-13,150.741,159.358,148.478,156.931,1751954.0
2020-02-14,157.646,158.986,156.727,157.608,900208.0
2020-02-15,157.646,158.986,156.727,157.608,900208.0
2020-02-16,157.646,158.986,156.727,157.608,900208.0
2020-02-17,157.646,158.986,156.727,157.608,900208.0
2020-02-18,157.259,157.259,154.058,154.387,923145.0
2020-02-19,154.861,156.96,154.522,156.563,789804.0
2020-02-20,156.254,156.766,153.971,156.128,565613.0
2020-02-21,155.209,156.017,153.565,154.29,786579.0
2020-02-22,155.209,156.017,153.565,154.29,786579.0
2020-02-23,155.209,156.017,153.565,154.29,786579.0
2020-02-24,149.861,152.742,149.338,150.586,988488.0
2020-02-25,151.592,151.843,145.808,147.191,951297.0
2020-02-26,148.313,150.451,146.621,148.352,873187.0
2020-02-27,145.615,147.09,140.247,140.324,1002959.0
2020-02-28,135.344,138.816,133.946,137.375,1611480.0
2020-02-29,135.344,138.816,133.946,137.375,1611480.0
2020-03-01,135.344,138.816,133.946,137.375,1611480.0
2020-03-02,139.241,146.069,138.351,145.915,1219985.0
2020-03-03,145.769,149.687,144.383,146.681,1529149.0
2020-03-04,149.299,158.094,147.97,157.929,1500742.0
2020-03-05,154.108,156.145,150.957,153.449,1703331.0
2020-03-06,148.765,151.238,144.829,149.502,1496701.0
2020-03-07,148.765,151.238,144.829,149.502,1496701.0
2020-03-08,148.765,151.238,144.829,149.502,1496701.0
2020-03-09,139.893,143.82,136.955,137.391,1331818.0
2020-03-10,141.348,148.232,138.72,148.222,1249722.0
2020-03-11,143.937,147.418,136.713,141.066,1627192.0
2020-03-12,130.516,135.52,125.513,131.36,2160057.0
2020-03-13,136.16,138.099,126.744,136.441,1713366.0
2020-03-14,136.16,138.099,126.744,136.441,1713366.0
2020-03-15,136.16,138.099,126.744,136.441,1713366.0
2020-03-16,124.776,127.743,117.019,125.018,1559285.0
2020-03-17,127.811,132.204,125.057,129.935,1668984.0
2020-03-18,120.093,123.312,104.539,120.345,1862176.0
2020-03-19,118.977,118.977,103.967,111.909,1724655.0
2020-03-20,113.45,114.42,102.154,102.445,1240361.0
2020-03-21,113.45,114.42,102.154,102.445,1240361.0
2020-03-22,113.45,114.42,102.154,102.445,1240361.0
2020-03-23,101.427,107.613,99.885,101.446,1525652.0
2020-03-24,105.092,111.443,103.899,110.212,1390933.0
2020-03-25,109.901,115.845,105.024,112.209,1392280.0
2020-03-26,113.858,118.502,113.475,117.959,902569.0
2020-03-27,114.604,119.482,113.518,115.923,749917.0
2020-03-28,114.604,119.482,113.518,115.923,749917.0
2020-03-29,114.604,119.482,113.518,115.923,749917.0
2020-03-30,117.048,120.829,115.995,118.396,940930.0
2020-03-31,117.562,119.181,115.428,115.826,1161842.0
2020-04-01,111.938,113.649,109.135,110.027,1087589.0
2020-04-02,108.641,110.769,103.793,105.994,1164768.0
2020-04-03,104.966,108.689,102.454,103.385,792444.0
2020-04-04,104.966,108.689,102.454,103.385,792444.0
2020-04-05,104.966,108.689,102.454,103.385,792444.0
2020-04-06,107.914,111.472,106.91,110.396,1030417.0
2020-04-07,116.97,119.598,112.5,112.713,1279400.0
2020-04-08,113.848,120.403,112.17,118.958,747934.0
2020-04-09,119.646,124.117,119.462,120.451,873421.0
2020-04-10,119.646,124.117,119.462,120.451,873421.0
2020-04-11,119.646,124.117,119.462,120.451,873421.0
2020-04-12,119.646,124.117,119.462,120.451,873421.0
2020-04-13,119.491,120.306,114.982,117.736,1160058.0
2020-04-14,119.569,126.55,117.455,125.852,1210259.0
2020-04-15,122.846,123.865,120.267,120.49,849620.0
2020-04-16,121.149,121.799,116.893,118.299,950334.0
2020-04-17,120.422,124.233,120.422,124.088,1046146.0
2020-04-18,120.422,124.233,120.422,124.088,1046146.0
2020-04-19,120.422,124.233,120.422,124.088,1046146.0
2020-04-20,122.604,126.706,119.666,121.993,1469283.0
2020-04-21,122.177,129.508,118.483,126.095,2590701.0
2020-04-22,126.919,128.878,124.34,128.47,1136183.0
2020-04-23,128.403,129.731,127.103,127.336,785530.0
2020-04-24,127.375,127.715,125.464,127.433,615126.0
2020-04-25,127.375,127.715,125.464,127.433,615126.0
2020-04-26,127.375,127.715,125.464,127.433,615126.0
2020-04-27,128.819,134.327,128.383,133.901,884446.0
2020-04-28,136.334,138.865,134.492,136.412,795035.0
2020-04-29,138.584,140.203,136.373,139.146,783732.0
2020-04-30,137.43,137.828,134.418,134.686,1043172.0
2020-05-01,132.999,134.424,131.728,133.707,702516.0
2020-05-02,132.999,134.424,131.728,133.707,702516.0
2020-05-03,132.999,134.424,131.728,133.707,702516.0
2020-05-04,132.611,137.605,131.525,137.411,874200.0
2020-05-05,138.089,143.355,138.089,142.172,980216.0
2020-05-06,142.56,143.607,141.27,141.823,703249.0
2020-05-07,143.82,145.333,142.967,143.81,661206.0
2020-05-08,144.305,146.138,144.014,144.848,506270.0
2020-05-09,144.305,146.138,144.014,144.848,506270.0
2020-05-10,144.305,146.138,144.014,144.848,506270.0
2020-05-11,144.14,145.173,142.86,143.064,1118803.0
2020-05-12,142.783,143.869,140.882,141.057,996273.0
2020-05-13,140.601,140.882,136.868,138.565,921680.0
2020-05-14,137.188,140.766,136.519,140.64,879547.0
2020-05-15,139.137,141.047,138.007,140.038,1478557.0
2020-05-16,139.137,141.047,138.007,140.038,1478557.0
2020-05-17,139.137,141.047,138.007,140.038,1478557.0
2020-05-18,143.743,144.596,140.727,141.668,1085577.0
2020-05-19,141.609,143.432,141.299,141.774,723809.0
2020-05-20,143.51,146.399,143.51,144.974,871909.0
2020-05-21,144.128,145.052,142.018,142.621,608362.0
2020-05-22,142.018,143.768,142.018,142.942,734581.0
2020-05-23,142.018,143.768,142.018,142.942,734581.0
2020-05-24,142.018,143.768,142.018,142.942,734581.0
2020-05-25,142.018,143.768,142.018,142.942,734581.0
2020-05-26,145.557,149.48,144.901,147.045,1125308.0
2020-05-27,148.707,149.942,145.46,146.704,1808766.0
2020-05-28,148.416,151.634,147.152,149.718,1749756.0
2020-05-29,150.525,150.88,147.064,149.291,1431792.0
2020-05-30,150.525,150.88,147.064,149.291,1431792.0
2020-05-31,150.525,150.88,147.064,149.291,1431792.0
