,EBIXQ US Equity,EBIXQ US Equity,EBIXQ US Equity,EBIXQ US Equity,EBIXQ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,42.4482,42.8608,40.3565,40.8362,464182.0
2019-01-02,41.2584,42.6305,40.4237,41.9685,515484.0
2019-01-03,41.5367,42.4194,40.7115,40.7115,268559.0
2019-01-04,41.3448,42.8704,41.3448,41.9972,394556.0
2019-01-05,41.3448,42.8704,41.3448,41.9972,394556.0
2019-01-06,41.3448,42.8704,41.3448,41.9972,394556.0
2019-01-07,41.9876,42.6881,41.3928,42.5154,263294.0
2019-01-08,42.9375,43.7819,42.2467,43.4365,283858.0
2019-01-09,43.6956,44.4056,43.3789,44.1369,254762.0
2019-01-10,43.8299,44.8374,43.2638,44.2904,203414.0
2019-01-11,44.2808,46.9578,43.8491,46.5165,447178.0
2019-01-12,44.2808,46.9578,43.8491,46.5165,447178.0
2019-01-13,44.2808,46.9578,43.8491,46.5165,447178.0
2019-01-14,46.5165,48.6082,46.0655,46.6892,605285.0
2019-01-15,46.8523,48.6823,45.9696,46.6508,346506.0
2019-01-16,47.2169,47.8406,46.8619,47.6583,231373.0
2019-01-17,47.3225,50.0378,47.2265,49.9995,917244.0
2019-01-18,50.3065,52.3886,49.4621,52.0912,807671.0
2019-01-19,50.3065,52.3886,49.4621,52.0912,807671.0
2019-01-20,50.3065,52.3886,49.4621,52.0912,807671.0
2019-01-21,50.3065,52.3886,49.4621,52.0912,807671.0
2019-01-22,51.8225,52.1008,49.0591,49.4333,478082.0
2019-01-23,49.7116,50.5368,48.8864,50.057,335455.0
2019-01-24,49.9611,51.1796,49.9611,50.6039,183135.0
2019-01-25,51.0549,51.6114,50.8342,51.3332,206476.0
2019-01-26,51.0549,51.6114,50.8342,51.3332,206476.0
2019-01-27,51.0549,51.6114,50.8342,51.3332,206476.0
2019-01-28,50.959,52.3886,50.5464,52.2543,212709.0
2019-01-29,52.1103,53.3001,51.3236,53.185,360585.0
2019-01-30,53.3769,54.4611,53.1082,53.847,404802.0
2019-01-31,53.7319,55.0368,53.4632,54.8065,340774.0
2019-02-01,54.8161,55.0176,53.5976,54.0581,388783.0
2019-02-02,54.8161,55.0176,53.5976,54.0581,388783.0
2019-02-03,54.8161,55.0176,53.5976,54.0581,388783.0
2019-02-04,54.1925,55.7277,53.9046,55.6989,258613.0
2019-02-05,56.2746,56.6104,55.7085,56.265,235359.0
2019-02-06,56.2842,56.9558,55.0656,55.0848,311066.0
2019-02-07,54.6914,55.0992,53.9046,54.7778,212147.0
2019-02-08,54.8545,54.9984,52.5613,53.7607,357623.0
2019-02-09,54.8545,54.9984,52.5613,53.7607,357623.0
2019-02-10,54.8545,54.9984,52.5613,53.7607,357623.0
2019-02-11,53.7703,54.0965,53.233,53.7607,175038.0
2019-02-12,54.3076,54.6914,53.9238,54.6626,139806.0
2019-02-13,54.8353,55.6893,54.1445,55.0848,224208.0
2019-02-14,54.8737,56.1594,53.54,55.6605,221717.0
2019-02-15,55.7948,56.4953,55.3247,56.1978,236869.0
2019-02-16,55.7948,56.4953,55.3247,56.1978,236869.0
2019-02-17,55.7948,56.4953,55.3247,56.1978,236869.0
2019-02-18,55.7948,56.4953,55.3247,56.1978,236869.0
2019-02-19,55.8908,56.5049,55.3726,56.2074,155687.0
2019-02-20,56.3225,56.9942,56.1019,56.6488,217636.0
2019-02-21,56.5624,56.6872,55.7181,56.4665,122032.0
2019-02-22,56.7927,57.0901,55.7373,56.62,377663.0
2019-02-23,56.7927,57.0901,55.7373,56.62,377663.0
2019-02-24,56.7927,57.0901,55.7373,56.62,377663.0
2019-02-25,57.1093,59.6712,56.8119,58.2607,500852.0
