,LAD US Equity,LAD US Equity,LAD US Equity,LAD US Equity,LAD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,72.6738,73.8851,71.876,73.3756,333733.0
2019-01-02,72.6258,76.2114,71.9721,75.5289,268172.0
2019-01-03,75.0579,76.942,74.308,75.8365,263472.0
2019-01-04,76.9035,79.0857,76.8843,78.9223,441481.0
2019-01-05,76.9035,79.0857,76.8843,78.9223,441481.0
2019-01-06,76.9035,79.0857,76.8843,78.9223,441481.0
2019-01-07,78.8934,83.0462,78.4801,80.8641,616370.0
2019-01-08,81.4408,81.6331,78.5858,80.2681,389238.0
2019-01-09,80.4507,82.1234,80.1431,81.3736,306627.0
2019-01-10,80.2969,81.1477,78.9511,79.9124,233771.0
2019-01-11,79.7297,82.9885,79.2395,82.3156,282177.0
2019-01-12,79.7297,82.9885,79.2395,82.3156,282177.0
2019-01-13,79.7297,82.9885,79.2395,82.3156,282177.0
2019-01-14,81.4889,83.0558,81.2005,81.9599,203075.0
2019-01-15,81.5754,82.1522,80.1912,81.5177,290300.0
2019-01-16,81.6523,82.479,81.2678,81.585,181328.0
2019-01-17,81.2294,82.6136,81.0713,82.3925,176460.0
2019-01-18,82.777,83.8825,81.9792,83.7864,190620.0
2019-01-19,82.777,83.8825,81.9792,83.7864,190620.0
2019-01-20,82.777,83.8825,81.9792,83.7864,190620.0
2019-01-21,82.777,83.8825,81.9792,83.7864,190620.0
2019-01-22,83.4307,83.9018,81.7485,82.7578,233038.0
2019-01-23,82.8059,83.9498,81.585,82.4118,141538.0
2019-01-24,82.3445,83.5941,81.6523,82.6713,160672.0
2019-01-25,83.3154,84.094,82.6905,83.671,166570.0
2019-01-26,83.3154,84.094,82.6905,83.671,166570.0
2019-01-27,83.3154,84.094,82.6905,83.671,166570.0
2019-01-28,82.9789,84.2959,82.8828,84.2286,134052.0
2019-01-29,83.7095,84.9015,82.9885,84.7285,224697.0
2019-01-30,85.0553,85.4302,84.4305,85.1034,195693.0
2019-01-31,84.8823,85.8628,84.5266,85.5071,258791.0
2019-02-01,85.3341,85.3629,83.9402,84.6612,153155.0
2019-02-02,85.3341,85.3629,83.9402,84.6612,153155.0
2019-02-03,85.3341,85.3629,83.9402,84.6612,153155.0
2019-02-04,84.4016,85.3149,83.8537,85.286,171257.0
2019-02-05,85.7667,85.7667,84.1998,85.4398,208592.0
2019-02-06,85.3341,85.7955,83.7191,84.3632,321087.0
2019-02-07,84.0363,84.0363,81.8638,82.2964,260478.0
2019-02-08,81.6812,82.6857,80.4219,81.0563,220172.0
2019-02-09,81.6812,82.6857,80.4219,81.0563,220172.0
2019-02-10,81.6812,82.6857,80.4219,81.0563,220172.0
2019-02-11,81.239,81.9214,80.0758,80.8448,188603.0
2019-02-12,81.0659,83.1808,80.8833,83.0078,339832.0
2019-02-13,80.5949,81.585,76.6632,79.2683,996445.0
2019-02-14,78.9607,81.1188,78.1436,80.6045,477828.0
2019-02-15,81.4601,85.3052,81.3063,84.5651,612420.0
2019-02-16,81.4601,85.3052,81.3063,84.5651,612420.0
2019-02-17,81.4601,85.3052,81.3063,84.5651,612420.0
2019-02-18,81.4601,85.3052,81.3063,84.5651,612420.0
2019-02-19,83.5461,86.0358,82.8443,85.7186,373674.0
2019-02-20,85.834,87.1509,85.7282,86.9298,318904.0
2019-02-21,86.9298,87.7373,84.7813,85.1226,261280.0
2019-02-22,85.1514,86.8529,84.8919,85.8243,182602.0
2019-02-23,85.1514,86.8529,84.8919,85.8243,182602.0
2019-02-24,85.1514,86.8529,84.8919,85.8243,182602.0
2019-02-25,86.43,86.5165,85.0265,85.0745,186605.0
2019-02-26,85.0553,86.9971,85.0265,86.3531,193649.0
2019-02-27,86.5069,87.1029,85.6225,85.6705,246997.0
2019-02-28,85.6705,87.4778,85.0745,86.776,252582.0
2019-03-01,87.5066,88.2853,86.007,86.1031,227891.0
2019-03-02,87.5066,88.2853,86.007,86.1031,227891.0
2019-03-03,87.5066,88.2853,86.007,86.1031,227891.0
2019-03-04,86.0647,86.1031,83.3827,83.5172,356772.0
2019-03-05,83.8825,86.1127,83.0462,85.4206,212458.0
2019-03-06,85.5071,86.1993,84.0363,84.1325,226021.0
2019-03-07,83.737,83.7756,82.4446,83.5827,260493.0
2019-03-08,83.1583,84.2096,82.6423,83.8527,193943.0
2019-03-09,83.1583,84.2096,82.6423,83.8527,193943.0
2019-03-10,83.1583,84.2096,82.6423,83.8527,193943.0
2019-03-11,84.1517,85.1837,83.3608,85.039,188183.0
2019-03-12,85.0969,85.6467,84.5134,85.1548,136460.0
