,LGND US Equity,LGND US Equity,LGND US Equity,LGND US Equity,LGND US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,64.507,65.992,64.507,65.031,274567.0
2020-01-02,65.568,65.848,64.165,65.312,214826.0
2020-01-03,64.333,64.576,63.055,63.086,322724.0
2020-01-04,64.333,64.576,63.055,63.086,322724.0
2020-01-05,64.333,64.576,63.055,63.086,322724.0
2020-01-06,62.631,63.426,61.465,63.192,227383.0
2020-01-07,62.811,63.123,61.459,61.72,289801.0
2020-01-08,61.571,62.344,60.704,60.747,309972.0
2020-01-09,61.059,61.059,59.238,59.669,274710.0
2020-01-10,59.669,59.955,57.835,57.96,342612.0
2020-01-11,59.669,59.955,57.835,57.96,342612.0
2020-01-12,59.669,59.955,57.835,57.96,342612.0
2020-01-13,58.122,58.135,55.354,56.233,516811.0
2020-01-14,56.233,57.33,55.497,56.582,433692.0
2020-01-15,56.37,57.165,56.276,56.894,404017.0
2020-01-16,57.361,58.309,57.174,57.698,311290.0
2020-01-17,58.085,58.135,55.884,56.364,315022.0
2020-01-18,58.085,58.135,55.884,56.364,315022.0
2020-01-19,58.085,58.135,55.884,56.364,315022.0
2020-01-20,58.085,58.135,55.884,56.364,315022.0
2020-01-21,56.164,56.981,55.902,55.971,287579.0
2020-01-22,56.033,57.815,55.828,56.869,353200.0
2020-01-23,56.757,56.757,55.503,56.083,310913.0
2020-01-24,56.326,56.488,54.78,55.21,342495.0
2020-01-25,56.326,56.488,54.78,55.21,342495.0
2020-01-26,56.326,56.488,54.78,55.21,342495.0
2020-01-27,54.3,55.706,53.439,53.963,415021.0
2020-01-28,54.418,55.248,53.589,54.886,276843.0
2020-01-29,54.743,56.732,54.537,55.697,251960.0
2020-01-30,55.185,56.108,54.693,56.002,217892.0
2020-01-31,55.753,56.27,54.661,54.755,302286.0
2020-02-01,55.753,56.27,54.661,54.755,302286.0
2020-02-02,55.753,56.27,54.661,54.755,302286.0
2020-02-03,55.94,57.025,55.672,55.815,375430.0
2020-02-04,56.682,57.206,55.497,56.264,396892.0
2020-02-05,56.962,58.484,56.782,57.486,374776.0
2020-02-06,58.247,59.164,57.623,57.667,239601.0
2020-02-07,59.176,61.963,57.679,59.407,640210.0
2020-02-08,59.176,61.963,57.679,59.407,640210.0
2020-02-09,59.176,61.963,57.679,59.407,640210.0
2020-02-10,59.213,61.171,59.123,60.074,291167.0
2020-02-11,60.143,60.439,59.058,59.089,302790.0
2020-02-12,59.856,60.055,59.129,59.307,209479.0
2020-02-13,59.157,60.186,58.652,59.662,302977.0
2020-02-14,59.556,61.022,58.895,60.629,274708.0
2020-02-15,59.556,61.022,58.895,60.629,274708.0
2020-02-16,59.556,61.022,58.895,60.629,274708.0
