,BFH US Equity,BFH US Equity,BFH US Equity,BFH US Equity,BFH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,108.04,108.933,106.068,108.097,587220.0
2019-01-02,106.606,112.808,106.145,111.915,866612.0
2019-01-03,110.092,111.331,107.975,109.084,771517.0
2019-01-04,111.079,116.776,110.384,116.467,768937.0
2019-01-05,111.079,116.776,110.384,116.467,768937.0
2019-01-06,111.079,116.776,110.384,116.467,768937.0
2019-01-07,116.798,117.907,115.149,116.459,1092850.0
2019-01-08,118.066,118.923,116.15,118.483,695055.0
2019-01-09,119.967,121.465,118.426,121.076,641548.0
2019-01-10,120.623,122.441,119.762,120.45,915609.0
2019-01-11,119.859,120.695,116.78,120.623,715862.0
2019-01-12,119.859,120.695,116.78,120.623,715862.0
2019-01-13,119.859,120.695,116.78,120.623,715862.0
2019-01-14,119.758,122.358,119.297,121.105,422115.0
2019-01-15,121.501,123.374,120.587,120.723,1074388.0
2019-01-16,120.875,122.611,120.615,121.537,325059.0
2019-01-17,120.904,122.92,120.421,122.222,472025.0
2019-01-18,123.489,124.361,121.645,124.26,781536.0
2019-01-19,123.489,124.361,121.645,124.26,781536.0
2019-01-20,123.489,124.361,121.645,124.26,781536.0
2019-01-21,123.489,124.361,121.645,124.26,781536.0
2019-01-22,123.936,125.6,122.056,122.942,716099.0
2019-01-23,124.67,127.076,123.59,125.124,757125.0
2019-01-24,125.088,126.81,123.799,125.78,411816.0
2019-01-25,127.371,128.855,126.63,127.998,482356.0
2019-01-26,127.371,128.855,126.63,127.998,482356.0
2019-01-27,127.371,128.855,126.63,127.998,482356.0
2019-01-28,126.55,129.295,126.378,128.754,620315.0
2019-01-29,128.301,129.107,127.119,128.07,518840.0
2019-01-30,128.25,129.482,126.558,129.331,477299.0
2019-01-31,128.646,130.807,127.879,127.912,968177.0
2019-02-01,128.315,130.879,128.128,130.605,880193.0
2019-02-02,128.315,130.879,128.128,130.605,880193.0
2019-02-03,128.315,130.879,128.128,130.605,880193.0
2019-02-04,131.088,131.556,129.648,130.389,516796.0
2019-02-05,130.836,131.643,129.849,130.735,353992.0
2019-02-06,130.519,131.228,129.05,129.561,541631.0
2019-02-07,118.829,118.829,110.388,116.82,2329962.0
2019-02-08,114.486,118.75,112.404,118.354,1687238.0
2019-02-09,114.486,118.75,112.404,118.354,1687238.0
2019-02-10,114.486,118.75,112.404,118.354,1687238.0
2019-02-11,118.764,120.205,118.649,118.923,972833.0
2019-02-12,119.571,123.075,119.571,121.753,972985.0
2019-02-13,122.229,124.721,121.192,122.02,601210.0
2019-02-14,121.429,121.905,120.147,120.262,588370.0
2019-02-15,121.501,125.149,121.501,124.757,779640.0
2019-02-16,121.501,125.149,121.501,124.757,779640.0
2019-02-17,121.501,125.149,121.501,124.757,779640.0
2019-02-18,121.501,125.149,121.501,124.757,779640.0
2019-02-19,124.109,127.163,123.885,125.924,623653.0
2019-02-20,126.119,126.697,124.098,125.36,475342.0
2019-02-21,124.933,126.097,123.112,123.647,436395.0
2019-02-22,124.124,125.945,123.48,125.822,412247.0
2019-02-23,124.124,125.945,123.48,125.822,412247.0
2019-02-24,124.124,125.945,123.48,125.822,412247.0
2019-02-25,127.333,128.255,125.884,125.989,457140.0
2019-02-26,125.504,126.95,123.386,126.177,517595.0
2019-02-27,126.141,127.854,124.832,125.251,355602.0
2019-02-28,125.035,125.492,123.95,125.056,658114.0
2019-03-01,126.242,127.359,124.789,125.483,601805.0
2019-03-02,126.242,127.359,124.789,125.483,601805.0
2019-03-03,126.242,127.359,124.789,125.483,601805.0
2019-03-04,125.96,126.849,123.329,124.615,548176.0
2019-03-05,124.832,125.316,123.502,123.741,472144.0
2019-03-06,123.596,124.5,121.594,121.724,507172.0
2019-03-07,121.254,121.789,118.471,119.736,705036.0
2019-03-08,118.55,120.401,118.081,120.249,744937.0
2019-03-09,118.55,120.401,118.081,120.249,744937.0
2019-03-10,118.55,120.401,118.081,120.249,744937.0
2019-03-11,120.77,122.548,120.697,122.165,474408.0
2019-03-12,122.671,122.671,120.69,121.377,441161.0
2019-03-13,122.201,124.644,121.586,123.647,641258.0
2019-03-14,123.683,124.941,121.955,122.664,502349.0
2019-03-15,123.206,124.792,122.367,124.63,755021.0
2019-03-16,123.206,124.792,122.367,124.63,755021.0
2019-03-17,123.206,124.792,122.367,124.63,755021.0
2019-03-18,124.782,125.071,122.656,124.174,504052.0
2019-03-19,125.309,126.979,123.791,124.276,415472.0
2019-03-20,123.495,123.668,120.524,121.731,351452.0
2019-03-21,121.276,126.502,121.117,123.914,296845.0
2019-03-22,123.083,123.386,118.84,118.955,524470.0
2019-03-23,123.083,123.386,118.84,118.955,524470.0
2019-03-24,123.083,123.386,118.84,118.955,524470.0
2019-03-25,118.558,119.707,116.946,118.63,576116.0
2019-03-26,119.7,123.105,119.208,122.873,692606.0
2019-03-27,122.931,124.456,121.854,123.654,722533.0
2019-03-28,123.712,125.606,123.56,124.615,524725.0
