,WSM US Equity,WSM US Equity,WSM US Equity,WSM US Equity,WSM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,44.0166,44.3681,43.5509,44.333,869368.0
2019-01-02,43.7354,44.5966,43.3224,44.0869,1432599.0
2019-01-03,43.6476,45.1239,43.217,43.7969,1077991.0
2019-01-04,44.4121,45.326,43.9727,44.4296,1031654.0
2019-01-05,44.4121,45.326,43.9727,44.4296,1031654.0
2019-01-06,44.4121,45.326,43.9727,44.4296,1031654.0
2019-01-07,44.4648,46.3717,44.4648,45.6072,918141.0
2019-01-08,46.3277,47.0483,45.8093,46.8374,998904.0
2019-01-09,46.7671,47.8568,46.4508,47.0483,1371983.0
2019-01-10,46.5386,46.5386,44.6405,45.9147,1969431.0
2019-01-11,45.5808,46.4508,45.3523,46.4068,1196965.0
2019-01-12,45.5808,46.4508,45.3523,46.4068,1196965.0
2019-01-13,45.5808,46.4508,45.3523,46.4068,1196965.0
2019-01-14,46.0817,47.2768,45.7214,46.8726,839925.0
2019-01-15,46.8286,47.9007,46.4771,47.5492,1290351.0
2019-01-16,47.4613,47.5228,45.8708,46.1168,1672720.0
2019-01-17,45.8356,47.558,45.8269,46.5562,1539336.0
2019-01-18,46.7495,47.9666,46.5123,47.3559,1306446.0
2019-01-19,46.7495,47.9666,46.5123,47.3559,1306446.0
2019-01-20,46.7495,47.9666,46.5123,47.3559,1306446.0
2019-01-21,46.7495,47.9666,46.5123,47.3559,1306446.0
2019-01-22,47.0659,47.2153,45.6667,46.152,1461287.0
2019-01-23,44.8163,45.8093,44.4296,45.2645,1849323.0
2019-01-24,45.3974,46.0886,44.8923,45.9645,1335317.0
2019-01-25,46.6114,46.9792,46.0797,46.895,1214651.0
2019-01-26,46.6114,46.9792,46.0797,46.895,1214651.0
2019-01-27,46.6114,46.9792,46.0797,46.895,1214651.0
2019-01-28,46.4253,46.7,45.6366,46.7,943501.0
2019-01-29,46.5671,46.638,45.7696,46.5671,905526.0
2019-01-30,47.019,47.1165,46.0088,46.9481,1185229.0
2019-01-31,47.0811,48.3926,46.9747,48.2331,1431390.0
2019-02-01,48.2508,48.5432,47.2051,47.852,1050626.0
2019-02-02,48.2508,48.5432,47.2051,47.852,1050626.0
2019-02-03,48.2508,48.5432,47.2051,47.852,1050626.0
2019-02-04,47.914,48.7603,47.5596,48.7559,910837.0
2019-02-05,48.7559,49.323,48.4723,49.1281,1003545.0
2019-02-06,49.0838,49.3671,48.1444,48.7736,884436.0
2019-02-07,48.4014,49.1901,48.047,48.171,1246726.0
2019-02-08,47.9495,48.2508,46.6912,46.8595,1748722.0
2019-02-09,47.9495,48.2508,46.6912,46.8595,1748722.0
2019-02-10,47.9495,48.2508,46.6912,46.8595,1748722.0
2019-02-11,46.9038,48.5166,46.8064,47.7988,1632197.0
2019-02-12,48.0824,49.3585,48.0027,49.3053,777508.0
