,IBM US Equity,IBM US Equity,IBM US Equity,IBM US Equity,IBM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,83.2256,83.9746,82.5574,83.4752,4982755.0
2019-01-02,82.2562,85.1716,82.0212,84.6062,4239924.0
2019-01-03,84.1068,84.3638,82.7556,82.9171,4346659.0
2019-01-04,84.3858,86.2805,84.0407,86.1557,4477755.0
2019-01-05,84.3858,86.2805,84.0407,86.1557,4477755.0
2019-01-06,84.3858,86.2805,84.0407,86.1557,4477755.0
2019-01-07,86.2879,87.2646,85.6783,86.7652,3751204.0
2019-01-08,87.8741,88.5424,87.3747,87.9989,4763636.0
2019-01-09,88.792,89.1519,88.0283,88.6305,3633663.0
2019-01-10,88.1825,89.4897,88.087,89.4383,3909971.0
2019-01-11,89.2841,89.3098,88.2706,89.1959,3722370.0
2019-01-12,89.2841,89.3098,88.2706,89.1959,3722370.0
2019-01-13,89.2841,89.3098,88.2706,89.1959,3722370.0
2019-01-14,88.4983,88.6046,87.948,88.4102,5228909.0
2019-01-15,88.8288,89.5411,88.7259,89.3942,3507719.0
2019-01-16,89.2841,89.5925,88.7333,89.3134,3841100.0
2019-01-17,88.535,89.8925,88.5277,89.732,5029871.0
2019-01-18,90.5251,91.5881,90.1139,90.929,6008509.0
2019-01-19,90.5251,91.5881,90.1139,90.929,6008509.0
2019-01-20,90.5251,91.5881,90.1139,90.929,6008509.0
2019-01-21,90.5251,91.5881,90.1139,90.929,6008509.0
2019-01-22,90.5472,90.9143,89.2547,89.9744,10052384.0
2019-01-23,96.4735,99.1392,95.6951,97.5897,22063666.0
2019-01-24,97.3988,97.8213,96.5176,97.3254,6322928.0
2019-01-25,97.575,98.728,97.2519,98.3828,5708500.0
2019-01-26,97.575,98.728,97.2519,98.3828,5708500.0
2019-01-27,97.575,98.728,97.2519,98.3828,5708500.0
2019-01-28,97.7439,98.996,97.3621,98.6031,5357736.0
2019-01-29,98.6178,99.4439,98.1111,98.6472,5037129.0
2019-01-30,98.4049,99.1613,97.8541,98.6839,4500919.0
2019-01-31,98.7353,98.9307,98.2139,98.7133,4884031.0
2019-02-01,99.1172,99.2861,97.9275,98.4783,3806047.0
2019-02-02,99.1172,99.2861,97.9275,98.4783,3806047.0
2019-02-03,99.1172,99.2861,97.9275,98.4783,3806047.0
2019-02-04,98.4196,99.2861,97.6632,99.2788,3966597.0
2019-02-05,99.3449,99.7414,99.0805,99.5431,5398907.0
2019-02-06,99.3008,100.3509,99.2641,100.1086,4879670.0
2019-02-07,99.2171,99.9006,98.1547,98.9496,4379439.0
2019-02-08,98.3182,99.336,98.2067,99.336,3250074.0
2019-02-09,98.3182,99.336,98.2067,99.336,3250074.0
2019-02-10,98.3182,99.336,98.2067,99.336,3250074.0
2019-02-11,99.7668,100.4058,99.4845,99.544,3095069.0
2019-02-12,100.4058,101.1858,100.1903,101.0744,3317161.0
