,HEES US Equity,HEES US Equity,HEES US Equity,HEES US Equity,HEES US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,17.0984,17.2977,16.4639,17.0483,341145.0
2019-01-02,16.6392,17.8581,16.3219,17.8581,378697.0
2019-01-03,17.6243,17.9129,16.7895,17.1652,311175.0
2019-01-04,17.5325,18.9351,17.4991,18.5511,394396.0
2019-01-05,17.5325,18.9351,17.4991,18.5511,394396.0
2019-01-06,17.5325,18.9351,17.4991,18.5511,394396.0
2019-01-07,18.6095,19.6949,18.2171,19.4026,451024.0
2019-01-08,19.8117,20.3753,19.5529,20.2793,412731.0
2019-01-09,20.5548,20.8804,20.0789,20.7218,413898.0
2019-01-10,20.4546,20.9973,19.932,20.6299,235741.0
2019-01-11,20.4546,20.5965,19.8535,20.3962,194891.0
2019-01-12,20.4546,20.5965,19.8535,20.3962,194891.0
2019-01-13,20.4546,20.5965,19.8535,20.3962,194891.0
2019-01-14,20.1206,20.3544,19.8451,20.1206,136090.0
2019-01-15,20.2125,20.3711,19.6782,20.0205,197755.0
2019-01-16,20.0455,20.3377,19.8785,20.0205,176727.0
2019-01-17,19.8952,20.5757,19.8368,20.3795,233203.0
2019-01-18,20.6132,21.8136,20.5464,21.2227,319398.0
2019-01-19,20.6132,21.8136,20.5464,21.2227,319398.0
2019-01-20,20.6132,21.8136,20.5464,21.2227,319398.0
2019-01-21,20.6132,21.8136,20.5464,21.2227,319398.0
2019-01-22,21.0307,21.5399,20.6466,21.206,340050.0
2019-01-23,21.4231,21.4231,20.3962,20.7218,280151.0
2019-01-24,21.0056,21.8322,20.7885,21.6151,164575.0
2019-01-25,21.9574,22.4082,21.8155,21.8655,261163.0
2019-01-26,21.9574,22.4082,21.8155,21.8655,261163.0
2019-01-27,21.9574,22.4082,21.8155,21.8655,261163.0
2019-01-28,21.4481,21.9657,21.1058,21.7654,167134.0
2019-01-29,21.8405,22.0576,21.6276,21.8405,176965.0
