,ORLY US Equity,ORLY US Equity,ORLY US Equity,ORLY US Equity,ORLY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,345.0,346.102,340.06,344.33,588048.0
2019-01-02,335.82,346.71,335.01,341.15,937366.0
2019-01-03,338.95,348.96,335.38,346.13,1027535.0
2019-01-04,348.46,351.88,338.83,341.82,807746.0
2019-01-05,348.46,351.88,338.83,341.82,807746.0
2019-01-06,348.46,351.88,338.83,341.82,807746.0
2019-01-07,341.57,344.72,336.025,339.69,1096713.0
2019-01-08,342.08,342.41,329.86,336.07,1340780.0
2019-01-09,336.87,346.5,336.87,343.54,727882.0
2019-01-10,340.16,343.72,337.35,343.44,518098.0
2019-01-11,341.68,343.952,337.07,338.73,544029.0
2019-01-12,341.68,343.952,337.07,338.73,544029.0
2019-01-13,341.68,343.952,337.07,338.73,544029.0
2019-01-14,336.62,343.45,335.31,341.15,539373.0
2019-01-15,341.25,346.906,340.0,344.15,559850.0
2019-01-16,344.73,344.73,340.0,344.0,461856.0
2019-01-17,344.31,350.28,341.635,348.22,503092.0
2019-01-18,350.73,353.735,345.89,351.5,576119.0
2019-01-19,350.73,353.735,345.89,351.5,576119.0
2019-01-20,350.73,353.735,345.89,351.5,576119.0
2019-01-21,350.73,353.735,345.89,351.5,576119.0
2019-01-22,349.16,352.63,343.258,345.45,586158.0
2019-01-23,345.0,349.18,342.51,347.9,405995.0
2019-01-24,348.81,348.84,339.49,339.94,625145.0
2019-01-25,341.67,342.809,331.34,337.44,751023.0
2019-01-26,341.67,342.809,331.34,337.44,751023.0
2019-01-27,341.67,342.809,331.34,337.44,751023.0
2019-01-28,336.16,340.34,333.11,335.67,624478.0
2019-01-29,334.73,339.89,333.44,339.24,515850.0
2019-01-30,339.42,346.16,337.26,345.68,637272.0
2019-01-31,346.91,347.72,340.001,344.66,804808.0
2019-02-01,346.08,348.685,342.773,346.75,899359.0
2019-02-02,346.08,348.685,342.773,346.75,899359.0
2019-02-03,346.08,348.685,342.773,346.75,899359.0
2019-02-04,348.22,356.48,345.5,356.17,738609.0
2019-02-05,356.19,359.77,354.35,358.21,814503.0
2019-02-06,356.58,359.0,352.31,353.62,893829.0
2019-02-07,361.6,366.18,353.7,365.46,1760124.0
2019-02-08,362.53,365.39,357.76,360.23,1407676.0
2019-02-09,362.53,365.39,357.76,360.23,1407676.0
2019-02-10,362.53,365.39,357.76,360.23,1407676.0
2019-02-11,359.99,368.725,358.89,366.68,896565.0
2019-02-12,369.27,378.64,369.06,378.49,1032855.0
2019-02-13,379.39,379.91,375.125,377.42,725535.0
2019-02-14,376.31,383.68,372.865,383.05,622377.0
2019-02-15,386.11,388.51,382.07,388.0,675064.0
2019-02-16,386.11,388.51,382.07,388.0,675064.0
2019-02-17,386.11,388.51,382.07,388.0,675064.0
2019-02-18,386.11,388.51,382.07,388.0,675064.0
2019-02-19,388.27,394.42,382.08,384.54,631999.0
2019-02-20,383.58,386.13,379.0,383.58,521552.0
2019-02-21,382.39,383.15,378.57,380.5,455519.0
2019-02-22,382.41,385.9,380.862,383.99,479995.0
2019-02-23,382.41,385.9,380.862,383.99,479995.0
2019-02-24,382.41,385.9,380.862,383.99,479995.0
2019-02-25,384.38,385.0,372.91,375.16,756246.0
