,BWXT US Equity,BWXT US Equity,BWXT US Equity,BWXT US Equity,BWXT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,34.5123,35.4671,34.0118,35.4393,933264.0
2019-01-02,35.0222,36.1809,34.6977,36.0604,882647.0
2019-01-03,35.7731,36.1253,34.6699,35.3188,744020.0
2019-01-04,35.7731,36.8484,35.6104,36.7371,618939.0
2019-01-05,35.7731,36.8484,35.6104,36.7371,618939.0
2019-01-06,35.7731,36.8484,35.6104,36.7371,618939.0
2019-01-07,36.6352,37.3582,36.4683,36.8855,777761.0
2019-01-08,37.0801,37.4139,36.6352,37.3953,875060.0
2019-01-09,37.4787,37.8495,37.3212,37.692,501456.0
2019-01-10,37.3953,37.7568,36.8113,37.6641,519444.0
2019-01-11,37.5436,37.7105,37.2006,37.6549,738335.0
2019-01-12,37.5436,37.7105,37.2006,37.6549,738335.0
2019-01-13,37.5436,37.7105,37.2006,37.6549,738335.0
2019-01-14,37.2748,37.8495,37.2285,37.59,673757.0
2019-01-15,37.6734,38.1833,37.3675,38.0628,533891.0
2019-01-16,37.9793,39.0083,37.8681,38.9434,1076086.0
2019-01-17,38.7951,40.0465,38.5633,39.889,900537.0
2019-01-18,40.2598,41.2609,40.0994,40.9735,1140825.0
2019-01-19,40.2598,41.2609,40.0994,40.9735,1140825.0
2019-01-20,40.2598,41.2609,40.0994,40.9735,1140825.0
2019-01-21,40.2598,41.2609,40.0994,40.9735,1140825.0
2019-01-22,40.8252,41.1775,39.8658,40.3895,921020.0
2019-01-23,40.6584,40.9179,39.8333,40.0465,726592.0
2019-01-24,40.2412,41.1219,40.1022,41.0199,499443.0
2019-01-25,41.2795,41.8542,41.2795,41.7893,392898.0
2019-01-26,41.2795,41.8542,41.2795,41.7893,392898.0
2019-01-27,41.2795,41.8542,41.2795,41.7893,392898.0
2019-01-28,41.2516,42.0303,41.2516,41.8727,536237.0
2019-01-29,42.0303,42.5124,41.7151,42.2621,550640.0
2019-01-30,42.5958,43.0222,41.6734,42.5865,507419.0
2019-01-31,42.7905,43.0871,42.2065,43.0315,636089.0
2019-02-01,43.2076,43.4301,42.7812,43.3838,529522.0
2019-02-02,43.2076,43.4301,42.7812,43.3838,529522.0
2019-02-03,43.2076,43.4301,42.7812,43.3838,529522.0
2019-02-04,43.4394,44.5981,43.3804,44.5425,715714.0
2019-02-05,44.5889,45.1451,44.4266,44.867,848482.0
2019-02-06,44.8762,45.21,44.561,44.9875,444894.0
2019-02-07,44.8392,45.2378,44.4869,45.0431,547120.0
2019-02-08,44.5703,45.0987,44.3478,44.8855,503062.0
2019-02-09,44.5703,45.0987,44.3478,44.8855,503062.0
2019-02-10,44.5703,45.0987,44.3478,44.8855,503062.0
2019-02-11,45.0524,45.3119,44.7001,45.0709,740068.0
2019-02-12,45.3861,45.7105,44.9782,45.5437,471253.0
2019-02-13,45.6456,45.8681,45.108,45.7847,453469.0
2019-02-14,45.7662,46.4614,45.5205,46.4336,529326.0
2019-02-15,46.721,47.7036,46.4799,47.6943,547723.0
2019-02-16,46.721,47.7036,46.4799,47.6943,547723.0
2019-02-17,46.721,47.7036,46.4799,47.6943,547723.0
2019-02-18,46.721,47.7036,46.4799,47.6943,547723.0
2019-02-19,47.5831,48.0559,47.3606,47.7778,541910.0
2019-02-20,47.7407,48.1764,47.5645,48.0559,544980.0
2019-02-21,48.0188,48.2413,47.6943,48.0929,522722.0
2019-02-22,48.3432,49.1775,48.2181,49.159,544873.0
2019-02-23,48.3432,49.1775,48.2181,49.159,544873.0
2019-02-24,48.3432,49.1775,48.2181,49.159,544873.0
2019-02-25,49.3258,49.7152,48.9537,49.0107,1168146.0
2019-02-26,50.7534,53.5437,48.3525,49.2053,2546477.0
2019-02-27,49.5391,50.0026,49.1312,49.2517,1354135.0
2019-02-28,49.3073,49.9562,48.5101,48.5286,805801.0
2019-03-01,48.0651,48.6769,47.6851,47.9817,1027302.0
2019-03-02,48.0651,48.6769,47.6851,47.9817,1027302.0
2019-03-03,48.0651,48.6769,47.6851,47.9817,1027302.0
2019-03-04,48.1115,48.1671,46.6561,46.7766,1161137.0
2019-03-05,46.7766,47.2494,46.7117,46.7395,589883.0
2019-03-06,46.6839,46.9796,45.451,45.4973,632070.0
2019-03-07,45.3861,45.7383,45.006,45.7013,1162026.0
2019-03-08,45.3385,45.3571,44.6408,45.3106,461586.0
2019-03-09,45.3385,45.3571,44.6408,45.3106,461586.0
2019-03-10,45.3385,45.3571,44.6408,45.3106,461586.0
2019-03-11,45.0129,45.7013,44.7245,45.6268,765518.0
