,NGVT US Equity,NGVT US Equity,NGVT US Equity,NGVT US Equity,NGVT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,82.85,83.69,82.29,83.69,211361.0
2019-01-02,82.27,85.35,81.65,84.02,214367.0
2019-01-03,83.06,83.74,79.51,79.69,158737.0
2019-01-04,81.1,84.33,80.91,83.99,233165.0
2019-01-05,81.1,84.33,80.91,83.99,233165.0
2019-01-06,81.1,84.33,80.91,83.99,233165.0
2019-01-07,83.82,86.32,83.75,84.17,158216.0
2019-01-08,85.5,86.28,84.94,86.22,104538.0
2019-01-09,86.93,87.935,85.73,86.47,185833.0
2019-01-10,85.8,88.59,85.4155,88.37,143415.0
2019-01-11,87.23,89.67,87.23,88.23,174781.0
2019-01-12,87.23,89.67,87.23,88.23,174781.0
2019-01-13,87.23,89.67,87.23,88.23,174781.0
2019-01-14,87.16,88.15,86.15,86.24,141295.0
2019-01-15,85.92,86.97,85.42,86.19,112996.0
2019-01-16,86.54,88.65,86.54,88.31,164247.0
2019-01-17,87.6,90.21,87.25,89.65,200182.0
2019-01-18,90.59,93.89,90.0911,92.78,212710.0
2019-01-19,90.59,93.89,90.0911,92.78,212710.0
2019-01-20,90.59,93.89,90.0911,92.78,212710.0
2019-01-21,90.59,93.89,90.0911,92.78,212710.0
2019-01-22,92.13,92.84,89.81,90.84,207948.0
2019-01-23,91.5,91.805,87.7,88.14,193355.0
2019-01-24,88.25,89.975,88.155,88.53,132844.0
2019-01-25,89.46,92.1,89.37,91.61,116297.0
2019-01-26,89.46,92.1,89.37,91.61,116297.0
2019-01-27,89.46,92.1,89.37,91.61,116297.0
2019-01-28,89.96,92.32,89.96,91.5,136496.0
2019-01-29,91.41,92.5,91.36,91.44,145765.0
2019-01-30,92.09,93.32,90.49,93.16,124366.0
2019-01-31,92.27,94.37,92.075,94.07,123768.0
2019-02-01,93.88,95.37,93.3,95.19,118914.0
2019-02-02,93.88,95.37,93.3,95.19,118914.0
2019-02-03,93.88,95.37,93.3,95.19,118914.0
2019-02-04,94.86,96.56,94.4729,96.37,143623.0
2019-02-05,96.65,97.49,95.8,96.15,141732.0
2019-02-06,95.9,97.1,95.58,96.0,131558.0
2019-02-07,95.02,95.34,92.94,93.16,156324.0
2019-02-08,91.69,92.5,90.9504,92.17,175925.0
2019-02-09,91.69,92.5,90.9504,92.17,175925.0
2019-02-10,91.69,92.5,90.9504,92.17,175925.0
2019-02-11,92.65,95.185,91.5941,95.05,205189.0
2019-02-12,96.11,98.48,94.97,98.25,237550.0
2019-02-13,99.36,100.1664,96.7,97.0,302711.0
2019-02-14,106.81,112.0,106.26,107.87,1131781.0
2019-02-15,109.0,111.77,106.47,111.18,490594.0
2019-02-16,109.0,111.77,106.47,111.18,490594.0
2019-02-17,109.0,111.77,106.47,111.18,490594.0
2019-02-18,109.0,111.77,106.47,111.18,490594.0
2019-02-19,110.8,113.89,110.6305,113.1,363597.0
2019-02-20,112.65,117.13,112.65,117.07,306301.0
2019-02-21,117.24,120.41,113.455,114.01,270935.0
2019-02-22,114.98,115.43,112.81,114.87,352050.0
2019-02-23,114.98,115.43,112.81,114.87,352050.0
2019-02-24,114.98,115.43,112.81,114.87,352050.0
2019-02-25,116.35,116.43,113.9,114.99,262031.0
2019-02-26,114.28,115.165,113.845,113.9,199639.0
2019-02-27,113.33,115.56,113.0,115.14,200562.0
2019-02-28,114.82,115.6,113.8575,115.22,205974.0
2019-03-01,115.7,117.42,115.04,116.81,208032.0
2019-03-02,115.7,117.42,115.04,116.81,208032.0
2019-03-03,115.7,117.42,115.04,116.81,208032.0
2019-03-04,116.09,116.92,113.665,114.87,295824.0
2019-03-05,115.11,116.7,114.1701,115.74,161291.0
2019-03-06,115.65,116.665,114.22,114.88,253935.0
2019-03-07,114.96,114.96,111.245,111.38,339760.0
2019-03-08,110.25,111.02,109.22,110.4,184985.0
2019-03-09,110.25,111.02,109.22,110.4,184985.0
2019-03-10,110.25,111.02,109.22,110.4,184985.0
2019-03-11,110.84,112.35,109.62,111.87,189928.0
2019-03-12,112.13,112.21,109.8,111.42,337976.0
2019-03-13,108.68,109.0,104.69,105.34,754178.0
