,NMRK US Equity,NMRK US Equity,NMRK US Equity,NMRK US Equity,NMRK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,7.3095,7.3733,7.0634,7.3095,1372126.0
2019-01-02,7.1546,7.5465,7.0533,7.5374,1843289.0
2019-01-03,7.5191,7.7196,7.2457,7.5009,1329556.0
2019-01-04,7.5738,8.0022,7.5283,7.8199,1293427.0
2019-01-05,7.5738,8.0022,7.5283,7.8199,1293427.0
2019-01-06,7.5738,8.0022,7.5283,7.8199,1293427.0
2019-01-07,7.747,7.9019,7.6467,7.8928,1031680.0
2019-01-08,7.9384,8.0295,7.7288,7.9293,1666632.0
2019-01-09,7.984,8.1845,7.8153,8.1662,1541506.0
2019-01-10,8.0842,8.5581,8.0204,8.4032,1970400.0
2019-01-11,8.3576,8.7678,8.2223,8.704,1312386.0
2019-01-12,8.3576,8.7678,8.2223,8.704,1312386.0
2019-01-13,8.3576,8.7678,8.2223,8.704,1312386.0
2019-01-14,8.5673,8.7587,8.5035,8.6128,952626.0
2019-01-15,8.5855,8.9045,8.2938,8.8498,2061989.0
2019-01-16,9.1141,9.3693,8.9501,9.1414,1574485.0
2019-01-17,9.187,9.5334,8.9136,9.3237,1192640.0
2019-01-18,9.3511,9.5698,9.269,9.4149,832916.0
2019-01-19,9.3511,9.5698,9.269,9.4149,832916.0
2019-01-20,9.3511,9.5698,9.269,9.4149,832916.0
2019-01-21,9.3511,9.5698,9.269,9.4149,832916.0
2019-01-22,9.4331,9.4331,9.0139,9.0868,1006234.0
2019-01-23,9.1323,9.2873,8.8042,8.868,938545.0
2019-01-24,8.8589,9.0503,8.8042,8.9318,645337.0
2019-01-25,9.0503,9.0503,8.5673,8.9045,2221909.0
2019-01-26,9.0503,9.0503,8.5673,8.9045,2221909.0
2019-01-27,9.0503,9.0503,8.5673,8.9045,2221909.0
2019-01-28,8.8407,9.2052,8.7495,9.1688,747503.0
2019-01-29,9.187,9.3237,9.0685,9.1597,765098.0
2019-01-30,9.1779,9.383,9.0868,9.342,780885.0
2019-01-31,9.3966,9.6063,9.3602,9.5242,949627.0
2019-02-01,9.5425,9.743,9.4696,9.6063,901753.0
2019-02-02,9.5425,9.743,9.4696,9.6063,901753.0
2019-02-03,9.5425,9.743,9.4696,9.6063,901753.0
2019-02-04,9.6792,9.7612,9.4331,9.6427,939053.0
2019-02-05,9.661,9.9799,9.5516,9.9161,1203714.0
2019-02-06,9.9344,10.0164,9.7703,9.9891,1069010.0
2019-02-07,9.9526,10.0802,9.7521,9.9161,1091577.0
2019-02-08,9.8706,9.9052,9.6154,9.743,746199.0
2019-02-09,9.8706,9.9052,9.6154,9.743,746199.0
2019-02-10,9.8706,9.9052,9.6154,9.743,746199.0
2019-02-11,9.7703,9.9617,9.6701,9.7886,972706.0
2019-02-12,9.9708,10.1805,9.5607,9.6154,1998606.0
