,SBSI US Equity,SBSI US Equity,SBSI US Equity,SBSI US Equity,SBSI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,31.3308,31.5161,31.2718,31.2802,81854.0
2020-01-02,31.3392,31.4066,31.0192,31.2466,79224.0
2020-01-03,30.8676,31.1455,30.8676,31.0697,170153.0
2020-01-04,30.8676,31.1455,30.8676,31.0697,170153.0
2020-01-05,30.8676,31.1455,30.8676,31.0697,170153.0
2020-01-06,30.7918,31.0697,30.5812,30.9686,102108.0
2020-01-07,30.9097,30.9349,30.6317,30.8254,52748.0
2020-01-08,30.876,31.2381,30.8507,31.1455,61773.0
2020-01-09,31.2129,31.4108,31.0781,31.1286,64929.0
2020-01-10,31.1286,31.2129,30.8423,31.0276,76155.0
2020-01-11,31.1286,31.2129,30.8423,31.0276,76155.0
2020-01-12,31.1286,31.2129,30.8423,31.0276,76155.0
2020-01-13,30.9939,31.2044,30.8339,31.196,63890.0
2020-01-14,31.2044,31.356,30.9855,31.1876,70941.0
2020-01-15,31.0528,31.2634,30.7833,31.0276,58020.0
2020-01-16,31.2381,31.5245,31.1623,31.4318,59686.0
2020-01-17,31.7182,31.7856,31.3645,31.3982,66663.0
2020-01-18,31.7182,31.7856,31.3645,31.3982,66663.0
2020-01-19,31.7182,31.7856,31.3645,31.3982,66663.0
2020-01-20,31.7182,31.7856,31.3645,31.3982,66663.0
2020-01-21,31.2718,31.2718,30.817,30.8339,57947.0
2020-01-22,30.9518,31.0192,30.8002,31.0192,40099.0
2020-01-23,30.817,31.0907,30.6907,30.9855,123860.0
2020-01-24,30.9939,30.9939,30.4464,30.6402,49276.0
2020-01-25,30.9939,30.9939,30.4464,30.6402,49276.0
2020-01-26,30.9939,30.9939,30.4464,30.6402,49276.0
2020-01-27,30.1685,30.598,30.0566,30.4549,52695.0
2020-01-28,30.716,30.7244,30.3622,30.3959,65849.0
2020-01-29,30.3454,30.6991,30.0422,30.0759,77372.0
2020-01-30,29.8232,30.4633,29.8232,30.4296,76530.0
2020-01-31,27.9029,30.1517,27.7261,29.5453,157739.0
2020-02-01,27.9029,30.1517,27.7261,29.5453,157739.0
2020-02-02,27.9029,30.1517,27.7261,29.5453,157739.0
2020-02-03,29.6969,30.2864,29.6969,30.0759,148471.0
2020-02-04,30.4717,30.8928,30.4717,30.657,88105.0
2020-02-05,31.0276,31.1792,30.7328,31.0781,134719.0
2020-02-06,31.2718,31.3224,30.9602,31.0697,71256.0
2020-02-07,30.9602,30.9939,30.6317,30.817,62689.0
2020-02-08,30.9602,30.9939,30.6317,30.817,62689.0
2020-02-09,30.9602,30.9939,30.6317,30.817,62689.0
2020-02-10,30.6991,30.9939,30.6233,30.8339,78028.0
2020-02-11,30.9012,31.2466,30.7244,30.7496,105778.0
2020-02-12,30.9855,30.9855,30.6991,30.7496,77180.0
2020-02-13,30.6065,31.0528,30.6065,30.8254,98814.0
2020-02-14,30.7833,30.9181,30.4549,30.497,68546.0
2020-02-15,30.7833,30.9181,30.4549,30.497,68546.0
2020-02-16,30.7833,30.9181,30.4549,30.497,68546.0
2020-02-17,30.7833,30.9181,30.4549,30.497,68546.0
2020-02-18,30.4128,30.5686,30.1011,30.3285,133618.0
2020-02-19,30.4645,30.5154,30.2946,30.422,79741.0
2020-02-20,30.371,30.7108,30.2946,30.3795,105843.0
2020-02-21,30.3455,30.3455,29.9208,29.9887,99436.0
2020-02-22,30.3455,30.3455,29.9208,29.9887,99436.0
2020-02-23,30.3455,30.3455,29.9208,29.9887,99436.0
2020-02-24,29.4025,29.8188,29.3091,29.7339,186195.0
2020-02-25,29.9038,29.9123,28.9608,29.1732,111939.0
2020-02-26,29.3346,29.4875,28.9353,29.0882,131814.0
2020-02-27,29.0372,29.2836,28.4341,28.485,252853.0
2020-02-28,27.9498,28.3402,26.8624,27.3721,260655.0
2020-02-29,27.9498,28.3402,26.8624,27.3721,260655.0
2020-03-01,27.9498,28.3402,26.8624,27.3721,260655.0
2020-03-02,27.4231,28.553,27.2872,28.5105,190128.0
2020-03-03,28.5445,28.5615,27.6355,27.8819,158565.0
2020-03-04,28.2896,28.7909,27.729,28.6974,155569.0
2020-03-05,28.1962,28.4426,27.5166,27.7969,216102.0
2020-03-06,26.7605,27.6185,26.5481,27.2872,164476.0
2020-03-07,26.7605,27.6185,26.5481,27.2872,164476.0
2020-03-08,26.7605,27.6185,26.5481,27.2872,164476.0
2020-03-09,25.6391,26.1233,24.5432,24.6281,193086.0
2020-03-10,25.4862,25.741,24.2119,25.4777,188234.0
2020-03-11,24.8235,25.0954,23.3878,23.6342,265679.0
2020-03-12,22.4533,23.3567,21.2555,21.2725,315777.0
2020-03-13,22.4788,24.4242,21.8332,24.4157,277190.0
2020-03-14,22.4788,24.4242,21.8332,24.4157,277190.0
2020-03-15,22.4788,24.4242,21.8332,24.4157,277190.0
2020-03-16,20.1681,23.8126,20.1681,22.9885,261059.0
2020-03-17,23.3878,25.4607,21.3404,25.4012,335048.0
2020-03-18,24.2204,25.9874,23.889,25.6391,399247.0
2020-03-19,25.4607,26.5099,23.3283,24.3223,388478.0
2020-03-20,24.3563,24.5857,21.6802,21.9436,333714.0
2020-03-21,24.3563,24.5857,21.6802,21.9436,333714.0
2020-03-22,24.3563,24.5857,21.6802,21.9436,333714.0
2020-03-23,21.9776,22.9376,20.6523,22.4788,275638.0
