,M US Equity,M US Equity,M US Equity,M US Equity,M US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,24.2437,24.3244,23.8806,24.0339,4760229.0
2019-01-02,23.477,24.9862,23.4125,24.8248,8168208.0
2019-01-03,24.5504,24.8369,23.9774,24.0178,7897698.0
2019-01-04,24.3648,24.3648,23.3237,23.7111,9569176.0
2019-01-05,24.3648,24.3648,23.3237,23.7111,9569176.0
2019-01-06,24.3648,24.3648,23.3237,23.7111,9569176.0
2019-01-07,23.5981,24.5101,23.1623,24.1388,9546182.0
2019-01-08,24.5343,24.9539,24.0904,24.8813,8982006.0
2019-01-09,25.0346,25.8134,24.6392,25.5996,7311664.0
2019-01-10,21.2819,21.6529,20.5797,21.072,40592441.0
2019-01-11,21.0882,21.6128,20.3941,20.5152,20375770.0
2019-01-12,21.0882,21.6128,20.3941,20.5152,20375770.0
2019-01-13,21.0882,21.6128,20.3941,20.5152,20375770.0
2019-01-14,20.3457,20.7815,20.0413,20.2408,15681271.0
2019-01-15,20.1843,20.265,19.9341,20.1601,9919540.0
2019-01-16,19.8453,19.926,19.4095,19.7565,15884144.0
2019-01-17,19.5951,20.0794,19.5386,19.9744,8930814.0
2019-01-18,20.1036,20.9752,20.0632,20.8138,14089412.0
2019-01-19,20.1036,20.9752,20.0632,20.8138,14089412.0
2019-01-20,20.1036,20.9752,20.0632,20.8138,14089412.0
2019-01-21,20.1036,20.9752,20.0632,20.8138,14089412.0
2019-01-22,20.6766,20.733,19.9099,20.0955,13222887.0
2019-01-23,20.1762,20.3255,19.7727,19.9341,7798551.0
2019-01-24,19.8695,19.8695,19.4942,19.7808,10834419.0
2019-01-25,19.8937,20.6201,19.8211,20.5878,8805681.0
2019-01-26,19.8937,20.6201,19.8211,20.5878,8805681.0
2019-01-27,19.8937,20.6201,19.8211,20.5878,8805681.0
2019-01-28,20.4829,20.9671,20.3053,20.7573,8609614.0
2019-01-29,20.7896,20.842,20.3618,20.7573,5862858.0
2019-01-30,20.7654,20.8218,20.3981,20.7573,4885664.0
2019-01-31,20.6282,21.2576,20.5797,21.2254,9735755.0
2019-02-01,21.1608,21.3706,20.5232,20.7654,6164289.0
2019-02-02,21.1608,21.3706,20.5232,20.7654,6164289.0
2019-02-03,21.1608,21.3706,20.5232,20.7654,6164289.0
2019-02-04,20.7734,21.0559,20.5579,20.8783,5115868.0
2019-02-05,20.951,21.1608,20.7896,20.951,8845723.0
2019-02-06,20.6282,20.8945,20.3618,20.4748,6775459.0
2019-02-07,20.499,20.9187,20.378,20.7089,7432777.0
2019-02-08,20.5959,20.6201,20.2246,20.2892,4391819.0
2019-02-09,20.5959,20.6201,20.2246,20.2892,4391819.0
2019-02-10,20.5959,20.6201,20.2246,20.2892,4391819.0
2019-02-11,20.2973,20.4667,19.9906,20.1843,7633174.0
2019-02-12,20.1843,20.3457,19.9179,20.0067,12867867.0
2019-02-13,20.1359,20.386,19.7646,20.3699,11260715.0
2019-02-14,20.1923,20.5555,19.8292,20.2892,7634982.0
2019-02-15,20.4587,20.4587,20.0551,20.0794,7538080.0
2019-02-16,20.4587,20.4587,20.0551,20.0794,7538080.0
2019-02-17,20.4587,20.4587,20.0551,20.0794,7538080.0
2019-02-18,20.4587,20.4587,20.0551,20.0794,7538080.0
2019-02-19,20.1197,20.5394,19.9179,20.4425,9457211.0
2019-02-20,20.3295,20.4828,20.0794,20.1923,6241522.0
2019-02-21,20.2811,20.4345,19.6355,19.7323,7944718.0
2019-02-22,19.6193,19.6678,19.3288,19.4176,13517432.0
2019-02-23,19.6193,19.6678,19.3288,19.4176,13517432.0
2019-02-24,19.6193,19.6678,19.3288,19.4176,13517432.0
2019-02-25,19.579,20.0874,19.5628,19.6597,13546515.0
2019-02-26,19.7727,20.6604,19.5306,19.9502,28342959.0
2019-02-27,19.8534,20.6443,19.7646,20.4345,14841390.0
2019-02-28,20.4425,20.4425,19.7808,20.0067,13299424.0
2019-03-01,20.2408,20.3215,19.7404,19.7646,11225210.0
2019-03-02,20.2408,20.3215,19.7404,19.7646,11225210.0
2019-03-03,20.2408,20.3215,19.7404,19.7646,11225210.0
2019-03-04,19.8534,20.0713,19.6274,19.6597,8274714.0
2019-03-05,19.813,19.9502,19.5951,19.6678,11211390.0
2019-03-06,19.6678,19.8776,19.3934,19.4014,7124850.0
2019-03-07,19.3772,19.4014,18.7316,18.8042,10552724.0
2019-03-08,18.667,18.7235,18.3442,18.6347,8633488.0
2019-03-09,18.667,18.7235,18.3442,18.6347,8633488.0
2019-03-10,18.667,18.7235,18.3442,18.6347,8633488.0
2019-03-11,18.6428,19.1149,18.6347,19.0221,8029062.0
2019-03-12,19.119,19.3046,18.8607,19.2239,8350133.0
2019-03-13,19.1674,19.7323,19.0544,19.3853,9428720.0
2019-03-14,19.3259,19.5964,19.1619,19.375,6036053.0
2019-03-15,19.4242,19.4734,19.1045,19.4406,10954421.0
2019-03-16,19.4242,19.4734,19.1045,19.4406,10954421.0
2019-03-17,19.4242,19.4734,19.1045,19.4406,10954421.0
2019-03-18,19.4734,19.621,19.3013,19.5882,6168931.0
2019-03-19,19.6374,19.8916,19.4324,19.6374,9581412.0
2019-03-20,19.5882,19.744,19.1947,19.375,7098812.0
2019-03-21,19.416,19.7399,19.2357,19.703,5363800.0
2019-03-22,19.6702,19.6866,19.0717,19.1127,6627176.0
2019-03-23,19.6702,19.6866,19.0717,19.1127,6627176.0
2019-03-24,19.6702,19.6866,19.0717,19.1127,6627176.0
2019-03-25,19.1455,19.826,19.0143,19.5636,8751439.0
2019-03-26,19.7358,20.0802,19.4242,19.621,7720928.0
2019-03-27,19.6046,20.072,19.5412,19.949,6943682.0
2019-03-28,20.113,20.2442,19.8342,19.8342,9196633.0
2019-03-29,19.99,20.072,19.5759,19.703,6847634.0
2019-03-30,19.99,20.072,19.5759,19.703,6847634.0
2019-03-31,19.99,20.072,19.5759,19.703,6847634.0
2019-04-01,19.8178,20.2032,19.7276,20.0638,6973586.0
2019-04-02,20.1294,20.2852,19.8834,20.2278,6588434.0
2019-04-03,20.4164,20.482,20.0638,20.1786,6619100.0
2019-04-04,20.2196,21.3429,20.1585,21.3101,14218695.0
2019-04-05,21.3183,21.5889,20.8345,20.9001,11618734.0
2019-04-06,21.3183,21.5889,20.8345,20.9001,11618734.0
2019-04-07,21.3183,21.5889,20.8345,20.9001,11618734.0
2019-04-08,20.8919,21.3019,20.8837,21.0395,7307932.0
2019-04-09,20.9083,21.0067,20.5066,20.5558,6998137.0
2019-04-10,20.7525,20.9821,20.195,20.3016,7233284.0
2019-04-11,20.3672,20.5148,19.9244,19.9408,9959333.0
2019-04-12,20.0966,20.4,19.8834,19.908,6136916.0
2019-04-13,20.0966,20.4,19.8834,19.908,6136916.0
2019-04-14,20.0966,20.4,19.8834,19.908,6136916.0
2019-04-15,19.9408,20.4,19.7358,20.1622,6897680.0
2019-04-16,20.2032,20.3098,20.072,20.2114,5787160.0
2019-04-17,20.2606,20.8181,20.2196,20.4656,5968852.0
2019-04-18,20.4984,20.6541,20.2852,20.564,4865857.0
2019-04-19,20.4984,20.6541,20.2852,20.564,4865857.0
2019-04-20,20.4984,20.6541,20.2852,20.564,4865857.0
2019-04-21,20.4984,20.6541,20.2852,20.564,4865857.0
2019-04-22,20.564,20.5967,19.7768,19.949,10141350.0
2019-04-23,20.072,20.3139,19.7604,20.2114,8275226.0
2019-04-24,20.1294,21.1215,19.8424,20.5394,12080661.0
2019-04-25,20.482,20.4984,19.7317,19.785,9189641.0
2019-04-26,19.5554,19.9244,19.3341,19.8916,6151369.0
2019-04-27,19.5554,19.9244,19.3341,19.8916,6151369.0
2019-04-28,19.5554,19.9244,19.3341,19.8916,6151369.0
