,LLY US Equity,LLY US Equity,LLY US Equity,LLY US Equity,LLY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,123.5361,123.8563,122.8958,123.7716,1549861.0
2020-01-02,124.0918,124.5532,123.1124,124.5061,1927432.0
2020-01-03,122.7074,124.751,122.6415,124.0918,1963912.0
2020-01-04,122.7074,124.751,122.6415,124.0918,1963912.0
2020-01-05,122.7074,124.751,122.6415,124.0918,1963912.0
2020-01-06,123.7622,124.8357,123.3101,124.5532,2102920.0
2020-01-07,124.0258,125.1795,124.0258,124.7886,2448943.0
2020-01-08,124.7416,126.3896,124.3178,125.9187,5188559.0
2020-01-09,126.7098,128.4143,126.2012,127.9999,4524048.0
2020-01-10,127.8681,130.213,127.6327,129.9587,4177719.0
2020-01-11,127.8681,130.213,127.6327,129.9587,4177719.0
2020-01-12,127.8681,130.213,127.6327,129.9587,4177719.0
2020-01-13,130.1471,131.8328,129.8551,130.844,5117116.0
2020-01-14,130.8911,132.6898,130.0717,132.4543,4685251.0
2020-01-15,132.3884,133.4337,131.8516,132.8875,3676480.0
2020-01-16,133.5656,133.6974,131.7009,133.1889,3794808.0
2020-01-17,132.6709,133.4808,131.2395,131.4467,5393587.0
2020-01-18,132.6709,133.4808,131.2395,131.4467,5393587.0
2020-01-19,132.6709,133.4808,131.2395,131.4467,5393587.0
2020-01-20,132.6709,133.4808,131.2395,131.4467,5393587.0
2020-01-21,131.3713,133.3207,130.3637,132.6992,4849620.0
2020-01-22,133.0194,133.9611,132.4934,133.3113,2742065.0
2020-01-23,133.0194,133.4808,131.7292,132.9817,3138694.0
2020-01-24,133.5844,133.7162,130.6179,130.9664,3183268.0
2020-01-25,133.5844,133.7162,130.6179,130.9664,3183268.0
2020-01-26,133.5844,133.7162,130.6179,130.9664,3183268.0
2020-01-27,129.3372,130.9946,129.3372,130.2507,2826627.0
2020-01-28,130.6085,131.7292,130.1753,131.1453,2649056.0
2020-01-29,131.3807,132.9158,130.8722,131.7669,2816298.0
2020-01-30,130.1282,135.3454,130.0529,134.3566,5243822.0
2020-01-31,134.5261,134.5261,131.3431,131.5032,3913487.0
2020-02-01,134.5261,134.5261,131.3431,131.5032,3913487.0
2020-02-02,134.5261,134.5261,131.3431,131.5032,3913487.0
2020-02-03,132.3413,133.3207,131.5408,132.7839,5137780.0
2020-02-04,134.0082,135.675,133.5185,135.0817,3177572.0
2020-02-05,136.3437,138.7733,136.1082,138.7639,4061100.0
2020-02-06,139.1312,139.2536,138.2554,138.7168,3285190.0
2020-02-07,138.6415,138.6415,136.9087,137.8787,2670411.0
2020-02-08,138.6415,138.6415,136.9087,137.8787,2670411.0
2020-02-09,138.6415,138.6415,136.9087,137.8787,2670411.0
2020-02-10,133.2548,137.0688,132.8969,137.0311,4892179.0
2020-02-11,137.2383,137.3607,134.8369,135.8445,2976514.0
2020-02-12,136.2401,136.4567,135.1288,135.1477,3953354.0
2020-02-13,135.2328,136.0658,134.2199,134.2294,3455635.0
2020-02-14,134.6554,134.718,133.0603,133.5857,2274126.0
2020-02-15,134.6554,134.718,133.0603,133.5857,2274126.0
2020-02-16,134.6554,134.718,133.0603,133.5857,2274126.0
2020-02-17,134.6554,134.718,133.0603,133.5857,2274126.0
2020-02-18,133.491,134.3809,133.0272,133.4816,2858223.0
2020-02-19,134.059,134.2673,132.8663,133.3112,3082771.0
2020-02-20,134.0685,135.1807,133.6567,134.4187,3416988.0
2020-02-21,133.794,135.034,132.8379,134.4566,2900958.0
2020-02-22,133.794,135.034,132.8379,134.4566,2900958.0
2020-02-23,133.794,135.034,132.8379,134.4566,2900958.0
2020-02-24,131.8439,134.0306,130.5092,130.7743,4727778.0
2020-02-25,131.5221,131.7966,127.4327,128.1806,3401770.0
2020-02-26,128.7675,129.7046,126.1927,126.4009,4659289.0
2020-02-27,126.2116,127.48,122.1601,122.2926,4292823.0
2020-02-28,119.6327,120.0302,115.0227,119.396,7898390.0
2020-02-29,119.6327,120.0302,115.0227,119.396,7898390.0
2020-03-01,119.6327,120.0302,115.0227,119.396,7898390.0
2020-03-02,120.9201,125.8992,119.4717,125.7478,7355667.0
2020-03-03,126.1643,128.4077,121.8193,123.3528,6936631.0
2020-03-04,125.9276,133.3396,125.8992,132.8852,5301949.0
2020-03-05,130.992,134.3335,130.1874,132.6675,6882129.0
2020-03-06,128.8526,134.7595,128.3131,133.9076,8010654.0
2020-03-07,128.8526,134.7595,128.3131,133.9076,8010654.0
2020-03-08,128.8526,134.7595,128.3131,133.9076,8010654.0
2020-03-09,126.8648,133.4058,126.1927,128.474,5351578.0
2020-03-10,131.7966,134.3525,127.5274,133.652,5961351.0
2020-03-11,132.0143,134.2673,130.0588,132.5444,7211964.0
2020-03-12,123.8072,129.2124,119.2067,119.2919,7836650.0
2020-03-13,125.8519,131.9291,121.6442,131.9291,6841696.0
2020-03-14,125.8519,131.9291,121.6442,131.9291,6841696.0
2020-03-15,125.8519,131.9291,121.6442,131.9291,6841696.0
2020-03-16,124.006,131.276,121.4041,122.4725,6619710.0
2020-03-17,126.098,135.9238,124.1007,135.5547,8909251.0
2020-03-18,129.0609,136.3119,126.9216,135.4505,6734850.0
2020-03-19,134.8826,135.3464,124.1196,125.9844,6555120.0
2020-03-20,125.1041,125.1893,113.8124,115.8652,9113640.0
2020-03-21,125.1041,125.1893,113.8124,115.8652,9113640.0
2020-03-22,125.1041,125.1893,113.8124,115.8652,9113640.0
2020-03-23,114.4926,120.106,110.8102,112.694,7299342.0
2020-03-24,116.6603,117.9477,111.1416,116.329,6827409.0
2020-03-25,113.7069,119.4055,112.8455,115.4297,6472192.0
2020-03-26,116.7076,128.4926,115.4297,127.1771,6723870.0
2020-03-27,123.6747,130.2631,123.2455,126.95,4717376.0
2020-03-28,123.6747,130.2631,123.2455,126.95,4717376.0
2020-03-29,123.6747,130.2631,123.2455,126.95,4717376.0
2020-03-30,126.7228,134.201,126.382,131.0488,5057365.0
2020-03-31,129.6478,134.4377,127.3381,131.3138,7561617.0
2020-04-01,126.8458,129.8655,125.8803,129.1366,3297943.0
2020-04-02,128.1238,135.176,125.9276,134.5891,4725051.0
2020-04-03,133.3964,136.8799,131.0677,132.2037,4013280.0
2020-04-04,133.3964,136.8799,131.0677,132.2037,4013280.0
2020-04-05,133.3964,136.8799,131.0677,132.2037,4013280.0
2020-04-06,134.6743,135.8386,132.8095,134.0495,4159869.0
2020-04-07,135.4884,137.0692,132.5728,134.3051,3900683.0
2020-04-08,134.4661,139.3884,132.9988,138.4134,4006811.0
2020-04-09,136.7947,138.5838,135.886,137.9496,4415537.0
2020-04-10,136.7947,138.5838,135.886,137.9496,4415537.0
2020-04-11,136.7947,138.5838,135.886,137.9496,4415537.0
2020-04-12,136.7947,138.5838,135.886,137.9496,4415537.0
2020-04-13,137.2302,138.7637,135.2517,136.7095,2289127.0
2020-04-14,139.4168,143.4572,136.3593,143.0423,3809624.0
2020-04-15,140.9882,145.2101,140.5812,143.1086,3614430.0
2020-04-16,144.7273,147.2832,143.8848,146.4691,3512945.0
2020-04-17,147.1222,149.2521,144.8598,148.8924,3709893.0
2020-04-18,147.1222,149.2521,144.8598,148.8924,3709893.0
2020-04-19,147.1222,149.2521,144.8598,148.8924,3709893.0
2020-04-20,148.2676,151.6446,147.3021,149.3657,2562267.0
2020-04-21,147.1128,147.4819,143.3263,144.5191,4270235.0
2020-04-22,146.3555,148.8829,145.371,148.3434,3279266.0
2020-04-23,148.7883,153.881,145.778,151.3915,5692905.0
2020-04-24,153.3509,156.0961,152.0351,154.2313,4414235.0
2020-04-25,153.3509,156.0961,152.0351,154.2313,4414235.0
2020-04-26,153.3509,156.0961,152.0351,154.2313,4414235.0
2020-04-27,155.2442,155.7175,152.1393,152.6788,3210509.0
2020-04-28,152.3475,153.3323,148.2298,148.9019,3270605.0
2020-04-29,149.3373,149.5929,146.4123,146.8761,3241034.0
2020-04-30,146.914,148.5975,145.0965,146.3839,4175767.0
2020-05-01,145.513,146.3507,143.4778,145.4278,2576671.0
2020-05-02,145.513,146.3507,143.4778,145.4278,2576671.0
2020-05-03,145.513,146.3507,143.4778,145.4278,2576671.0
2020-05-04,146.3933,147.6713,143.1843,145.0965,2228949.0
2020-05-05,145.5887,150.7194,144.5948,149.4604,2862645.0
2020-05-06,149.9999,150.4543,148.0026,148.315,1964792.0
2020-05-07,149.0912,149.271,144.5664,144.803,2330591.0
2020-05-08,145.9674,146.1756,144.4055,145.3142,1967688.0
2020-05-09,145.9674,146.1756,144.4055,145.3142,1967688.0
2020-05-10,145.9674,146.1756,144.4055,145.3142,1967688.0
2020-05-11,145.2763,150.956,144.9072,150.0851,3196292.0
2020-05-12,151.3347,152.783,149.1764,149.2994,2329658.0
2020-05-13,148.6463,150.8424,147.7091,149.4982,2649972.0
2020-05-14,148.3095,151.1722,146.2837,150.6301,2393935.0
2020-05-15,150.8678,151.7048,148.395,151.4385,2824638.0
2020-05-16,150.8678,151.7048,148.395,151.4385,2824638.0
2020-05-17,150.8678,151.7048,148.395,151.4385,2824638.0
2020-05-18,153.4452,154.4248,149.4222,150.2306,2703730.0
2020-05-19,149.1749,151.3434,147.6817,149.0323,2339430.0
2020-05-20,147.6722,149.7265,144.1913,145.637,3780795.0
2020-05-21,145.656,145.656,142.3946,144.8285,3049756.0
2020-05-22,144.7715,145.0948,142.8191,143.7633,2354972.0
2020-05-23,144.7715,145.0948,142.8191,143.7633,2354972.0
2020-05-24,144.7715,145.0948,142.8191,143.7633,2354972.0
2020-05-25,144.7715,145.0948,142.8191,143.7633,2354972.0
2020-05-26,143.7158,144.334,139.9591,140.7199,5013422.0
2020-05-27,140.9197,140.9197,136.5923,138.5705,5376334.0
2020-05-28,140.2159,144.6574,139.3409,143.2783,3983510.0
2020-05-29,144.2389,146.122,142.603,145.4658,9466743.0
2020-05-30,144.2389,146.122,142.603,145.4658,9466743.0
2020-05-31,144.2389,146.122,142.603,145.4658,9466743.0
2020-06-01,146.9114,147.4059,143.5075,144.9902,5235562.0
2020-06-02,144.6383,146.5405,143.6492,146.3312,3269734.0
2020-06-03,145.8367,146.8353,143.4685,145.0663,3190321.0
2020-06-04,144.762,146.0269,142.3853,143.3354,3328760.0
2020-06-05,142.3748,144.334,141.0813,141.9088,4579125.0
2020-06-06,142.3748,144.334,141.0813,141.9088,4579125.0
2020-06-07,142.3748,144.334,141.0813,141.9088,4579125.0
2020-06-08,139.5691,141.9468,139.3504,141.9088,4076682.0
2020-06-09,142.4223,144.3245,141.8137,141.8327,4302321.0
2020-06-10,142.6221,144.9427,142.5079,143.6112,4940240.0
2020-06-11,144.4196,144.7905,136.0502,137.0298,4547384.0
2020-06-12,138.4184,139.2172,134.5475,136.5162,3973250.0
2020-06-13,138.4184,139.2172,134.5475,136.5162,3973250.0
2020-06-14,138.4184,139.2172,134.5475,136.5162,3973250.0
2020-06-15,135.0516,135.9075,132.8451,134.5951,3710714.0
2020-06-16,148.6709,159.2372,147.4154,155.6992,15029908.0
2020-06-17,156.1938,156.3174,151.6001,152.1423,4711157.0
2020-06-18,151.4099,154.9955,150.4589,153.1884,3631610.0
2020-06-19,154.2917,154.5294,150.5159,152.1137,6004898.0
2020-06-20,154.2917,154.5294,150.5159,152.1137,6004898.0
2020-06-21,154.2917,154.5294,150.5159,152.1137,6004898.0
2020-06-22,151.3909,153.5784,151.1436,152.5988,2647611.0
2020-06-23,153.0172,154.9003,151.1722,151.5431,2771597.0
2020-06-24,150.7917,151.9711,148.6804,149.3461,3095967.0
2020-06-25,149.9263,155.3949,149.0418,154.8908,3735845.0
2020-06-26,154.3868,155.7742,152.342,154.8623,5290721.0
2020-06-27,154.3868,155.7742,152.342,154.8623,5290721.0
2020-06-28,154.3868,155.7742,152.342,154.8623,5290721.0
2020-06-29,155.8324,156.17,153.1504,154.7577,2640297.0
2020-06-30,155.1286,157.0878,154.3582,156.1462,3296344.0
2020-07-01,156.2794,157.3731,154.5675,155.3093,2065209.0
2020-07-02,156.0416,156.7074,154.4248,155.8514,1960202.0
2020-07-03,156.0416,156.7074,154.4248,155.8514,1960202.0
2020-07-04,156.0416,156.7074,154.4248,155.8514,1960202.0
2020-07-05,156.0416,156.7074,154.4248,155.8514,1960202.0
2020-07-06,156.4125,160.6543,155.9846,158.7236,2760124.0
2020-07-07,157.9913,160.1407,157.1829,158.5905,3273315.0
2020-07-08,158.6761,161.5103,158.6761,160.854,2782025.0
2020-07-09,161.5673,162.3948,155.6992,158.3052,2955246.0
2020-07-10,158.0103,158.0103,154.7767,155.3664,2245221.0
2020-07-11,158.0103,158.0103,154.7767,155.3664,2245221.0
2020-07-12,158.0103,158.0103,154.7767,155.3664,2245221.0
2020-07-13,156.5552,158.8283,153.1599,154.149,3455741.0
2020-07-14,154.9099,156.7074,153.6259,155.8609,2642956.0
2020-07-15,157.1068,158.3337,155.8752,157.3541,2346191.0
2020-07-16,156.8786,157.3446,154.6436,156.9261,1486791.0
2020-07-17,157.9152,159.0755,157.0307,157.8391,3027743.0
2020-07-18,157.9152,159.0755,157.0307,157.8391,3027743.0
2020-07-19,157.9152,159.0755,157.0307,157.8391,3027743.0
2020-07-20,158.3432,159.5035,157.6204,158.8663,1806386.0
