,AIMC US Equity,AIMC US Equity,AIMC US Equity,AIMC US Equity,AIMC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,34.9172,35.3999,34.9172,35.1697,319018.0
2020-01-02,35.4514,35.4514,34.8589,35.3737,400594.0
2020-01-03,34.9172,35.5242,34.8492,35.432,422928.0
2020-01-04,34.9172,35.5242,34.8492,35.432,422928.0
2020-01-05,34.9172,35.5242,34.8492,35.432,422928.0
2020-01-06,35.1503,35.5971,34.8881,35.5388,245983.0
2020-01-07,35.3931,35.5485,35.1114,35.3591,179198.0
2020-01-08,35.3251,35.7233,35.1017,35.2863,557378.0
2020-01-09,35.5291,35.5388,35.131,35.4125,376079.0
2020-01-10,35.3931,35.4417,34.8443,35.0046,263273.0
2020-01-11,35.3931,35.4417,34.8443,35.0046,263273.0
2020-01-12,35.3931,35.4417,34.8443,35.0046,263273.0
2020-01-13,34.9463,35.5485,34.7035,35.5194,221231.0
2020-01-14,35.4417,35.8593,35.3251,35.4611,251738.0
2020-01-15,35.2086,35.4562,34.4801,35.0046,346046.0
2020-01-16,35.4223,35.869,35.1212,35.6068,320144.0
2020-01-17,35.869,35.869,35.5097,35.5971,190603.0
2020-01-18,35.869,35.869,35.5097,35.5971,190603.0
2020-01-19,35.869,35.869,35.5097,35.5971,190603.0
2020-01-20,35.869,35.869,35.5097,35.5971,190603.0
2020-01-21,35.3737,35.4902,34.7132,34.8298,205718.0
2020-01-22,35.0337,35.1017,34.2567,34.3441,245592.0
2020-01-23,34.1693,34.3393,33.7031,34.0819,258496.0
2020-01-24,34.0916,34.2082,33.5381,33.7711,217588.0
2020-01-25,34.0916,34.2082,33.5381,33.7711,217588.0
2020-01-26,34.0916,34.2082,33.5381,33.7711,217588.0
2020-01-27,32.8678,33.3923,32.7415,33.0912,169446.0
2020-01-28,33.3146,33.5768,33.0329,33.1301,271907.0
2020-01-29,33.4117,33.6934,33.1009,33.1495,259038.0
2020-01-30,32.7998,33.3534,32.557,33.266,212828.0
2020-01-31,33.0621,33.1398,32.2462,32.3045,335885.0
2020-02-01,33.0621,33.1398,32.2462,32.3045,335885.0
2020-02-02,33.0621,33.1398,32.2462,32.3045,335885.0
2020-02-03,32.5667,33.1009,32.3627,32.8387,185820.0
2020-02-04,33.4603,33.606,33.1301,33.3826,250674.0
2020-02-05,33.8974,35.0046,33.8002,34.9755,220370.0
2020-02-06,35.1017,35.1017,34.3927,34.9658,182094.0
2020-02-07,34.587,34.9075,33.606,34.043,153131.0
2020-02-08,34.587,34.9075,33.606,34.043,153131.0
2020-02-09,34.587,34.9075,33.606,34.043,153131.0
2020-02-10,33.8488,34.0819,33.5865,33.7808,186934.0
2020-02-11,34.0916,34.4753,33.7808,33.9945,469231.0
2020-02-12,34.519,34.7035,33.8488,34.1499,760640.0
2020-02-13,35.5485,37.3259,35.5485,36.3255,794422.0
2020-02-14,36.1507,36.1507,34.8589,35.364,303743.0
2020-02-15,36.1507,36.1507,34.8589,35.364,303743.0
2020-02-16,36.1507,36.1507,34.8589,35.364,303743.0
2020-02-17,36.1507,36.1507,34.8589,35.364,303743.0
2020-02-18,35.1309,35.2668,33.9459,34.6549,279023.0
2020-02-19,34.956,34.956,34.247,34.3247,233875.0
2020-02-20,34.1596,34.451,33.6837,33.8974,353223.0
2020-02-21,33.8099,33.8099,32.6736,33.674,237850.0
2020-02-22,33.8099,33.8099,32.6736,33.674,237850.0
2020-02-23,33.8099,33.8099,32.6736,33.674,237850.0
2020-02-24,32.1879,32.6298,31.7897,32.0714,196123.0
2020-02-25,32.1394,32.1394,31.0273,31.2069,420872.0
2020-02-26,31.4789,31.6634,30.8816,31.0224,393910.0
2020-02-27,30.0705,31.6731,29.8277,30.0123,431324.0
2020-02-28,28.6525,29.5752,28.4582,29.2547,592128.0
2020-02-29,28.6525,29.5752,28.4582,29.2547,592128.0
2020-03-01,28.6525,29.5752,28.4582,29.2547,592128.0
2020-03-02,29.4004,29.6626,29.0119,29.4295,620393.0
2020-03-03,29.4684,30.2211,27.7298,27.8366,405033.0
2020-03-04,28.3514,29.0701,27.6229,28.5068,285420.0
2020-03-05,27.5647,27.8318,25.6513,26.0009,293521.0
2020-03-06,24.8742,25.6998,24.2721,24.7286,521305.0
2020-03-07,24.8742,25.6998,24.2721,24.7286,521305.0
2020-03-08,24.8742,25.6998,24.2721,24.7286,521305.0
2020-03-09,22.7763,23.4271,20.7172,21.0572,729535.0
2020-03-10,22.1644,23.1065,21.0766,23.0871,729513.0
2020-03-11,22.1547,22.5626,20.6201,20.7463,581072.0
2020-03-12,19.0369,19.8722,17.2983,17.3275,647403.0
2020-03-13,18.9301,19.6877,17.9491,18.493,1199754.0
2020-03-14,18.9301,19.6877,17.9491,18.493,1199754.0
2020-03-15,18.9301,19.6877,17.9491,18.493,1199754.0
2020-03-16,16.5116,17.9685,15.1034,15.3267,906240.0
2020-03-17,15.8078,16.1612,14.1828,15.4543,539778.0
2020-03-18,14.0895,14.6639,12.3811,12.7738,852725.0
2020-03-19,12.6757,16.2201,11.7822,15.6507,972358.0
2020-03-20,15.6507,16.0434,14.4921,14.8357,1210661.0
2020-03-21,15.6507,16.0434,14.4921,14.8357,1210661.0
2020-03-22,15.6507,16.0434,14.4921,14.8357,1210661.0
2020-03-23,15.0223,15.3217,14.0895,15.0616,579056.0
2020-03-24,16.0238,16.7012,15.3561,15.7292,768651.0
2020-03-25,15.8078,19.8137,15.523,17.9384,947940.0
2020-03-26,18.1249,19.961,17.8283,19.8235,680605.0
2020-03-27,18.6158,18.8711,16.8191,17.0743,531827.0
2020-03-28,18.6158,18.8711,16.8191,17.0743,531827.0
2020-03-29,18.6158,18.8711,16.8191,17.0743,531827.0
2020-03-30,17.0056,17.3591,16.387,17.0351,629879.0
2020-03-31,17.1136,17.6929,16.6914,17.1725,659503.0
2020-04-01,16.1907,16.5932,15.091,15.3561,506261.0
2020-04-02,15.1597,17.1725,14.875,17.0154,959345.0
2020-04-03,16.9172,17.3296,15.0518,15.3365,592082.0
2020-04-04,16.9172,17.3296,15.0518,15.3365,592082.0
2020-04-05,16.9172,17.3296,15.0518,15.3365,592082.0
2020-04-06,17.3002,17.8795,16.4558,17.5554,476527.0
2020-04-07,18.4489,19.421,17.9776,18.606,643169.0
2020-04-08,19.1559,19.9512,18.6453,19.6861,554503.0
2020-04-09,20.6188,21.2865,20.177,20.933,535966.0
2020-04-10,20.6188,21.2865,20.177,20.933,535966.0
2020-04-11,20.6188,21.2865,20.177,20.933,535966.0
2020-04-12,20.6188,21.2865,20.177,20.933,535966.0
2020-04-13,20.7955,21.0852,19.254,19.7646,442816.0
2020-04-14,20.4224,20.5059,18.9988,19.1853,823047.0
2020-04-15,18.1642,18.5078,17.1823,17.9482,532932.0
