,SCL US Equity,SCL US Equity,SCL US Equity,SCL US Equity,SCL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,96.1601,97.5241,96.1601,97.0315,108181.0
2020-01-02,97.6472,98.7649,96.5295,98.7365,98029.0
2020-01-03,97.4672,98.1398,96.4727,96.8137,99483.0
2020-01-04,97.4672,98.1398,96.4727,96.8137,99483.0
2020-01-05,97.4672,98.1398,96.4727,96.8137,99483.0
2020-01-06,96.2738,97.543,95.7433,97.1168,81898.0
2020-01-07,96.7947,97.5525,96.2927,96.861,68606.0
2020-01-08,97.0694,97.903,96.7284,97.6377,83885.0
2020-01-09,98.1966,98.4808,95.8665,96.3685,120312.0
2020-01-10,96.539,97.0884,95.9138,96.3969,95971.0
2020-01-11,96.539,97.0884,95.9138,96.3969,95971.0
2020-01-12,96.539,97.0884,95.9138,96.3969,95971.0
2020-01-13,96.8326,99.9679,96.8326,99.911,121625.0
2020-01-14,99.769,100.2804,98.4523,98.9354,106818.0
2020-01-15,98.7744,99.589,96.3022,96.6337,127748.0
2020-01-16,97.3725,97.652,96.7521,97.5525,122035.0
2020-01-17,98.2534,99.068,97.1594,99.0207,102011.0
2020-01-18,98.2534,99.068,97.1594,99.0207,102011.0
2020-01-19,98.2534,99.068,97.1594,99.0207,102011.0
2020-01-20,98.2534,99.068,97.1594,99.0207,102011.0
2020-01-21,98.386,98.386,96.1601,96.4632,98426.0
2020-01-22,96.7,97.0126,96.018,96.4064,71189.0
2020-01-23,96.1601,97.5999,95.0235,97.2304,81615.0
2020-01-24,97.0884,97.3867,94.9761,95.9612,80746.0
2020-01-25,97.0884,97.3867,94.9761,95.9612,80746.0
2020-01-26,97.0884,97.3867,94.9761,95.9612,80746.0
2020-01-27,94.7109,97.4862,92.8923,96.6432,233850.0
2020-01-28,97.4104,98.7744,96.3117,96.6811,144666.0
2020-01-29,96.9936,97.5951,95.2887,95.7718,128262.0
2020-01-30,94.7204,95.4497,93.0343,95.0803,128763.0
2020-01-31,94.2941,94.7298,92.4281,93.4416,1140517.0
2020-02-01,94.2941,94.7298,92.4281,93.4416,1140517.0
2020-02-02,94.2941,94.7298,92.4281,93.4416,1140517.0
2020-02-03,93.9815,95.1324,93.4795,94.8056,119376.0
2020-02-04,95.9707,97.2683,95.857,96.6621,77041.0
2020-02-05,97.7988,98.2534,96.5863,97.7609,76310.0
2020-02-06,98.0072,98.2629,97.0126,97.7325,76520.0
2020-02-07,97.2115,97.3536,95.3739,95.4876,61832.0
2020-02-08,97.2115,97.3536,95.3739,95.4876,61832.0
2020-02-09,97.2115,97.3536,95.3739,95.4876,61832.0
2020-02-10,95.3266,96.3495,95.3076,96.2643,72121.0
2020-02-11,96.8137,97.6377,96.3969,96.8231,100705.0
2020-02-12,97.6283,98.2345,97.0159,97.4862,67480.0
2020-02-13,96.8705,98.1682,96.7663,97.9598,41267.0
2020-02-14,98.1492,98.7223,97.5336,98.2345,72898.0
2020-02-15,98.1492,98.7223,97.5336,98.2345,72898.0
2020-02-16,98.1492,98.7223,97.5336,98.2345,72898.0
2020-02-17,98.1492,98.7223,97.5336,98.2345,72898.0
2020-02-18,98.0356,98.0356,96.3164,96.6811,56901.0
2020-02-19,96.9273,98.0924,96.8326,96.861,75497.0
2020-02-20,96.7,98.4713,95.5918,96.7853,118704.0
2020-02-21,96.4727,97.2873,95.1182,95.3455,74848.0
2020-02-22,96.4727,97.2873,95.1182,95.3455,74848.0
2020-02-23,96.4727,97.2873,95.1182,95.3455,74848.0
2020-02-24,92.0966,93.5553,91.4336,93.1764,93772.0
2020-02-25,93.4416,93.4416,88.3599,88.8382,157681.0
2020-02-26,88.2131,90.1169,87.209,87.6921,90822.0
2020-02-27,85.8072,87.2185,82.5204,82.5204,118596.0
2020-02-28,79.584,83.4013,78.5042,83.1929,161856.0
2020-02-29,79.584,83.4013,78.5042,83.1929,161856.0
2020-03-01,79.584,83.4013,78.5042,83.1929,161856.0
2020-03-02,83.6854,85.7977,81.9142,85.703,113523.0
2020-03-03,85.4283,87.2185,82.4257,83.837,90043.0
2020-03-04,85.2005,87.4998,83.3572,87.4143,81961.0
2020-03-05,84.6874,85.0579,81.5044,82.9866,104651.0
2020-03-06,80.3357,82.635,79.9746,81.5424,67381.0
2020-03-07,80.3357,82.635,79.9746,81.5424,67381.0
2020-03-08,80.3357,82.635,79.9746,81.5424,67381.0
2020-03-09,76.554,78.4781,74.7012,75.6419,137712.0
2020-03-10,78.3783,78.4639,74.2642,77.7797,189100.0
2020-03-11,75.5089,75.5089,71.4897,72.7819,106582.0
2020-03-12,67.4326,72.8009,65.8743,67.7936,159809.0
2020-03-13,71.9648,79.091,70.017,78.8534,193554.0
2020-03-14,71.9648,79.091,70.017,78.8534,193554.0
2020-03-15,71.9648,79.091,70.017,78.8534,193554.0
2020-03-16,70.3115,78.7964,70.3115,78.4259,195851.0
2020-03-17,80.1171,96.4313,78.6824,94.5405,292476.0
2020-03-18,94.531,97.2484,87.2813,96.9064,210711.0
2020-03-19,97.8375,100.593,92.4311,93.4003,254332.0
2020-03-20,94.7685,94.7685,70.4588,71.2712,183620.0
2020-03-21,94.7685,94.7685,70.4588,71.2712,183620.0
2020-03-22,94.7685,94.7685,70.4588,71.2712,183620.0
2020-03-23,72.4969,76.9626,68.5062,75.8319,103327.0
2020-03-24,80.0126,83.3477,75.9079,80.1361,115325.0
2020-03-25,80.4022,82.8488,75.5231,77.7227,123020.0
2020-03-26,78.5399,81.9508,78.5399,81.1338,94872.0
2020-03-27,78.2738,78.4971,73.8366,74.6347,85689.0
2020-03-28,78.2738,78.4971,73.8366,74.6347,85689.0
2020-03-29,78.2738,78.4971,73.8366,74.6347,85689.0
2020-03-30,75.2998,83.3192,75.2998,82.7396,91007.0
2020-03-31,82.2835,84.2123,80.3262,84.0508,113285.0
2020-04-01,80.7347,81.0578,78.6729,79.3665,91110.0
2020-04-02,81.6184,84.1125,80.0269,83.2146,83620.0
2020-04-03,82.1885,85.571,80.8297,85.571,118279.0
2020-04-04,82.1885,85.571,80.8297,85.571,118279.0
2020-04-05,82.1885,85.571,80.8297,85.571,118279.0
2020-04-06,88.507,90.4643,84.7852,88.8301,130383.0
2020-04-07,90.6924,93.4655,87.3953,88.8206,104826.0
2020-04-08,90.3218,91.5475,88.8396,90.1413,84810.0
2020-04-09,91.31,94.3562,90.3978,91.9086,83087.0
2020-04-10,91.31,94.3562,90.3978,91.9086,83087.0
2020-04-11,91.31,94.3562,90.3978,91.9086,83087.0
2020-04-12,91.31,94.3562,90.3978,91.9086,83087.0
2020-04-13,91.2435,91.4335,87.5949,89.0011,56466.0
2020-04-14,91.7185,92.4758,88.7921,90.4643,61561.0
2020-04-15,88.1269,90.0605,85.514,85.8941,74060.0
2020-04-16,86.9868,87.6899,83.704,86.6162,106139.0
2020-04-17,89.4192,91.3158,87.7469,89.4192,87157.0
2020-04-18,89.4192,91.3158,87.7469,89.4192,87157.0
2020-04-19,89.4192,91.3158,87.7469,89.4192,87157.0
2020-04-20,87.4048,88.374,84.9439,86.7682,62229.0
2020-04-21,86.6637,89.2142,84.7729,85.5045,118246.0
2020-04-22,87.4998,87.4998,84.2075,85.1244,90343.0
2020-04-23,86.5782,90.6829,86.5782,88.8681,128838.0
2020-04-24,90.4643,90.4643,85.647,86.4927,141037.0
2020-04-25,90.4643,90.4643,85.647,86.4927,141037.0
2020-04-26,90.4643,90.4643,85.647,86.4927,141037.0
2020-04-27,87.8324,90.2268,86.7017,89.3621,134147.0
2020-04-28,91.8325,92.8302,90.2933,91.5095,95402.0
2020-04-29,94.1319,95.6142,92.4264,93.6949,121437.0
2020-04-30,91.4145,91.519,89.3051,90.6449,330517.0
2020-05-01,89.4952,89.7232,87.6044,89.0011,96943.0
2020-05-02,89.4952,89.7232,87.6044,89.0011,96943.0
2020-05-03,89.4952,89.7232,87.6044,89.0011,96943.0
2020-05-04,89.1246,89.1246,85.514,86.5592,97813.0
2020-05-05,88.0699,89.3051,87.2908,87.3003,93879.0
2020-05-06,87.7849,89.2101,86.9773,88.3455,92974.0
2020-05-07,89.7802,89.88,87.7849,88.8966,81612.0
2020-05-08,90.3693,90.3693,88.507,89.7707,70579.0
2020-05-09,90.3693,90.3693,88.507,89.7707,70579.0
2020-05-10,90.3693,90.3693,88.507,89.7707,70579.0
2020-05-11,88.9061,90.3598,87.8609,88.9631,113655.0
2020-05-12,88.9916,89.4809,86.3692,86.4737,107425.0
2020-05-13,85.514,86.2836,82.2455,84.2503,157240.0
2020-05-14,82.8441,83.8322,79.49,83.6517,134994.0
2020-05-15,83.4047,85.2195,82.293,85.0104,350018.0
2020-05-16,83.4047,85.2195,82.293,85.0104,350018.0
2020-05-17,83.4047,85.2195,82.293,85.0104,350018.0
2020-05-18,86.3406,88.9916,86.1031,86.4927,140544.0
2020-05-19,85.8561,87.7849,85.0199,85.514,74059.0
2020-05-20,87.4238,90.9584,86.8252,90.2078,123610.0
2020-05-21,90.5498,91.1959,88.754,90.9109,73172.0
2020-05-22,91.6805,91.6805,89.8942,90.8349,68563.0
2020-05-23,91.6805,91.6805,89.8942,90.8349,68563.0
2020-05-24,91.6805,91.6805,89.8942,90.8349,68563.0
2020-05-25,91.6805,91.6805,89.8942,90.8349,68563.0
2020-05-26,93.4953,94.3695,91.367,91.9466,84858.0
2020-05-27,93.3623,95.6617,91.9561,95.6617,91087.0
2020-05-28,96.2285,96.9907,93.8943,94.4564,73658.0
2020-05-29,93.113,93.5417,91.5981,92.5699,148151.0
2020-05-30,93.113,93.5417,91.5981,92.5699,148151.0
2020-05-31,93.113,93.5417,91.5981,92.5699,148151.0
2020-06-01,92.5128,94.1515,92.1126,92.5509,94946.0
2020-06-02,92.9796,95.0042,92.9796,94.1039,53478.0
2020-06-03,95.2091,96.4572,94.8851,94.8851,67886.0
2020-06-04,93.9514,95.4473,93.3321,94.7613,71181.0
2020-06-05,96.7907,98.277,96.1904,96.7335,95510.0
2020-06-06,96.7907,98.277,96.1904,96.7335,95510.0
2020-06-07,96.7907,98.277,96.1904,96.7335,95510.0
2020-06-08,97.5719,98.6677,96.9907,97.6196,89455.0
2020-06-09,96.2666,98.5628,96.2666,97.5814,78935.0
2020-06-10,97.1051,97.7863,94.3325,94.7232,69060.0
2020-06-11,91.8077,92.6938,88.7208,88.8256,105244.0
2020-06-12,91.6743,92.8558,88.616,90.2452,114145.0
2020-06-13,91.6743,92.8558,88.616,90.2452,114145.0
2020-06-14,91.6743,92.8558,88.616,90.2452,114145.0
2020-06-15,87.9681,92.4832,87.9681,91.541,72487.0
2020-06-16,94.1134,94.7994,90.7121,91.6934,96708.0
2020-06-17,91.8744,93.6275,90.7502,91.217,84086.0
2020-06-18,90.2452,90.6263,88.7113,88.7113,61080.0
2020-06-19,89.5783,89.9308,87.0725,88.1015,206732.0
2020-06-20,89.5783,89.9308,87.0725,88.1015,206732.0
2020-06-21,89.5783,89.9308,87.0725,88.1015,206732.0
2020-06-22,87.244,88.4064,86.4437,88.2349,63602.0
2020-06-23,89.0638,89.0638,87.0058,87.5775,63467.0
2020-06-24,86.4246,87.3965,85.4529,86.2627,77332.0
2020-06-25,85.6624,87.1297,84.9383,86.9391,81939.0
2020-06-26,86.196,86.7676,83.4616,83.8046,250557.0
2020-06-27,86.196,86.7676,83.4616,83.8046,250557.0
2020-06-28,86.196,86.7676,83.4616,83.8046,250557.0
2020-06-29,84.8812,91.3885,84.8812,90.8931,132590.0
2020-06-30,90.2452,92.8558,89.664,92.5128,119777.0
2020-07-01,93.6084,94.5993,89.7021,90.1595,67666.0
2020-07-02,91.3885,93.5036,91.3885,92.1698,59083.0
2020-07-03,91.3885,93.5036,91.3885,92.1698,59083.0
2020-07-04,91.3885,93.5036,91.3885,92.1698,59083.0
2020-07-05,91.3885,93.5036,91.3885,92.1698,59083.0
2020-07-06,93.7704,93.7704,91.1789,92.6366,58809.0
2020-07-07,91.741,92.6557,90.3405,91.2456,74128.0
2020-07-08,90.7502,91.56,87.9395,89.5688,63864.0
2020-07-09,89.8641,89.8641,86.3056,87.6347,84698.0
2020-07-10,88.0729,90.7311,87.668,90.5691,76131.0
2020-07-11,88.0729,90.7311,87.668,90.5691,76131.0
2020-07-12,88.0729,90.7311,87.668,90.5691,76131.0
2020-07-13,91.4076,92.2412,89.6736,90.0261,75961.0
2020-07-14,90.1309,92.1698,89.2543,91.9506,60386.0
2020-07-15,93.7132,96.0951,93.6084,95.0471,115626.0
2020-07-16,94.7708,96.1047,93.1321,95.6855,76744.0
2020-07-17,95.7331,96.3714,94.4945,95.1138,57811.0
2020-07-18,95.7331,96.3714,94.4945,95.1138,57811.0
2020-07-19,95.7331,96.3714,94.4945,95.1138,57811.0
2020-07-20,94.323,94.6565,92.9606,94.2277,53474.0
2020-07-21,94.9137,97.0003,94.5612,96.5715,88289.0
2020-07-22,99.0011,101.8306,97.0765,99.6203,173384.0
2020-07-23,100.0396,104.7843,100.0014,103.8506,128807.0
2020-07-24,103.8506,104.2984,101.9832,103.3552,80870.0
2020-07-25,103.8506,104.2984,101.9832,103.3552,80870.0
2020-07-26,103.8506,104.2984,101.9832,103.3552,80870.0
2020-07-27,102.5167,105.2845,102.4881,103.9363,111183.0
2020-07-28,103.298,103.8125,101.907,102.3738,74824.0
2020-07-29,102.612,104.4365,102.4834,104.1841,84941.0
2020-07-30,102.6501,103.7553,101.9737,103.4695,73505.0
2020-07-31,102.9264,104.3079,102.2118,104.0411,177224.0
2020-08-01,102.9264,104.3079,102.2118,104.0411,177224.0
2020-08-02,102.9264,104.3079,102.2118,104.0411,177224.0
2020-08-03,104.8033,105.0225,103.7601,104.4032,77392.0
2020-08-04,103.803,104.3174,102.9645,103.9268,93040.0
2020-08-05,105.1368,105.7085,103.5124,105.5465,128849.0
2020-08-06,104.8129,108.0999,104.8129,107.4901,79132.0
2020-08-07,107.5759,109.1193,107.1852,108.643,81039.0
2020-08-08,107.5759,109.1193,107.1852,108.643,81039.0
2020-08-09,107.5759,109.1193,107.1852,108.643,81039.0
2020-08-10,109.4814,110.3293,108.2809,108.7573,59934.0
2020-08-11,110.0721,111.1011,108.6906,109.3385,70714.0
2020-08-12,110.739,111.1201,109.4337,110.4341,61408.0
2020-08-13,109.9482,111.2011,109.0241,109.9292,82273.0
2020-08-14,109.348,111.4155,109.348,111.1678,58480.0
2020-08-15,109.348,111.4155,109.348,111.1678,58480.0
2020-08-16,109.348,111.4155,109.348,111.1678,58480.0
2020-08-17,110.8534,113.2067,110.8534,112.0824,107879.0
2020-08-18,111.5489,113.0352,111.3488,112.1967,116577.0
2020-08-19,112.3397,113.1019,110.5008,111.4536,62032.0
