,NTAP US Equity,NTAP US Equity,NTAP US Equity,NTAP US Equity,NTAP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,53.6059,54.4629,53.5709,54.4366,1727103.0
2020-01-02,54.6129,55.362,54.4646,55.3179,1596424.0
2020-01-03,54.5953,55.0711,53.9431,54.375,1429842.0
2020-01-04,54.5953,55.0711,53.9431,54.375,1429842.0
2020-01-05,54.5953,55.0711,53.9431,54.375,1429842.0
2020-01-06,53.8726,54.6482,53.8656,54.2428,1005407.0
2020-01-07,54.3485,54.8156,53.9696,54.5953,1575045.0
2020-01-08,54.842,55.8555,54.6217,55.644,1801512.0
2020-01-09,56.067,56.5517,55.4942,55.926,2009173.0
2020-01-10,56.0494,56.1463,55.3884,55.6352,1794528.0
2020-01-11,56.0494,56.1463,55.3884,55.6352,1794528.0
2020-01-12,56.0494,56.1463,55.3884,55.6352,1794528.0
2020-01-13,55.8643,56.8161,55.8643,56.4988,1627401.0
2020-01-14,56.4372,56.6487,56.0582,56.208,1433315.0
2020-01-15,56.3578,56.8734,56.2477,56.5693,1470096.0
2020-01-16,56.8337,57.6181,56.5693,57.6181,2221606.0
2020-01-17,55.8026,56.2345,54.5777,55.0095,4240649.0
2020-01-18,55.8026,56.2345,54.5777,55.0095,4240649.0
2020-01-19,55.8026,56.2345,54.5777,55.0095,4240649.0
2020-01-20,55.8026,56.2345,54.5777,55.0095,4240649.0
2020-01-21,54.7803,55.1681,53.2381,53.3703,2623050.0
2020-01-22,53.6082,53.996,53.0266,53.291,2119687.0
2020-01-23,53.3967,53.4188,52.066,53.3791,2171086.0
2020-01-24,53.3615,53.6787,52.0484,52.7093,1486583.0
2020-01-25,53.3615,53.6787,52.0484,52.7093,1486583.0
2020-01-26,53.3615,53.6787,52.0484,52.7093,1486583.0
2020-01-27,51.4667,51.8986,50.9027,51.2552,2043230.0
2020-01-28,51.3786,51.4667,50.1008,50.1624,3157582.0
2020-01-29,50.3475,50.3475,48.911,48.9463,2950131.0
2020-01-30,48.2941,49.0785,47.6509,48.3382,2411331.0
2020-01-31,48.1002,48.1972,46.8532,47.0603,2271154.0
2020-02-01,48.1002,48.1972,46.8532,47.0603,2271154.0
2020-02-02,48.1002,48.1972,46.8532,47.0603,2271154.0
2020-02-03,47.1485,48.2941,47.1397,47.6244,1764325.0
2020-02-04,48.7436,49.7394,48.5585,49.2459,1900977.0
2020-02-05,50.2594,51.0878,49.995,50.938,2236972.0
2020-02-06,51.1671,51.523,50.5326,51.2464,1166894.0
2020-02-07,50.9732,51.0261,50.4444,50.5326,1252540.0
2020-02-08,50.9732,51.0261,50.4444,50.5326,1252540.0
2020-02-09,50.9732,51.0261,50.4444,50.5326,1252540.0
2020-02-10,50.1272,51.2023,50.1272,51.1671,1551400.0
2020-02-11,51.784,52.7182,51.4403,52.066,2268872.0
2020-02-12,52.3921,53.7184,52.1894,53.5994,4480500.0
2020-02-13,47.1308,48.9992,46.8797,48.629,10365907.0
2020-02-14,48.6995,48.7699,47.3071,47.8006,3217318.0
2020-02-15,48.6995,48.7699,47.3071,47.8006,3217318.0
2020-02-16,48.6995,48.7699,47.3071,47.8006,3217318.0
2020-02-17,48.6995,48.7699,47.3071,47.8006,3217318.0
2020-02-18,47.5627,47.7125,46.4919,47.0868,2635263.0
2020-02-19,46.8488,47.7389,46.7519,46.8929,1935986.0
2020-02-20,46.8841,47.4128,46.4258,47.3335,2462874.0
2020-02-21,46.9281,47.0163,45.6988,45.8265,3233556.0
2020-02-22,46.9281,47.0163,45.6988,45.8265,3233556.0
2020-02-23,46.9281,47.0163,45.6988,45.8265,3233556.0
2020-02-24,44.5046,44.7073,43.7776,44.1521,2601680.0
2020-02-25,44.6368,44.9409,42.6716,43.0064,2715927.0
2020-02-26,43.5881,44.3196,42.5217,42.7244,2239577.0
2020-02-27,41.7638,42.8831,40.8826,41.3056,3494936.0
2020-02-28,39.6576,41.2791,39.5606,41.1734,5531142.0
2020-02-29,39.6576,41.2791,39.5606,41.1734,5531142.0
2020-03-01,39.6576,41.2791,39.5606,41.1734,5531142.0
2020-03-02,41.4554,41.9665,40.3714,41.9225,3145734.0
2020-03-03,41.429,42.4689,39.8867,40.4596,2558002.0
2020-03-04,40.909,40.909,39.9572,40.8385,2766289.0
2020-03-05,39.6488,39.99,38.5207,38.7146,2353609.0
2020-03-06,37.1548,38.9085,36.7934,38.7763,4223835.0
2020-03-07,37.1548,38.9085,36.7934,38.7763,4223835.0
2020-03-08,37.1548,38.9085,36.7934,38.7763,4223835.0
2020-03-09,36.2735,37.5161,35.0088,35.1278,2770235.0
2020-03-10,36.6084,38.3445,35.6125,38.3269,3980939.0
2020-03-11,37.0842,37.331,35.1983,35.6478,2799379.0
2020-03-12,33.0568,34.3699,31.6027,31.6468,3011980.0
2020-03-13,33.7442,35.9562,32.4135,35.9562,3833349.0
2020-03-14,33.7442,35.9562,32.4135,35.9562,3833349.0
2020-03-15,33.7442,35.9562,32.4135,35.9562,3833349.0
2020-03-16,31.8406,37.3046,31.7261,35.2953,4034804.0
