,EQT US Equity,EQT US Equity,EQT US Equity,EQT US Equity,EQT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,10.105,10.6509,10.0571,10.4402,4477966.0
2020-01-02,10.5073,10.5839,9.832,9.923,9285377.0
2020-01-03,10.0571,10.1912,9.7314,9.9038,7208724.0
2020-01-04,10.0571,10.1912,9.7314,9.9038,7208724.0
2020-01-05,10.0571,10.1912,9.7314,9.9038,7208724.0
2020-01-06,10.0092,10.0523,9.7314,10.0188,8293685.0
2020-01-07,9.8847,10.0331,9.7314,9.8559,4618474.0
2020-01-08,9.7793,9.8272,8.7161,8.7449,9538116.0
2020-01-09,8.697,8.7832,8.2803,8.6299,7885336.0
2020-01-10,8.6683,8.855,8.4096,8.4671,6560622.0
2020-01-11,8.6683,8.855,8.4096,8.4671,6560622.0
2020-01-12,8.6683,8.855,8.4096,8.4671,6560622.0
2020-01-13,8.4671,8.7161,7.6625,8.0169,13158061.0
2020-01-14,7.969,8.3713,7.8493,8.2468,9032301.0
2020-01-15,8.1319,8.2324,7.8254,8.1031,9308391.0
2020-01-16,8.1415,8.6299,8.1127,8.1893,5984613.0
2020-01-17,8.1702,8.2277,7.8828,7.8924,6354864.0
2020-01-18,8.1702,8.2277,7.8828,7.8924,6354864.0
2020-01-19,8.1702,8.2277,7.8828,7.8924,6354864.0
2020-01-20,8.1702,8.2277,7.8828,7.8924,6354864.0
2020-01-21,7.8781,7.8828,7.356,7.356,8751847.0
2020-01-22,7.3944,7.4997,7.0687,7.0879,7259279.0
2020-01-23,7.0495,7.1549,6.7814,6.8197,8763825.0
2020-01-24,6.7526,6.7814,6.1971,6.3695,11762089.0
2020-01-25,6.7526,6.7814,6.1971,6.3695,11762089.0
2020-01-26,6.7526,6.7814,6.1971,6.3695,11762089.0
2020-01-27,6.1683,6.5036,6.13,6.312,8453842.0
2020-01-28,6.3695,6.518,6.245,6.3982,7322370.0
