,BMTC US Equity,BMTC US Equity,BMTC US Equity,BMTC US Equity,BMTC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,38.7487,38.8331,38.4953,38.7018,44428.0
2020-01-02,38.8425,38.8425,38.0542,38.3451,55770.0
2020-01-03,37.829,38.2982,37.6225,38.2607,43787.0
2020-01-04,37.829,38.2982,37.6225,38.2607,43787.0
2020-01-05,37.829,38.2982,37.6225,38.2607,43787.0
2020-01-06,38.0073,38.2231,37.6601,38.1387,44509.0
2020-01-07,37.8947,38.0542,37.6038,37.8665,50350.0
2020-01-08,37.8947,38.2757,37.6019,38.1856,46317.0
2020-01-09,38.3264,38.4765,37.8478,38.0073,79410.0
2020-01-10,37.8853,38.073,37.6601,37.8008,49020.0
2020-01-11,37.8853,38.073,37.6601,37.8008,49020.0
2020-01-12,37.8853,38.073,37.6601,37.8008,49020.0
2020-01-13,37.7727,38.0542,37.5944,38.0261,35305.0
2020-01-14,37.8384,38.0153,37.6695,37.7351,50044.0
2020-01-15,37.5756,37.5756,36.975,37.2096,44495.0
2020-01-16,37.463,37.9228,37.0407,37.7727,53558.0
2020-01-17,38.4765,38.4765,37.2753,37.4067,80139.0
2020-01-18,38.4765,38.4765,37.2753,37.4067,80139.0
2020-01-19,38.4765,38.4765,37.2753,37.4067,80139.0
2020-01-20,38.4765,38.4765,37.2753,37.4067,80139.0
2020-01-21,37.3222,37.6882,36.9187,36.9656,166489.0
2020-01-22,37.2284,37.5005,37.0032,37.4911,57767.0
2020-01-23,37.4442,37.5568,37.1252,37.4489,64972.0
2020-01-24,37.4536,37.5662,37.0313,37.1158,92795.0
2020-01-25,37.4536,37.5662,37.0313,37.1158,92795.0
2020-01-26,37.4536,37.5662,37.0313,37.1158,92795.0
2020-01-27,36.7028,37.1064,36.6559,36.7967,38545.0
2020-01-28,36.9656,37.0688,36.4589,36.5996,36924.0
2020-01-29,36.4964,36.6583,35.8019,35.9239,50471.0
2020-01-30,35.8105,36.0279,35.5365,35.9712,59597.0
2020-01-31,35.7066,35.8767,35.3854,35.4515,59872.0
2020-02-01,35.7066,35.8767,35.3854,35.4515,59872.0
2020-02-02,35.7066,35.8767,35.3854,35.4515,59872.0
2020-02-03,35.6594,36.0751,35.6594,35.8767,32997.0
2020-02-04,36.1885,36.3657,36.0751,36.1129,147622.0
2020-02-05,36.4058,36.8688,36.3397,36.8027,49021.0
2020-02-06,36.8783,37.0389,36.3302,36.3491,45567.0
2020-02-07,36.2735,36.2735,35.905,36.1129,32276.0
2020-02-08,36.2735,36.2735,35.905,36.1129,32276.0
2020-02-09,36.2735,36.2735,35.905,36.1129,32276.0
2020-02-10,36.1129,36.3775,36.0184,36.3302,26166.0
2020-02-11,36.5003,36.9349,36.3775,36.3964,30582.0
2020-02-12,36.7271,36.7507,36.3161,36.6326,39591.0
2020-02-13,36.5286,36.831,36.5286,36.8216,18255.0
2020-02-14,36.8121,36.8121,36.4767,36.5759,32498.0
2020-02-15,36.8121,36.8121,36.4767,36.5759,32498.0
2020-02-16,36.8121,36.8121,36.4767,36.5759,32498.0
2020-02-17,36.8121,36.8121,36.4767,36.5759,32498.0
2020-02-18,36.4909,36.4909,36.1413,36.283,30784.0
2020-02-19,36.3019,36.5003,36.1696,36.3964,19615.0
2020-02-20,36.2168,36.6987,36.2168,36.6798,27557.0
2020-02-21,36.6893,36.7649,36.2357,36.6137,42051.0
2020-02-22,36.6893,36.7649,36.2357,36.6137,42051.0
2020-02-23,36.6893,36.7649,36.2357,36.6137,42051.0
2020-02-24,35.9334,35.9334,35.3192,35.546,51226.0
2020-02-25,35.4893,35.4893,34.1003,34.3838,50453.0
2020-02-26,34.4972,34.7145,34.1098,34.1759,42438.0
2020-02-27,33.6468,34.44,32.6641,32.8437,61142.0
2020-02-28,31.9649,33.4538,30.8122,31.4075,97748.0
2020-02-29,31.9649,33.4538,30.8122,31.4075,97748.0
2020-03-01,31.9649,33.4538,30.8122,31.4075,97748.0
2020-03-02,31.8232,33.5523,31.2468,33.42,73972.0
2020-03-03,33.6279,33.9774,31.9838,32.2011,59799.0
2020-03-04,32.5319,32.7586,31.8326,32.7208,65760.0
2020-03-05,31.8988,32.05,30.5854,31.0484,59187.0
2020-03-06,29.9713,33.2216,29.7161,30.5476,68349.0
2020-03-07,29.9713,33.2216,29.7161,30.5476,68349.0
2020-03-08,29.9713,33.2216,29.7161,30.5476,68349.0
2020-03-09,28.6673,29.8862,26.6832,27.6374,79918.0
2020-03-10,28.4973,28.7146,27.2689,28.5351,67749.0
2020-03-11,27.6941,27.9965,26.4374,26.617,74128.0
2020-03-12,24.8406,25.9461,23.5282,23.8107,75986.0
2020-03-13,24.5288,25.8611,23.9524,25.8611,82748.0
2020-03-14,24.5288,25.8611,23.9524,25.8611,82748.0
2020-03-15,24.5288,25.8611,23.9524,25.8611,82748.0
2020-03-16,22.3651,24.4721,22.3462,22.3556,82989.0
2020-03-17,22.6202,25.502,21.269,25.502,117690.0
2020-03-18,24.3493,25.5115,20.995,20.995,87464.0
2020-03-19,20.9761,25.1524,20.9761,24.5288,106485.0
2020-03-20,24.1981,25.117,23.1965,24.028,175568.0
2020-03-21,24.1981,25.117,23.1965,24.028,175568.0
2020-03-22,24.1981,25.117,23.1965,24.028,175568.0
2020-03-23,24.1225,25.2942,21.5052,23.3194,107207.0
2020-03-24,24.5666,25.6721,23.0777,25.6721,113052.0
2020-03-25,25.1052,27.1839,23.1824,24.217,119225.0
2020-03-26,24.491,26.4185,22.7997,26.2674,78127.0
2020-03-27,25.1808,26.4469,24.8312,25.1524,76943.0
2020-03-28,25.1808,26.4469,24.8312,25.1524,76943.0
2020-03-29,25.1808,26.4469,24.8312,25.1524,76943.0
2020-03-30,25.691,26.4185,24.9446,26.4185,60858.0
2020-03-31,25.9745,26.9193,25.2658,26.8154,150942.0
2020-04-01,25.5776,25.5776,24.2642,25.0957,128713.0
2020-04-02,24.954,25.8563,24.5666,25.4453,57142.0
2020-04-03,25.0296,25.417,23.48,24.1509,65294.0
2020-04-04,25.0296,25.417,23.48,24.1509,65294.0
2020-04-05,25.0296,25.417,23.48,24.1509,65294.0
2020-04-06,25.2469,27.0422,25.2469,26.8626,110591.0
2020-04-07,27.5051,28.1288,25.3981,25.9934,100830.0
2020-04-08,26.7493,27.3067,26.0548,26.5886,68525.0
2020-04-09,27.1933,29.3193,26.7776,29.3193,74527.0
2020-04-10,27.1933,29.3193,26.7776,29.3193,74527.0
2020-04-11,27.1933,29.3193,26.7776,29.3193,74527.0
2020-04-12,27.1933,29.3193,26.7776,29.3193,74527.0
2020-04-13,28.9697,28.9697,27.2689,27.6658,68406.0
2020-04-14,28.639,28.639,26.513,26.9099,69863.0
2020-04-15,25.5493,25.9745,24.869,24.9446,57292.0
2020-04-16,24.8879,25.2658,22.9792,23.8107,84816.0
2020-04-17,24.6989,26.154,24.6989,26.0217,122916.0
2020-04-18,24.6989,26.154,24.6989,26.0217,122916.0
2020-04-19,24.6989,26.154,24.6989,26.0217,122916.0
2020-04-20,25.0957,25.6957,24.3587,24.3682,107357.0
2020-04-21,22.6769,24.6422,22.1194,23.8296,102260.0
2020-04-22,24.5666,24.9446,24.3265,24.7839,93186.0
2020-04-23,25.2186,25.8044,24.4438,24.7272,61843.0
2020-04-24,24.8217,25.3981,24.3918,25.0485,46000.0
2020-04-25,24.8217,25.3981,24.3918,25.0485,46000.0
2020-04-26,24.8217,25.3981,24.3918,25.0485,46000.0
2020-04-27,25.5965,27.9587,25.5587,27.2311,104362.0
2020-04-28,28.2138,28.2988,27.3256,27.7036,62443.0
2020-04-29,29.0573,29.963,26.9981,29.124,99504.0
2020-04-30,27.9705,28.552,27.389,27.756,77651.0
2020-05-01,26.8551,27.1645,26.102,26.674,65330.0
2020-05-02,26.8551,27.1645,26.102,26.674,65330.0
2020-05-03,26.8551,27.1645,26.102,26.674,65330.0
2020-05-04,26.3594,26.674,26.0639,26.3594,35308.0
2020-05-05,26.9695,27.0839,25.4442,25.4919,61929.0
2020-05-06,25.5967,25.5967,24.6148,24.7578,58444.0
2020-05-07,25.3107,25.6158,24.3288,24.5767,81621.0
2020-05-08,24.6911,26.1592,24.6148,25.9304,80771.0
2020-05-09,24.6911,26.1592,24.6148,25.9304,80771.0
2020-05-10,24.6911,26.1592,24.6148,25.9304,80771.0
2020-05-11,25.4823,26.183,24.5767,25.2631,99282.0
2020-05-12,25.2249,25.2249,23.8474,23.938,80139.0
2020-05-13,23.671,23.6901,22.1076,22.8512,74080.0
2020-05-14,22.1171,22.8321,21.4545,22.7177,82960.0
2020-05-15,22.5652,23.242,22.3364,22.9274,56338.0
2020-05-16,22.5652,23.242,22.3364,22.9274,56338.0
2020-05-17,22.5652,23.242,22.3364,22.9274,56338.0
2020-05-18,24.3288,25.4537,24.1667,25.2249,78678.0
2020-05-19,24.9389,24.9389,23.6901,23.7759,62772.0
2020-05-20,23.9475,25.4156,23.9475,25.0343,53601.0
2020-05-21,24.9771,25.4442,24.5767,24.8627,30372.0
2020-05-22,25.0247,25.306,23.6962,25.0438,48055.0
2020-05-23,25.0247,25.306,23.6962,25.0438,48055.0
2020-05-24,25.0247,25.306,23.6962,25.0438,48055.0
2020-05-25,25.0247,25.306,23.6962,25.0438,48055.0
2020-05-26,26.2736,26.755,25.8065,26.2927,90549.0
2020-05-27,27.3794,28.1135,26.5024,27.7798,187637.0
2020-05-28,28.247,28.2851,27.2841,27.4557,89025.0
2020-05-29,26.9505,27.1316,26.0543,26.4738,64242.0
2020-05-30,26.9505,27.1316,26.0543,26.4738,64242.0
2020-05-31,26.9505,27.1316,26.0543,26.4738,64242.0
2020-06-01,26.5691,26.8361,25.3107,25.6825,111554.0
2020-06-02,26.0257,26.4833,25.4633,25.6349,55722.0
2020-06-03,26.2164,27.1888,26.0543,26.5787,95596.0
2020-06-04,26.3689,27.0887,26.1306,26.9219,64767.0
2020-06-05,28.2756,28.8476,27.8084,28.533,86672.0
2020-06-06,28.2756,28.8476,27.8084,28.533,86672.0
2020-06-07,28.2756,28.8476,27.8084,28.533,86672.0
2020-06-08,29.2098,29.4005,28.819,29.1336,91075.0
2020-06-09,28.3709,29.4386,27.8466,28.9143,61716.0
2020-06-10,28.7904,28.7904,27.1316,27.1983,77975.0
