,TPL US Equity,TPL US Equity,TPL US Equity,TPL US Equity,TPL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,246.5565,246.5565,240.2961,241.1604,24186.0
2020-01-02,242.3273,242.6277,239.1767,239.2774,24672.0
2020-01-03,246.9578,247.5752,241.4136,246.7108,62421.0
2020-01-04,246.9578,247.5752,241.4136,246.7108,62421.0
2020-01-05,246.9578,247.5752,241.4136,246.7108,62421.0
2020-01-06,246.7108,250.0448,245.4822,246.9578,88773.0
2020-01-07,247.2202,248.3469,246.0163,248.3469,40635.0
2020-01-08,248.5013,254.6659,246.9578,252.9372,103572.0
2020-01-09,254.0547,258.8426,248.6494,251.0295,61803.0
2020-01-10,250.6405,250.8119,245.0828,249.8225,49482.0
2020-01-11,250.6405,250.8119,245.0828,249.8225,49482.0
2020-01-12,250.6405,250.8119,245.0828,249.8225,49482.0
2020-01-13,249.1217,249.1217,244.3189,248.4704,74256.0
2020-01-14,248.4519,248.5013,245.4143,246.788,49416.0
2020-01-15,246.7417,250.2794,245.6983,245.6983,36150.0
2020-01-16,246.9578,246.9578,242.5408,245.3834,30288.0
2020-01-17,245.5378,245.5378,243.7388,244.7537,16392.0
2020-01-18,245.5378,245.5378,243.7388,244.7537,16392.0
2020-01-19,245.5378,245.5378,243.7388,244.7537,16392.0
2020-01-20,245.5378,245.5378,243.7388,244.7537,16392.0
2020-01-21,244.4913,244.4913,240.3362,241.3827,34977.0
2020-01-22,245.0006,246.2941,236.4914,236.709,52644.0
2020-01-23,235.2273,236.1534,228.652,234.3012,53688.0
2020-01-24,233.0664,233.0664,228.1952,231.9026,27258.0
2020-01-25,233.0664,233.0664,228.1952,231.9026,27258.0
2020-01-26,233.0664,233.0664,228.1952,231.9026,27258.0
2020-01-27,228.7446,230.9941,226.5992,226.9326,36183.0
2020-01-28,228.9731,232.5648,227.3925,230.1492,52878.0
2020-01-29,230.0412,232.6991,228.4359,229.0533,57498.0
2020-01-30,226.9017,227.9266,222.0737,224.2685,45744.0
2020-01-31,222.3855,233.6211,211.7509,233.2856,159333.0
2020-02-01,222.3855,233.6211,211.7509,233.2856,159333.0
2020-02-02,222.3855,233.6211,211.7509,233.2856,159333.0
2020-02-03,231.9952,234.6099,225.866,231.5229,101946.0
2020-02-04,234.7581,241.2058,234.7581,240.7962,67026.0
