,NWE US Equity,NWE US Equity,NWE US Equity,NWE US Equity,NWE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,59.3728,59.7959,59.3562,59.4558,353766.0
2020-01-02,59.6051,59.6051,57.8132,58.452,274450.0
2020-01-03,58.3856,58.8336,58.3027,58.452,282135.0
2020-01-04,58.3856,58.8336,58.3027,58.452,282135.0
2020-01-05,58.3856,58.8336,58.3027,58.452,282135.0
2020-01-06,58.3856,58.9497,58.3856,58.6677,203745.0
2020-01-07,58.4686,58.6096,58.1368,58.369,139269.0
2020-01-08,58.3359,58.5557,58.1533,58.369,210916.0
2020-01-09,58.369,58.8253,58.2446,58.7258,234648.0
2020-01-10,58.9,59.2152,58.7175,59.0908,215705.0
2020-01-11,58.9,59.2152,58.7175,59.0908,215705.0
2020-01-12,58.9,59.2152,58.7175,59.0908,215705.0
2020-01-13,59.1737,60.1194,59.1654,59.9618,174004.0
2020-01-14,60.0365,60.1858,59.6798,60.1526,161910.0
2020-01-15,60.2522,61.1315,60.2522,60.9075,207241.0
2020-01-16,61.1481,61.7952,61.0527,61.7122,231955.0
2020-01-17,61.762,62.0233,61.4882,61.9694,206930.0
2020-01-18,61.762,62.0233,61.4882,61.9694,206930.0
2020-01-19,61.762,62.0233,61.4882,61.9694,206930.0
2020-01-20,61.762,62.0233,61.4882,61.9694,206930.0
2020-01-21,62.0524,62.5335,61.6056,62.4671,256664.0
2020-01-22,62.6994,62.8653,62.463,62.5916,222771.0
2020-01-23,62.6414,62.7327,62.2515,62.5999,265934.0
2020-01-24,62.6165,63.0479,62.5252,62.8653,284401.0
2020-01-25,62.6165,63.0479,62.5252,62.8653,284401.0
2020-01-26,62.6165,63.0479,62.5252,62.8653,284401.0
2020-01-27,62.8488,63.4626,62.3842,62.7326,410103.0
2020-01-28,62.8488,63.2718,62.6165,62.94,302420.0
2020-01-29,63.0147,63.3216,62.4506,63.1972,249518.0
2020-01-30,63.081,64.0102,63.0561,63.9438,151226.0
2020-01-31,63.894,64.1595,63.4751,63.8525,445625.0
2020-02-01,63.894,64.1595,63.4751,63.8525,445625.0
2020-02-02,63.894,64.1595,63.4751,63.8525,445625.0
2020-02-03,63.9189,64.1927,63.8525,64.1595,226013.0
2020-02-04,64.2093,64.2093,63.7488,63.8442,344708.0
2020-02-05,63.836,64.4084,63.6742,64.3918,193679.0
2020-02-06,64.4747,64.7983,64.2424,64.3171,276223.0
