,THG US Equity,THG US Equity,THG US Equity,THG US Equity,THG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,122.9744,124.0216,122.9428,123.3806,186064.0
2020-01-02,123.9132,124.2292,122.3955,123.2091,173390.0
2020-01-03,122.3063,123.8681,122.3063,123.2091,251917.0
2020-01-04,122.3063,123.8681,122.3063,123.2091,251917.0
2020-01-05,122.3063,123.8681,122.3063,123.2091,251917.0
2020-01-06,122.7035,124.0216,122.3244,123.7959,326117.0
2020-01-07,123.4889,123.7146,122.848,122.9563,135262.0
2020-01-08,123.0737,124.3646,123.0737,123.191,191767.0
2020-01-09,123.516,124.6986,123.3761,124.5361,139696.0
2020-01-10,124.4278,125.3938,123.3987,123.6334,161253.0
2020-01-11,124.4278,125.3938,123.3987,123.6334,161253.0
2020-01-12,124.4278,125.3938,123.3987,123.6334,161253.0
2020-01-13,123.7056,123.9539,123.0646,123.5431,202500.0
2020-01-14,123.7417,124.9695,123.6695,124.4007,203911.0
2020-01-15,124.1931,125.5382,123.9946,124.9695,187247.0
2020-01-16,125.3306,126.2243,123.516,125.3577,293551.0
2020-01-17,125.4479,126.3507,124.825,125.7368,188056.0
2020-01-18,125.4479,126.3507,124.825,125.7368,188056.0
2020-01-19,125.4479,126.3507,124.825,125.7368,188056.0
2020-01-20,125.4479,126.3507,124.825,125.7368,188056.0
2020-01-21,125.2945,126.0979,124.9289,125.15,200205.0
2020-01-22,125.3216,126.134,125.1907,125.3847,174598.0
2020-01-23,124.5903,125.4931,122.8299,124.1119,404248.0
2020-01-24,124.1841,124.5452,123.3264,123.4528,221963.0
2020-01-25,124.1841,124.5452,123.3264,123.4528,221963.0
2020-01-26,124.1841,124.5452,123.3264,123.4528,221963.0
2020-01-27,122.7035,124.324,122.6945,123.6966,225569.0
2020-01-28,124.0035,125.5111,123.9584,124.6084,168604.0
2020-01-29,124.816,125.0236,124.1841,124.3105,147067.0
2020-01-30,123.7778,126.3146,123.7778,126.2243,133005.0
2020-01-31,125.8993,126.9285,124.807,125.1049,325207.0
2020-02-01,125.8993,126.9285,124.807,125.1049,325207.0
2020-02-02,125.8993,126.9285,124.807,125.1049,325207.0
2020-02-03,125.7188,126.9014,125.3802,125.7729,178672.0
2020-02-04,126.432,127.1361,126.125,126.8743,163395.0
2020-02-05,130.6388,130.6388,125.2268,125.9806,318030.0
2020-02-06,125.8452,126.6035,124.7257,125.2132,342038.0
2020-02-07,125.0236,125.5563,124.5993,125.1049,163279.0
2020-02-08,125.0236,125.5563,124.5993,125.1049,163279.0
2020-02-09,125.0236,125.5563,124.5993,125.1049,163279.0
2020-02-10,124.6355,125.8452,124.6355,125.2042,156029.0
2020-02-11,125.2042,125.6646,124.4549,124.473,225767.0
2020-02-12,124.5903,124.5903,123.3445,123.8952,190145.0
2020-02-13,123.7056,124.9785,123.7056,124.3646,169047.0
2020-02-14,124.3014,124.8431,123.832,124.3827,111108.0
2020-02-15,124.3014,124.8431,123.832,124.3827,111108.0
2020-02-16,124.3014,124.8431,123.832,124.3827,111108.0
2020-02-17,124.3014,124.8431,123.832,124.3827,111108.0
2020-02-18,124.1209,125.3035,124.1028,124.2473,241541.0
2020-02-19,124.4188,124.8747,123.7237,124.1389,227510.0
2020-02-20,123.7778,124.6174,123.4167,124.0487,197844.0
2020-02-21,123.8862,124.5361,122.9834,123.4077,318233.0
2020-02-22,123.8862,124.5361,122.9834,123.4077,318233.0
2020-02-23,123.8862,124.5361,122.9834,123.4077,318233.0
2020-02-24,121.8369,122.8209,120.8077,121.1688,278539.0
2020-02-25,121.2411,122.7667,117.4856,117.621,290595.0
2020-02-26,118.4244,119.246,117.7564,117.7564,272973.0
2020-02-27,116.4654,117.0793,112.8002,112.8002,233123.0
2020-02-28,111.1843,111.4551,106.0205,107.0135,372399.0
2020-02-29,111.1843,111.4551,106.0205,107.0135,372399.0
2020-03-01,111.1843,111.4551,106.0205,107.0135,372399.0
2020-03-02,107.2031,112.4662,106.5937,112.3579,388820.0
2020-03-03,112.1502,113.5766,108.6565,108.8371,289200.0
2020-03-04,110.2905,111.7169,108.4309,111.103,285186.0
2020-03-05,108.6114,109.4058,106.2823,107.3837,222940.0
2020-03-06,104.5761,107.2753,103.4927,106.8059,257677.0
2020-03-07,104.5761,107.2753,103.4927,106.8059,257677.0
2020-03-08,104.5761,107.2753,103.4927,106.8059,257677.0
2020-03-09,100.6129,103.1768,98.1935,100.0081,460903.0
2020-03-10,102.7886,103.9351,98.7262,102.581,383794.0
2020-03-11,99.5657,100.324,95.1693,95.72,377794.0
2020-03-12,77.2081,93.985,77.2081,85.6102,459890.0
2020-03-13,90.6242,93.7352,85.1469,93.5853,542526.0
2020-03-14,90.6242,93.7352,85.1469,93.5853,542526.0
2020-03-15,90.6242,93.7352,85.1469,93.5853,542526.0
2020-03-16,82.6581,88.8439,79.0611,79.2246,454797.0
2020-03-17,80.7506,85.0561,76.9901,84.4112,534949.0
2020-03-18,79.3336,80.5871,68.2247,76.3452,456815.0
2020-03-19,75.3915,80.8415,72.2124,78.5797,387673.0
2020-03-20,78.4798,81.5681,75.4278,77.2445,596025.0
2020-03-21,78.4798,81.5681,75.4278,77.2445,596025.0
2020-03-22,78.4798,81.5681,75.4278,77.2445,596025.0
2020-03-23,76.2544,76.6813,71.522,76.0001,361896.0
2020-03-24,79.2791,83.1032,77.3898,82.531,390496.0
2020-03-25,82.8398,85.3922,78.6524,83.4938,560121.0
2020-03-26,84.4021,85.4739,82.649,85.2923,300883.0
2020-03-27,81.659,85.6102,80.7234,82.7853,277708.0
2020-03-28,81.659,85.6102,80.7234,82.7853,277708.0
2020-03-29,81.659,85.6102,80.7234,82.7853,277708.0
2020-03-30,83.0305,84.7745,78.0256,84.1841,409304.0
2020-03-31,83.4756,84.0524,81.995,82.2766,361018.0
2020-04-01,78.6978,80.7506,78.2259,79.8423,447469.0
2020-04-02,79.2337,82.4129,78.507,80.2783,301522.0
2020-04-03,79.1429,80.251,75.4641,76.8811,211504.0
2020-04-04,79.1429,80.251,75.4641,76.8811,211504.0
2020-04-05,79.1429,80.251,75.4641,76.8811,211504.0
2020-04-06,78.8431,81.4728,78.6615,81.1049,405621.0
2020-04-07,83.9661,87.009,83.0578,84.7473,447407.0
2020-04-08,86.1824,86.8546,83.7845,86.3914,212862.0
2020-04-09,87.6994,90.6333,86.8546,89.5433,147529.0
2020-04-10,87.6994,90.6333,86.8546,89.5433,147529.0
2020-04-11,87.6994,90.6333,86.8546,89.5433,147529.0
2020-04-12,87.6994,90.6333,86.8546,89.5433,147529.0
2020-04-13,89.5433,91.1056,87.1407,90.2427,367887.0
2020-04-14,92.6861,93.8669,90.5606,92.1683,247356.0
2020-04-15,89.4343,91.1783,86.5094,86.6548,214435.0
2020-04-16,86.2914,87.0726,84.0933,86.9364,270998.0
2020-04-17,90.2699,91.9367,89.0982,90.9603,283050.0
2020-04-18,90.2699,91.9367,89.0982,90.9603,283050.0
2020-04-19,90.2699,91.9367,89.0982,90.9603,283050.0
2020-04-20,89.2344,90.388,87.9628,88.6077,192895.0
2020-04-21,86.2914,90.4062,86.2097,88.2989,394286.0
2020-04-22,90.3335,90.3335,87.1362,87.2361,213176.0
2020-04-23,87.3451,88.8376,86.4004,86.9636,147159.0
2020-04-24,87.5449,87.5449,85.1379,86.4277,139913.0
2020-04-25,87.5449,87.5449,85.1379,86.4277,139913.0
2020-04-26,87.5449,87.5449,85.1379,86.4277,139913.0
2020-04-27,86.2914,90.7241,86.0462,90.0883,175643.0
2020-04-28,92.1593,92.8314,90.5969,91.4689,260332.0
2020-04-29,95.6291,95.6518,88.5441,94.8843,420091.0
2020-04-30,93.0222,94.2484,90.6696,91.1783,430133.0
2020-05-01,89.3707,90.2064,86.1461,86.7547,324604.0
2020-05-02,89.3707,90.2064,86.1461,86.7547,324604.0
2020-05-03,89.3707,90.2064,86.1461,86.7547,324604.0
2020-05-04,85.8009,85.8009,84.1296,85.5375,262058.0
2020-05-05,86.2914,88.7349,85.4649,85.4649,206459.0
2020-05-06,85.9735,85.9735,83.6391,83.6845,217010.0
2020-05-07,84.6565,86.8637,84.6565,86.1915,285946.0
2020-05-08,87.8174,88.7984,86.3823,88.6622,202836.0
2020-05-09,87.8174,88.7984,86.3823,88.6622,202836.0
2020-05-10,87.8174,88.7984,86.3823,88.6622,202836.0
2020-05-11,87.4632,88.3624,85.592,86.9818,320466.0
2020-05-12,87.1634,87.554,82.3765,82.431,317158.0
2020-05-13,81.6317,81.9769,77.2626,77.4352,284507.0
2020-05-14,76.1091,78.4162,73.3795,77.7077,357426.0
2020-05-15,76.9356,78.5525,76.2044,78.1256,496520.0
2020-05-16,76.9356,78.5525,76.2044,78.1256,496520.0
2020-05-17,76.9356,78.5525,76.2044,78.1256,496520.0
2020-05-18,81.55,83.4211,81.332,82.6218,232703.0
2020-05-19,82.6945,82.7399,80.6325,80.796,221836.0
2020-05-20,82.095,85.1288,81.8406,84.9653,293510.0
2020-05-21,84.8654,89.5796,84.8654,89.1436,370525.0
2020-05-22,89.0255,89.2889,86.8092,88.5895,202776.0
2020-05-23,89.0255,89.2889,86.8092,88.5895,202776.0
2020-05-24,89.0255,89.2889,86.8092,88.5895,202776.0
2020-05-25,89.0255,89.2889,86.8092,88.5895,202776.0
2020-05-26,92.023,92.7769,89.7704,90.6969,288763.0
2020-05-27,93.2583,94.0213,91.419,93.5036,243219.0
2020-05-28,94.9569,94.9569,92.5226,93.5036,235166.0
2020-05-29,92.5044,93.0585,90.4425,91.151,257685.0
2020-05-30,92.5044,93.0585,90.4425,91.151,257685.0
2020-05-31,92.5044,93.0585,90.4425,91.151,257685.0
2020-06-01,91.4599,93.0585,90.1064,92.5408,250526.0
2020-06-02,92.9768,94.5663,92.9132,93.3038,171786.0
2020-06-03,95.0023,96.7191,95.0023,95.6473,172094.0
2020-06-04,94.7026,97.0915,93.8215,97.037,275747.0
2020-06-05,100.9882,101.7013,98.6811,100.4432,197541.0
2020-06-06,100.9882,101.7013,98.6811,100.4432,197541.0
2020-06-07,100.9882,101.7013,98.6811,100.4432,197541.0
2020-06-08,101.9602,104.5762,101.6241,104.5126,294963.0
2020-06-09,102.3417,103.8404,101.2062,102.7232,272628.0
2020-06-10,101.9511,101.9511,99.5803,99.9255,335564.0
2020-06-11,96.2522,96.7959,91.9303,92.0308,295354.0
2020-06-12,95.6583,95.6583,89.9932,92.1039,277729.0
2020-06-13,95.6583,95.6583,89.9932,92.1039,277729.0
2020-06-14,95.6583,95.6583,89.9932,92.1039,277729.0
2020-06-15,89.0795,93.077,88.513,92.707,311371.0
2020-06-16,96.3345,96.3528,92.5288,92.8714,349021.0
2020-06-17,92.8989,93.8217,91.5283,92.506,306795.0
2020-06-18,91.6927,94.0958,90.9161,93.0725,318411.0
2020-06-19,94.0136,94.571,92.3141,93.6207,635435.0
2020-06-20,94.0136,94.571,92.3141,93.6207,635435.0
2020-06-21,94.0136,94.571,92.3141,93.6207,635435.0
2020-06-22,93.0633,93.9771,91.7658,93.6573,345026.0
2020-06-23,94.9091,95.1375,92.3323,92.8989,324529.0
2020-06-24,91.7567,92.0765,89.0886,90.048,238664.0
2020-06-25,89.5546,90.8887,88.9516,90.6968,195804.0
2020-06-26,89.6186,90.6145,87.0601,87.5901,376326.0
2020-06-27,89.6186,90.6145,87.0601,87.5901,376326.0
2020-06-28,89.6186,90.6145,87.0601,87.5901,376326.0
2020-06-29,88.851,92.1496,87.6266,91.3912,256469.0
2020-06-30,91.4734,93.7486,90.9846,92.5882,221484.0
2020-07-01,92.2958,93.0451,90.514,90.6602,246399.0
2020-07-02,92.3689,92.7709,90.1211,90.1942,235986.0
2020-07-03,92.3689,92.7709,90.1211,90.1942,235986.0
2020-07-04,92.3689,92.7709,90.1211,90.1942,235986.0
2020-07-05,92.3689,92.7709,90.1211,90.1942,235986.0
2020-07-06,92.3232,92.9171,90.048,90.4044,233797.0
2020-07-07,88.8693,89.5455,87.2063,87.453,235651.0
2020-07-08,87.1606,89.0475,86.9779,88.5952,242160.0
2020-07-09,88.385,88.385,84.986,85.3058,198470.0
2020-07-10,85.6439,87.8368,85.2086,87.3799,404595.0
2020-07-11,85.6439,87.8368,85.2086,87.3799,404595.0
2020-07-12,85.6439,87.8368,85.2086,87.3799,404595.0
2020-07-13,88.3302,88.6409,86.5028,88.2845,284543.0
2020-07-14,88.2845,90.3587,87.6723,89.8105,239049.0
2020-07-15,91.7019,94.3517,91.7019,93.1364,365488.0
2020-07-16,92.6887,94.3426,91.7841,92.1679,209653.0
2020-07-17,92.1405,92.3689,89.8927,89.9567,234134.0
2020-07-18,92.1405,92.3689,89.8927,89.9567,234134.0
2020-07-19,92.1405,92.3689,89.8927,89.9567,234134.0
2020-07-20,89.5546,90.0663,87.5444,87.6997,202116.0
2020-07-21,87.8916,91.108,87.8368,90.6237,278158.0
2020-07-22,89.783,91.4369,89.783,91.2907,564536.0
2020-07-23,90.9343,93.2735,90.9343,92.1862,221966.0
2020-07-24,92.5608,93.0725,91.0668,91.9669,172833.0
2020-07-25,92.5608,93.0725,91.0668,91.9669,172833.0
2020-07-26,92.5608,93.0725,91.0668,91.9669,172833.0
2020-07-27,91.4369,91.6882,89.2714,89.8287,287155.0
2020-07-28,89.8653,90.8338,89.2074,90.4135,369488.0
2020-07-29,90.1759,93.173,89.0795,92.2867,533957.0
2020-07-30,90.9252,92.8166,90.2856,92.7344,532950.0
2020-07-31,92.442,93.2004,91.51,93.0907,344249.0
2020-08-01,92.442,93.2004,91.51,93.0907,344249.0
2020-08-02,92.442,93.2004,91.51,93.0907,344249.0
2020-08-03,93.5111,95.0187,92.6887,93.84,298835.0
2020-08-04,93.5202,94.9091,93.0268,93.0633,283445.0
