,CARO US Equity,CARO US Equity,CARO US Equity,CARO US Equity,CARO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,42.9958,43.3939,42.8763,43.0256,333144.0
2020-01-02,43.2346,43.2346,42.5628,43.0157,91825.0
2020-01-03,42.5678,42.5777,41.8213,42.2692,111254.0
2020-01-04,42.5678,42.5777,41.8213,42.2692,111254.0
2020-01-05,42.5678,42.5777,41.8213,42.2692,111254.0
2020-01-06,41.9806,42.2692,41.5725,42.2493,222302.0
2020-01-07,42.1199,42.1796,41.5526,41.682,135398.0
2020-01-08,41.2739,41.9905,41.2739,41.6024,166762.0
2020-01-09,41.4232,41.9706,41.4232,41.672,85987.0
2020-01-10,41.6621,41.7019,41.1445,41.264,69183.0
2020-01-11,41.6621,41.7019,41.1445,41.264,69183.0
2020-01-12,41.6621,41.7019,41.1445,41.264,69183.0
2020-01-13,41.4133,41.8014,41.1893,41.7716,69749.0
2020-01-14,41.8213,41.8213,41.4133,41.5725,141923.0
2020-01-15,41.3735,41.7915,41.2441,41.6422,93376.0
2020-01-16,41.8611,42.7071,41.8611,42.6972,160144.0
2020-01-17,42.7967,42.8365,42.3588,42.4185,108874.0
2020-01-18,42.7967,42.8365,42.3588,42.4185,108874.0
2020-01-19,42.7967,42.8365,42.3588,42.4185,108874.0
2020-01-20,42.7967,42.8365,42.3588,42.4185,108874.0
2020-01-21,42.319,42.3687,41.6322,41.6919,96071.0
2020-01-22,41.8611,41.9607,41.1844,41.3834,93756.0
2020-01-23,41.2341,41.5526,40.9256,41.3685,122630.0
2020-01-24,41.3635,41.4531,40.3981,40.637,84454.0
2020-01-25,41.3635,41.4531,40.3981,40.637,84454.0
2020-01-26,41.3635,41.4531,40.3981,40.637,84454.0
2020-01-27,39.9104,40.3185,39.8905,39.9104,67495.0
2020-01-28,40.1194,40.2886,39.4526,39.5023,57340.0
2020-01-29,39.4526,39.6616,38.0293,38.0492,112844.0
2020-01-30,37.7208,38.8753,37.7208,38.8554,101255.0
2020-01-31,38.8156,38.8156,38.0492,38.1687,108415.0
2020-02-01,38.8156,38.8156,38.0492,38.1687,108415.0
2020-02-02,38.8156,38.8156,38.0492,38.1687,108415.0
2020-02-03,39.1938,39.1938,38.2384,38.4573,131121.0
2020-02-04,39.0545,39.0644,38.6286,38.7957,113459.0
2020-02-05,39.2834,39.6616,39.1341,39.5322,120448.0
