,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity,AVGO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,217.52,218.09,211.72,214.53,2658996.0
2019-01-02,209.94,214.88,207.95,213.88,3034553.0
2019-01-03,206.32,208.0,194.32,194.85,6857960.0
2019-01-04,197.66,199.48,195.45,196.77,5424767.0
2019-01-05,197.66,199.48,195.45,196.77,5424767.0
2019-01-06,197.66,199.48,195.45,196.77,5424767.0
2019-01-07,197.12,202.68,194.68,200.77,5343306.0
2019-01-08,202.57,204.08,196.88,199.16,3679521.0
2019-01-09,201.14,208.11,200.66,207.78,5297113.0
2019-01-10,207.18,211.39,206.16,210.51,2959355.0
2019-01-11,210.43,213.38,210.34,211.4,2015827.0
2019-01-12,210.43,213.38,210.34,211.4,2015827.0
2019-01-13,210.43,213.38,210.34,211.4,2015827.0
2019-01-14,209.32,212.25,207.46,211.65,2549960.0
2019-01-15,213.24,221.22,212.61,216.39,3924685.0
2019-01-16,216.99,217.12,212.06,212.35,2448374.0
2019-01-17,210.96,217.12,209.83,215.41,3515360.0
2019-01-18,218.62,220.99,216.82,220.04,3463448.0
2019-01-19,218.62,220.99,216.82,220.04,3463448.0
2019-01-20,218.62,220.99,216.82,220.04,3463448.0
2019-01-21,218.62,220.99,216.82,220.04,3463448.0
2019-01-22,217.66,218.9,215.04,217.91,3715581.0
2019-01-23,218.96,220.12,213.99,217.26,3177100.0
2019-01-24,220.27,225.05,219.35,222.35,3599910.0
2019-01-25,223.71,226.36,220.12,226.05,3034760.0
2019-01-26,223.71,226.36,220.12,226.05,3034760.0
2019-01-27,223.71,226.36,220.12,226.05,3034760.0
2019-01-28,220.67,226.82,218.21,225.78,3132006.0
2019-01-29,225.55,225.76,222.58,224.68,2787032.0
2019-01-30,227.79,230.95,225.57,228.48,2872654.0
2019-01-31,228.26,228.63,224.71,226.31,2106274.0
2019-02-01,227.07,227.45,223.48,225.1,2287755.0
2019-02-02,227.07,227.45,223.48,225.1,2287755.0
2019-02-03,227.07,227.45,223.48,225.1,2287755.0
2019-02-04,225.68,229.59,223.53,229.58,2076093.0
