,BBDC US Equity,BBDC US Equity,BBDC US Equity,BBDC US Equity,BBDC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,6.9224,6.9494,6.8819,6.9359,151056.0
2020-01-02,6.9494,6.9899,6.9089,6.9494,127063.0
2020-01-03,6.9494,6.9696,6.9167,6.9494,79208.0
2020-01-04,6.9494,6.9696,6.9167,6.9494,79208.0
2020-01-05,6.9494,6.9696,6.9167,6.9494,79208.0
2020-01-06,6.9494,6.9831,6.9157,6.9629,131324.0
2020-01-07,6.9629,7.0304,6.9224,7.0236,92638.0
2020-01-08,7.0236,7.0911,7.0101,7.0371,220206.0
2020-01-09,7.0574,7.0843,7.0169,7.0371,82940.0
2020-01-10,7.0641,7.0776,6.9966,7.0574,65883.0
2020-01-11,7.0641,7.0776,6.9966,7.0574,65883.0
2020-01-12,7.0641,7.0776,6.9966,7.0574,65883.0
2020-01-13,7.0439,7.0536,7.0034,7.0439,86015.0
2020-01-14,7.0304,7.0843,6.9899,7.0843,74190.0
2020-01-15,7.0776,7.1113,7.0641,7.0911,155183.0
2020-01-16,7.0843,7.1451,7.0641,7.0708,69381.0
2020-01-17,7.0978,7.1316,7.0304,7.0574,91371.0
2020-01-18,7.0978,7.1316,7.0304,7.0574,91371.0
2020-01-19,7.0978,7.1316,7.0304,7.0574,91371.0
2020-01-20,7.0978,7.1316,7.0304,7.0574,91371.0
2020-01-21,7.0304,7.0978,7.0304,7.0439,72599.0
2020-01-22,7.0708,7.1248,7.0439,7.1113,140625.0
2020-01-23,7.0911,7.0911,7.0236,7.0371,67246.0
2020-01-24,7.0439,7.0641,6.9966,7.0101,42612.0
2020-01-25,7.0439,7.0641,6.9966,7.0101,42612.0
2020-01-26,7.0439,7.0641,6.9966,7.0101,42612.0
2020-01-27,6.9629,7.0007,6.9359,6.9696,91902.0
2020-01-28,6.9966,7.0506,6.9696,7.0439,57130.0
2020-01-29,7.0439,7.0439,6.9696,7.0371,116345.0
2020-01-30,7.0169,7.0371,6.9496,7.0169,156916.0
2020-01-31,7.0169,7.0169,6.9357,6.9494,199779.0
2020-02-01,7.0169,7.0169,6.9357,6.9494,199779.0
2020-02-02,7.0169,7.0169,6.9357,6.9494,199779.0
2020-02-03,6.9494,7.0034,6.9308,6.9764,118364.0
2020-02-04,6.9629,7.0169,6.9315,7.0169,168057.0
2020-02-05,7.0304,7.0506,6.9899,7.0371,89203.0
2020-02-06,7.0236,7.0304,6.9831,7.0236,62155.0
2020-02-07,7.0034,7.0574,6.9831,7.0574,57243.0
2020-02-08,7.0034,7.0574,6.9831,7.0574,57243.0
2020-02-09,7.0034,7.0574,6.9831,7.0574,57243.0
2020-02-10,7.0506,7.0708,7.0304,7.0708,46438.0
2020-02-11,7.0641,7.0843,6.9966,7.0506,54228.0
2020-02-12,7.0641,7.0776,7.0034,7.0034,42832.0
2020-02-13,7.0236,7.0641,6.9899,7.0506,148790.0
2020-02-14,7.0506,7.0843,7.0034,7.0843,106021.0
2020-02-15,7.0506,7.0843,7.0034,7.0843,106021.0
2020-02-16,7.0506,7.0843,7.0034,7.0843,106021.0
2020-02-17,7.0506,7.0843,7.0034,7.0843,106021.0
2020-02-18,7.0641,7.1046,7.0371,7.1046,51466.0
2020-02-19,7.1113,7.1113,7.0506,7.1046,63647.0
2020-02-20,7.1046,7.1181,7.0371,7.0371,48429.0
2020-02-21,7.0439,7.0439,6.9494,6.9494,191994.0
2020-02-22,7.0439,7.0439,6.9494,6.9494,191994.0
2020-02-23,7.0439,7.0439,6.9494,6.9494,191994.0
2020-02-24,6.9022,6.9292,6.8819,6.8954,123684.0
2020-02-25,6.8954,6.8954,6.7335,6.7605,182217.0
2020-02-26,6.7672,6.828,6.72,6.7335,128618.0
2020-02-27,6.6795,6.7402,6.5648,6.6053,283398.0
