,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,168.766,171.893,168.766,170.052,472210.0
2019-01-02,167.649,172.362,166.844,172.063,353411.0
2019-01-03,171.098,171.294,167.211,168.739,486466.0
2019-01-04,171.482,175.78,171.272,174.708,323105.0
2019-01-05,171.482,175.78,171.272,174.708,323105.0
2019-01-06,171.482,175.78,171.272,174.708,323105.0
2019-01-07,174.181,177.08,171.813,175.128,421663.0
2019-01-08,177.174,177.639,172.67,173.948,485411.0
2019-01-09,174.243,174.243,169.775,171.83,607296.0
2019-01-10,171.562,172.286,168.944,172.036,649075.0
2019-01-11,171.562,174.038,169.221,173.814,606843.0
2019-01-12,171.562,174.038,169.221,173.814,606843.0
2019-01-13,171.562,174.038,169.221,173.814,606843.0
2019-01-14,172.724,176.057,171.652,175.163,685612.0
2019-01-15,174.886,177.004,174.082,176.468,437444.0
2019-01-16,175.914,176.467,173.162,174.752,354022.0
2019-01-17,173.367,177.916,173.367,176.137,320470.0
2019-01-18,176.924,180.185,176.924,178.97,316684.0
2019-01-19,176.924,180.185,176.924,178.97,316684.0
2019-01-20,176.924,180.185,176.924,178.97,316684.0
2019-01-21,176.924,180.185,176.924,178.97,316684.0
2019-01-22,178.318,178.327,174.322,175.583,354474.0
2019-01-23,173.644,178.675,172.93,175.682,252552.0
2019-01-24,176.28,179.22,175.306,177.862,195430.0
2019-01-25,179.792,182.759,179.256,180.569,268389.0
2019-01-26,179.792,182.759,179.256,180.569,268389.0
2019-01-27,179.792,182.759,179.256,180.569,268389.0
2019-01-28,178.854,182.902,178.478,182.803,254725.0
2019-01-29,183.223,186.257,182.839,184.474,180461.0
2019-01-30,185.806,187.503,182.231,186.565,229279.0
2019-01-31,185.573,186.73,183.759,184.474,401161.0
2019-02-01,185.582,186.923,183.313,184.403,371422.0
2019-02-02,185.582,186.923,183.313,184.403,371422.0
2019-02-03,185.582,186.923,183.313,184.403,371422.0
2019-02-04,184.403,188.888,184.403,188.835,251382.0
2019-02-05,188.754,189.487,186.583,189.264,218097.0
2019-02-06,188.871,189.898,187.718,188.602,316955.0
2019-02-07,187.62,188.515,185.605,187.861,253904.0
2019-02-08,187.092,187.95,185.189,186.985,311169.0
2019-02-09,187.092,187.95,185.189,186.985,311169.0
2019-02-10,187.092,187.95,185.189,186.985,311169.0
2019-02-11,187.932,189.076,186.605,188.138,341522.0
2019-02-12,189.568,193.839,189.416,191.462,260629.0
2019-02-13,191.703,193.848,191.372,192.999,262048.0
2019-02-14,184.742,195.51,180.757,191.649,658268.0
2019-02-15,193.481,200.728,193.481,196.314,480222.0
2019-02-16,193.481,200.728,193.481,196.314,480222.0
2019-02-17,193.481,200.728,193.481,196.314,480222.0
2019-02-18,193.481,200.728,193.481,196.314,480222.0
2019-02-19,195.367,195.876,193.249,194.795,334407.0
2019-02-20,195.367,197.851,194.75,197.324,302018.0
2019-02-21,197.467,198.077,193.601,194.695,214857.0
2019-02-22,194.767,196.077,194.009,194.758,313603.0
2019-02-23,194.767,196.077,194.009,194.758,313603.0
2019-02-24,194.767,196.077,194.009,194.758,313603.0
2019-02-25,196.148,196.435,191.107,191.609,490589.0
2019-02-26,191.376,193.0,190.138,190.201,465873.0
2019-02-27,189.878,191.008,187.9,188.595,259993.0
2019-02-28,188.541,191.192,185.689,187.851,534908.0
2019-03-01,188.73,189.761,185.805,188.38,434944.0
2019-03-02,188.73,189.761,185.805,188.38,434944.0
2019-03-03,188.73,189.761,185.805,188.38,434944.0
2019-03-04,190.147,190.524,184.442,185.124,451176.0
2019-03-05,185.644,186.684,184.684,185.195,490099.0
2019-03-06,185.545,187.187,183.025,183.509,291517.0
2019-03-07,182.585,182.585,178.925,180.719,512617.0
2019-03-08,179.104,179.75,178.207,179.517,304374.0
2019-03-09,179.104,179.75,178.207,179.517,304374.0
2019-03-10,179.104,179.75,178.207,179.517,304374.0
2019-03-11,176.969,180.172,176.054,179.876,567145.0
2019-03-12,180.253,182.845,179.078,182.72,652195.0
2019-03-13,183.482,187.967,183.482,186.433,451261.0
2019-03-14,186.559,186.801,184.137,185.958,514946.0
2019-03-15,185.931,186.828,181.679,183.365,1143996.0
2019-03-16,185.931,186.828,181.679,183.365,1143996.0
2019-03-17,185.931,186.828,181.679,183.365,1143996.0
2019-03-18,183.67,186.828,182.72,186.057,392107.0
2019-03-19,186.756,187.931,183.078,183.895,327947.0
2019-03-20,184.047,185.491,182.881,183.67,301276.0
2019-03-21,182.998,187.097,182.998,186.415,172775.0
2019-03-22,185.222,185.734,180.854,182.217,479891.0
2019-03-23,185.222,185.734,180.854,182.217,479891.0
2019-03-24,185.222,185.734,180.854,182.217,479891.0
2019-03-25,182.468,183.67,181.042,182.432,258074.0
2019-03-26,183.626,184.63,180.374,182.325,321056.0
2019-03-27,177.795,184.388,176.718,182.074,354728.0
2019-03-28,182.37,184.209,181.814,183.993,199393.0
2019-03-29,185.411,186.254,185.16,185.868,271885.0
2019-03-30,185.411,186.254,185.16,185.868,271885.0
2019-03-31,185.411,186.254,185.16,185.868,271885.0
2019-04-01,187.25,190.829,187.209,190.569,362162.0
2019-04-02,190.874,191.08,188.869,189.115,267500.0
2019-04-03,190.084,190.282,185.787,187.142,274574.0
2019-04-04,187.429,190.434,187.429,187.922,240204.0
2019-04-05,188.147,190.945,188.142,190.892,254578.0
2019-04-06,188.147,190.945,188.142,190.892,254578.0
2019-04-07,188.147,190.945,188.142,190.892,254578.0
2019-04-08,189.465,192.408,188.554,192.174,207962.0
2019-04-09,191.026,192.399,189.459,190.963,469507.0
2019-04-10,190.748,190.919,189.098,190.38,204486.0
2019-04-11,190.434,196.077,189.743,195.135,364369.0
2019-04-12,196.516,197.36,195.825,196.705,329407.0
2019-04-13,196.516,197.36,195.825,196.705,329407.0
2019-04-14,196.516,197.36,195.825,196.705,329407.0
2019-04-15,196.534,196.705,194.783,196.606,435903.0
2019-04-16,197.512,198.902,196.812,198.292,249405.0
2019-04-17,198.696,200.033,196.453,197.306,276266.0
2019-04-18,198.283,199.692,197.637,198.158,173607.0
2019-04-19,198.283,199.692,197.637,198.158,173607.0
2019-04-20,198.283,199.692,197.637,198.158,173607.0
2019-04-21,198.283,199.692,197.637,198.158,173607.0
2019-04-22,197.664,197.664,195.592,196.534,173846.0
2019-04-23,197.844,203.706,197.844,202.437,354128.0
2019-04-24,202.733,203.423,201.306,202.141,275157.0
2019-04-25,202.455,203.217,198.014,200.329,266200.0
2019-04-26,200.284,200.719,197.916,198.732,255663.0
2019-04-27,200.284,200.719,197.916,198.732,255663.0
2019-04-28,200.284,200.719,197.916,198.732,255663.0
2019-04-29,198.992,200.512,197.736,198.194,241931.0
2019-04-30,198.445,199.961,197.359,199.665,329314.0
2019-05-01,200.58,202.715,200.024,200.167,223097.0
2019-05-02,193.394,194.211,179.925,186.254,881243.0
2019-05-03,186.254,191.143,185.752,190.201,421641.0
2019-05-04,186.254,191.143,185.752,190.201,421641.0
2019-05-05,186.254,191.143,185.752,190.201,421641.0
2019-05-06,188.586,189.366,186.326,188.954,337018.0
2019-05-07,187.25,188.443,185.527,187.079,360857.0
2019-05-08,186.514,187.761,183.832,185.617,407758.0
2019-05-09,184.541,186.891,183.195,186.03,305183.0
2019-05-10,185.707,187.393,183.339,187.07,316658.0
2019-05-11,185.707,187.393,183.339,187.07,316658.0
2019-05-12,185.707,187.393,183.339,187.07,316658.0
2019-05-13,184.029,184.881,181.76,184.146,418033.0
