,ZTS US Equity,ZTS US Equity,ZTS US Equity,ZTS US Equity,ZTS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,128.1263,128.6795,127.5827,128.4562,1128567.0
2020-01-02,128.1651,130.3295,127.6118,130.1936,1563970.0
2020-01-03,128.5824,130.9409,128.3786,130.213,1274423.0
2020-01-04,128.5824,130.9409,128.3786,130.213,1274423.0
2020-01-05,128.5824,130.9409,128.3786,130.213,1274423.0
2020-01-06,129.8442,130.1208,128.8057,129.2133,2334053.0
2020-01-07,129.0871,130.8439,128.7668,129.6501,1226722.0
2020-01-08,129.8248,131.2903,129.3201,129.3686,1766675.0
2020-01-09,130.0674,132.358,130.0674,131.0865,2075355.0
2020-01-10,131.3195,131.9989,130.8051,131.5815,1248963.0
2020-01-11,131.3195,131.9989,130.8051,131.5815,1248963.0
2020-01-12,131.3195,131.9989,130.8051,131.5815,1248963.0
2020-01-13,132.0668,132.7268,131.4748,132.4939,1801255.0
2020-01-14,132.4065,133.2364,131.533,133.2315,1848833.0
2020-01-15,133.3674,134.9106,133.2994,134.4641,1859576.0
2020-01-16,134.8919,135.4945,134.1532,135.339,1822882.0
2020-01-17,135.7083,136.4665,134.9696,136.2332,1993175.0
2020-01-18,135.7083,136.4665,134.9696,136.2332,1993175.0
2020-01-19,135.7083,136.4665,134.9696,136.2332,1993175.0
2020-01-20,135.7083,136.4665,134.9696,136.2332,1993175.0
2020-01-21,135.2223,138.5271,135.0765,137.9536,4693388.0
2020-01-22,138.7312,139.3144,137.2538,137.5357,1889090.0
2020-01-23,137.3315,137.7981,133.6672,134.4642,2148497.0
2020-01-24,135.7083,135.7083,132.333,132.4911,2047030.0
2020-01-25,135.7083,135.7083,132.333,132.4911,2047030.0
2020-01-26,135.7083,135.7083,132.333,132.4911,2047030.0
2020-01-27,130.654,132.6126,130.2749,132.1509,1656515.0
2020-01-28,132.3258,135.0231,131.694,134.3864,2176510.0
2020-01-29,135.0765,136.0485,134.5614,134.6294,1366479.0
