,UVE US Equity,UVE US Equity,UVE US Equity,UVE US Equity,UVE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,29.7556,29.8762,29.2185,29.5143,124773.0
2019-01-02,29.094,29.5532,28.5803,29.1485,201771.0
2019-01-03,28.8916,29.2963,28.5414,28.6192,186916.0
2019-01-04,28.9539,29.4987,28.8916,29.1796,195819.0
2019-01-05,28.9539,29.4987,28.8916,29.1796,195819.0
2019-01-06,28.9539,29.4987,28.8916,29.1796,195819.0
2019-01-07,29.2341,29.8723,28.7593,28.7904,179052.0
2019-01-08,29.0784,29.5999,28.8916,29.4287,190401.0
2019-01-09,29.7089,30.0358,29.5454,29.919,272217.0
2019-01-10,29.8567,30.028,29.4676,29.9735,112014.0
2019-01-11,29.7089,30.0358,29.1251,29.3664,147803.0
2019-01-12,29.7089,30.0358,29.1251,29.3664,147803.0
2019-01-13,29.7089,30.0358,29.1251,29.3664,147803.0
2019-01-14,29.3041,29.775,29.094,29.5221,100050.0
2019-01-15,29.5298,29.5376,28.985,29.3508,100362.0
2019-01-16,29.4209,29.7478,29.2574,29.5688,83732.0
2019-01-17,29.4598,29.8684,29.2185,29.6155,222510.0
2019-01-18,29.8334,29.849,29.3975,29.5765,151891.0
2019-01-19,29.8334,29.849,29.3975,29.5765,151891.0
2019-01-20,29.8334,29.849,29.3975,29.5765,151891.0
2019-01-21,29.8334,29.849,29.3975,29.5765,151891.0
2019-01-22,29.5765,29.8334,28.6192,28.7904,163784.0
2019-01-23,28.8994,29.6232,28.8994,29.5454,185597.0
2019-01-24,29.6466,29.6816,29.1485,29.2341,85052.0
2019-01-25,29.4442,29.8295,29.1562,29.4754,77011.0
2019-01-26,29.4442,29.8295,29.1562,29.4754,77011.0
2019-01-27,29.4442,29.8295,29.1562,29.4754,77011.0
2019-01-28,29.3119,29.3703,28.7359,29.1407,126030.0
2019-01-29,29.164,29.4831,28.8838,29.1173,97246.0
2019-01-30,29.3508,29.5765,29.1485,29.3975,95841.0
2019-01-31,29.3586,29.6544,29.0161,29.3586,202183.0
2019-02-01,29.4209,29.4987,28.7011,29.0784,145260.0
2019-02-02,29.4209,29.4987,28.7011,29.0784,145260.0
2019-02-03,29.4209,29.4987,28.7011,29.0784,145260.0
2019-02-04,29.1874,29.382,29.0317,29.3353,113650.0
2019-02-05,29.3508,29.3508,28.876,29.1095,172156.0
2019-02-06,29.1485,29.5298,28.9694,29.5065,171596.0
2019-02-07,29.382,29.9268,29.2496,29.5921,125674.0
2019-02-08,29.5921,29.9034,29.382,29.7166,77104.0
2019-02-09,29.5921,29.9034,29.382,29.7166,77104.0
2019-02-10,29.5921,29.9034,29.382,29.7166,77104.0
2019-02-11,29.8412,30.1136,29.4676,30.0825,73614.0
2019-02-12,30.2381,30.5105,29.8957,30.0669,103597.0
2019-02-13,30.207,30.4677,30.0591,30.1836,171974.0
2019-02-14,30.1136,30.2226,29.7945,29.8178,142410.0
2019-02-15,30.1058,30.6117,29.9501,30.386,210424.0
2019-02-16,30.1058,30.6117,29.9501,30.386,210424.0
2019-02-17,30.1058,30.6117,29.9501,30.386,210424.0
2019-02-18,30.1058,30.6117,29.9501,30.386,210424.0
2019-02-19,30.4094,31.0943,30.2022,30.9153,148685.0
2019-02-20,31.032,31.8415,30.8219,31.8259,248312.0
2019-02-21,31.7948,31.8493,30.923,31.1721,124931.0
2019-02-22,31.2889,31.5146,30.9464,31.5146,76272.0
2019-02-23,31.2889,31.5146,30.9464,31.5146,76272.0
2019-02-24,31.2889,31.5146,30.9464,31.5146,76272.0
2019-02-25,31.6158,31.7714,30.8647,30.8997,119419.0
2019-02-26,30.8374,31.0009,30.4794,30.7362,76440.0
2019-02-27,30.7596,30.8452,30.1058,30.1603,83708.0
2019-02-28,30.3004,30.4872,29.9112,30.386,107657.0
2019-03-01,27.3349,27.4828,23.5834,25.5292,1155972.0
2019-03-02,27.3349,27.4828,23.5834,25.5292,1155972.0
2019-03-03,27.3349,27.4828,23.5834,25.5292,1155972.0
2019-03-04,25.5137,25.5707,24.3462,24.3539,658101.0
2019-03-05,24.5952,24.6808,23.9959,24.5252,345930.0
2019-03-06,24.5174,25.0,24.2061,24.2372,408716.0
2019-03-07,24.5174,24.9455,24.2683,24.2917,302980.0
2019-03-08,24.3308,24.8862,24.2213,24.5185,399898.0
2019-03-09,24.3308,24.8862,24.2213,24.5185,399898.0
2019-03-10,24.3308,24.8862,24.2213,24.5185,399898.0
2019-03-11,24.6359,24.7454,24.3621,24.5733,338029.0
2019-03-12,24.5733,24.9879,24.4872,24.5342,408405.0
2019-03-13,24.5498,24.6594,24.2447,24.3151,288145.0
2019-03-14,24.3543,24.9567,24.2525,24.7532,274968.0
2019-03-15,24.7532,25.3244,24.6359,24.6672,417685.0
2019-03-16,24.7532,25.3244,24.6359,24.6672,417685.0
2019-03-17,24.7532,25.3244,24.6359,24.6672,417685.0
2019-03-18,24.8002,25.1835,24.7845,25.1522,375311.0
2019-03-19,25.3165,25.3165,24.7924,24.808,268734.0
2019-03-20,24.8706,24.8706,24.2213,24.2995,233441.0
2019-03-21,24.3073,24.8549,24.2291,24.5107,212240.0
2019-03-22,24.4481,24.5655,23.8614,23.9866,243966.0
2019-03-23,24.4481,24.5655,23.8614,23.9866,243966.0
2019-03-24,24.4481,24.5655,23.8614,23.9866,243966.0
2019-03-25,24.0257,24.3151,23.8066,23.9474,248924.0
2019-03-26,24.057,24.2838,23.8457,24.1665,158846.0
2019-03-27,24.0804,24.6202,23.924,24.542,176743.0
2019-03-28,24.6437,24.6437,24.2291,24.5655,119389.0
2019-03-29,24.5655,24.7924,24.0413,24.2525,302362.0
2019-03-30,24.5655,24.7924,24.0413,24.2525,302362.0
