,SNX US Equity,SNX US Equity,SNX US Equity,SNX US Equity,SNX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,37.9703,38.2676,37.4795,38.1496,305499.0
2019-01-02,37.4276,38.7253,37.4276,38.3006,367185.0
2019-01-03,37.8664,37.8664,36.2902,36.9037,505757.0
2019-01-04,37.6918,38.848,37.5172,38.6545,416920.0
2019-01-05,37.6918,38.848,37.5172,38.6545,416920.0
2019-01-06,37.6918,38.848,37.5172,38.6545,416920.0
2019-01-07,38.7395,39.504,38.0228,39.1784,456835.0
2019-01-08,39.8626,40.0608,38.8952,39.3624,530039.0
2019-01-09,39.7069,40.495,39.2916,40.2354,464808.0
2019-01-10,39.957,41.0377,39.6114,40.9763,764263.0
2019-01-11,44.0721,47.0735,44.0721,46.0022,1654693.0
2019-01-12,44.0721,47.0735,44.0721,46.0022,1654693.0
2019-01-13,44.0721,47.0735,44.0721,46.0022,1654693.0
2019-01-14,45.7285,45.7757,42.3921,43.1047,1291526.0
2019-01-15,43.2887,43.3252,41.8706,42.9018,867251.0
2019-01-16,42.9442,43.3265,41.2784,42.2222,729559.0
2019-01-17,42.208,43.0504,41.9249,42.8404,618762.0
2019-01-18,43.0608,43.6673,42.6106,43.4067,522484.0
2019-01-19,43.0608,43.6673,42.6106,43.4067,522484.0
2019-01-20,43.0608,43.6673,42.6106,43.4067,522484.0
2019-01-21,43.0608,43.6673,42.6106,43.4067,522484.0
2019-01-22,43.1935,43.5915,42.8049,43.2503,382184.0
2019-01-23,43.6294,43.8948,42.5822,43.1224,354888.0
2019-01-24,43.2645,44.3165,43.1935,44.1602,385212.0
2019-01-25,44.4682,45.8986,44.4682,45.5059,518030.0
2019-01-26,44.4682,45.8986,44.4682,45.5059,518030.0
2019-01-27,44.4682,45.8986,44.4682,45.5059,518030.0
2019-01-28,46.2784,46.2878,44.98,45.8282,458955.0
2019-01-29,46.1694,46.1883,45.4349,45.6244,437585.0
2019-01-30,45.814,45.814,44.8662,45.6955,543551.0
2019-01-31,45.4775,46.0983,45.2621,45.8519,399723.0
2019-02-01,45.686,46.52,45.686,46.0272,280609.0
2019-02-02,45.686,46.52,45.686,46.0272,280609.0
2019-02-03,45.686,46.52,45.686,46.0272,280609.0
2019-02-04,46.1362,46.7522,45.8756,46.738,249757.0
2019-02-05,46.9134,47.1977,46.4726,46.6954,271046.0
2019-02-06,46.757,47.0284,46.4442,46.8565,279883.0
2019-02-07,46.6906,47.2593,46.4584,46.6954,356530.0
2019-02-08,46.3589,46.6764,45.7666,46.411,255694.0
2019-02-09,46.3589,46.6764,45.7666,46.411,255694.0
2019-02-10,46.3589,46.6764,45.7666,46.411,255694.0
