,K US Equity,K US Equity,K US Equity,K US Equity,K US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,55.2964,55.6663,55.1356,55.61,1053311.0
2020-01-02,55.5858,55.6823,54.1747,54.3878,2699501.0
2020-01-03,54.2913,54.9707,54.1928,54.6772,1240599.0
2020-01-04,54.2913,54.9707,54.1928,54.6772,1240599.0
2020-01-05,54.2913,54.9707,54.1928,54.6772,1240599.0
2020-01-06,54.6772,54.7818,54.3154,54.629,1323644.0
2020-01-07,55.7386,56.2854,55.1878,55.3285,2412195.0
2020-01-08,55.3044,55.6502,55.0873,55.3929,1270345.0
2020-01-09,55.7386,55.7547,55.1034,55.5939,1437960.0
2020-01-10,55.7065,55.9035,55.626,55.6984,1418486.0
2020-01-11,55.7065,55.9035,55.626,55.6984,1418486.0
2020-01-12,55.7065,55.9035,55.626,55.6984,1418486.0
2020-01-13,55.811,56.2854,55.7065,56.0522,1778154.0
2020-01-14,56.0522,56.2854,55.9316,56.2854,1426374.0
2020-01-15,56.2854,56.792,56.1889,56.5025,1398353.0
2020-01-16,56.6874,56.9809,56.5025,56.8804,1337412.0
2020-01-17,56.9367,57.1297,56.6714,56.993,1846595.0
2020-01-18,56.9367,57.1297,56.6714,56.993,1846595.0
2020-01-19,56.9367,57.1297,56.6714,56.993,1846595.0
2020-01-20,56.9367,57.1297,56.6714,56.993,1846595.0
2020-01-21,56.8563,57.0975,56.5347,56.7678,2175616.0
2020-01-22,56.607,56.9447,56.3095,56.4945,1727386.0
2020-01-23,56.1407,56.9246,56.0361,56.6392,1535078.0
2020-01-24,56.8724,56.8724,55.5698,55.7547,1506538.0
2020-01-25,56.8724,56.8724,55.5698,55.7547,1506538.0
2020-01-26,56.8724,56.8724,55.5698,55.7547,1506538.0
2020-01-27,55.3929,55.9557,55.2562,55.5054,1617985.0
2020-01-28,55.4733,55.811,55.3888,55.4652,1127023.0
2020-01-29,55.4411,55.5025,54.9909,55.023,1677526.0
2020-01-30,54.9426,55.4492,54.7094,55.3848,1412902.0
2020-01-31,55.3607,55.6502,54.6853,54.8461,2746403.0
2020-02-01,55.3607,55.6502,54.6853,54.8461,2746403.0
2020-02-02,55.3607,55.6502,54.6853,54.8461,2746403.0
2020-02-03,55.1436,55.6663,54.9587,55.3527,1872851.0
2020-02-04,55.618,56.012,55.1838,55.224,1978142.0
2020-02-05,55.3366,55.9718,55.3366,55.7708,2393747.0
2020-02-06,51.6378,53.3746,50.7775,51.0267,7661126.0
2020-02-07,50.8659,51.6941,50.1583,51.5976,4297474.0
2020-02-08,50.8659,51.6941,50.1583,51.5976,4297474.0
2020-02-09,50.8659,51.6941,50.1583,51.5976,4297474.0
2020-02-10,51.4207,52.6108,51.0991,52.5384,2973621.0
2020-02-11,52.7314,53.5274,52.651,53.2862,2601490.0
2020-02-12,54.2752,54.5325,53.1294,53.2138,2220335.0
2020-02-13,53.246,54.0501,53.1093,53.9857,2275021.0
2020-02-14,53.9375,54.637,53.8008,54.4441,1567480.0
2020-02-15,53.9375,54.637,53.8008,54.4441,1567480.0
2020-02-16,53.9375,54.637,53.8008,54.4441,1567480.0
2020-02-17,53.9375,54.637,53.8008,54.4441,1567480.0
2020-02-18,54.0581,54.1707,53.4952,53.9938,1570347.0
2020-02-19,54.0018,54.2672,53.2701,53.3103,1581260.0
2020-02-20,52.8922,53.1415,52.3454,52.8037,2107372.0
2020-02-21,52.5866,52.7314,52.2248,52.6831,1824930.0
2020-02-22,52.5866,52.7314,52.2248,52.6831,1824930.0
2020-02-23,52.5866,52.7314,52.2248,52.6831,1824930.0
2020-02-24,52.0077,52.3052,51.4046,51.863,2539602.0
2020-02-25,51.9916,52.1766,50.5604,50.9704,2541037.0
2020-02-26,51.1715,51.6539,50.3111,50.4719,1863205.0
2020-02-27,49.9814,50.1382,48.9844,49.0648,2670126.0
2020-02-28,48.2446,48.8316,46.4033,48.6225,4526480.0
2020-02-29,48.2446,48.8316,46.4033,48.6225,4526480.0
2020-03-01,48.2446,48.8316,46.4033,48.6225,4526480.0
2020-03-02,48.8742,51.2525,48.8011,51.2525,2584217.0
2020-03-03,51.2606,52.2915,50.3677,50.8548,2002245.0
2020-03-04,51.423,52.4458,51.1389,52.3971,2405604.0
2020-03-05,51.7314,52.4214,51.3662,51.6746,1517429.0
2020-03-06,50.2622,51.4473,49.9538,51.2931,2288880.0
2020-03-07,50.2622,51.4473,49.9538,51.2931,2288880.0
2020-03-08,50.2622,51.4473,49.9538,51.2931,2288880.0
2020-03-09,48.8742,51.2769,48.7037,50.66,2756816.0
2020-03-10,51.0334,52.113,49.0122,51.0496,2817752.0
2020-03-11,49.8888,50.4408,48.8579,50.0755,2204740.0
2020-03-12,47.5023,48.7037,46.1386,47.2345,3827333.0
2020-03-13,48.7605,51.772,48.3019,51.6746,3606914.0
2020-03-14,48.7605,51.772,48.3019,51.6746,3606914.0
2020-03-15,48.7605,51.772,48.3019,51.6746,3606914.0
2020-03-16,47.3806,52.6487,47.2832,50.7817,3748992.0
2020-03-17,51.4555,56.3096,50.4976,56.1878,5196887.0
2020-03-18,54.6293,57.1132,52.324,55.9768,3960665.0
2020-03-19,55.5709,55.8063,49.5723,49.8645,4733242.0
2020-03-20,49.8969,49.9456,44.921,45.3026,4767287.0
2020-03-21,49.8969,49.9456,44.921,45.3026,4767287.0
2020-03-22,49.8969,49.9456,44.921,45.3026,4767287.0
2020-03-23,44.8074,46.0981,42.7469,43.4762,3243148.0
2020-03-24,44.4502,46.2279,43.8496,45.676,2913618.0
2020-03-25,45.4568,48.1111,44.4097,45.5948,3320343.0
2020-03-26,45.6597,48.3952,45.1321,47.6972,3345726.0
2020-03-27,46.853,49.4586,46.301,48.2735,2546036.0
2020-03-28,46.853,49.4586,46.301,48.2735,2546036.0
2020-03-29,46.853,49.4586,46.301,48.2735,2546036.0
2020-03-30,49.0122,49.9213,48.5175,49.4424,1914974.0
2020-03-31,49.5966,50.1892,48.4683,48.6956,2351238.0
2020-04-01,47.9001,49.8482,47.3814,49.5885,2476698.0
2020-04-02,48.931,50.3109,48.4115,49.7752,2147159.0
2020-04-03,49.2557,51.9019,49.2557,51.6097,1598178.0
2020-04-04,49.2557,51.9019,49.2557,51.6097,1598178.0
2020-04-05,49.2557,51.9019,49.2557,51.6097,1598178.0
2020-04-06,52.4052,52.4052,50.2216,51.5529,3152008.0
2020-04-07,51.7883,52.7867,50.3434,50.7736,2515071.0
2020-04-08,50.8142,51.0009,49.5154,49.8888,2632593.0
2020-04-09,49.4992,51.9506,49.4992,50.9278,2618268.0
2020-04-10,49.4992,51.9506,49.4992,50.9278,2618268.0
2020-04-11,49.4992,51.9506,49.4992,50.9278,2618268.0
2020-04-12,49.4992,51.9506,49.4992,50.9278,2618268.0
2020-04-13,50.6843,51.1389,49.6778,50.9765,1596576.0
2020-04-14,51.8532,52.2672,51.1551,51.6422,2498765.0
2020-04-15,51.6422,51.6422,50.733,51.0983,1748172.0
2020-04-16,51.5123,52.2997,50.9278,52.0561,2561430.0
2020-04-17,52.2591,52.8029,51.5123,52.7786,2390459.0
2020-04-18,52.2591,52.8029,51.5123,52.7786,2390459.0
2020-04-19,52.2591,52.8029,51.5123,52.7786,2390459.0
2020-04-20,52.8435,54.5076,52.5675,53.777,2395567.0
2020-04-21,53.4604,53.7689,52.3768,53.1844,2414557.0
2020-04-22,53.4685,53.5944,52.5026,52.5026,1404453.0
2020-04-23,52.0561,52.7055,52.0237,52.3565,1611269.0
2020-04-24,52.6974,52.6974,51.3337,52.0318,1884060.0
2020-04-25,52.6974,52.6974,51.3337,52.0318,1884060.0
2020-04-26,52.6974,52.6974,51.3337,52.0318,1884060.0
2020-04-27,52.5838,53.1844,51.9669,52.8435,2098705.0
2020-04-28,53.0221,53.7445,52.7786,53.3793,2148268.0
2020-04-29,52.8598,53.7608,52.6446,52.6812,2242537.0
2020-04-30,53.9881,55.1082,52.2915,53.1682,3893058.0
2020-05-01,52.9247,53.4523,52.4295,52.6487,1951415.0
2020-05-02,52.9247,53.4523,52.4295,52.6487,1951415.0
2020-05-03,52.9247,53.4523,52.4295,52.6487,1951415.0
2020-05-04,52.6568,52.8435,51.561,51.6827,1525879.0
2020-05-05,51.6178,52.1048,51.2525,51.3337,1768974.0
2020-05-06,51.3824,52.2591,51.0334,52.0237,1792929.0
2020-05-07,52.3159,52.4945,50.7411,50.8873,1626421.0
2020-05-08,51.3094,51.8126,50.9441,51.6909,1362830.0
2020-05-09,51.3094,51.8126,50.9441,51.6909,1362830.0
2020-05-10,51.3094,51.8126,50.9441,51.6909,1362830.0
2020-05-11,51.7071,52.2672,51.2444,51.3499,1682865.0
2020-05-12,51.5935,52.3159,51.5529,51.5691,1358215.0
2020-05-13,51.6016,52.7421,51.6016,52.0886,1569875.0
2020-05-14,52.2834,52.7136,51.0009,51.6665,2104015.0
2020-05-15,51.6503,52.7299,51.5448,52.0074,3931413.0
2020-05-16,51.6503,52.7299,51.5448,52.0074,3931413.0
2020-05-17,51.6503,52.7299,51.5448,52.0074,3931413.0
2020-05-18,52.3159,52.3719,51.0821,51.7477,3166014.0
2020-05-19,51.7152,51.8289,50.5869,50.6762,2200940.0
2020-05-20,50.595,50.9603,49.9132,50.7168,2039578.0
2020-05-21,50.6437,50.7168,49.2881,49.8158,2222657.0
2020-05-22,49.7346,50.457,49.4505,50.4002,1337970.0
2020-05-23,49.7346,50.457,49.4505,50.4002,1337970.0
2020-05-24,49.7346,50.457,49.4505,50.4002,1337970.0
2020-05-25,49.7346,50.457,49.4505,50.4002,1337970.0
2020-05-26,50.5707,50.9684,50.2703,50.4246,1980170.0
2020-05-27,50.4895,52.4458,50.2866,52.4458,2396581.0
2020-05-28,52.811,53.4442,52.5919,53.1033,3306401.0
2020-05-29,53.1197,53.7502,52.5055,53.48,2947348.0
2020-05-30,53.1197,53.7502,52.5055,53.48,2947348.0
2020-05-31,53.1197,53.7502,52.5055,53.48,2947348.0
2020-06-01,53.6601,54.3316,53.2015,54.135,1767906.0
2020-06-02,54.0204,54.7574,53.4144,54.7082,2516645.0
2020-06-03,55.003,55.044,53.5373,53.5782,2731960.0
