,AVNT US Equity,AVNT US Equity,AVNT US Equity,AVNT US Equity,AVNT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,33.1069,33.5845,33.1069,33.152,621486.0
2020-01-02,33.4494,33.4494,32.5573,33.143,526262.0
2020-01-03,32.3951,32.5753,31.9265,31.9355,749321.0
2020-01-04,32.3951,32.5753,31.9265,31.9355,749321.0
2020-01-05,32.3951,32.5753,31.9265,31.9355,749321.0
2020-01-06,31.539,32.0616,31.4309,31.8454,505276.0
2020-01-07,31.6471,32.0391,31.5255,31.6471,669665.0
2020-01-08,31.575,31.6922,31.0704,31.4759,745367.0
2020-01-09,31.575,31.7463,31.3227,31.5931,432256.0
2020-01-10,31.53,31.9085,31.3498,31.4399,504119.0
2020-01-11,31.53,31.9085,31.3498,31.4399,504119.0
2020-01-12,31.53,31.9085,31.3498,31.4399,504119.0
2020-01-13,31.6381,31.6922,31.3858,31.4489,714707.0
2020-01-14,32.2869,32.359,31.7192,32.1698,530880.0
2020-01-15,31.9355,32.4041,31.8544,32.314,422788.0
2020-01-16,32.5843,33.125,32.4491,33.1069,465281.0
2020-01-17,33.188,33.2672,32.7465,32.9898,918058.0
2020-01-18,33.188,33.2672,32.7465,32.9898,918058.0
2020-01-19,33.188,33.2672,32.7465,32.9898,918058.0
2020-01-20,33.188,33.2672,32.7465,32.9898,918058.0
2020-01-21,32.8096,32.8096,32.2599,32.2689,334879.0
2020-01-22,32.377,32.4167,31.8859,32.1608,288335.0
2020-01-23,31.8544,32.1247,31.2146,31.9986,452312.0
2020-01-24,32.0707,32.0707,31.1155,31.1876,294680.0
2020-01-25,32.0707,32.0707,31.1155,31.1876,294680.0
2020-01-26,32.0707,32.0707,31.1155,31.1876,294680.0
2020-01-27,30.3225,30.9533,30.2414,30.5298,775875.0
2020-01-28,31.2056,32.5843,30.728,32.1878,1018072.0
2020-01-29,32.341,33.2962,31.967,32.0797,766189.0
2020-01-30,31.1786,31.5886,30.4847,30.9533,1189657.0
2020-01-31,29.917,30.1783,29.3853,29.899,10292841.0
2020-02-01,29.917,30.1783,29.3853,29.899,10292841.0
