,AMCX US Equity,AMCX US Equity,AMCX US Equity,AMCX US Equity,AMCX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,54.84,55.22,53.37,54.88,484578.0
2019-01-02,54.24,56.7,53.68,56.64,521383.0
2019-01-03,56.44,57.78,55.8,56.4,720012.0
2019-01-04,57.01,57.96,57.01,57.17,554370.0
2019-01-05,57.01,57.96,57.01,57.17,554370.0
2019-01-06,57.01,57.96,57.01,57.17,554370.0
2019-01-07,57.57,58.9,56.85,58.51,464666.0
2019-01-08,59.26,60.46,58.55,60.19,733814.0
2019-01-09,60.45,60.775,59.865,60.38,411667.0
2019-01-10,60.06,62.49,59.8086,62.41,935472.0
2019-01-11,62.15,62.37,61.4,62.15,708321.0
2019-01-12,62.15,62.37,61.4,62.15,708321.0
2019-01-13,62.15,62.37,61.4,62.15,708321.0
2019-01-14,61.74,62.05,60.68,62.04,531894.0
2019-01-15,62.26,63.58,61.8301,62.91,734133.0
2019-01-16,62.96,64.2,62.69,63.0,604400.0
2019-01-17,62.99,64.21,62.75,63.52,742927.0
2019-01-18,63.89,64.81,62.6123,63.84,581436.0
2019-01-19,63.89,64.81,62.6123,63.84,581436.0
2019-01-20,63.89,64.81,62.6123,63.84,581436.0
2019-01-21,63.89,64.81,62.6123,63.84,581436.0
2019-01-22,63.6,63.6,61.31,61.53,626496.0
2019-01-23,61.87,63.19,61.41,63.19,474917.0
2019-01-24,63.15,64.339,63.15,64.16,397497.0
2019-01-25,64.78,65.6,64.46,64.76,567728.0
2019-01-26,64.78,65.6,64.46,64.76,567728.0
2019-01-27,64.78,65.6,64.46,64.76,567728.0
2019-01-28,64.31,65.4,63.0525,64.34,443166.0
2019-01-29,64.36,65.0,64.08,64.61,441454.0
2019-01-30,64.63,64.63,60.32,62.02,1058771.0
2019-01-31,60.92,63.425,60.92,62.94,584332.0
2019-02-01,61.085,62.67,60.85,62.42,634575.0
2019-02-02,61.085,62.67,60.85,62.42,634575.0
2019-02-03,61.085,62.67,60.85,62.42,634575.0
2019-02-04,62.42,63.57,62.42,63.0,323720.0
2019-02-05,63.06,64.79,63.06,63.9,448847.0
2019-02-06,64.04,64.2962,62.725,62.81,488343.0
2019-02-07,62.42,62.91,61.44,62.15,429475.0
2019-02-08,61.73,62.36,61.54,62.15,362316.0
2019-02-09,61.73,62.36,61.54,62.15,362316.0
2019-02-10,61.73,62.36,61.54,62.15,362316.0
2019-02-11,62.21,62.27,60.71,61.64,449623.0
2019-02-12,61.97,62.54,61.08,61.16,408506.0
2019-02-13,61.25,62.82,60.9,62.75,550933.0
2019-02-14,62.66,64.09,62.38,63.04,429743.0
2019-02-15,63.42,64.68,63.245,64.46,437446.0
2019-02-16,63.42,64.68,63.245,64.46,437446.0
2019-02-17,63.42,64.68,63.245,64.46,437446.0
2019-02-18,63.42,64.68,63.245,64.46,437446.0
2019-02-19,64.45,64.88,63.94,64.11,479433.0
2019-02-20,63.96,64.93,63.72,64.51,510578.0
2019-02-21,64.7,64.7,63.42,63.74,655330.0
2019-02-22,63.38,64.9,62.67,63.76,538765.0
2019-02-23,63.38,64.9,62.67,63.76,538765.0
2019-02-24,63.38,64.9,62.67,63.76,538765.0
2019-02-25,64.01,64.235,63.11,63.23,712136.0
2019-02-26,62.81,63.1203,61.1843,62.45,786387.0
2019-02-27,61.99,63.735,61.26,63.58,1211666.0
2019-02-28,64.4,68.42,63.67,65.71,2080983.0
2019-03-01,66.66,68.27,65.91,66.39,779660.0
2019-03-02,66.66,68.27,65.91,66.39,779660.0
2019-03-03,66.66,68.27,65.91,66.39,779660.0
2019-03-04,66.54,66.54,62.26,62.38,984524.0
2019-03-05,62.25,63.0,61.5101,62.84,566667.0
2019-03-06,62.65,63.51,62.11,63.1,613498.0
2019-03-07,63.1,63.49,61.95,62.04,582127.0
2019-03-08,61.72,62.39,61.4,62.39,315660.0
2019-03-09,61.72,62.39,61.4,62.39,315660.0
2019-03-10,61.72,62.39,61.4,62.39,315660.0
2019-03-11,62.0,62.0,60.1,61.25,663536.0
2019-03-12,61.15,62.1,60.51,61.94,628717.0
2019-03-13,62.32,62.32,58.44,58.98,1637885.0
2019-03-14,58.95,60.01,58.46,59.75,829803.0
2019-03-15,59.87,60.2102,58.94,59.49,1071566.0
2019-03-16,59.87,60.2102,58.94,59.49,1071566.0
