,RMAX US Equity,RMAX US Equity,RMAX US Equity,RMAX US Equity,RMAX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,33.4514,34.1969,33.4514,33.7584,110644.0
2020-01-02,33.9251,34.1969,32.7761,32.8989,184179.0
2020-01-03,32.5217,33.2673,32.2849,33.162,145415.0
2020-01-04,32.5217,33.2673,32.2849,33.162,145415.0
2020-01-05,32.5217,33.2673,32.2849,33.162,145415.0
2020-01-06,32.8901,33.3023,32.6796,33.1094,123160.0
2020-01-07,33.1708,33.6795,32.8287,32.9515,159608.0
2020-01-08,32.8813,33.1357,32.7235,32.8112,73300.0
2020-01-09,32.8726,33.1971,32.4867,32.9252,92868.0
2020-01-10,32.8813,33.1357,32.6095,32.8375,85894.0
2020-01-11,32.8813,33.1357,32.6095,32.8375,85894.0
2020-01-12,32.8813,33.1357,32.6095,32.8375,85894.0
2020-01-13,32.7322,33.1532,32.7322,33.1532,83764.0
2020-01-14,33.0831,33.2409,32.798,33.0918,74426.0
2020-01-15,33.0129,33.7409,33.0129,33.4514,58024.0
2020-01-16,33.7847,34.1882,33.5567,33.8373,44324.0
2020-01-17,34.0391,34.2233,33.5655,33.6005,42323.0
2020-01-18,34.0391,34.2233,33.5655,33.6005,42323.0
2020-01-19,34.0391,34.2233,33.5655,33.6005,42323.0
2020-01-20,34.0391,34.2233,33.5655,33.6005,42323.0
2020-01-21,33.4076,33.776,33.4076,33.7058,61201.0
2020-01-22,33.7496,34.0303,33.6225,33.8198,63805.0
2020-01-23,34.1531,34.5127,34.0303,34.1794,177448.0
2020-01-24,34.1706,34.1706,33.1269,33.6181,51458.0
2020-01-25,34.1706,34.1706,33.1269,33.6181,51458.0
2020-01-26,34.1706,34.1706,33.1269,33.6181,51458.0
2020-01-27,33.0655,33.3725,32.9515,33.2848,88225.0
2020-01-28,33.3725,34.1969,33.3725,34.1005,79844.0
2020-01-29,34.2233,34.425,34.0128,34.3636,44455.0
2020-01-30,34.0742,34.5407,33.8549,34.2233,70929.0
2020-01-31,33.9601,34.061,33.5216,33.5742,91252.0
2020-02-01,33.9601,34.061,33.5216,33.5742,91252.0
2020-02-02,33.9601,34.061,33.5216,33.5742,91252.0
2020-02-03,33.6444,33.9251,33.4514,33.6005,106441.0
2020-02-04,34.0917,34.3285,33.9601,34.1794,80820.0
2020-02-05,34.4338,34.7846,34.0742,34.767,111068.0
2020-02-06,34.96,35.188,34.8153,34.8986,57898.0
2020-02-07,34.8109,34.8109,34.1092,34.2847,30098.0
2020-02-08,34.8109,34.8109,34.1092,34.2847,30098.0
2020-02-09,34.8109,34.8109,34.1092,34.2847,30098.0
2020-02-10,34.1531,34.4952,33.6444,33.7233,51906.0
2020-02-11,33.8023,33.8023,32.0394,32.1534,154932.0
2020-02-12,32.3112,33.0041,32.0762,32.6182,133522.0
2020-02-13,32.5393,33.8198,32.5393,33.7233,58250.0
2020-02-14,33.6882,33.8286,33.469,33.469,59675.0
2020-02-15,33.6882,33.8286,33.469,33.469,59675.0
2020-02-16,33.6882,33.8286,33.469,33.469,59675.0
2020-02-17,33.6882,33.8286,33.469,33.469,59675.0
2020-02-18,33.3813,34.2233,33.3813,34.2145,80557.0
2020-02-19,34.3285,34.6443,33.9689,34.0303,133084.0
2020-02-20,34.1531,35.7668,34.1531,35.5827,145668.0
2020-02-21,34.7144,34.7144,28.4872,29.68,648022.0
2020-02-22,34.7144,34.7144,28.4872,29.68,648022.0
2020-02-23,34.7144,34.7144,28.4872,29.68,648022.0
2020-02-24,29.1187,29.1187,28.2855,28.5837,210412.0
2020-02-25,28.6363,28.7591,27.1892,27.3733,143880.0
2020-02-26,27.3646,27.9259,27.1541,27.2242,113376.0
2020-02-27,26.5928,27.0664,25.7595,25.7858,141889.0
2020-02-28,24.9965,26.1147,24.6632,25.5666,220474.0
2020-02-29,24.9965,26.1147,24.6632,25.5666,220474.0
2020-03-01,24.9965,26.1147,24.6632,25.5666,220474.0
2020-03-02,25.7858,26.5489,25.267,26.4787,145133.0
2020-03-03,26.6466,26.9911,25.4362,25.7543,156114.0
2020-03-04,26.1695,27.4594,26.1386,27.1237,243528.0
2020-03-05,26.3815,26.8498,25.8691,26.5582,218337.0
2020-03-06,25.7896,26.1694,23.7133,24.4555,109406.0
2020-03-07,25.7896,26.1694,23.7133,24.4555,109406.0
2020-03-08,25.7896,26.1694,23.7133,24.4555,109406.0
2020-03-09,24.0314,24.1816,22.7768,22.8917,164295.0
2020-03-10,23.5897,23.8105,22.0258,23.3599,139808.0
2020-03-11,22.556,23.033,21.6371,21.9817,140485.0
2020-03-12,20.3825,21.4957,19.34,20.8154,238001.0
2020-03-13,21.699,24.1639,20.8243,24.1639,413104.0
2020-03-14,21.699,24.1639,20.8243,24.1639,413104.0
2020-03-15,21.699,24.1639,20.8243,24.1639,413104.0
2020-03-16,20.7978,24.3495,20.7978,23.7399,260115.0
2020-03-17,24.0402,24.0402,21.8933,22.3969,348773.0
2020-03-18,21.5134,21.5885,12.7225,12.7313,372326.0
2020-03-19,12.9169,18.6332,12.811,17.7938,456178.0
2020-03-20,17.9087,18.6097,15.32,15.6381,280503.0
2020-03-21,17.9087,18.6097,15.32,15.6381,280503.0
2020-03-22,17.9087,18.6097,15.32,15.6381,280503.0
2020-03-23,15.6558,16.3007,15.0373,16.071,244176.0
2020-03-24,16.5128,18.2709,16.4001,17.5553,245079.0
2020-03-25,17.5818,20.1548,17.4669,19.3488,187366.0
2020-03-26,19.3753,20.7359,19.0859,19.9673,209360.0
2020-03-27,19.1456,20.2412,18.2709,19.5697,153373.0
2020-03-28,19.1456,20.2412,18.2709,19.5697,153373.0
2020-03-29,19.1456,20.2412,18.2709,19.5697,153373.0
2020-03-30,19.7994,19.8898,18.5853,19.3312,114912.0
2020-03-31,19.1986,19.7817,18.4123,19.3665,150609.0
2020-04-01,18.3946,18.8276,17.3168,17.732,169318.0
2020-04-02,17.2637,17.9617,16.1329,16.5481,175529.0
2020-04-03,16.5481,16.6895,14.6221,14.7546,238613.0
2020-04-04,16.5481,16.6895,14.6221,14.7546,238613.0
2020-04-05,16.5481,16.6895,14.6221,14.7546,238613.0
2020-04-06,15.4791,17.5111,15.4791,17.2726,150853.0
2020-04-07,18.2268,18.7392,17.3168,17.6171,169580.0
2020-04-08,18.0324,20.0821,18.0324,19.5432,185455.0
2020-04-09,19.5255,21.4604,19.4372,21.2484,239278.0
2020-04-10,19.5255,21.4604,19.4372,21.2484,239278.0
2020-04-11,19.5255,21.4604,19.4372,21.2484,239278.0
2020-04-12,19.5255,21.4604,19.4372,21.2484,239278.0
2020-04-13,20.8773,20.9303,19.5697,20.6476,133925.0
2020-04-14,21.1865,21.7166,20.3295,20.6652,182805.0
2020-04-15,19.5874,20.8444,18.9247,19.9408,138139.0
2020-04-16,19.7729,19.7729,18.695,19.2781,133366.0
2020-04-17,19.8171,20.8674,19.6669,20.144,136641.0
2020-04-18,19.8171,20.8674,19.6669,20.144,136641.0
2020-04-19,19.8171,20.8674,19.6669,20.144,136641.0
2020-04-20,19.4902,19.6998,18.5095,18.7745,93372.0
2020-04-21,18.0236,19.4372,17.9175,19.34,239171.0
2020-04-22,19.8966,19.9364,19.3135,19.446,157938.0
2020-04-23,19.3488,20.356,19.3488,20.2323,97558.0
2020-04-24,20.2765,20.4444,19.7376,20.197,55758.0
2020-04-25,20.2765,20.4444,19.7376,20.197,55758.0
2020-04-26,20.2765,20.4444,19.7376,20.197,55758.0
2020-04-27,20.2235,21.9817,20.2235,21.6106,77078.0
2020-04-28,22.2556,22.821,21.9463,22.4676,131845.0
2020-04-29,23.7045,25.074,23.4748,24.3141,303401.0
2020-04-30,23.5897,23.8547,22.6355,23.2274,131170.0
2020-05-01,22.3616,22.4058,21.3014,21.7961,94964.0
2020-05-02,22.3616,22.4058,21.3014,21.7961,94964.0
2020-05-03,22.3616,22.4058,21.3014,21.7961,94964.0
2020-05-04,21.3632,21.8271,20.9745,21.4251,244160.0
2020-05-05,22.07,22.2644,20.7713,20.9833,130701.0
2020-05-06,20.7713,21.6636,20.5062,20.7624,98343.0
2020-05-07,20.0645,22.6973,20.0115,21.6724,171464.0
2020-05-08,22.1584,23.3599,21.6415,23.2628,124066.0
2020-05-09,22.1584,23.3599,21.6415,23.2628,124066.0
2020-05-10,22.1584,23.3599,21.6415,23.2628,124066.0
2020-05-11,22.7238,23.1391,22.0258,23.0419,137519.0
2020-05-12,22.9359,23.3158,21.3279,21.3367,255717.0
2020-05-13,21.4781,21.4781,19.4725,19.7111,171424.0
2020-05-14,19.2516,19.8568,18.3328,19.7464,124803.0
2020-05-15,19.8613,20.2147,19.3886,19.8524,105415.0
2020-05-16,19.8613,20.2147,19.3886,19.8524,105415.0
2020-05-17,19.8613,20.2147,19.3886,19.8524,105415.0
2020-05-18,21.057,22.8861,20.8874,22.7254,277122.0
2020-05-19,22.547,22.7299,21.6994,21.7618,87097.0
2020-05-20,22.2079,23.4214,22.2079,22.9931,114271.0
2020-05-21,22.8058,23.4036,22.3507,22.4132,124619.0
2020-05-22,22.4489,22.8147,21.9135,22.7522,65074.0
2020-05-23,22.4489,22.8147,21.9135,22.7522,65074.0
2020-05-24,22.4489,22.8147,21.9135,22.7522,65074.0
