,BRK/B US Equity,BRK/B US Equity,BRK/B US Equity,BRK/B US Equity,BRK/B US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,226.16,226.72,225.14,226.5,3145359.0
2020-01-02,227.51,228.39,226.71,228.39,3767253.0
2020-01-03,225.69,227.43,225.48,226.18,3024008.0
2020-01-04,225.69,227.43,225.48,226.18,3024008.0
2020-01-05,225.69,227.43,225.48,226.18,3024008.0
2020-01-06,224.99,227.13,224.7,226.99,4263359.0
2020-01-07,227.26,227.26,225.44,225.92,3530280.0
2020-01-08,226.03,227.84,225.87,225.99,3782033.0
2020-01-09,226.92,228.85,226.92,228.65,3497724.0
2020-01-10,228.5,228.5308,226.59,226.62,2573152.0
2020-01-11,228.5,228.5308,226.59,226.62,2573152.0
2020-01-12,228.5,228.5308,226.59,226.62,2573152.0
2020-01-13,227.05,228.47,226.1251,228.45,3287976.0
2020-01-14,227.85,228.3899,226.88,227.17,3356233.0
2020-01-15,226.8,228.64,226.78,228.35,2664870.0
2020-01-16,229.34,230.03,228.52,229.73,3037238.0
2020-01-17,230.13,231.61,229.55,230.2,6603956.0
2020-01-18,230.13,231.61,229.55,230.2,6603956.0
2020-01-19,230.13,231.61,229.55,230.2,6603956.0
2020-01-20,230.13,231.61,229.55,230.2,6603956.0
2020-01-21,229.85,231.13,227.95,228.63,5842158.0
2020-01-22,229.0,230.38,228.41,229.54,3164373.0
2020-01-23,229.43,229.77,227.3492,229.38,4750042.0
2020-01-24,229.4,229.41,226.04,226.86,4024035.0
2020-01-25,229.4,229.41,226.04,226.86,4024035.0
2020-01-26,229.4,229.41,226.04,226.86,4024035.0
2020-01-27,223.7,223.9,221.11,222.45,5455063.0
2020-01-28,223.44,225.35,223.16,224.03,3613154.0
2020-01-29,224.75,226.4,224.31,224.5,2311394.0
2020-01-30,223.11,228.08,222.48,227.88,3355343.0
2020-01-31,226.49,226.97,223.43,224.43,3948507.0
2020-02-01,226.49,226.97,223.43,224.43,3948507.0
2020-02-02,226.49,226.97,223.43,224.43,3948507.0
2020-02-03,225.48,226.32,223.0,223.47,3525322.0
2020-02-04,226.15,226.94,224.79,225.08,3643707.0
2020-02-05,226.91,228.68,226.75,228.65,3364133.0
2020-02-06,229.56,230.08,228.53,229.61,2801166.0
2020-02-07,228.07,228.62,226.67,227.38,2886854.0
2020-02-08,228.07,228.62,226.67,227.38,2886854.0
2020-02-09,228.07,228.62,226.67,227.38,2886854.0
2020-02-10,227.17,227.7503,225.13,227.11,2945177.0
2020-02-11,228.59,228.59,227.02,227.33,2918511.0
2020-02-12,227.6,228.84,226.91,227.44,3786174.0
2020-02-13,226.53,227.4,226.1,226.47,2838906.0
2020-02-14,226.49,227.14,225.52,226.8,2506699.0
2020-02-15,226.49,227.14,225.52,226.8,2506699.0
2020-02-16,226.49,227.14,225.52,226.8,2506699.0
2020-02-17,226.49,227.14,225.52,226.8,2506699.0
2020-02-18,226.39,227.38,225.27,226.77,3153466.0
2020-02-19,227.68,229.71,226.93,229.24,3189102.0
2020-02-20,229.76,229.79,227.15,228.17,3549133.0
2020-02-21,227.53,230.07,226.98,229.33,4702108.0
2020-02-22,227.53,230.07,226.98,229.33,4702108.0
2020-02-23,227.53,230.07,226.98,229.33,4702108.0
2020-02-24,221.31,223.94,220.27,221.69,7933733.0
2020-02-25,222.2,223.24,216.76,218.05,8560131.0
2020-02-26,219.65,220.63,215.94,216.06,6907568.0
2020-02-27,212.9,214.38,207.28,207.67,10945542.0
2020-02-28,201.92,206.44,199.68,206.34,15149589.0
2020-02-29,201.92,206.44,199.68,206.34,15149589.0
2020-03-01,201.92,206.44,199.68,206.34,15149589.0
2020-03-02,207.25,218.8,204.4339,217.63,10408117.0
2020-03-03,217.39,218.15,206.2,208.81,10717122.0
2020-03-04,212.14,218.34,209.26,217.86,7409199.0
2020-03-05,212.55,212.75,207.01,208.96,8114450.0
2020-03-06,203.48,207.41,202.35,205.98,9443910.0
2020-03-07,203.48,207.41,202.35,205.98,9443910.0
2020-03-08,203.48,207.41,202.35,205.98,9443910.0
2020-03-09,195.0,198.479,192.26,193.13,13986192.0
2020-03-10,201.35,202.86,195.0517,202.73,10931656.0
2020-03-11,197.32,198.13,192.87,194.64,9586080.0
2020-03-12,183.6,187.6699,175.0,175.97,22303501.0
2020-03-13,187.45,196.5,178.41,196.4,14867020.0
2020-03-14,187.45,196.5,178.41,196.4,14867020.0
2020-03-15,187.45,196.5,178.41,196.4,14867020.0
2020-03-16,174.0,188.38,173.62,177.77,14171802.0
2020-03-17,181.88,187.81,177.0,187.6,15081851.0
2020-03-18,177.29,181.39,167.0,172.44,16682838.0
2020-03-19,170.21,176.18,166.0,174.68,12492309.0
2020-03-20,176.3,177.18,167.2945,170.06,15218821.0
2020-03-21,176.3,177.18,167.2945,170.06,15218821.0
2020-03-22,176.3,177.18,167.2945,170.06,15218821.0
2020-03-23,165.3,166.69,159.5,162.13,16512831.0
2020-03-24,170.91,179.14,169.53,178.2,14093996.0
2020-03-25,180.01,189.07,175.17,180.47,13856492.0
2020-03-26,181.29,184.96,179.59,183.9,14145128.0
2020-03-27,178.5,184.24,176.72,179.66,10264577.0
2020-03-28,178.5,184.24,176.72,179.66,10264577.0
2020-03-29,178.5,184.24,176.72,179.66,10264577.0
2020-03-30,180.04,184.11,178.0,183.18,7674376.0
2020-03-31,182.05,186.17,180.57,182.83,8999502.0
2020-04-01,176.18,178.67,174.19,175.95,8684977.0
2020-04-02,175.0,180.31,174.225,179.73,7276305.0
2020-04-03,178.59,180.22,175.44,178.34,6645402.0
2020-04-04,178.59,180.22,175.44,178.34,6645402.0
2020-04-05,178.59,180.22,175.44,178.34,6645402.0
2020-04-06,184.61,186.41,180.49,185.24,9943688.0
2020-04-07,191.99,192.0,184.9,185.25,8151274.0
2020-04-08,187.55,191.42,185.14,191.01,6112986.0
2020-04-09,194.0,197.23,191.45,193.84,10525209.0
2020-04-10,194.0,197.23,191.45,193.84,10525209.0
2020-04-11,194.0,197.23,191.45,193.84,10525209.0
2020-04-12,194.0,197.23,191.45,193.84,10525209.0
2020-04-13,193.85,193.85,186.08,188.77,7897317.0
2020-04-14,193.32,194.16,190.82,192.94,7033292.0
2020-04-15,188.56,189.59,187.47,188.57,6143064.0
2020-04-16,188.9,188.99,185.8,187.96,6257017.0
2020-04-17,192.89,192.9,189.02,191.2,8275774.0
2020-04-18,192.89,192.9,189.02,191.2,8275774.0
2020-04-19,192.89,192.9,189.02,191.2,8275774.0
2020-04-20,188.72,189.35,187.3,188.75,6475978.0
2020-04-21,184.17,185.78,183.28,183.48,5886829.0
2020-04-22,186.46,187.37,185.34,186.58,5473376.0
2020-04-23,186.99,187.35,184.5,185.63,6214098.0
2020-04-24,187.08,187.28,184.42,186.52,5206780.0
2020-04-25,187.08,187.28,184.42,186.52,5206780.0
2020-04-26,187.08,187.28,184.42,186.52,5206780.0
2020-04-27,187.78,189.37,186.35,187.46,6625074.0
2020-04-28,190.54,191.0,187.0,187.12,6679292.0
2020-04-29,190.64,192.68,188.93,189.61,7654591.0
2020-04-30,188.3,189.87,186.71,187.36,8224394.0
2020-05-01,185.21,185.89,181.64,182.67,7516538.0
2020-05-02,185.21,185.89,181.64,182.67,7516538.0
2020-05-03,185.21,185.89,181.64,182.67,7516538.0
2020-05-04,179.78,180.36,176.3401,177.95,9455779.0
2020-05-05,180.045,180.23,175.93,176.03,9019874.0
2020-05-06,176.94,177.04,172.34,172.38,9016047.0
2020-05-07,173.4,175.38,173.05,173.48,6702275.0
2020-05-08,176.71,177.26,174.28,176.83,5798965.0
2020-05-09,176.71,177.26,174.28,176.83,5798965.0
2020-05-10,176.71,177.26,174.28,176.83,5798965.0
2020-05-11,175.23,175.96,173.61,174.64,9239404.0
2020-05-12,175.2,175.7149,172.73,172.81,6483703.0
2020-05-13,172.0,172.61,169.44,170.57,10262672.0
2020-05-14,168.8,171.4,167.0401,170.93,7016473.0
2020-05-15,169.82,170.66,168.52,169.25,5941213.0
2020-05-16,169.82,170.66,168.52,169.25,5941213.0
2020-05-17,169.82,170.66,168.52,169.25,5941213.0
2020-05-18,174.0,176.87,172.3091,175.46,7463845.0
2020-05-19,174.12,174.87,172.34,172.49,5580754.0
