,HUBB US Equity,HUBB US Equity,HUBB US Equity,HUBB US Equity,HUBB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,135.554,136.2231,135.4257,135.4898,181305.0
2020-01-02,136.6814,136.8097,134.538,136.1131,240903.0
2020-01-03,134.4908,136.3606,134.1058,136.1406,156168.0
2020-01-04,134.4908,136.3606,134.1058,136.1406,156168.0
2020-01-05,134.4908,136.3606,134.1058,136.1406,156168.0
2020-01-06,135.2882,135.7373,134.4358,135.5082,176972.0
2020-01-07,134.8849,135.9573,133.9408,135.3065,202593.0
2020-01-08,135.0224,136.6951,134.1608,135.8473,256140.0
2020-01-09,135.1782,135.5402,133.1938,133.3908,294011.0
2020-01-10,133.5742,134.1058,132.0801,132.2634,271162.0
2020-01-11,133.5742,134.1058,132.0801,132.2634,271162.0
2020-01-12,133.5742,134.1058,132.0801,132.2634,271162.0
2020-01-13,132.9417,133.9958,132.1947,133.84,240334.0
2020-01-14,133.7117,133.7758,132.1901,132.7309,242967.0
2020-01-15,132.6942,134.7474,132.6942,134.06,245887.0
2020-01-16,134.9674,136.0306,134.6282,135.994,284240.0
2020-01-17,136.3606,137.1214,135.8656,136.7181,191325.0
2020-01-18,136.3606,137.1214,135.8656,136.7181,191325.0
2020-01-19,136.3606,137.1214,135.8656,136.7181,191325.0
2020-01-20,136.3606,137.1214,135.8656,136.7181,191325.0
2020-01-21,136.049,136.576,134.7749,136.0673,314503.0
2020-01-22,137.0205,137.378,136.1314,136.6081,248839.0
2020-01-23,136.1956,136.8647,134.3945,136.2964,298053.0
2020-01-24,136.6814,137.3413,134.1791,134.6832,201921.0
2020-01-25,136.6814,137.3413,134.1791,134.6832,201921.0
2020-01-26,136.6814,137.3413,134.1791,134.6832,201921.0
2020-01-27,132.2085,134.1104,131.6448,133.4183,321198.0
2020-01-28,133.895,135.0224,133.015,134.3441,228804.0
2020-01-29,135.1507,135.4578,134.3349,134.9582,181071.0
2020-01-30,134.0416,135.8794,132.6759,135.664,259741.0
2020-01-31,134.949,134.949,131.0719,131.2827,345503.0
2020-02-01,134.949,134.949,131.0719,131.2827,345503.0
2020-02-02,134.949,134.949,131.0719,131.2827,345503.0
2020-02-03,132.1351,135.9756,131.8235,133.455,413970.0
2020-02-04,137.6255,142.0709,130.0636,131.6768,674944.0
2020-02-05,133.455,136.6906,133.455,136.0123,402819.0
2020-02-06,137.0205,137.0205,134.8299,135.0499,321291.0
2020-02-07,134.6374,134.6374,132.4697,133.29,241529.0
2020-02-08,134.6374,134.6374,132.4697,133.29,241529.0
2020-02-09,134.6374,134.6374,132.4697,133.29,241529.0
2020-02-10,132.8684,135.0315,132.8684,135.0224,371201.0
2020-02-11,135.5632,138.4321,135.3707,137.0664,343095.0
2020-02-12,137.7446,138.1571,135.8748,136.6906,329487.0
2020-02-13,136.1039,137.8821,135.829,137.048,326874.0
2020-02-14,137.4147,137.5522,135.0086,135.2332,306444.0
2020-02-15,137.4147,137.5522,135.0086,135.2332,306444.0
2020-02-16,137.4147,137.5522,135.0086,135.2332,306444.0
2020-02-17,137.4147,137.5522,135.0086,135.2332,306444.0
2020-02-18,135.0315,135.1049,132.4972,133.8766,419755.0
2020-02-19,134.6557,134.8391,133.3771,134.6832,374374.0
2020-02-20,134.3899,135.334,133.07,134.4633,244174.0
2020-02-21,134.06,134.1333,132.236,132.4651,822976.0
2020-02-22,134.06,134.1333,132.236,132.4651,822976.0
2020-02-23,134.06,134.1333,132.236,132.4651,822976.0
2020-02-24,128.258,130.2745,128.0563,129.4404,326367.0
2020-02-25,129.9445,129.9445,125.0041,125.1782,413252.0
2020-02-26,125.664,127.2222,123.6659,124.9399,305567.0
2020-02-27,122.467,126.6009,121.4612,122.5131,418577.0
2020-02-28,118.6191,123.2236,117.3273,122.9468,821920.0
2020-02-29,118.6191,123.2236,117.3273,122.9468,821920.0
2020-03-01,118.6191,123.2236,117.3273,122.9468,821920.0
2020-03-02,123.5558,129.6736,122.6054,129.2676,621025.0
2020-03-03,128.714,129.5721,121.5073,123.1221,726685.0
2020-03-04,124.9492,129.7659,123.8788,129.6459,332583.0
2020-03-05,126.2779,126.9515,124.2479,126.0288,405559.0
2020-03-06,121.858,125.9134,121.4058,124.1464,357653.0
2020-03-07,121.858,125.9134,121.4058,124.1464,357653.0
2020-03-08,121.858,125.9134,121.4058,124.1464,357653.0
2020-03-09,112.6674,117.1335,111.0434,112.6582,498545.0
2020-03-10,116.1185,120.1786,112.0676,120.1601,348995.0
2020-03-11,116.7367,116.8751,111.8692,112.6489,448724.0
2020-03-12,103.3476,106.0513,98.6601,98.6601,733659.0
2020-03-13,104.741,110.2683,100.0627,109.9361,444655.0
2020-03-14,104.741,110.2683,100.0627,109.9361,444655.0
2020-03-15,104.741,110.2683,100.0627,109.9361,444655.0
2020-03-16,99.5644,105.7099,98.8631,100.1273,387339.0
2020-03-17,101.779,103.1677,97.8481,100.2934,494929.0
2020-03-18,93.5112,96.0949,86.7751,89.2019,417679.0
2020-03-19,88.0854,94.5954,84.2007,93.5481,356160.0
2020-03-20,93.5758,99.2864,88.759,89.1189,410802.0
2020-03-21,93.5758,99.2864,88.759,89.1189,410802.0
2020-03-22,93.5758,99.2864,88.759,89.1189,410802.0
2020-03-23,88.0577,89.1096,79.0056,80.0114,446168.0
2020-03-24,83.97,92.5976,83.4671,91.0013,323865.0
2020-03-25,91.2873,102.7479,89.5565,98.9646,495783.0
2020-03-26,100.0442,105.0132,98.697,104.3073,321943.0
2020-03-27,100.2841,102.2865,96.667,98.7062,331981.0
2020-03-28,100.2841,102.2865,96.667,98.7062,331981.0
2020-03-29,100.2841,102.2865,96.667,98.7062,331981.0
2020-03-30,98.9369,105.1378,96.9161,104.2427,438396.0
2020-03-31,102.7755,106.1989,102.0004,105.876,405711.0
2020-04-01,101.0592,103.0062,99.5921,101.7328,451208.0
2020-04-02,101.3637,104.8517,99.1584,103.8921,408042.0
2020-04-03,102.6925,103.9567,98.8354,99.4721,336295.0
2020-04-04,102.6925,103.9567,98.8354,99.4721,336295.0
2020-04-05,102.6925,103.9567,98.8354,99.4721,336295.0
2020-04-06,104.5564,107.8783,103.4538,106.9095,379746.0
2020-04-07,109.4931,113.221,107.2324,107.3062,300279.0
2020-04-08,109.5116,111.4309,106.771,110.785,280621.0
2020-04-09,113.0549,116.2799,112.2891,114.8266,235832.0
2020-04-10,113.0549,116.2799,112.2891,114.8266,235832.0
2020-04-11,113.0549,116.2799,112.2891,114.8266,235832.0
2020-04-12,113.0549,116.2799,112.2891,114.8266,235832.0
2020-04-13,114.0331,114.9374,109.2717,109.9453,183235.0
2020-04-14,113.258,114.6698,111.6004,114.0423,239376.0
2020-04-15,110.4159,111.7262,108.2659,110.1667,251888.0
2020-04-16,109.973,110.5543,106.7987,108.8472,316584.0
2020-04-17,112.2245,114.5913,110.0191,111.1633,368136.0
2020-04-18,112.2245,114.5913,110.0191,111.1633,368136.0
2020-04-19,112.2245,114.5913,110.0191,111.1633,368136.0
2020-04-20,109.0687,110.5451,107.3616,107.9245,224959.0
2020-04-21,105.7376,106.9002,104.4457,105.7929,216031.0
2020-04-22,108.7457,109.8669,107.0683,108.8472,235277.0
2020-04-23,110.462,112.326,109.2625,109.5208,251695.0
2020-04-24,110.9234,111.5509,109.722,110.2037,389520.0
2020-04-25,110.9234,111.5509,109.722,110.2037,389520.0
2020-04-26,110.9234,111.5509,109.722,110.2037,389520.0
2020-04-27,110.6004,113.6686,109.9361,113.1288,260699.0
2020-04-28,115.8509,116.4137,113.2856,114.1807,207340.0
2020-04-29,116.9489,117.7333,115.8047,116.9951,307669.0
2020-04-30,121.1843,124.1131,112.612,114.8174,323682.0
2020-05-01,112.1322,112.7135,109.7331,112.6489,250200.0
