,BAH US Equity,BAH US Equity,BAH US Equity,BAH US Equity,BAH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,41.3516,41.4433,40.6644,41.2967,1114096.0
2019-01-02,40.6094,41.1867,40.3346,40.6186,1536475.0
2019-01-03,40.2246,41.0493,40.0139,40.2887,1053196.0
2019-01-04,40.9393,42.2221,40.9393,41.9289,1570198.0
2019-01-05,40.9393,42.2221,40.9393,41.9289,1570198.0
2019-01-06,40.9393,42.2221,40.9393,41.9289,1570198.0
2019-01-07,41.938,42.1121,41.4891,41.7823,1479723.0
2019-01-08,42.0205,42.103,41.4799,42.0572,1127697.0
2019-01-09,42.2404,42.4695,41.6173,41.7548,1335175.0
2019-01-10,41.5257,42.103,41.3883,41.9106,1546676.0
2019-01-11,42.0022,42.8177,41.8189,42.7902,984511.0
2019-01-12,42.0022,42.8177,41.8189,42.7902,984511.0
2019-01-13,42.0022,42.8177,41.8189,42.7902,984511.0
2019-01-14,42.3687,42.694,42.0663,42.5153,1799276.0
2019-01-15,42.5153,43.0284,42.5061,42.7627,787315.0
2019-01-16,42.9643,43.4133,42.7719,43.1567,731492.0
2019-01-17,43.0193,43.8256,42.9276,43.5599,660356.0
2019-01-18,43.8897,44.1188,43.4499,43.6057,825222.0
2019-01-19,43.8897,44.1188,43.4499,43.6057,825222.0
2019-01-20,43.8897,44.1188,43.4499,43.6057,825222.0
2019-01-21,43.8897,44.1188,43.4499,43.6057,825222.0
2019-01-22,43.3674,43.7065,42.9918,43.1659,632052.0
2019-01-23,43.3858,44.1188,43.23,43.4591,710841.0
2019-01-24,43.5782,43.8622,43.3125,43.4866,786793.0
2019-01-25,43.6606,44.4349,43.6332,44.302,863000.0
2019-01-26,43.6606,44.4349,43.6332,44.302,863000.0
2019-01-27,43.6606,44.4349,43.6332,44.302,863000.0
2019-01-28,44.0546,44.215,43.6881,43.7614,1065154.0
2019-01-29,43.7706,44.2287,43.5965,43.9722,696932.0
2019-01-30,44.2562,44.467,43.9264,44.2379,812957.0
2019-01-31,44.2196,45.1542,44.0363,45.0167,1473675.0
2019-02-01,47.8389,48.5627,46.7714,47.2708,2134543.0
2019-02-02,47.8389,48.5627,46.7714,47.2708,2134543.0
2019-02-03,47.8389,48.5627,46.7714,47.2708,2134543.0
2019-02-04,47.6465,48.3245,46.9684,48.1596,1305540.0
2019-02-05,48.1687,48.4986,47.5915,48.4803,1054085.0
2019-02-06,48.5169,48.9292,48.0496,48.8651,1083864.0
2019-02-07,48.6635,49.6439,48.3062,49.5981,1270660.0
2019-02-08,49.3049,49.9005,49.203,49.8913,951587.0
2019-02-09,49.3049,49.9005,49.203,49.8913,951587.0
2019-02-10,49.3049,49.9005,49.203,49.8913,951587.0
2019-02-11,49.9372,50.1571,48.9109,48.9842,1401001.0
2019-02-12,49.195,49.3965,48.9201,49.3599,840009.0
2019-02-13,49.4979,49.6041,49.0286,49.1942,941373.0
2019-02-14,49.0562,49.3461,48.8906,49.0102,1249574.0
2019-02-15,49.2679,49.7556,49.2679,49.5071,1095074.0
2019-02-16,49.2679,49.7556,49.2679,49.5071,1095074.0
