,GSBC US Equity,GSBC US Equity,GSBC US Equity,GSBC US Equity,GSBC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,55.2213,55.4213,54.7259,55.0475,20165.0
2020-01-02,55.2474,55.2474,54.4998,54.9432,28654.0
2020-01-03,54.5085,55.117,53.6109,54.778,38549.0
2020-01-04,54.5085,55.117,53.6109,54.778,38549.0
2020-01-05,54.5085,55.117,53.6109,54.778,38549.0
2020-01-06,54.4476,54.4476,53.7869,54.3694,30426.0
2020-01-07,54.2651,54.2651,53.7261,53.8565,21446.0
2020-01-08,53.7782,54.465,53.2914,54.039,12972.0
2020-01-09,54.2303,54.5302,53.7956,53.813,11789.0
2020-01-10,53.9086,54.2279,53.6565,53.9695,32812.0
2020-01-11,53.9086,54.2279,53.6565,53.9695,32812.0
2020-01-12,53.9086,54.2279,53.6565,53.9695,32812.0
2020-01-13,53.926,54.6302,53.8652,54.5954,23121.0
2020-01-14,54.6823,54.6823,53.7695,53.9956,29897.0
2020-01-15,53.7695,53.7956,53.3348,53.6913,30306.0
2020-01-16,53.9347,54.778,53.487,54.6041,21954.0
2020-01-17,55.004,55.004,54.1347,54.2651,22726.0
2020-01-18,55.004,55.004,54.1347,54.2651,22726.0
2020-01-19,55.004,55.004,54.1347,54.2651,22726.0
2020-01-20,55.004,55.004,54.1347,54.2651,22726.0
2020-01-21,53.926,54.1834,53.5174,53.6739,24454.0
2020-01-22,53.813,54.6302,53.1871,53.2305,39845.0
2020-01-23,53.3783,53.4147,52.1803,52.5698,47678.0
2020-01-24,52.9499,53.003,51.6328,52.0748,33012.0
2020-01-25,52.9499,53.003,51.6328,52.0748,33012.0
2020-01-26,52.9499,53.003,51.6328,52.0748,33012.0
2020-01-27,51.3057,52.2427,51.3057,51.8184,26878.0
2020-01-28,51.9068,52.4814,51.3057,51.6505,16018.0
2020-01-29,51.509,52.2162,50.8195,51.2262,24093.0
2020-01-30,50.8991,51.8361,50.8195,51.8361,25244.0
2020-01-31,51.4648,51.4648,50.0682,50.3068,31829.0
2020-02-01,51.4648,51.4648,50.0682,50.3068,31829.0
2020-02-02,51.4648,51.4648,50.0682,50.3068,31829.0
