,LNT US Equity,LNT US Equity,LNT US Equity,LNT US Equity,LNT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,47.7036,48.0104,47.5721,47.9754,1450069.0
2020-01-02,47.9403,48.0192,46.8049,47.0197,1357473.0
2020-01-03,47.0548,47.651,46.9584,47.1688,976142.0
2020-01-04,47.0548,47.651,46.9584,47.1688,976142.0
2020-01-05,47.0548,47.651,46.9584,47.1688,976142.0
2020-01-06,47.1688,47.4493,46.9496,47.1249,2585939.0
2020-01-07,47.0373,47.2038,46.7479,47.1688,1815093.0
2020-01-08,47.1863,47.4143,47.0373,47.274,1504336.0
2020-01-09,47.2214,47.8614,47.0636,47.8088,1869727.0
2020-01-10,47.9315,48.4094,47.8439,48.2822,1289203.0
2020-01-11,47.9315,48.4094,47.8439,48.2822,1289203.0
2020-01-12,47.9315,48.4094,47.8439,48.2822,1289203.0
2020-01-13,48.3524,48.9047,48.2384,48.7294,1168704.0
2020-01-14,48.7644,48.9047,48.3611,48.7644,1138529.0
2020-01-15,48.9486,49.3694,48.8872,49.3256,1434243.0
2020-01-16,49.5272,49.7902,49.3256,49.7815,1304617.0
2020-01-17,49.8604,50.1848,49.4615,50.1146,2231590.0
2020-01-18,49.8604,50.1848,49.4615,50.1146,2231590.0
2020-01-19,49.8604,50.1848,49.4615,50.1146,2231590.0
2020-01-20,49.8604,50.1848,49.4615,50.1146,2231590.0
2020-01-21,50.176,50.4478,49.8253,50.29,1821371.0
2020-01-22,50.4653,50.816,50.3777,50.6319,1207722.0
2020-01-23,50.6582,51.2807,50.5618,51.2544,1328153.0
2020-01-24,51.2544,51.7454,51.1492,51.6665,1290545.0
2020-01-25,51.2544,51.7454,51.1492,51.6665,1290545.0
2020-01-26,51.2544,51.7454,51.1492,51.6665,1290545.0
2020-01-27,51.7366,52.1048,51.3684,51.5788,1156531.0
2020-01-28,51.7717,52.0259,51.4473,51.8593,1839609.0
2020-01-29,51.947,51.947,51.5262,51.798,1230577.0
2020-01-30,51.9921,52.4788,51.6612,52.4333,1146426.0
2020-01-31,52.2921,52.7157,52.1598,52.3804,1154206.0
2020-02-01,52.2921,52.7157,52.1598,52.3804,1154206.0
2020-02-02,52.2921,52.7157,52.1598,52.3804,1154206.0
2020-02-03,52.5745,52.6892,52.2965,52.5216,1248550.0
2020-02-04,52.451,52.5833,51.6833,51.7627,1304878.0
2020-02-05,51.6215,51.9568,51.4406,51.6744,1586062.0
2020-02-06,51.7803,51.9656,51.5421,51.648,2040666.0
2020-02-07,51.8597,52.0362,51.4538,51.4715,1249745.0
2020-02-08,51.8597,52.0362,51.4538,51.4715,1249745.0
2020-02-09,51.8597,52.0362,51.4538,51.4715,1249745.0
2020-02-10,51.6127,51.6833,51.3727,51.5509,1250866.0
2020-02-11,51.595,51.8333,51.4759,51.5244,1073922.0
2020-02-12,51.3568,51.8774,51.3126,51.7627,1104092.0
2020-02-13,51.7362,52.4068,51.6374,52.398,1419776.0
