,BJRI US Equity,BJRI US Equity,BJRI US Equity,BJRI US Equity,BJRI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,37.82,38.7,37.52,37.96,248321.0
2020-01-02,38.05,38.435,37.745,38.16,210484.0
2020-01-03,37.5,38.17,37.41,38.02,259506.0
2020-01-04,37.5,38.17,37.41,38.02,259506.0
2020-01-05,37.5,38.17,37.41,38.02,259506.0
2020-01-06,37.77,39.31,37.615,39.15,297610.0
2020-01-07,39.0,39.085,38.26,39.04,216559.0
2020-01-08,38.88,39.68,38.72,39.5,211308.0
2020-01-09,39.47,40.05,38.96,39.99,332925.0
2020-01-10,39.99,40.28,38.99,39.57,372753.0
2020-01-11,39.99,40.28,38.99,39.57,372753.0
2020-01-12,39.99,40.28,38.99,39.57,372753.0
2020-01-13,39.68,39.87,38.85,38.87,270032.0
2020-01-14,38.69,39.1,38.21,38.95,183449.0
2020-01-15,38.93,39.42,38.75,38.9,247547.0
2020-01-16,38.79,40.03,38.79,39.96,289686.0
2020-01-17,39.94,40.01,39.34,39.485,193909.0
2020-01-18,39.94,40.01,39.34,39.485,193909.0
2020-01-19,39.94,40.01,39.34,39.485,193909.0
2020-01-20,39.94,40.01,39.34,39.485,193909.0
2020-01-21,39.42,39.42,38.24,38.88,503465.0
2020-01-22,39.1,39.89,39.1,39.41,241387.0
2020-01-23,39.29,39.45,38.55,39.06,329783.0
2020-01-24,39.35,40.39,39.13,40.35,312038.0
2020-01-25,39.35,40.39,39.13,40.35,312038.0
2020-01-26,39.35,40.39,39.13,40.35,312038.0
2020-01-27,39.76,40.8,39.6,39.66,291443.0
2020-01-28,39.68,40.13,39.55,39.61,128265.0
2020-01-29,39.54,41.43,39.5,41.2,266520.0
2020-01-30,40.76,41.17,39.57,40.22,321683.0
2020-01-31,40.07,40.24,39.4,39.78,205938.0
2020-02-01,40.07,40.24,39.4,39.78,205938.0
2020-02-02,40.07,40.24,39.4,39.78,205938.0
2020-02-03,39.96,40.13,39.22,39.55,298493.0
2020-02-04,40.0,40.75,39.6,40.27,189100.0
2020-02-05,40.5,42.17,40.32,41.89,271919.0
2020-02-06,41.87,42.98,41.7,42.66,178287.0
2020-02-07,42.37,42.71,41.8,41.87,151877.0
2020-02-08,42.37,42.71,41.8,41.87,151877.0
2020-02-09,42.37,42.71,41.8,41.87,151877.0
2020-02-10,41.72,42.465,41.72,42.38,232744.0
2020-02-11,42.81,42.81,41.76,42.0,301820.0
2020-02-12,42.42,42.7,40.91,41.49,347075.0
2020-02-13,41.5,41.62,40.9,41.06,241748.0
2020-02-14,41.14,42.63,40.855,42.07,345938.0
2020-02-15,41.14,42.63,40.855,42.07,345938.0
2020-02-16,41.14,42.63,40.855,42.07,345938.0
