,PVH US Equity,PVH US Equity,PVH US Equity,PVH US Equity,PVH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,91.865,92.8278,91.2396,92.262,909513.0
2019-01-02,90.5746,93.6219,89.979,92.798,897263.0
2019-01-03,92.2819,92.2819,89.2644,90.0386,1286192.0
2019-01-04,91.5275,94.6939,91.4759,93.1752,1061723.0
2019-01-05,91.5275,94.6939,91.4759,93.1752,1061723.0
2019-01-06,91.5275,94.6939,91.4759,93.1752,1061723.0
2019-01-07,95.3887,99.0712,95.3887,97.8305,1860497.0
2019-01-08,99.637,101.2053,98.6544,100.5998,1437249.0
2019-01-09,102.1086,102.5751,100.441,101.8505,1055470.0
2019-01-10,97.0364,99.2201,96.6076,98.2077,1558754.0
2019-01-11,104.8184,106.8433,103.607,104.9871,2323498.0
2019-01-12,104.8184,106.8433,103.607,104.9871,2323498.0
2019-01-13,104.8184,106.8433,103.607,104.9871,2323498.0
2019-01-14,103.9846,104.6397,102.6247,103.7067,1757855.0
2019-01-15,104.2228,104.3816,102.4957,103.6471,1011818.0
2019-01-16,103.7067,105.1906,103.5379,103.7762,909194.0
2019-01-17,102.9722,107.2403,102.9142,106.7639,1164861.0
2019-01-18,108.7888,110.0196,107.7763,109.3645,1634279.0
2019-01-19,108.7888,110.0196,107.7763,109.3645,1634279.0
2019-01-20,108.7888,110.0196,107.7763,109.3645,1634279.0
2019-01-21,108.7888,110.0196,107.7763,109.3645,1634279.0
2019-01-22,107.7962,108.6449,103.8655,104.2725,1257727.0
2019-01-23,105.3742,105.4537,101.9101,103.4288,1268649.0
2019-01-24,103.4387,105.3048,103.1508,105.2055,581648.0
2019-01-25,106.6845,108.1734,106.1286,107.5679,590349.0
2019-01-26,106.6845,108.1734,106.1286,107.5679,590349.0
2019-01-27,106.6845,108.1734,106.1286,107.5679,590349.0
2019-01-28,106.1683,107.687,105.9698,107.6473,537846.0
2019-01-29,107.6175,108.0642,105.6025,107.4488,792414.0
2019-01-30,108.2429,109.563,106.7143,109.5332,806240.0
2019-01-31,109.563,109.6126,107.6671,108.3024,803919.0
2019-02-01,108.6895,108.8682,107.2602,107.955,1067171.0
2019-02-02,108.6895,108.8682,107.2602,107.955,1067171.0
2019-02-03,108.6895,108.8682,107.2602,107.955,1067171.0
2019-02-04,107.9848,108.4414,106.9326,108.1039,1011630.0
2019-02-05,109.6722,112.1338,109.6722,110.9824,1007926.0
2019-02-06,111.3199,111.6574,110.4166,111.439,677695.0
2019-02-07,110.5258,111.0122,109.0469,110.3769,1090957.0
2019-02-08,109.0469,110.0891,108.7689,110.0692,851091.0
2019-02-09,109.0469,110.0891,108.7689,110.0692,851091.0
2019-02-10,109.0469,110.0891,108.7689,110.0692,851091.0
2019-02-11,110.4762,112.6103,110.4762,111.9452,691650.0
2019-02-12,112.4018,113.9801,111.7666,113.4838,1096410.0
2019-02-13,113.7518,114.0694,111.4489,111.6971,759918.0
2019-02-14,110.3869,111.8956,110.1486,111.5581,846941.0
2019-02-15,112.6996,113.4937,111.8261,112.0644,765752.0
2019-02-16,112.6996,113.4937,111.8261,112.0644,765752.0
2019-02-17,112.6996,113.4937,111.8261,112.0644,765752.0
2019-02-18,112.6996,113.4937,111.8261,112.0644,765752.0
2019-02-19,112.1239,112.5408,111.6971,111.8857,987489.0
2019-02-20,112.2331,113.8113,111.6971,113.2158,1054198.0
2019-02-21,113.0669,114.5359,112.8584,114.2481,911475.0
2019-02-22,115.1613,116.8288,114.5459,116.7494,1081955.0
2019-02-23,115.1613,116.8288,114.5459,116.7494,1081955.0
2019-02-24,115.1613,116.8288,114.5459,116.7494,1081955.0
2019-02-25,117.9703,118.0522,114.7642,114.9627,1512418.0
2019-02-26,114.9528,116.809,114.2282,114.8635,707315.0
2019-02-27,114.6326,116.0128,114.0964,115.4865,816802.0
2019-02-28,115.3177,115.3177,113.9277,114.0269,927063.0
2019-03-01,115.5461,117.5915,113.5503,114.305,950991.0
2019-03-02,115.5461,117.5915,113.5503,114.305,950991.0
2019-03-03,115.5461,117.5915,113.5503,114.305,950991.0
2019-03-04,114.5135,114.6922,110.9687,111.3063,1276211.0
2019-03-05,111.6837,111.7035,110.0453,110.4425,1163910.0
2019-03-06,110.6709,110.9539,108.6056,109.3205,1108547.0
2019-03-07,108.9631,109.7475,107.7995,109.4794,1079327.0
2019-03-08,108.4666,109.5687,107.1758,109.4992,836316.0
2019-03-09,108.4666,109.5687,107.1758,109.4992,836316.0
2019-03-10,108.4666,109.5687,107.1758,109.4992,836316.0
2019-03-11,110.0553,111.2319,109.5886,111.1971,601993.0
2019-03-12,111.5149,111.5844,110.0056,111.2368,662320.0
2019-03-13,111.6638,113.2028,111.6223,112.3191,652186.0
2019-03-14,112.2,112.4134,111.5446,111.922,483652.0
2019-03-15,111.9716,112.2993,109.678,109.7276,1294098.0
2019-03-16,111.9716,112.2993,109.678,109.7276,1294098.0
2019-03-17,111.9716,112.2993,109.678,109.7276,1294098.0
2019-03-18,109.7375,110.7304,109.2808,110.6609,1215375.0
2019-03-19,110.9489,111.1574,108.9829,109.2907,844409.0
2019-03-20,109.0028,109.5787,106.1034,106.3318,1228509.0
2019-03-21,106.1233,108.0198,105.4382,107.9205,1019156.0
2019-03-22,107.5035,107.8311,105.9049,106.451,1444933.0
2019-03-23,107.5035,107.8311,105.9049,106.451,1444933.0
2019-03-24,107.5035,107.8311,105.9049,106.451,1444933.0
2019-03-25,106.3914,108.8836,105.6963,108.4169,1226007.0
2019-03-26,109.5588,110.4127,108.5857,109.3205,822330.0
2019-03-27,109.6879,111.2666,109.4297,110.1049,1628611.0
2019-03-28,124.2739,131.4229,123.9164,126.359,5484568.0
2019-03-29,127.0243,127.0243,120.5802,121.0866,2547330.0
2019-03-30,127.0243,127.0243,120.5802,121.0866,2547330.0
2019-03-31,127.0243,127.0243,120.5802,121.0866,2547330.0
2019-04-01,122.3476,124.2739,121.9802,124.1448,2051346.0
2019-04-02,124.3235,124.4327,122.427,123.3207,1256737.0
2019-04-03,124.115,124.5817,123.2512,123.5987,1153122.0
2019-04-04,123.5689,128.1761,122.8838,127.5803,1583054.0
2019-04-05,127.4115,128.7817,126.0016,126.359,1385564.0
2019-04-06,127.4115,128.7817,126.0016,126.359,1385564.0
2019-04-07,127.4115,128.7817,126.0016,126.359,1385564.0
2019-04-08,125.9321,127.3321,125.1476,126.498,1008628.0
2019-04-09,127.9775,128.2356,125.6143,125.7037,1165314.0
2019-04-10,125.8626,127.3916,125.5647,126.4285,795991.0
2019-04-11,126.1406,126.9846,125.3562,126.0115,725121.0
2019-04-12,126.4682,128.2405,126.1604,128.2356,955196.0
2019-04-13,126.4682,128.2405,126.1604,128.2356,955196.0
2019-04-14,126.4682,128.2405,126.1604,128.2356,955196.0
2019-04-15,128.2456,129.4271,127.064,127.8285,904822.0
2019-04-16,127.8782,129.7647,127.1633,129.03,852078.0
2019-04-17,129.4669,131.7009,129.4669,131.3931,1223347.0
2019-04-18,131.5321,133.2896,130.986,131.264,1048010.0
2019-04-19,131.5321,133.2896,130.986,131.264,1048010.0
2019-04-20,131.5321,133.2896,130.986,131.264,1048010.0
2019-04-21,131.5321,133.2896,130.986,131.264,1048010.0
2019-04-22,131.0655,131.4328,129.5761,130.003,782522.0
2019-04-23,130.4796,131.264,128.5832,131.1945,1280119.0
2019-04-24,131.1548,132.3562,130.0924,131.7704,556206.0
2019-04-25,131.5123,131.6612,129.0995,129.1094,641739.0
2019-04-26,129.0995,130.3505,128.0569,130.0924,713861.0
2019-04-27,129.0995,130.3505,128.0569,130.0924,713861.0
2019-04-28,129.0995,130.3505,128.0569,130.0924,713861.0
2019-04-29,129.6356,130.6484,129.02,129.7151,738873.0
2019-04-30,129.2683,130.3505,127.7491,128.0768,789051.0
2019-05-01,128.7222,129.3676,127.3718,127.4115,551948.0
2019-05-02,127.6995,129.2683,126.6966,126.9448,737221.0
2019-05-03,127.1931,127.7193,125.5051,126.2796,682310.0
2019-05-04,127.1931,127.7193,125.5051,126.2796,682310.0
2019-05-05,127.1931,127.7193,125.5051,126.2796,682310.0
2019-05-06,123.7576,124.1001,122.2285,123.1022,752725.0
2019-05-07,122.1292,122.4817,119.4185,120.9575,1051086.0
2019-05-08,120.6795,122.5363,119.7561,120.5802,885424.0
2019-05-09,120.2625,120.7192,117.5022,119.7958,1085022.0
2019-05-10,119.2894,120.0639,115.4917,118.5447,983792.0
2019-05-11,119.2894,120.0639,115.4917,118.5447,983792.0
2019-05-12,119.2894,120.0639,115.4917,118.5447,983792.0
2019-05-13,115.4369,116.4894,111.2269,111.7035,1568861.0
2019-05-14,112.0312,112.7908,110.0652,111.5744,1316879.0
2019-05-15,110.9687,111.6439,109.8269,110.1446,1180461.0
2019-05-16,110.1843,111.1475,109.395,109.6184,805852.0
2019-05-17,108.695,109.8567,107.8808,107.9403,801953.0
2019-05-18,108.695,109.8567,107.8808,107.9403,801953.0
2019-05-19,108.695,109.8567,107.8808,107.9403,801953.0
2019-05-20,106.8481,107.2453,104.9814,105.3091,1065345.0
2019-05-21,105.7139,108.1176,105.1477,107.7898,1077323.0
2019-05-22,108.8129,111.306,108.6441,108.8328,1970660.0
2019-05-23,107.9786,107.9786,104.1048,106.5681,1586283.0
2019-05-24,107.0548,108.207,105.7238,106.2403,1347523.0
2019-05-25,107.0548,108.207,105.7238,106.2403,1347523.0
2019-05-26,107.0548,108.207,105.7238,106.2403,1347523.0
2019-05-27,107.0548,108.207,105.7238,106.2403,1347523.0
2019-05-28,106.0417,107.2535,104.5716,105.1875,1416022.0
2019-05-29,103.3003,103.8169,98.0806,98.5822,2504652.0
2019-05-30,89.3845,90.7751,83.7527,83.9215,7940487.0
2019-05-31,82.2826,85.1631,81.9548,84.6168,2876921.0
2019-06-01,82.2826,85.1631,81.9548,84.6168,2876921.0
2019-06-02,82.2826,85.1631,81.9548,84.6168,2876921.0
2019-06-03,84.0705,89.0667,84.0705,87.1298,3332898.0
2019-06-04,88.6594,90.944,87.6463,90.4374,2019966.0
2019-06-05,91.0731,91.7882,87.3582,88.6594,1557810.0
2019-06-06,88.3515,88.5998,86.0471,87.2887,1111451.0
2019-06-07,87.2887,88.5005,86.2656,87.7754,1351974.0
2019-06-08,87.2887,88.5005,86.2656,87.7754,1351974.0
2019-06-09,87.2887,88.5005,86.2656,87.7754,1351974.0
2019-06-10,87.9343,90.8844,87.9343,89.166,922844.0
2019-06-11,89.8414,91.3909,87.9939,88.1032,1135604.0
2019-06-12,87.835,88.2224,86.5438,86.7126,1436187.0
2019-06-13,87.6364,89.3249,87.2788,89.166,741403.0
2019-06-14,88.7985,88.878,86.9808,87.4576,1214460.0
2019-06-15,88.7985,88.878,86.9808,87.4576,1214460.0
2019-06-16,88.7985,88.878,86.9808,87.4576,1214460.0
2019-06-17,87.1199,88.868,86.7226,87.7258,1061076.0
2019-06-18,88.5104,91.6293,88.4707,89.0369,1324493.0
2019-06-19,89.1263,89.7719,86.9709,87.2788,940593.0
2019-06-20,88.5502,89.8812,88.2621,89.8216,1065545.0
2019-06-21,89.8911,92.6623,89.3647,92.6325,2188571.0
2019-06-22,89.8911,92.6623,89.3647,92.6325,2188571.0
2019-06-23,89.8911,92.6623,89.3647,92.6325,2188571.0
2019-06-24,92.2153,93.5463,91.3711,92.0068,1248251.0
2019-06-25,91.8578,91.8578,90.4275,90.6758,990524.0
2019-06-26,91.1923,93.8741,90.9241,92.9305,1048071.0
2019-06-27,94.3012,94.8574,91.7485,92.6524,863420.0
2019-06-28,92.4835,94.3111,92.4835,94.0032,1174310.0
2019-06-29,92.4835,94.3111,92.4835,94.0032,1174310.0
