,PAR US Equity,PAR US Equity,PAR US Equity,PAR US Equity,PAR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,30.98,31.59,30.3905,30.74,509129.0
2020-01-02,30.9,31.78,30.68,31.58,157564.0
2020-01-03,31.28,31.7,31.28,31.69,144077.0
2020-01-04,31.28,31.7,31.28,31.69,144077.0
2020-01-05,31.28,31.7,31.28,31.69,144077.0
2020-01-06,31.42,31.77,31.19,31.28,143322.0
2020-01-07,31.2,31.57,31.19,31.24,97819.0
2020-01-08,30.24,31.08,29.9522,30.61,259005.0
2020-01-09,30.66,31.16,30.52,30.59,136615.0
2020-01-10,30.85,30.91,30.46,30.57,132551.0
2020-01-11,30.85,30.91,30.46,30.57,132551.0
2020-01-12,30.85,30.91,30.46,30.57,132551.0
2020-01-13,30.53,31.01,30.3,31.0,133490.0
2020-01-14,30.82,30.83,29.83,29.93,234288.0
2020-01-15,30.0,30.52,29.47,29.79,189119.0
2020-01-16,29.97,30.48,29.87,30.28,1261889.0
2020-01-17,30.0,30.43,29.33,30.15,715738.0
2020-01-18,30.0,30.43,29.33,30.15,715738.0
2020-01-19,30.0,30.43,29.33,30.15,715738.0
2020-01-20,30.0,30.43,29.33,30.15,715738.0
2020-01-21,29.97,30.28,29.72,30.05,200946.0
2020-01-22,30.22,31.37,30.22,31.11,238767.0
2020-01-23,31.28,32.77,31.04,32.42,207992.0
2020-01-24,32.67,33.88,32.67,33.57,321967.0
2020-01-25,32.67,33.88,32.67,33.57,321967.0
2020-01-26,32.67,33.88,32.67,33.57,321967.0
2020-01-27,33.5,33.8299,33.16,33.19,132785.0
2020-01-28,33.53,34.57,33.25,33.56,239627.0
2020-01-29,33.84,35.1,33.76,34.8,210782.0
2020-01-30,34.74,34.79,34.14,34.72,247641.0
2020-01-31,34.73,34.74,33.99,34.03,241110.0
2020-02-01,34.73,34.74,33.99,34.03,241110.0
2020-02-02,34.73,34.74,33.99,34.03,241110.0
2020-02-03,34.06,34.34,33.82,34.2,169187.0
2020-02-04,34.37,34.95,33.9,33.98,98815.0
2020-02-05,33.64,33.82,31.82,32.43,700377.0
2020-02-06,32.3,32.42,31.5,32.0,565259.0
2020-02-07,31.89,32.3,31.43,32.05,347691.0
2020-02-08,31.89,32.3,31.43,32.05,347691.0
2020-02-09,31.89,32.3,31.43,32.05,347691.0
2020-02-10,32.0,32.42,31.55,31.62,138536.0
2020-02-11,31.37,32.04,29.75,31.53,184015.0
2020-02-12,31.75,31.75,31.175,31.42,120482.0
2020-02-13,31.38,31.6,31.14,31.45,69570.0
2020-02-14,31.45,31.82,31.45,31.73,72840.0
2020-02-15,31.45,31.82,31.45,31.73,72840.0
2020-02-16,31.45,31.82,31.45,31.73,72840.0
2020-02-17,31.45,31.82,31.45,31.73,72840.0
2020-02-18,31.69,31.87,31.26,31.53,93387.0
2020-02-19,31.43,31.79,30.91,30.92,117088.0
2020-02-20,30.92,31.24,30.55,30.99,165297.0
2020-02-21,30.95,30.95,29.91,30.28,183985.0
2020-02-22,30.95,30.95,29.91,30.28,183985.0
2020-02-23,30.95,30.95,29.91,30.28,183985.0
2020-02-24,29.57,30.02,29.01,29.92,233969.0
2020-02-25,30.21,30.21,28.03,28.09,423163.0
2020-02-26,28.22,29.18,27.58,27.82,393653.0
2020-02-27,27.2,27.98,26.9374,27.0,445488.0
2020-02-28,26.0,27.145,25.76,26.49,511218.0
2020-02-29,26.0,27.145,25.76,26.49,511218.0
2020-03-01,26.0,27.145,25.76,26.49,511218.0
2020-03-02,26.65,27.45,25.7,27.38,292233.0
2020-03-03,27.41,27.95,25.42,26.02,287897.0
2020-03-04,26.55,26.58,25.91,26.13,218946.0
2020-03-05,25.64,26.11,25.265,25.33,331394.0
2020-03-06,24.57,24.94,22.861,24.18,434934.0
2020-03-07,24.57,24.94,22.861,24.18,434934.0
2020-03-08,24.57,24.94,22.861,24.18,434934.0
2020-03-09,23.22,23.48,21.52,22.03,494123.0
2020-03-10,22.87,24.0,21.38,21.96,504878.0
2020-03-11,21.55,22.22,18.4,20.11,1303435.0
2020-03-12,16.92,18.3,15.0,15.38,851248.0
2020-03-13,17.22,18.58,14.12,16.0,940123.0
2020-03-14,17.22,18.58,14.12,16.0,940123.0
2020-03-15,17.22,18.58,14.12,16.0,940123.0
2020-03-16,14.5,14.83,11.3,11.57,772961.0
2020-03-17,12.13,13.69,9.635,12.64,908434.0
2020-03-18,11.37,12.63,9.7,10.72,549717.0
2020-03-19,10.7,12.54,10.3506,11.98,535030.0
2020-03-20,12.21,12.99,10.68,11.15,520498.0
2020-03-21,12.21,12.99,10.68,11.15,520498.0
2020-03-22,12.21,12.99,10.68,11.15,520498.0
2020-03-23,11.22,11.32,10.1148,11.01,471796.0
2020-03-24,11.51,12.225,10.31,11.97,536082.0
2020-03-25,11.85,13.88,11.67,13.18,560181.0
2020-03-26,13.4,15.0399,13.19,14.6,432267.0
2020-03-27,14.04,14.36,12.83,13.08,422616.0
2020-03-28,14.04,14.36,12.83,13.08,422616.0
2020-03-29,14.04,14.36,12.83,13.08,422616.0
2020-03-30,13.11,13.31,12.0,12.55,368434.0
2020-03-31,12.45,13.275,12.375,12.86,496193.0
2020-04-01,12.5,12.57,11.3785,11.64,432101.0
2020-04-02,11.52,12.24,10.91,12.02,442240.0
2020-04-03,11.63,11.94,10.52,10.96,334468.0
2020-04-04,11.63,11.94,10.52,10.96,334468.0
2020-04-05,11.63,11.94,10.52,10.96,334468.0
2020-04-06,11.56,13.24,11.3,12.99,406323.0
2020-04-07,13.64,14.05,13.01,13.11,347076.0
2020-04-08,13.25,14.56,13.11,14.51,444880.0
2020-04-09,14.97,15.68,14.45,14.74,867149.0
2020-04-10,14.97,15.68,14.45,14.74,867149.0
2020-04-11,14.97,15.68,14.45,14.74,867149.0
2020-04-12,14.97,15.68,14.45,14.74,867149.0
2020-04-13,14.66,14.66,13.14,13.79,306205.0
2020-04-14,14.4,14.84,14.0,14.72,390584.0
2020-04-15,13.73,14.45,13.73,14.43,213406.0
2020-04-16,14.41,14.49,14.0,14.41,293933.0
2020-04-17,14.89,15.5,14.56,15.03,341607.0
2020-04-18,14.89,15.5,14.56,15.03,341607.0
2020-04-19,14.89,15.5,14.56,15.03,341607.0
2020-04-20,14.63,14.94,14.36,14.71,239436.0
2020-04-21,14.23,14.62,13.85,14.1,182886.0
2020-04-22,14.56,15.95,14.4879,15.48,360321.0
2020-04-23,15.35,16.39,15.31,16.25,359493.0
2020-04-24,16.43,16.68,15.49,15.96,225360.0
2020-04-25,16.43,16.68,15.49,15.96,225360.0
2020-04-26,16.43,16.68,15.49,15.96,225360.0
2020-04-27,16.25,17.91,16.08,17.27,316781.0
2020-04-28,17.81,18.49,17.535,17.99,228268.0
2020-04-29,18.74,19.98,18.49,19.77,320157.0
2020-04-30,19.34,19.77,18.47,18.91,164307.0
2020-05-01,18.2,18.73,17.35,18.1,647263.0
2020-05-02,18.2,18.73,17.35,18.1,647263.0
2020-05-03,18.2,18.73,17.35,18.1,647263.0
2020-05-04,17.27,17.655,16.78,17.25,361235.0
2020-05-05,17.16,18.95,17.16,18.3,253634.0
2020-05-06,18.51,19.23,17.89,18.74,280591.0
2020-05-07,18.72,20.36,18.72,19.77,314643.0
2020-05-08,26.23,28.2,20.87,21.11,835965.0
2020-05-09,26.23,28.2,20.87,21.11,835965.0
2020-05-10,26.23,28.2,20.87,21.11,835965.0
2020-05-11,21.7,23.62,21.28,23.48,657262.0
2020-05-12,24.25,25.44,21.41,21.52,660675.0
2020-05-13,21.57,22.56,20.04,21.16,454652.0
2020-05-14,20.42,20.98,19.67,20.66,315066.0
2020-05-15,20.39,21.35,19.9025,21.01,253545.0
2020-05-16,20.39,21.35,19.9025,21.01,253545.0
2020-05-17,20.39,21.35,19.9025,21.01,253545.0
2020-05-18,23.11,26.39,23.11,24.89,881702.0
2020-05-19,24.72,26.24,24.59,24.89,357412.0
2020-05-20,25.59,26.25,24.07,24.27,458188.0
2020-05-21,24.28,25.43,23.81,25.17,247327.0
2020-05-22,25.42,26.52,24.65,26.01,340218.0
2020-05-23,25.42,26.52,24.65,26.01,340218.0
2020-05-24,25.42,26.52,24.65,26.01,340218.0
2020-05-25,25.42,26.52,24.65,26.01,340218.0
2020-05-26,26.92,27.93,24.87,25.52,519023.0
2020-05-27,25.91,26.0,24.04,25.43,287536.0
2020-05-28,25.51,25.8,23.0,24.5,332449.0
2020-05-29,24.24,25.07,24.05,25.01,188985.0
2020-05-30,24.24,25.07,24.05,25.01,188985.0
2020-05-31,24.24,25.07,24.05,25.01,188985.0
2020-06-01,24.99,25.53,24.87,25.23,192565.0
2020-06-02,25.23,25.98,24.97,25.34,174781.0
2020-06-03,25.8,27.5,25.27,26.83,186877.0
2020-06-04,26.32,27.0,25.92,26.11,154257.0
2020-06-05,27.18,28.97,27.11,28.47,469424.0
2020-06-06,27.18,28.97,27.11,28.47,469424.0
2020-06-07,27.18,28.97,27.11,28.47,469424.0
2020-06-08,29.07,29.46,26.82,27.05,239914.0
2020-06-09,26.47,27.39,26.37,27.12,215168.0
2020-06-10,27.35,27.76,26.26,26.29,286932.0
2020-06-11,25.37,26.23,24.42,24.76,315664.0
2020-06-12,26.31,26.38,24.83,25.63,172530.0
2020-06-13,26.31,26.38,24.83,25.63,172530.0
2020-06-14,26.31,26.38,24.83,25.63,172530.0
2020-06-15,26.24,29.3,25.19,28.53,315815.0
2020-06-16,30.0,31.09,29.125,29.38,494666.0
2020-06-17,29.56,29.94,27.99,28.33,397877.0
2020-06-18,29.36,31.33,29.36,30.19,332268.0
2020-06-19,30.72,33.0,29.66,30.05,538056.0
2020-06-20,30.72,33.0,29.66,30.05,538056.0
2020-06-21,30.72,33.0,29.66,30.05,538056.0
2020-06-22,33.0,33.0,30.525,30.93,402785.0
2020-06-23,31.21,31.25,29.9,30.28,283844.0
2020-06-24,29.8,30.49,29.21,29.97,230494.0
2020-06-25,29.65,30.7,29.34,29.95,231825.0
2020-06-26,29.7,30.58,28.75,29.08,854234.0
2020-06-27,29.7,30.58,28.75,29.08,854234.0
2020-06-28,29.7,30.58,28.75,29.08,854234.0
2020-06-29,29.46,29.98,28.8968,29.57,167160.0
2020-06-30,29.64,30.0,29.32,29.93,231479.0
2020-07-01,29.7,30.85,29.59,29.97,207210.0
2020-07-02,30.63,31.23,29.78,30.09,208026.0
2020-07-03,30.63,31.23,29.78,30.09,208026.0
2020-07-04,30.63,31.23,29.78,30.09,208026.0
2020-07-05,30.63,31.23,29.78,30.09,208026.0
2020-07-06,30.8,31.21,30.06,31.02,192002.0
2020-07-07,30.63,31.72,30.25,30.49,197931.0
2020-07-08,30.49,31.24,30.11,30.43,162819.0
2020-07-09,30.47,30.73,29.53,29.94,183535.0
2020-07-10,29.84,29.84,29.04,29.52,132421.0
2020-07-11,29.84,29.84,29.04,29.52,132421.0
2020-07-12,29.84,29.84,29.04,29.52,132421.0
2020-07-13,29.8,30.15,28.63,28.64,240360.0
2020-07-14,28.5,28.99,27.77,28.3,265112.0
2020-07-15,29.09,30.16,28.76,29.79,155277.0
2020-07-16,29.41,29.69,28.43,28.53,112712.0
2020-07-17,28.6,28.89,28.18,28.72,173974.0
2020-07-18,28.6,28.89,28.18,28.72,173974.0
2020-07-19,28.6,28.89,28.18,28.72,173974.0
2020-07-20,28.48,30.19,28.43,29.76,349594.0
