,CDW US Equity,CDW US Equity,CDW US Equity,CDW US Equity,CDW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,135.4295,136.3295,135.1724,136.0295,547605.0
2020-01-02,137.6008,137.6008,135.0153,137.0199,1287095.0
2020-01-03,135.22,136.6009,135.0486,135.3724,883159.0
2020-01-04,135.22,136.6009,135.0486,135.3724,883159.0
2020-01-05,135.22,136.6009,135.0486,135.3724,883159.0
2020-01-06,134.2772,134.8962,133.6058,134.3534,1014886.0
2020-01-07,134.4582,135.02,133.9487,134.201,801407.0
2020-01-08,134.2867,135.0772,133.6296,134.0011,1034231.0
2020-01-09,134.5439,136.1819,134.3248,135.201,943883.0
2020-01-10,135.6295,137.0675,134.4963,135.5724,668427.0
2020-01-11,135.6295,137.0675,134.4963,135.5724,668427.0
2020-01-12,135.6295,137.0675,134.4963,135.5724,668427.0
2020-01-13,135.9533,136.8675,135.0962,136.5152,1364527.0
2020-01-14,136.5152,138.1436,135.9866,137.0961,863495.0
2020-01-15,137.0294,138.4674,136.6009,137.7056,791263.0
2020-01-16,138.5436,139.1245,136.7342,137.3247,834265.0
2020-01-17,134.1725,134.8677,129.5918,130.3251,2357027.0
2020-01-18,134.1725,134.8677,129.5918,130.3251,2357027.0
2020-01-19,134.1725,134.8677,129.5918,130.3251,2357027.0
2020-01-20,134.1725,134.8677,129.5918,130.3251,2357027.0
2020-01-21,129.6489,131.5345,129.3537,129.5918,1619590.0
2020-01-22,130.6394,131.6583,129.8489,130.068,1131860.0
2020-01-23,130.068,132.2297,129.0109,132.1155,1175405.0
2020-01-24,132.4107,132.8487,130.6108,131.3441,856913.0
2020-01-25,132.4107,132.8487,130.6108,131.3441,856913.0
2020-01-26,132.4107,132.8487,130.6108,131.3441,856913.0
2020-01-27,129.0204,129.5632,127.3824,127.4872,887080.0
2020-01-28,128.2395,129.2585,127.5253,129.0014,1180933.0
2020-01-29,129.4204,129.9632,127.9348,128.43,746821.0
2020-01-30,126.8872,128.2919,126.4022,127.4491,975104.0
2020-01-31,127.0301,127.3443,123.7255,124.2302,1173061.0
2020-02-01,127.0301,127.3443,123.7255,124.2302,1173061.0
2020-02-02,127.0301,127.3443,123.7255,124.2302,1173061.0
2020-02-03,124.5064,127.3824,124.316,126.5539,1618159.0
2020-02-04,128.0586,129.7447,127.6039,129.6585,1068774.0
2020-02-05,130.6775,130.9342,128.4585,129.5537,1124335.0
2020-02-06,128.0967,131.8488,127.3062,128.2205,1186718.0
2020-02-07,128.0014,128.0776,124.9159,126.3349,1354577.0
2020-02-08,128.0014,128.0776,124.9159,126.3349,1354577.0
2020-02-09,128.0014,128.0776,124.9159,126.3349,1354577.0
2020-02-10,126.3825,127.6776,126.1825,127.6015,920042.0
2020-02-11,127.9062,129.687,126.9729,129.4871,1228320.0
2020-02-12,129.5156,131.0012,129.2204,130.0775,1028507.0
2020-02-13,128.849,130.7632,128.4541,130.7346,1034088.0
2020-02-14,131.3631,132.3345,130.5203,131.6964,1292565.0
2020-02-15,131.3631,132.3345,130.5203,131.6964,1292565.0
2020-02-16,131.3631,132.3345,130.5203,131.6964,1292565.0
2020-02-17,131.3631,132.3345,130.5203,131.6964,1292565.0
2020-02-18,130.9155,131.0917,126.9729,128.4395,1003198.0
2020-02-19,128.8204,130.8108,128.6395,130.1156,666976.0
2020-02-20,130.0204,131.8393,129.2871,131.6488,667898.0
2020-02-21,130.8203,131.706,126.7967,127.5253,960149.0
2020-02-22,130.8203,131.706,126.7967,127.5253,960149.0
2020-02-23,130.8203,131.706,126.7967,127.5253,960149.0
2020-02-24,125.4815,126.895,122.5878,123.7147,1441173.0
2020-02-25,124.4788,125.1759,119.1401,119.5221,1291717.0
2020-02-26,120.1334,123.3614,119.0733,119.2261,1319553.0
2020-02-27,116.2655,116.4947,110.8218,110.86,1969178.0
2020-02-28,108.1955,112.5695,105.9321,109.0837,2984813.0
2020-02-29,108.1955,112.5695,105.9321,109.0837,2984813.0
2020-03-01,108.1955,112.5695,105.9321,109.0837,2984813.0
2020-03-02,110.1724,114.5846,108.0379,114.5846,2087718.0
2020-03-03,112.8369,115.4728,108.7494,110.4111,1656454.0
2020-03-04,112.5122,113.897,110.7263,113.8302,1301763.0
2020-03-05,110.7741,111.519,106.6579,108.6921,1623074.0
2020-03-06,104.0602,106.973,103.449,106.5624,1572864.0
2020-03-07,104.0602,106.973,103.449,106.5624,1572864.0
2020-03-08,104.0602,106.973,103.449,106.5624,1572864.0
2020-03-09,97.5564,100.7749,93.7745,93.7936,2728923.0
2020-03-10,97.5851,99.4092,94.6197,99.4092,2157455.0
2020-03-11,95.8565,99.9345,95.8565,98.2441,2892909.0
2020-03-12,91.6925,96.8211,87.1466,87.3567,2756277.0
2020-03-13,92.1796,96.8211,88.3499,96.7447,2292369.0
2020-03-14,92.1796,96.8211,88.3499,96.7447,2292369.0
2020-03-15,92.1796,96.8211,88.3499,96.7447,2292369.0
2020-03-16,84.1,87.4618,81.1872,83.0591,2461034.0
2020-03-17,84.6922,85.4466,80.5664,83.3551,2124980.0
2020-03-18,77.348,84.5967,71.8183,80.5951,2121326.0
2020-03-19,80.2799,85.4275,75.2209,84.3006,1873196.0
2020-03-20,85.6281,86.9365,75.7626,75.9823,1903544.0
2020-03-21,85.6281,86.9365,75.7626,75.9823,1903544.0
2020-03-22,85.6281,86.9365,75.7626,75.9823,1903544.0
2020-03-23,74.8553,83.0877,70.0897,81.7507,2204178.0
2020-03-24,86.182,91.1816,84.8068,89.6106,2191156.0
2020-03-25,88.4932,92.4375,86.3444,87.7769,1747034.0
2020-03-26,87.3853,97.3177,85.9624,96.5154,1577432.0
2020-03-27,91.5493,93.402,88.3595,89.5342,1361920.0
2020-03-28,91.5493,93.402,88.3595,89.5342,1361920.0
2020-03-29,91.5493,93.402,88.3595,89.5342,1361920.0
2020-03-30,87.8724,93.3543,87.691,92.5521,932545.0
2020-03-31,92.1032,93.9846,88.3022,89.0758,2153553.0
2020-04-01,85.3034,88.5028,84.0523,84.8354,1531872.0
2020-04-02,82.7343,85.2747,81.9226,84.0141,1439868.0
2020-04-03,83.5079,85.7331,82.0181,82.9827,1125076.0
2020-04-04,83.5079,85.7331,82.0181,82.9827,1125076.0
2020-04-05,83.5079,85.7331,82.0181,82.9827,1125076.0
2020-04-06,88.4741,91.9599,87.1943,91.5302,1196312.0
2020-04-07,96.9548,98.33,94.0801,94.1947,1273093.0
2020-04-08,95.0542,98.6452,94.0706,97.671,1010486.0
2020-04-09,99.5142,102.9571,98.6356,101.4816,1318873.0
2020-04-10,99.5142,102.9571,98.6356,101.4816,1318873.0
2020-04-11,99.5142,102.9571,98.6356,101.4816,1318873.0
2020-04-12,99.5142,102.9571,98.6356,101.4816,1318873.0
2020-04-13,101.1473,102.1883,97.0121,99.2086,832935.0
2020-04-14,99.9536,102.4175,99.9536,101.9496,967131.0
2020-04-15,97.8238,100.6125,97.8143,99.0176,698035.0
2020-04-16,99.1609,100.9372,96.5536,99.562,1092121.0
2020-04-17,101.367,104.127,100.8895,103.9265,965991.0
2020-04-18,101.367,104.127,100.8895,103.9265,965991.0
2020-04-19,101.367,104.127,100.8895,103.9265,965991.0
2020-04-20,101.6822,102.2934,99.8103,100.8513,1066760.0
2020-04-21,98.0817,99.0845,93.7077,94.4001,1423229.0
2020-04-22,96.3626,98.3014,94.8919,97.1649,864722.0
2020-04-23,97.9002,99.6479,96.1716,96.3244,900194.0
2020-04-24,98.416,100.9563,97.7331,100.0586,1068841.0
2020-04-25,98.416,100.9563,97.7331,100.0586,1068841.0
2020-04-26,98.416,100.9563,97.7331,100.0586,1068841.0
2020-04-27,100.0586,102.2265,99.8963,101.5007,734745.0
2020-04-28,103.7355,104.1557,101.4052,102.3029,1016700.0
2020-04-29,104.2607,107.0972,103.554,106.2854,988044.0
2020-04-30,105.9416,106.1899,104.0506,105.8174,1144421.0
2020-05-01,103.3535,103.8023,101.4052,102.0164,823500.0
2020-05-02,103.3535,103.8023,101.4052,102.0164,823500.0
2020-05-03,103.3535,103.8023,101.4052,102.0164,823500.0
2020-05-04,101.4434,103.4681,99.7626,103.3248,724575.0
2020-05-05,102.981,106.0132,102.79,105.0439,813407.0
2020-05-06,105.636,106.295,99.9536,101.9687,1328896.0
2020-05-07,101.6822,103.9933,100.2496,101.8732,896753.0
2020-05-08,103.1911,104.8911,102.704,103.6591,583978.0
2020-05-09,103.1911,104.8911,102.704,103.6591,583978.0
2020-05-10,103.1911,104.8911,102.704,103.6591,583978.0
2020-05-11,102.1597,102.4844,100.2496,100.2496,771040.0
2020-05-12,100.6412,101.5389,97.375,97.3941,858884.0
2020-05-13,96.4486,98.1485,92.1605,93.6026,958150.0
2020-05-14,90.9858,95.336,89.5342,95.2166,1088056.0
2020-05-15,93.6026,94.3666,92.5521,93.4116,1288035.0
2020-05-16,93.6026,94.3666,92.5521,93.4116,1288035.0
2020-05-17,93.6026,94.3666,92.5521,93.4116,1288035.0
2020-05-18,97.8716,102.3602,96.9261,101.7204,1773221.0
2020-05-19,101.5771,103.6304,100.3833,101.2237,892162.0
2020-05-20,101.0709,104.4709,101.0709,104.318,1008258.0
2020-05-21,103.9251,105.382,102.5547,102.7463,754356.0
2020-05-22,101.8071,102.2576,101.0213,101.3375,624167.0
2020-05-23,101.8071,102.2576,101.0213,101.3375,624167.0
2020-05-24,101.8071,102.2576,101.0213,101.3375,624167.0
2020-05-25,101.8071,102.2576,101.0213,101.3375,624167.0
2020-05-26,104.0401,105.9185,103.4747,103.513,940339.0
2020-05-27,105.0464,105.7844,102.6505,105.746,821312.0
2020-05-28,105.4202,107.0111,103.8801,105.0848,766941.0
2020-05-29,105.8227,106.8577,103.8293,106.2923,1210466.0
2020-05-30,105.8227,106.8577,103.8293,106.2923,1210466.0
2020-05-31,105.8227,106.8577,103.8293,106.2923,1210466.0
2020-06-01,105.6694,108.4869,105.0177,107.2507,607064.0
2020-06-02,107.3082,108.9134,106.9536,108.554,881787.0
2020-06-03,108.784,110.9308,108.784,110.2983,648167.0
2020-06-04,109.637,112.1287,109.2632,111.8891,1101849.0
2020-06-05,114.3713,120.754,114.349,120.1215,2030927.0
2020-06-06,114.3713,120.754,114.349,120.1215,2030927.0
2020-06-07,114.3713,120.754,114.349,120.1215,2030927.0
2020-06-08,121.1374,123.8495,120.1311,122.9487,1658251.0
2020-06-09,121.3003,121.8466,119.1152,119.2302,1328301.0
2020-06-10,118.9427,119.3356,116.4222,116.6426,911178.0
2020-06-11,115.2338,115.5789,105.9281,105.9377,994659.0
2020-06-12,109.1578,111.1895,106.4073,109.3495,923972.0
2020-06-13,109.1578,111.1895,106.4073,109.3495,923972.0
2020-06-14,109.1578,111.1895,106.4073,109.3495,923972.0
2020-06-15,106.3785,109.3255,104.1168,109.1578,897460.0
2020-06-16,113.1254,115.6268,111.0266,114.4001,1239296.0
2020-06-17,114.9942,115.4159,111.7837,112.3012,782720.0
2020-06-18,111.6879,112.6654,110.8254,112.3587,703153.0
2020-06-19,112.9529,115.9622,111.4866,112.0808,1421866.0
2020-06-20,112.9529,115.9622,111.4866,112.0808,1421866.0
2020-06-21,112.9529,115.9622,111.4866,112.0808,1421866.0
2020-06-22,111.1608,111.7262,109.867,111.3525,856306.0
2020-06-23,113.0775,113.0775,110.7104,111.1225,1098359.0
2020-06-24,110.0108,110.0587,105.7939,106.8481,890534.0
2020-06-25,107.0494,108.0843,105.1327,107.7586,733455.0
2020-06-26,108.1036,108.1036,103.6568,103.973,2005015.0
2020-06-27,108.1036,108.1036,103.6568,103.973,2005015.0
2020-06-28,108.1036,108.1036,103.6568,103.973,2005015.0
2020-06-29,107.9598,110.3701,106.8577,109.2536,1912385.0
2020-06-30,108.8703,112.0281,107.8161,111.3429,1006346.0
2020-07-01,111.1991,113.0008,110.3653,110.7199,880261.0
2020-07-02,111.9179,113.813,111.6496,112.2342,894057.0
2020-07-03,111.9179,113.813,111.6496,112.2342,894057.0
2020-07-04,111.9179,113.813,111.6496,112.2342,894057.0
2020-07-05,111.9179,113.813,111.6496,112.2342,894057.0
2020-07-06,114.7642,115.0038,112.3204,112.6558,729494.0
2020-07-07,112.0041,113.1159,108.9757,109.3111,883927.0
2020-07-08,109.4645,110.1737,107.6244,108.6595,865239.0
2020-07-09,108.8895,109.2584,105.6023,107.8257,723854.0
2020-07-10,107.1548,109.4836,106.6565,109.1003,660454.0
2020-07-11,107.1548,109.4836,106.6565,109.1003,660454.0
2020-07-12,107.1548,109.4836,106.6565,109.1003,660454.0
2020-07-13,110.3174,110.327,107.7778,107.8928,780459.0
2020-07-14,106.6277,109.7903,106.3594,109.637,609929.0
2020-07-15,110.9212,113.3459,110.1353,112.7996,660742.0
2020-07-16,112.2437,112.5217,111.293,111.8412,567080.0
2020-07-17,112.2821,114.6397,111.6975,113.5759,560640.0
2020-07-18,112.2821,114.6397,111.6975,113.5759,560640.0
2020-07-19,112.2821,114.6397,111.6975,113.5759,560640.0
2020-07-20,112.8379,113.4321,110.9308,113.2596,489689.0
2020-07-21,112.7708,114.7355,111.3812,112.1287,880227.0
2020-07-22,112.8954,114.7345,112.7133,114.1221,519165.0
2020-07-23,114.3138,116.4222,113.3554,113.8442,473044.0
2020-07-24,113.1063,113.365,108.9853,109.7903,920663.0
2020-07-25,113.1063,113.365,108.9853,109.7903,920663.0
