,SIGI US Equity,SIGI US Equity,SIGI US Equity,SIGI US Equity,SIGI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,61.027,61.7426,60.9611,61.3754,204757.0
2020-01-02,61.6202,61.6578,60.6787,61.6108,258858.0
2020-01-03,61.1588,62.1192,60.9611,61.9685,191756.0
2020-01-04,61.1588,62.1192,60.9611,61.9685,191756.0
2020-01-05,61.1588,62.1192,60.9611,61.9685,191756.0
2020-01-06,61.5919,62.9006,61.4036,62.6652,245694.0
2020-01-07,62.3922,62.5617,61.7211,61.912,212746.0
2020-01-08,61.8555,62.5569,61.6296,62.2792,235463.0
2020-01-09,62.4298,63.1218,61.9285,62.9382,166826.0
2020-01-10,62.9006,63.0512,62.1568,62.3357,171744.0
2020-01-11,62.9006,63.0512,62.1568,62.3357,171744.0
2020-01-12,62.9006,63.0512,62.1568,62.3357,171744.0
2020-01-13,62.2792,62.6652,62.0533,62.3357,174644.0
2020-01-14,62.2039,62.7029,61.9497,62.6181,155644.0
2020-01-15,62.4393,63.2678,62.2599,62.8441,207531.0
2020-01-16,63.2678,64.0398,63.1924,64.0068,188510.0
2020-01-17,64.3693,64.6047,63.5785,64.2563,184551.0
2020-01-18,64.3693,64.6047,63.5785,64.2563,184551.0
2020-01-19,64.3693,64.6047,63.5785,64.2563,184551.0
2020-01-20,64.3693,64.6047,63.5785,64.2563,184551.0
2020-01-21,64.0304,64.3881,63.7103,64.2187,161251.0
2020-01-22,64.2752,64.5858,63.988,64.0727,151259.0
2020-01-23,63.8044,63.8044,62.4393,62.7029,327392.0
2020-01-24,62.7688,62.8535,61.9779,62.2227,311662.0
2020-01-25,62.7688,62.8535,61.9779,62.2227,311662.0
2020-01-26,62.7688,62.8535,61.9779,62.2227,311662.0
2020-01-27,61.526,62.8723,61.4695,62.4393,296672.0
2020-01-28,62.7217,63.0041,62.2604,62.4957,207402.0
2020-01-29,62.5334,63.3054,61.9309,61.9591,222021.0
2020-01-30,61.5825,63.3054,61.3471,63.2866,208316.0
2020-01-31,65.9039,66.7418,62.2227,62.3734,384725.0
2020-02-01,65.9039,66.7418,62.2227,62.3734,384725.0
2020-02-02,65.9039,66.7418,62.2227,62.3734,384725.0
2020-02-03,62.8535,63.9268,62.7641,63.1077,351658.0
2020-02-04,63.6726,64.3881,63.3148,63.8891,208622.0
2020-02-05,64.5105,64.5105,63.3337,63.4466,175653.0
2020-02-06,63.6914,64.5576,63.6914,64.0963,186731.0
2020-02-07,64.0304,64.6235,63.8797,64.3505,230265.0
2020-02-08,64.0304,64.6235,63.8797,64.3505,230265.0
2020-02-09,64.0304,64.6235,63.8797,64.3505,230265.0
2020-02-10,63.8232,64.8683,63.795,64.7647,194078.0
2020-02-11,64.8212,65.6309,64.8212,65.339,247637.0
2020-02-12,65.5744,65.5744,64.6612,64.8024,291285.0
2020-02-13,64.6607,66.0588,64.6135,66.0493,209681.0
2020-02-14,65.9832,66.4272,65.6998,66.106,230844.0
2020-02-15,65.9832,66.4272,65.6998,66.106,230844.0
2020-02-16,65.9832,66.4272,65.6998,66.106,230844.0
2020-02-17,65.9832,66.4272,65.6998,66.106,230844.0
2020-02-18,65.8321,65.884,64.1506,64.3018,371324.0
2020-02-19,64.3868,64.4246,63.2721,63.3477,158893.0
2020-02-20,63.121,63.2343,61.6568,62.5164,160802.0
