,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,110.2204,111.3985,109.5669,110.9685,7409858.0
2019-01-02,110.1774,110.3924,108.5867,109.8507,7631672.0
2019-01-03,110.1817,110.2978,107.7956,108.1051,8654685.0
2019-01-04,109.309,110.6246,108.9736,109.9195,8831997.0
2019-01-05,109.309,110.6246,108.9736,109.9195,8831997.0
2019-01-06,109.309,110.6246,108.9736,109.9195,8831997.0
2019-01-07,109.7475,110.3658,109.0312,109.2144,8404653.0
2019-01-08,110.2204,112.2154,109.8335,111.751,9351570.0
2019-01-09,111.6393,111.9918,110.3494,110.8654,7403525.0
2019-01-10,109.7991,111.6908,109.7991,111.5361,6224419.0
2019-01-11,110.9255,111.6479,110.3322,111.5705,5300666.0
2019-01-12,110.9255,111.6479,110.3322,111.5705,5300666.0
2019-01-13,110.9255,111.6479,110.3322,111.5705,5300666.0
2019-01-14,110.702,110.8912,109.7129,110.3064,7374457.0
2019-01-15,110.5128,111.3469,109.7647,111.2351,5194405.0
2019-01-16,111.2781,111.2781,109.9797,110.1001,6264150.0
2019-01-17,109.8163,111.3727,109.6037,111.0029,7631960.0
2019-01-18,111.6994,112.8001,111.3125,112.3788,10592972.0
2019-01-19,111.6994,112.8001,111.3125,112.3788,10592972.0
2019-01-20,111.6994,112.8001,111.3125,112.3788,10592972.0
2019-01-21,111.6994,112.8001,111.3125,112.3788,10592972.0
2019-01-22,110.2376,111.3563,109.2144,110.7536,10568128.0
2019-01-23,110.4956,111.1835,110.0055,110.7536,9267966.0
2019-01-24,110.487,110.6676,107.486,109.2316,9917100.0
2019-01-25,110.1774,110.4526,109.3606,110.2634,7585947.0
2019-01-26,110.1774,110.4526,109.3606,110.2634,7585947.0
2019-01-27,110.1774,110.4526,109.3606,110.2634,7585947.0
2019-01-28,109.9023,111.0545,109.4551,110.9169,6927661.0
2019-01-29,110.8826,112.1896,110.4956,112.0692,6669289.0
2019-01-30,112.1036,113.6686,112.0434,113.1957,7299455.0
2019-01-31,113.1871,116.2483,112.5335,114.4339,17298062.0
2019-02-01,115.2422,115.8183,114.7692,115.397,9575150.0
2019-02-02,115.2422,115.8183,114.7692,115.397,9575150.0
2019-02-03,115.2422,115.8183,114.7692,115.397,9575150.0
2019-02-04,115.1906,115.354,113.6858,114.2619,7759043.0
2019-02-05,114.8122,115.1218,114.1501,114.2619,6449787.0
2019-02-06,114.4339,114.8509,113.7632,114.3651,5066324.0
2019-02-07,113.8922,114.0555,113.1011,113.5482,6085346.0
