,WEC US Equity,WEC US Equity,WEC US Equity,WEC US Equity,WEC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,80.8789,81.3255,80.3972,80.7738,1387841.0
2020-01-02,80.9226,81.0277,79.2192,79.4075,1547068.0
2020-01-03,79.39,80.3183,79.2762,79.9067,1859426.0
2020-01-04,79.39,80.3183,79.2762,79.9067,1859426.0
2020-01-05,79.39,80.3183,79.2762,79.9067,1859426.0
2020-01-06,79.9943,80.3972,79.5214,79.968,1419092.0
2020-01-07,79.6002,79.7578,79.1185,79.6615,1078229.0
2020-01-08,79.8805,80.0337,79.2674,79.7666,1323669.0
2020-01-09,79.679,80.6249,79.5652,80.5636,1036677.0
2020-01-10,80.7475,81.1241,80.6687,81.0453,1220272.0
2020-01-11,80.7475,81.1241,80.6687,81.0453,1220272.0
2020-01-12,80.7475,81.1241,80.6687,81.0453,1220272.0
2020-01-13,81.1066,82.1225,81.1066,82.0174,1691218.0
2020-01-14,82.0349,82.2976,81.5357,82.2801,1542458.0
2020-01-15,82.5253,83.6288,82.5253,83.3398,1361955.0
2020-01-16,83.515,84.2638,83.1909,84.2244,1595295.0
2020-01-17,84.1981,84.7761,83.7514,84.4433,2038806.0
2020-01-18,84.1981,84.7761,83.7514,84.4433,2038806.0
2020-01-19,84.1981,84.7761,83.7514,84.4433,2038806.0
2020-01-20,84.1981,84.7761,83.7514,84.4433,2038806.0
2020-01-21,84.5484,85.5993,84.347,85.538,1531507.0
2020-01-22,85.8358,86.1861,85.5818,86.0285,1181550.0
2020-01-23,86.1161,86.6328,85.8796,86.4401,1740200.0
2020-01-24,86.4313,87.3159,86.3525,86.6678,1179261.0
2020-01-25,86.4313,87.3159,86.3525,86.6678,1179261.0
2020-01-26,86.4313,87.3159,86.3525,86.6678,1179261.0
2020-01-27,86.659,87.3071,86.0547,86.2649,1393436.0
2020-01-28,86.3788,86.5452,85.6606,86.2649,2211835.0
2020-01-29,86.2825,86.6065,85.5468,86.4313,1591413.0
2020-01-30,86.8605,88.3405,86.3788,88.1128,1817083.0
2020-01-31,88.0165,88.7784,87.1758,87.4823,2253625.0
2020-02-01,88.0165,88.7784,87.1758,87.4823,2253625.0
2020-02-02,88.0165,88.7784,87.1758,87.4823,2253625.0
2020-02-03,87.7538,88.4019,87.7275,88.3581,1685796.0
2020-02-04,87.9727,88.2705,87.2327,87.2633,1510146.0
2020-02-05,87.132,87.6312,86.624,87.5874,1166028.0
2020-02-06,87.5261,87.7888,87.1232,87.491,962787.0
2020-02-07,87.78,88.0515,87.3071,87.3597,787574.0
2020-02-08,87.78,88.0515,87.3071,87.3597,787574.0
2020-02-09,87.78,88.0515,87.3071,87.3597,787574.0
2020-02-10,87.5523,87.7275,87.1582,87.7012,832690.0
2020-02-11,87.9202,88.1391,87.6574,87.745,872903.0
2020-02-12,87.3071,88.3931,87.0356,88.2355,1711952.0
2020-02-13,88.3699,89.3305,88.0394,89.1983,1040108.0
2020-02-14,89.5244,89.9915,89.3217,89.78,1707492.0
2020-02-15,89.5244,89.9915,89.3217,89.78,1707492.0
2020-02-16,89.5244,89.9915,89.3217,89.78,1707492.0
2020-02-17,89.5244,89.9915,89.3217,89.78,1707492.0
2020-02-18,90.2206,90.864,89.8857,90.6701,1177948.0
2020-02-19,90.6525,90.9962,90.2471,90.2559,1313238.0
2020-02-20,90.2294,90.3793,89.5949,90.2383,1218022.0
2020-02-21,90.2294,91.0226,90.1149,90.3352,1491072.0
2020-02-22,90.2294,91.0226,90.1149,90.3352,1491072.0
2020-02-23,90.2294,91.0226,90.1149,90.3352,1491072.0
2020-02-24,90.2206,90.6393,89.3834,89.7359,1867354.0
2020-02-25,89.8857,90.2735,88.3126,88.4932,1806298.0
2020-02-26,88.5726,89.5773,88.3611,88.3875,1830547.0
2020-02-27,88.22,89.26,84.1572,84.2189,2306519.0
2020-02-28,82.844,82.844,79.4597,81.3722,3200692.0
2020-02-29,82.844,82.844,79.4597,81.3722,3200692.0
2020-03-01,82.844,82.844,79.4597,81.3722,3200692.0
