,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,240.35,244.86,239.565,244.84,719791.0
2019-01-02,239.96,249.4,239.31,247.97,1055029.0
2019-01-03,245.83,247.0,240.13,243.36,868602.0
2019-01-04,247.08,258.48,246.0,255.03,864514.0
2019-01-05,247.08,258.48,246.0,255.03,864514.0
2019-01-06,247.08,258.48,246.0,255.03,864514.0
2019-01-07,256.97,271.15,256.97,271.0,1247844.0
2019-01-08,271.92,276.5,267.43,276.0,919879.0
2019-01-09,275.82,282.1,274.915,281.19,707695.0
2019-01-10,274.8,277.71,269.29,277.03,965600.0
2019-01-11,276.81,284.38,275.87,284.11,893320.0
2019-01-12,276.81,284.38,275.87,284.11,893320.0
2019-01-13,276.81,284.38,275.87,284.11,893320.0
2019-01-14,282.06,282.93,274.89,274.9,928479.0
2019-01-15,274.97,280.52,273.312,278.49,570855.0
2019-01-16,277.76,282.18,277.505,282.01,472999.0
2019-01-17,280.19,284.34,280.0,283.9,679678.0
2019-01-18,286.28,292.22,286.085,291.5,990463.0
2019-01-19,286.28,292.22,286.085,291.5,990463.0
2019-01-20,286.28,292.22,286.085,291.5,990463.0
2019-01-21,286.28,292.22,286.085,291.5,990463.0
2019-01-22,288.1,294.44,285.82,288.85,846062.0
2019-01-23,289.41,292.035,286.13,288.2,630767.0
2019-01-24,289.61,289.7,286.12,287.99,353647.0
2019-01-25,291.1,293.66,287.63,290.72,570707.0
2019-01-26,291.1,293.66,287.63,290.72,570707.0
2019-01-27,291.1,293.66,287.63,290.72,570707.0
2019-01-28,291.0,291.5,286.33,290.28,554787.0
2019-01-29,290.37,290.4,286.13,288.82,516935.0
2019-01-30,290.28,290.99,286.4,288.6,539043.0
2019-01-31,288.66,294.07,286.04,291.92,491927.0
2019-02-01,292.38,293.39,288.01,291.36,519463.0
2019-02-02,292.38,293.39,288.01,291.36,519463.0
2019-02-03,292.38,293.39,288.01,291.36,519463.0
2019-02-04,289.76,289.76,282.9,289.04,765140.0
2019-02-05,290.5,296.555,288.68,294.04,998875.0
2019-02-06,293.57,295.95,288.05,293.45,506785.0
2019-02-07,291.18,294.57,288.09,293.64,463682.0
2019-02-08,291.58,296.48,289.25,296.06,782013.0
2019-02-09,291.58,296.48,289.25,296.06,782013.0
2019-02-10,291.58,296.48,289.25,296.06,782013.0
2019-02-11,296.25,302.33,296.25,298.1,668155.0
2019-02-12,301.23,305.0,300.73,302.5,535294.0
2019-02-13,304.16,304.83,299.72,303.95,622060.0
2019-02-14,302.68,307.59,300.92,305.0,1257932.0
2019-02-15,307.42,308.525,305.44,306.36,565579.0
2019-02-16,307.42,308.525,305.44,306.36,565579.0
2019-02-17,307.42,308.525,305.44,306.36,565579.0
2019-02-18,307.42,308.525,305.44,306.36,565579.0
2019-02-19,304.1,305.82,299.76,304.65,1038415.0
2019-02-20,304.63,307.5,303.01,306.31,526971.0
2019-02-21,306.28,309.7,304.115,308.02,671530.0
2019-02-22,309.63,310.93,308.0,310.72,580745.0
2019-02-23,309.63,310.93,308.0,310.72,580745.0
2019-02-24,309.63,310.93,308.0,310.72,580745.0
2019-02-25,311.54,313.63,308.03,309.05,546264.0
2019-02-26,308.65,311.02,308.18,310.0,508317.0
2019-02-27,307.48,309.47,305.12,307.11,642921.0
2019-02-28,306.02,315.16,304.3,312.49,756350.0
2019-03-01,315.61,318.779,313.82,315.3,553988.0
2019-03-02,315.61,318.779,313.82,315.3,553988.0
2019-03-03,315.61,318.779,313.82,315.3,553988.0
2019-03-04,316.97,317.78,308.03,311.5,832668.0
2019-03-05,312.98,314.3,310.3,312.24,963213.0
2019-03-06,312.11,313.21,308.98,312.51,711465.0
2019-03-07,312.01,312.2,304.48,305.45,877898.0
2019-03-08,302.87,306.99,294.0,306.39,863981.0
2019-03-09,302.87,306.99,294.0,306.39,863981.0
2019-03-10,302.87,306.99,294.0,306.39,863981.0
2019-03-11,308.0,310.34,306.565,309.75,905969.0
2019-03-12,310.69,312.0,304.32,311.41,779268.0
2019-03-13,312.05,316.98,311.06,315.44,796764.0
2019-03-14,315.73,315.73,311.61,312.51,1271170.0
2019-03-15,327.97,345.24,327.0,338.41,3882889.0
2019-03-16,327.97,345.24,327.0,338.41,3882889.0
2019-03-17,327.97,345.24,327.0,338.41,3882889.0
2019-03-18,338.6,344.53,336.87,342.22,949808.0
2019-03-19,342.97,343.919,331.32,334.45,1461914.0
2019-03-20,335.0,337.5,330.51,330.79,934110.0
2019-03-21,329.22,336.55,328.829,335.13,759099.0
2019-03-22,334.18,336.07,328.634,330.52,695030.0
2019-03-23,334.18,336.07,328.634,330.52,695030.0
2019-03-24,334.18,336.07,328.634,330.52,695030.0
2019-03-25,330.88,338.25,330.88,336.67,811861.0
2019-03-26,339.62,345.63,337.45,342.9,847941.0
2019-03-27,343.7,348.4,343.34,346.05,724648.0
2019-03-28,347.89,351.434,343.304,345.23,667504.0
2019-03-29,347.6,350.0,344.95,348.73,526476.0
2019-03-30,347.6,350.0,344.95,348.73,526476.0
2019-03-31,347.6,350.0,344.95,348.73,526476.0
2019-04-01,351.5,353.775,350.74,352.55,582321.0
2019-04-02,353.37,354.09,346.59,347.3,514410.0
2019-04-03,349.47,354.44,347.63,350.53,507664.0
2019-04-04,350.53,352.501,347.75,350.14,397210.0
2019-04-05,351.73,354.18,348.74,353.63,590451.0
2019-04-06,351.73,354.18,348.74,353.63,590451.0
2019-04-07,351.73,354.18,348.74,353.63,590451.0
2019-04-08,353.56,355.725,351.29,354.47,439663.0
2019-04-09,352.36,355.281,347.3,348.2,551709.0
2019-04-10,349.76,350.85,345.383,350.28,532422.0
2019-04-11,350.88,351.87,348.003,350.22,708751.0
2019-04-12,350.65,351.88,344.27,344.83,559597.0
2019-04-13,350.65,351.88,344.27,344.83,559597.0
2019-04-14,350.65,351.88,344.27,344.83,559597.0
2019-04-15,346.76,354.67,345.99,353.94,678851.0
2019-04-16,354.78,356.802,349.45,355.08,682236.0
2019-04-17,355.08,359.69,353.93,354.33,525394.0
2019-04-18,356.63,359.095,350.25,350.88,568164.0
2019-04-19,356.63,359.095,350.25,350.88,568164.0
2019-04-20,356.63,359.095,350.25,350.88,568164.0
2019-04-21,356.63,359.095,350.25,350.88,568164.0
2019-04-22,350.33,351.47,344.26,347.41,525820.0
2019-04-23,347.72,355.855,347.49,351.63,556517.0
2019-04-24,351.33,357.91,351.33,355.84,444359.0
2019-04-25,355.32,355.342,348.54,353.7,397588.0
2019-04-26,356.86,358.435,350.01,357.94,572031.0
2019-04-27,356.86,358.435,350.01,357.94,572031.0
2019-04-28,356.86,358.435,350.01,357.94,572031.0
2019-04-29,356.97,357.895,350.65,350.9,578949.0
2019-04-30,351.12,352.16,346.99,348.98,736645.0
2019-05-01,347.81,348.33,334.65,334.94,1151636.0
2019-05-02,335.01,344.11,335.01,343.68,875374.0
2019-05-03,344.27,346.12,339.98,341.96,728586.0
2019-05-04,344.27,346.12,339.98,341.96,728586.0
2019-05-05,344.27,346.12,339.98,341.96,728586.0
2019-05-06,336.53,347.61,335.78,346.68,712071.0
2019-05-07,344.29,347.31,338.895,342.36,698072.0
2019-05-08,341.82,350.55,340.03,348.15,577399.0
2019-05-09,344.52,349.13,343.28,348.05,460598.0
2019-05-10,347.01,347.01,337.01,343.24,685578.0
2019-05-11,347.01,347.01,337.01,343.24,685578.0
2019-05-12,347.01,347.01,337.01,343.24,685578.0
2019-05-13,337.21,338.98,328.34,330.23,813465.0
2019-05-14,332.56,336.8,325.619,335.32,949187.0
2019-05-15,335.06,340.95,333.47,340.7,677928.0
2019-05-16,341.31,348.46,341.31,343.24,512094.0
2019-05-17,342.59,349.56,342.1,342.45,573389.0
2019-05-18,342.59,349.56,342.1,342.45,573389.0
2019-05-19,342.59,349.56,342.1,342.45,573389.0
2019-05-20,340.5,348.31,339.033,347.89,829220.0
2019-05-21,348.61,354.54,347.9,353.16,545642.0
2019-05-22,351.8,354.62,348.89,349.09,466345.0
2019-05-23,347.03,347.14,336.07,337.83,1026755.0
2019-05-24,338.81,340.84,330.43,335.09,615107.0
2019-05-25,338.81,340.84,330.43,335.09,615107.0
2019-05-26,338.81,340.84,330.43,335.09,615107.0
2019-05-27,338.81,340.84,330.43,335.09,615107.0
2019-05-28,336.22,338.5,333.01,334.85,1026708.0
2019-05-29,332.37,334.59,321.82,322.07,1033748.0
2019-05-30,327.64,334.025,321.18,328.46,1317968.0
2019-05-31,315.33,335.126,304.04,333.38,3198001.0
2019-06-01,315.33,335.126,304.04,333.38,3198001.0
2019-06-02,315.33,335.126,304.04,333.38,3198001.0
2019-06-03,333.89,337.36,327.85,330.6,1023700.0
2019-06-04,332.3,340.55,331.6,335.53,773624.0
2019-06-05,338.01,338.64,331.26,337.48,577235.0
2019-06-06,339.85,341.96,336.38,340.33,590749.0
2019-06-07,340.69,343.96,337.68,338.16,567317.0
2019-06-08,340.69,343.96,337.68,338.16,567317.0
2019-06-09,340.69,343.96,337.68,338.16,567317.0
2019-06-10,339.11,344.49,335.63,337.05,561587.0
2019-06-11,341.22,341.89,334.56,340.01,431001.0
2019-06-12,341.88,343.88,339.14,342.82,480842.0
2019-06-13,344.62,350.2,343.624,349.81,732345.0
2019-06-14,349.34,355.61,349.027,354.62,905076.0
2019-06-15,349.34,355.61,349.027,354.62,905076.0
2019-06-16,349.34,355.61,349.027,354.62,905076.0
2019-06-17,355.61,357.54,349.56,350.19,605421.0
2019-06-18,352.58,354.09,345.9,347.21,617834.0
2019-06-19,346.77,358.43,343.628,357.84,564870.0
2019-06-20,360.42,365.535,355.165,358.34,743500.0
2019-06-21,359.28,360.47,355.28,355.81,730417.0
2019-06-22,359.28,360.47,355.28,355.81,730417.0
2019-06-23,359.28,360.47,355.28,355.81,730417.0
2019-06-24,357.73,358.69,340.26,346.54,1684659.0
2019-06-25,345.0,348.92,340.875,348.69,640656.0
2019-06-26,350.58,352.65,344.27,344.82,561798.0
2019-06-27,346.5,347.425,339.531,344.22,619539.0
2019-06-28,345.94,347.38,343.89,346.89,784345.0
2019-06-29,345.94,347.38,343.89,346.89,784345.0
2019-06-30,345.94,347.38,343.89,346.89,784345.0
2019-07-01,350.55,353.76,339.88,340.38,794018.0
2019-07-02,340.76,345.78,338.25,341.33,590555.0
2019-07-03,343.65,346.0,341.21,345.43,330025.0
2019-07-04,343.65,346.0,341.21,345.43,330025.0
2019-07-05,343.33,348.49,343.33,344.95,481437.0
